DWS Measurement v9.2.8 
08/21/18 5:48:38 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	40.00
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.328
Particle Radius (nm):	465.0
l* (microns):	975.06
Mean Count Rate (kHz):	172.8


Lag time (s)	g2-1

1.250000E-8	0.995186
2.500000E-8	1.000428
3.750000E-8	1.002857
5.000000E-8	1.001902
6.250000E-8	1.007143
7.500000E-8	0.997643
8.750000E-8	0.989917
1.000000E-7	0.998735
1.125000E-7	0.997234
1.250000E-7	1.003158
1.375000E-7	0.991883
1.500000E-7	1.004250
1.625000E-7	0.991118
1.750000E-7	0.993220
1.875000E-7	0.996961
2.000000E-7	1.001383
2.125000E-7	1.002120
2.375000E-7	0.999035
2.625000E-7	1.007963
2.875000E-7	1.011129
3.125000E-7	1.004345
3.375000E-7	1.007676
3.625000E-7	0.986955
3.875000E-7	0.996619
4.125000E-7	1.001609
4.625000E-7	0.996244
5.125000E-7	0.999561
5.625000E-7	0.995084
6.125000E-7	0.993323
6.625000E-7	0.996913
7.125000E-7	0.995295
7.625000E-7	0.995862
8.125000E-7	0.996746
9.125000E-7	0.994429
1.012500E-6	0.994384
1.112500E-6	0.991600
1.212500E-6	0.996029
1.312500E-6	0.993869
1.412500E-6	0.998514
1.512500E-6	0.993115
1.612500E-6	0.996277
1.812500E-6	0.993699
2.012500E-6	0.996277
2.212500E-6	0.994489
2.412500E-6	0.990503
2.612500E-6	0.985105
2.812500E-6	0.989292
3.012500E-6	0.988470
3.212500E-6	0.991408
3.612500E-6	0.988557
4.012500E-6	0.986140
4.412500E-6	0.984854
4.812500E-6	0.985318
5.212500E-6	0.983628
5.612500E-6	0.980489
6.012500E-6	0.979551
6.412500E-6	0.981404
7.212500E-6	0.978328
8.012500E-6	0.977775
8.812500E-6	0.976694
9.612500E-6	0.974619
1.041250E-5	0.973272
1.121250E-5	0.972701
1.201250E-5	0.971892
1.281250E-5	0.970371
1.441250E-5	0.968723
1.601250E-5	0.967062
1.761250E-5	0.967819
1.921250E-5	0.966069
2.081250E-5	0.963949
2.241250E-5	0.963168
2.401250E-5	0.960566
2.561250E-5	0.959015
2.881250E-5	0.957011
3.201250E-5	0.954710
3.521250E-5	0.953143
3.841250E-5	0.952789
4.161250E-5	0.951921
4.481250E-5	0.948949
4.801250E-5	0.947508
5.121250E-5	0.945488
5.761250E-5	0.943886
6.401250E-5	0.941813
7.041250E-5	0.938717
7.681250E-5	0.938239
8.321250E-5	0.936747
8.961250E-5	0.933986
9.601250E-5	0.932633
0.000102	0.932217
0.000115	0.929652
0.000128	0.928150
0.000141	0.926129
0.000154	0.924383
0.000166	0.922993
0.000179	0.921293
0.000192	0.919712
0.000205	0.918739
0.000230	0.916617
0.000256	0.914633
0.000282	0.912664
0.000307	0.911335
0.000333	0.909868
0.000358	0.908179
0.000384	0.906854
0.000410	0.905632
0.000461	0.903204
0.000512	0.901114
0.000563	0.899301
0.000614	0.897235
0.000666	0.895810
0.000717	0.894307
0.000768	0.892515
0.000819	0.891150
0.000922	0.888553
0.001024	0.886230
0.001126	0.884142
0.001229	0.882532
0.001331	0.881022
0.001434	0.879138
0.001536	0.877720
0.001638	0.876446
0.001843	0.873603
0.002048	0.870930
0.002253	0.868939
0.002458	0.866927
0.002662	0.865162
0.002867	0.863270
0.003072	0.861434
0.003277	0.859697
0.003686	0.856602
0.004096	0.854021
0.004506	0.851601
0.004915	0.849427
0.005325	0.847420
0.005734	0.845547
0.006144	0.843708
0.006554	0.841687
0.007373	0.837346
0.008192	0.833020
0.009011	0.829612
0.009830	0.826402
0.010650	0.822834
0.011469	0.819401
0.012288	0.816406
0.013107	0.813031
0.014746	0.807252
0.016384	0.801840
0.018022	0.796491
0.019661	0.791306
0.021299	0.785687
0.022938	0.780202
0.024576	0.774957
0.026214	0.770113
0.029491	0.760511
0.032768	0.750750
0.036045	0.741876
0.039322	0.733404
0.042598	0.724507
0.045875	0.716178
0.049152	0.708638
0.052429	0.700186
0.058982	0.684314
0.065536	0.669611
0.072090	0.655446
0.078643	0.640804
0.085197	0.625955
0.091750	0.611599
0.098304	0.596873
0.104858	0.582506
0.117965	0.553817
0.131072	0.526097
0.144179	0.500155
0.157286	0.474427
0.170394	0.448367
0.183501	0.424933
0.399814	0.202355
0.599721	0.109569
0.799629	0.057912
0.999536	0.032531
1.199443	0.020072
1.399350	0.012579
1.599257	0.007606
1.799164	0.006244
1.999072	0.004324
2.198979	0.006238
2.398886	0.004285
2.598793	0.001561
2.798700	-0.000439
2.998607	0.001518
3.198514	0.003435
3.398422	-0.000125
3.598329	0.002840
3.798236	0.004688
3.998143	0.005297
4.198050	0.005513
4.397957	0.005499
4.597864	0.004044
4.797772	0.005195
4.997679	0.005308
5.197586	0.004169
5.397493	0.004977
5.597400	0.003635
5.797307	0.004354
5.997215	0.004566
6.197122	0.003201
6.397029	0.002461
6.596936	0.003904
6.796843	0.002879
6.996750	0.002543
7.196657	0.003248
7.396565	0.001336
7.596472	0.000689
7.796379	0.002946
7.996286	0.001080
8.196193	0.000612
8.396100	0.000615
8.596008	0.004154
8.795915	0.002039
8.995822	0.004170
9.195729	0.006267
9.395636	0.006190
9.595543	0.006161
9.795450	0.006113
9.995358	0.006610
10.195265	0.003531
10.395172	0.004021
10.595079	0.002762
10.794986	-0.000141
10.994893	0.002037
11.194800	0.004025
11.394708	0.002967
11.594615	0.002886
11.794522	0.002728
11.994429	0.003188
12.194336	0.000560
12.394243	0.002220
12.594151	0.001107
12.794058	0.002577


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

0.524288	52.222561
1.048576	176.561868
1.572864	65.049055
2.359296	95.642818
2.883584	127.947960
3.407872	75.108810
3.932160	84.719674
4.718592	102.954191
5.242880	31.476681
5.767168	62.431314
6.553600	181.123178
7.077888	81.609097
7.602176	256.378936
8.388608	40.451485
8.912896	145.358215
9.437184	162.852189
9.961472	50.587501
10.747904	131.473026
11.272192	86.324501
11.796480	100.425803
12.582912	140.108347
13.107200	110.765319
13.631488	40.317149
14.155776	137.684186
14.942208	254.689539
15.466496	63.395404
15.990784	203.480216
16.777216	434.943107
17.301504	130.856707
17.825792	161.009376
18.612224	71.806894
19.136512	167.872302
19.660800	36.937831
20.185088	71.375543
20.971520	242.729225
21.495808	354.082946
22.020096	70.075508
22.806528	269.891206
23.330816	202.598036
23.855104	45.457684
24.379392	546.750665
25.165824	115.249213
25.690112	295.950951
26.214400	141.111936
27.000832	59.676679
27.525120	360.342422
28.049408	439.555048
28.835840	182.887425
29.360128	181.373236
29.884416	165.331456
30.408704	243.223327
31.195136	345.503846
31.719424	221.178924
32.243712	260.603892
33.030144	80.342952
33.554432	244.896213
34.078720	426.899762
34.603008	134.830142
35.389440	73.801586
35.913728	138.137496
36.438016	140.600944
37.224448	424.300937
37.748736	400.376606
38.273024	465.323174
38.797312	698.508815
39.583744	91.036900
40.108032	248.776894
40.632320	203.111021
41.418752	117.567585
41.943040	32.740003
42.467328	292.375786
43.253760	222.215339
43.778048	192.521797
44.302336	137.754597
44.826624	74.355417
45.613056	95.160066
46.137344	86.274501
46.661632	48.184254
47.448064	226.730946
47.972352	146.362970
48.496640	50.777517
49.020928	183.498230
49.807360	226.988943
50.331648	128.384330
50.855936	122.435376
51.642368	240.982389
52.166656	71.553828
52.690944	94.898262
53.477376	50.739581
54.001664	127.383745
54.525952	297.059769
55.050240	330.319010
55.836672	371.842629
56.360960	127.617257
56.885248	54.841763
57.671680	168.059959
58.195968	64.122844
58.720256	36.539731
59.244544	166.275091
60.030976	153.182182
60.555264	78.460460
61.079552	43.420247
61.865984	38.544755
62.390272	81.178164
62.914560	85.587701
63.438848	30.905561
64.225280	139.028238
64.749568	281.598181
65.273856	143.104746
66.060288	184.928919
66.584576	344.349304
67.108864	132.560451
67.895296	197.821368
68.419584	70.324526
68.943872	146.942402
69.468160	131.137635
70.254592	65.360013
70.778880	134.328256
71.303168	129.534585
72.089600	152.197614
72.613888	39.818698
73.138176	56.668152
73.662464	80.591740
74.448896	178.001673
74.973184	139.049574
75.497472	194.623750
76.283904	211.312509
76.808192	70.040757
77.332480	51.756868
78.118912	155.676073
78.643200	63.986563
79.167488	89.134911
79.691776	83.405913
80.478208	118.660535
81.002496	673.119999
81.526784	93.949481
82.313216	136.062906
82.837504	25.912568
83.361792	259.715630
83.886080	170.925675
84.672512	498.784581
