DWS Measurement v9.2.8 
08/21/18 5:40:00 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	40.00
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.328
Particle Radius (nm):	465.0
l* (microns):	1008.21
Mean Count Rate (kHz):	173.2


Lag time (s)	g2-1

1.25E-08	0.994024
 2.5E-08	 1.00196
3.75E-08	 1.00387
   5E-08	 1.00815
6.25E-08	0.994169
 7.5E-08	0.992608
8.75E-08	  1.0014
   1E-07	0.998754
1.125E-07	 1.00471
1.25E-07	0.997787
1.375E-07	0.999903
 1.5E-07	0.998856
1.625E-07	 1.00477
1.75E-07	0.996761
1.875E-07	 1.00177
   2E-07	0.998235
2.125E-07	0.995621
2.375E-07	0.994193
2.625E-07	0.992551
2.875E-07	0.998246
3.125E-07	0.995134
3.375E-07	 1.00138
3.625E-07	 1.00023
3.875E-07	0.997969
4.125E-07	  0.9937
4.625E-07	0.995587
5.125E-07	0.997799
5.625E-07	 1.00147
6.125E-07	 1.00096
6.625E-07	0.992265
7.125E-07	 0.99338
7.625E-07	0.990514
8.125E-07	0.991631
9.125E-07	0.992528
1.0125E-06	0.995781
1.1125E-06	0.993847
1.2125E-06	0.995839
1.3125E-06	0.997613
1.4125E-06	0.996853
1.5125E-06	0.995364
1.6125E-06	0.994595
1.8125E-06	0.993135
2.0125E-06	0.993941
2.2125E-06	0.992268
2.4125E-06	0.988872
2.6125E-06	 0.99066
2.8125E-06	0.991567
3.0125E-06	0.991027
3.2125E-06	0.992247
3.6125E-06	0.990444
4.0125E-06	0.986189
4.4125E-06	0.986977
4.8125E-06	0.987277
5.2125E-06	0.986082
5.6125E-06	0.985074
6.0125E-06	0.982741
6.4125E-06	0.983208
7.2125E-06	0.980512
8.0125E-06	0.980431
8.8125E-06	 0.97792
9.6125E-06	0.978549
1.04125E-05	0.976179
1.12125E-05	 0.97677
1.20125E-05	 0.97467
1.28125E-05	0.973858
1.44125E-05	0.973244
1.60125E-05	0.972732
1.76125E-05	0.972047
1.92125E-05	0.970558
2.08125E-05	0.969886
2.24125E-05	0.967445
2.40125E-05	0.966313
2.56125E-05	0.964927
2.88125E-05	0.962582
3.20125E-05	 0.96077
3.52125E-05	0.959263
3.84125E-05	0.958206
4.16125E-05	0.957245
4.48125E-05	 0.95608
4.80125E-05	0.954055
5.12125E-05	0.952546
5.76125E-05	0.951278
6.40125E-05	0.949331
7.04125E-05	0.947535
7.68125E-05	0.945734
8.32125E-05	0.945363
8.96125E-05	0.942597
9.60125E-05	0.942153
0.000102	0.941321
0.000115	0.939064
0.000128	0.937774
0.000141	0.935909
0.000154	0.934534
0.000166	0.933121
0.000179	0.931826
0.000192	0.930839
0.000205	0.929841
 0.00023	0.927828
0.000256	0.926297
0.000282	0.924708
0.000307	0.923368
0.000333	0.922047
0.000358	0.920726
0.000384	0.919608
 0.00041	0.918727
0.000461	0.916809
0.000512	0.914961
0.000563	0.913411
0.000614	0.911954
0.000666	0.910591
0.000717	0.909143
0.000768	0.907929
0.000819	0.906931
0.000922	0.904905
0.001024	0.903044
0.001126	0.901262
0.001229	0.899613
0.001331	0.898329
0.001434	0.896753
0.001536	0.895501
0.001638	0.894367
0.001843	0.892062
0.002048	0.889758
0.002253	0.887836
0.002458	0.886035
0.002662	0.884141
0.002867	0.882504
0.003072	0.881147
0.003277	0.879787
0.003686	0.877255
0.004096	0.874828
0.004506	0.872527
0.004915	0.870718
0.005325	0.868816
0.005734	0.866839
0.006144	0.865012
0.006554	0.863606
0.007373	0.860418
0.008192	0.857157
0.009011	0.854048
 0.00983	0.851257
 0.01065	0.848272
0.011469	0.845567
0.012288	0.842814
0.013107	0.840695
0.014746	 0.83584
0.016384	0.831419
0.018022	0.827009
0.019661	0.822602
0.021299	0.817946
0.022938	 0.81348
0.024576	0.809277
0.026214	0.806159
0.029491	0.798316
0.032768	0.790557
0.036045	0.782716
0.039322	0.775373
0.042598	0.767761
0.045875	0.760222
0.049152	0.753117
0.052429	  0.7481
0.058982	0.733073
0.065536	0.718313
 0.07209	0.704547
0.078643	0.691091
0.085197	0.678401
 0.09175	0.665673
0.098304	0.652464
0.104858	0.643039
0.117965	0.618645
0.131072	0.595441
0.144179	0.573286
0.157286	0.552701
0.170394	0.531864
0.183501	0.511854
0.399815	0.258406
0.599722	0.140993
0.799629	0.0777475
0.999536	0.0434695
 1.19944	0.0254765
 1.39935	 0.01466
 1.59926	0.007546
 1.79916	0.005575
 1.99907	0.0062785
 2.19898	0.005542
 2.39889	0.0065225
 2.59879	0.005302
  2.7987	0.005507
 2.99861	0.0056975
 3.19852	0.007783
 3.39842	0.0070425
 3.59833	0.006441
 3.79824	0.005995
 3.99815	0.0059025
 4.19805	0.0070295
 4.39796	 0.00557
 4.59787	0.007374
 4.79777	0.005188
 4.99768	0.005063
 5.19759	0.004058
  5.3975	0.0054555
  5.5974	0.0059195
 5.79731	0.004732
 5.99722	0.0018835
 6.19712	0.0015435
 6.39703	0.0026795
 6.59694	0.001604
 6.79685	0.0031415
 6.99675	0.002386
 7.19666	0.001522
 7.39657	0.0021725
 7.59648	0.0033295
 7.79638	0.0019415
 7.99629	0.002166
  8.1962	0.002982
 8.39611	0.0044365
 8.59601	0.003786
 8.79592	0.004035
 8.99583	0.004766
 9.19573	0.003545
 9.39564	0.0045115
 9.59555	0.003941
 9.79546	0.0040535
 9.99536	0.003799
 10.1953	0.005466
 10.3952	0.005006
 10.5951	0.006497
  10.795	0.004665
 10.9949	0.0050335
 11.1948	0.0058245
 11.3947	0.0037515
 11.5946	0.0046915
 11.7945	0.0046695
 11.9944	 0.00315
 12.1943	0.0030455
 12.3942	0.0046405
 12.5942	 0.00308
 12.7941	0.0036725


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

  6.426000	156.448395
 13.404000	150.654752
 20.365000	124.911767
 27.324000	165.889452
 34.284000	119.542961
 41.264000	162.298316
 48.223000	195.314852
 55.183000	100.247809
 61.954000	210.541024
 68.924000	164.331215
 75.893000	142.035167
 82.854000	228.673942
 89.824000	131.909840
 96.792000	 94.064006
103.754000	193.845389
110.723000	194.850411
117.685000	158.675016
124.653000	143.056094
125.282146	174.549678
126.330722	173.566591
127.379298	173.505204
128.427874	171.062699
129.266734	173.360469
130.315310	169.551521
131.363886	173.895304
132.412462	173.713368
133.461038	173.184244
134.299899	174.619797
135.348475	172.108356
136.397051	176.517066
137.445627	174.064576
138.494203	176.547531
139.542779	172.935961
140.381640	170.754955
141.430216	177.014928
142.478792	176.614956
143.527368	174.287368
144.575944	174.405969
145.624520	174.206196
146.673096	173.878642
147.511957	173.706995
148.560533	171.806225
149.609109	170.756584
150.657685	172.163691
151.706261	173.499073
152.754837	172.893669
153.593698	173.273681
154.642274	174.034367
155.690850	174.395723
156.739426	174.836659
157.788002	171.890278
158.836578	171.647303
159.885154	173.894876
160.724014	174.436476
161.772590	174.456309
162.821166	175.521214
163.869742	175.051638
164.918318	173.043622
165.966894	175.257384
167.015470	173.365857
167.854331	171.685946
168.902907	175.290094
169.951483	173.318140
171.000059	174.936387
172.048635	173.270235
173.097211	170.194788
173.936072	170.835358
174.984648	173.408167
176.033224	171.087514
177.081800	175.239854
178.130376	172.173803
179.178952	175.698848
180.227528	176.365168
181.066389	175.660367

Measurement notes:

