020-24A-Tscan_12_13mean-b_MR				!Title
298.15	0.12	0.00089012 	!T (K), volume fraction, solvent visc. (Pa.s)
Y	N			!Data format (w, G' ,G"), only mechanical data?
N	N	N		!Create output file for Gf(t), G(w), G(w)+Rouse?
N	Y	N		!Output bending/Rouse modes, iterate?, 1 mode?
Y    	70			!Fit lp?, initial guess or fixed value
48.4   2.2	4.0		!Zero shear viscosity (Pa.s), initial guess for micelle length (L) in micron, and diameter (d) in nm
1500	20			!Size of micelle ensemble, number of iterations
N       0.40    1.0          	!Set parameter values?, zeta, alpha
0.102088	0.233287686	4.321412
0.111217	0.281260355	4.7824
0.121161	0.339018767	5.291386
0.131998	0.408457278	5.851778
0.143802	0.491778162	6.467149
0.15666	0.591571197	7.140974
0.170668	0.710875021	7.876798
0.185932	0.853171336	8.677421
0.202559	1.022474857	9.545741
0.220672	1.223413856	10.484186
0.240405	1.461271524	11.494656
0.261903	1.742042323	12.57844
0.285323	2.07253309	13.73641
0.310842	2.460359347	14.968125
0.338638	2.914009915	16.27286
0.368919	3.443015905	17.648856
0.40191	4.05790324	19.093319
0.437852	4.77021193	20.602451
0.477009	5.592505705	22.17116
0.519659	6.538559013	23.794257
0.566135	7.623256804	25.464145
0.616758	8.862459819	27.173654
0.671918	10.27321568	28.913368
0.732002	11.87343266	30.674153
0.797466	13.683999	32.445032
0.868771	15.65718	34.215797
0.946467	17.786363	35.974435
1.031108	20.070687	37.708937
1.123301	22.508941	39.408261
1.223765	25.097454	41.059655
1.333206	27.831246	42.651517
1.452427	30.704272	44.172608
1.58231	33.708989	45.61203
1.723804	36.836859	46.959875
1.877963	40.077361	48.206356
2.045873	43.420311	49.344021
2.228828	46.853658	50.365156
2.428136	50.365135	51.264147
2.645285	53.941496	52.03605
2.881846	57.569097	52.677523
3.139534	61.23539	53.187079
3.420335	64.925737	53.563194
3.726185	68.62718	53.807188
4.059392	72.326853	53.920789
4.422401	76.012218	53.907122
4.817877	79.671059	53.770359
5.248678	83.293073	53.516111
5.718097	86.86674	53.149986
6.229369	90.384193	52.679787
6.786542	93.835561	52.112339
7.393385	97.214306	51.45668
8.054561	100.513655	50.721092
8.774773	103.729285	49.914947
9.559556	106.85581	49.047067
10.414289	109.891302	48.127385
11.345646	112.833085	47.16477
12.360221	115.680247	46.168791
13.465569	118.432183	45.148468
14.669603	121.090136	44.112836
15.981452	123.655358	43.070253
17.410633	126.13008	42.029041
18.96771	128.516898	40.997019
20.663973	130.819158	39.981685
22.511842	133.04072	38.99002
24.524833	135.186376	38.028508
26.7182	137.260005	37.103099
29.107187	139.267256	36.219598
31.710145	141.213109	35.382916
34.545908	143.102898	34.597835
37.635262	144.94183	33.868645
41.000354	146.736116	33.19924
44.667058	148.491006	32.592946
48.661613	150.212169	32.05299
53.013497	151.904975	31.582149
57.754078	153.575036	31.182942
62.918307	155.22804	30.85755
68.544854	156.869267	30.607896
74.674905	158.503539	30.435722
81.351827	160.136631	30.342666
88.627383	161.773066	30.330003
96.553048	163.417845	30.399049
105.187757	165.075393	30.550879
114.593275	166.750597	30.786578
124.840322	168.44795	31.107121
136.004582	170.171501	31.513387
148.166199	171.925722	32.006327
161.41644	173.714453	32.586783
175.850681	175.541921	33.255703
191.576911	177.411792	34.013973
208.70862	179.327888	34.862537
227.37147	181.294449	35.802593
247.707842	183.314235	36.835002
269.857047	185.391657	37.961076
293.990039	187.529975	39.182108
320.280096	189.73261	40.49937
348.917512	192.003888	41.914668
380.122743	194.346631	43.429524
414.114368	196.764644	45.045682
451.143991	199.261838	46.765309
491.487736	201.842011	48.590724
535.444336	204.508363	50.524091
583.32689	207.26516	52.56809
635.494541	210.115631	54.725329
692.316767	213.064743	56.999204
754.229576	216.116021	59.393032
821.676296	219.273664	61.910285
895.150168	222.542445	64.555123
975.200086	225.926508	67.331751
1062.405399	229.430991	70.244987
1157.418595	233.059965	73.299568
1260.917117	236.819102	76.501109
1373.678128	240.713441	79.855606
1496.526812	244.747735	83.369022
1630.343889	248.928957	87.048907
1776.156276	253.261167	90.90205
1934.977302	257.751663	94.936822
2108.01263	262.406539	99.162196
2296.530547	267.231824	103.587307
2501.895808	272.234448	108.222366
2725.620418	277.421304	113.078426
2969.341023	282.800253	118.167872
3234.873793	288.378595	123.503754
3524.161511	294.164353	129.100316
3839.341371	300.164463	134.972174
4182.669465	306.387857	141.136067
4556.691617	312.843188	147.610265
4964.160706	319.540176	154.415104
5408.127704	326.485062	161.570123
5891.679124	333.69085	169.100537
6418.59327	341.16436	177.030662
6992.589105	348.915365	185.387464
7617.872293	356.954521	194.201642
8299.103021	365.291551	203.506138
9041.291645	373.93435	213.335084
9849.728521	382.895218	223.72898
10730.55215	392.182888	234.730443
11690.19239	401.806238	246.385494
12735.66085	411.771301	258.74229
13874.33821	422.093011	271.861554
15115.24528	432.772095	285.800118
16466.87502	443.817617	300.625078
17939.35029	455.236877	316.412325
19543.79778	467.028659	333.238257
21291.49082	479.194306	351.188934
23195.16254	491.73774	370.365795
25269.49722	504.651039	390.872918
27529.41284	517.92204	412.820734
29990.87753	531.544196	436.341896
32672.87242	545.495166	461.574469
35594.76006	559.747825	488.668535
38777.7057	574.270056	517.79328
42245.37364	589.017057	549.132409
46023.17124	603.932707	582.886884
50138.78728	618.94769	619.278324
54622.5749	633.974928	658.548535
59507.41864	648.907374	700.961247
64829.00645	663.616106	746.806915
70626.45381	677.945976	796.406215
76942.64601	691.704047	850.099134
83822.45732	704.675324	908.279968
91317.81924	716.601376	971.393071
99485.54727	727.16098	1039.891309
108380.3325	736.03632	1114.381465
118074.0564	742.822058	1195.521876
128632.6745	747.126079	1284.197954
140134.9613	748.545932	1381.631508
152667.1631	746.706392	1489.569502
