SAMPLE				!Title
298.15	0.1112	0.000914 	!T (K), volume fraction, solvent visc. (Pa.s)
Y	N			!Data format (w, G' ,G"), only mechanical data?
N	N	N		!Create output file for Gf(t), G(w), G(w)+Rouse?
N	Y	N		!Output bending/Rouse modes, iterate?, 1 mode?
Y    	70			!Fit lp?, initial guess or fixed value
14.81   1.0	4.0		!Zero shear viscosity (Pa.s), initial guess for micelle length (L) in micron, and diameter (d) in nm
1500	20			!Size of micelle ensemble, number of iterations
N       0.40    1.0          	!Set parameter values?, zeta, alpha
5.011872336	0.03052979	0.228304529
5.12861384	0.031395767	0.233301798
5.248074602	0.032302178	0.238405855
5.370317964	0.033248941	0.24361813
5.495408739	0.03423578	0.248939991
5.623413252	0.035262205	0.254372738
5.754399373	0.036327485	0.259917592
5.888436554	0.037430618	0.265575686
6.025595861	0.038570303	0.27134805
6.165950019	0.039744908	0.277235605
6.309573445	0.040952429	0.283239144
6.45654229	0.042191924	0.289360108
6.60693448	0.043468303	0.295603169
6.760829754	0.044788647	0.301974263
6.918309709	0.046160913	0.308479895
7.079457844	0.047594017	0.315127201
7.244359601	0.049097928	0.321924006
7.413102413	0.050683764	0.328878884
7.58577575	0.052363896	0.336001234
7.762471166	0.054152072	0.343301352
7.943282347	0.056063534	0.350790512
8.128305162	0.058111525	0.358478585
8.317637711	0.060295527	0.366366002
8.511380382	0.06261037	0.374449973
8.7096359	0.065049477	0.382726692
8.912509381	0.067604708	0.391191226
9.120108394	0.070266185	0.399837396
9.332543008	0.073022108	0.40865764
9.54992586	0.07585855	0.417642878
9.77237221	0.078759239	0.426782347
10	0.081705314	0.436063441
10.23292992	0.08467959	0.44547542
10.47128548	0.087681155	0.455022042
10.71519305	0.090713885	0.464711712
10.96478196	0.093782275	0.474553942
11.22018454	0.096891499	0.484559464
11.48153621	0.100047488	0.494740361
11.74897555	0.103257004	0.505110202
12.02264435	0.106527725	0.515684189
12.30268771	0.10986834	0.526479324
12.58925412	0.113288647	0.537514584
12.88249552	0.116799273	0.54880661
13.18256739	0.120410519	0.560355142
13.48962883	0.124133447	0.572154354
13.80384265	0.127980346	0.584196907
14.12537545	0.131964848	0.596473787
14.45439771	0.136102053	0.608974137
14.79108388	0.14040866	0.621685066
15.13561248	0.144903117	0.634591445
15.48816619	0.149605774	0.64767569
15.84893192	0.154539057	0.660917517
16.21810097	0.159723267	0.674298617
16.59586907	0.165162386	0.687818577
16.98243652	0.17085511	0.701482394
17.37800829	0.176798789	0.715295979
17.7827941	0.182989273	0.729266258
18.19700859	0.189420728	0.743401295
18.62087137	0.196085444	0.75771042
19.05460718	0.202973626	0.772204377
