DWS Measurement v9.2.8 
08/21/18 11:51:15 AM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	30
Echo Duration (s):	30
Wavelength (nm):	685.0
Temperature (°C):	25.00
Cuvette Thickness (mm):	5.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	1050.50
Mean Count Rate (kHz):	769.4


Lag time (s)	g2-1

1.250000E-8	1.002958
2.500000E-8	1.000188
3.750000E-8	1.001214
5.000000E-8	0.997612
6.250000E-8	0.997581
7.500000E-8	0.998347
8.750000E-8	1.001274
1.000000E-7	1.002009
1.125000E-7	0.999406
1.250000E-7	0.996541
1.375000E-7	0.997348
1.500000E-7	0.997863
1.625000E-7	0.999168
1.750000E-7	0.998436
1.875000E-7	0.994850
2.000000E-7	1.000308
2.125000E-7	1.001875
2.375000E-7	0.994836
2.625000E-7	1.003969
2.875000E-7	0.999273
3.125000E-7	0.998165
3.375000E-7	0.995574
3.625000E-7	0.998407
3.875000E-7	0.994084
4.125000E-7	0.997261
4.625000E-7	0.995078
5.125000E-7	0.996400
5.625000E-7	0.995022
6.125000E-7	0.995784
6.625000E-7	0.996531
7.125000E-7	0.997712
7.625000E-7	0.997821
8.125000E-7	0.995106
9.125000E-7	0.996326
1.012500E-6	0.996998
1.112500E-6	0.997305
1.212500E-6	0.996578
1.312500E-6	0.996796
1.412500E-6	0.994458
1.512500E-6	0.995119
1.612500E-6	0.996628
1.812500E-6	0.994520
2.012500E-6	0.994543
2.212500E-6	0.993953
2.412500E-6	0.993909
2.612500E-6	0.992832
2.812500E-6	0.994564
3.012500E-6	0.992682
3.212500E-6	0.993565
3.612500E-6	0.992777
4.012500E-6	0.991874
4.412500E-6	0.991934
4.812500E-6	0.990612
5.212500E-6	0.990505
5.612500E-6	0.989650
6.012500E-6	0.989984
6.412500E-6	0.989102
7.212500E-6	0.989271
8.012500E-6	0.989113
8.812500E-6	0.987858
9.612500E-6	0.986600
1.041250E-5	0.985888
1.121250E-5	0.985754
1.201250E-5	0.985201
1.281250E-5	0.984484
1.441250E-5	0.983538
1.601250E-5	0.982629
1.761250E-5	0.981838
1.921250E-5	0.981455
2.081250E-5	0.980111
2.241250E-5	0.979145
2.401250E-5	0.978526
2.561250E-5	0.977827
2.881250E-5	0.976279
3.201250E-5	0.974738
3.521250E-5	0.973792
3.841250E-5	0.972652
4.161250E-5	0.971821
4.481250E-5	0.970521
4.801250E-5	0.969258
5.121250E-5	0.968242
5.761250E-5	0.966638
6.401250E-5	0.965260
7.041250E-5	0.963742
7.681250E-5	0.962174
8.321250E-5	0.960849
8.961250E-5	0.959671
9.601250E-5	0.958406
0.000102	0.957557
0.000115	0.955738
0.000128	0.953872
0.000141	0.952340
0.000154	0.950979
0.000166	0.949611
0.000179	0.948439
0.000192	0.947317
0.000205	0.946269
0.000230	0.944566
0.000256	0.942863
0.000282	0.941547
0.000307	0.940168
0.000333	0.939013
0.000358	0.938165
0.000384	0.937163
0.000410	0.936251
0.000461	0.934384
0.000512	0.933034
0.000563	0.931715
0.000614	0.930542
0.000666	0.929503
0.000717	0.928500
0.000768	0.927617
0.000819	0.926974
0.000922	0.925464
0.001024	0.924165
0.001126	0.923085
0.001229	0.922098
0.001331	0.921181
0.001434	0.920649
0.001536	0.920027
0.001638	0.919388
0.001843	0.918131
0.002048	0.917030
0.002253	0.915901
0.002458	0.915146
0.002662	0.914450
0.002867	0.913888
0.003072	0.913383
0.003277	0.912693
0.003686	0.911550
0.004096	0.910450
0.004506	0.909936
0.004915	0.909282
0.005325	0.908398
0.005734	0.907880
0.006144	0.907548
0.006554	0.907027
0.007373	0.905708
0.008192	0.904755
0.009011	0.903712
0.009830	0.902845
0.010650	0.902298
0.011469	0.901282
0.012288	0.900461
0.013107	0.900199
0.014746	0.899470
0.016384	0.898450
0.018022	0.897174
0.019661	0.896102
0.021299	0.895099
0.022938	0.893959
0.024576	0.892872
0.026214	0.891924
0.029491	0.889857
0.032768	0.888372
0.036045	0.886630
0.039322	0.885114
0.042598	0.883865
0.045875	0.881374
0.049152	0.879422
0.052429	0.879084
0.058982	0.877064
0.065536	0.873815
0.072090	0.871239
0.078643	0.869282
0.085197	0.866448
0.091750	0.863643
0.098304	0.861906
0.104858	0.861523
0.117965	0.855444
0.131072	0.849877
0.144179	0.845367
0.157286	0.840061
0.170394	0.833917
0.183501	0.828413
0.399815	0.753835
0.599722	0.682768
0.799630	0.608605
0.999537	0.540749
1.199445	0.477817
1.399352	0.419720
1.599260	0.368694
1.799167	0.322579
1.999074	0.282519
2.198982	0.247607
2.398889	0.216991
2.598797	0.189666
2.798704	0.165647
2.998612	0.145784
3.198519	0.127990
3.398427	0.112918
3.598334	0.099188
3.798241	0.088058
3.998149	0.078543
4.198056	0.070290
4.397964	0.060987
4.597871	0.053052
4.797779	0.046627
4.997686	0.039832
5.197593	0.035108
5.397501	0.029822
5.597408	0.025791
5.797316	0.023006
5.997223	0.020064
6.197131	0.016036
6.397038	0.012071
6.596946	0.009025
6.796853	0.006339
6.996760	0.004188
7.196668	0.002603
7.396575	0.002695
7.596483	0.001045
7.796390	9.138978E-5
7.996298	-0.000725
8.196205	-0.001162
8.396113	0.000147
8.596020	0.001825
8.795927	0.002714
8.995835	0.006810
9.195742	0.005500
9.395650	0.008842
9.595557	0.009741
9.795465	0.009201
9.995372	0.011653
10.195280	0.011654
10.395187	0.012507
10.595094	0.013508
10.795002	0.016276
10.994909	0.016397
11.194817	0.015814
11.394724	0.019706
11.594632	0.022041
11.794539	0.024597
11.994446	0.026381
12.194354	0.026493
12.394261	0.027612
12.594169	0.025195
12.794076	0.025250


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

6.418000	599.974680
13.191000	1375.207539
20.159000	549.879542
27.120000	590.425991
34.089000	864.296830
34.718146	784.447743
35.766722	779.910026
36.815298	782.218784
37.654158	779.703093
38.702734	779.449888
39.751310	778.606184
40.799886	777.076819
41.848462	775.462370
42.897038	782.432050
43.735899	782.974055
44.784475	777.375332
45.833051	777.030667
46.881627	775.915306
47.930203	796.182011
48.978779	790.185285
50.027355	786.916198
51.075931	783.552242
52.124507	771.734914
53.173083	768.265449
54.221659	773.286597
55.060520	764.152614
56.109096	773.180121
57.157672	785.925759
58.206248	784.922001
59.254824	786.044040
60.303400	781.828347
61.351976	782.694583
62.400552	782.147143
63.239413	783.464747

Measurement Notes:

