DWS Measurement v9.2.8 
08/21/18 11:56:58 AM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	45
Echo Duration (s):	45
Wavelength (nm):	685.0
Temperature (°C):	25.00
Cuvette Thickness (mm):	5.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	1048.21
Mean Count Rate (kHz):	775.7


Lag time (s)	g2-1

1.250000E-8	0.996131
2.500000E-8	0.996238
3.750000E-8	1.007827
5.000000E-8	1.000387
6.250000E-8	0.998410
7.500000E-8	0.994812
8.750000E-8	0.998325
1.000000E-7	1.001185
1.125000E-7	0.994961
1.250000E-7	1.001153
1.375000E-7	1.000162
1.500000E-7	0.999418
1.625000E-7	1.002039
1.750000E-7	0.998759
1.875000E-7	1.000598
2.000000E-7	0.995790
2.125000E-7	0.998055
2.375000E-7	0.996848
2.625000E-7	0.997096
2.875000E-7	0.997912
3.125000E-7	0.998636
3.375000E-7	0.996616
3.625000E-7	0.996864
3.875000E-7	0.999242
4.125000E-7	0.997127
4.625000E-7	0.995564
5.125000E-7	0.994575
5.625000E-7	0.997869
6.125000E-7	0.995253
6.625000E-7	0.995958
7.125000E-7	0.994859
7.625000E-7	0.996210
8.125000E-7	0.995937
9.125000E-7	0.995531
1.012500E-6	0.994149
1.112500E-6	0.994896
1.212500E-6	0.995105
1.312500E-6	0.995438
1.412500E-6	0.996382
1.512500E-6	0.995432
1.612500E-6	0.994071
1.812500E-6	0.994344
2.012500E-6	0.992415
2.212500E-6	0.994213
2.412500E-6	0.991497
2.612500E-6	0.991420
2.812500E-6	0.991815
3.012500E-6	0.991483
3.212500E-6	0.991796
3.612500E-6	0.991401
4.012500E-6	0.989831
4.412500E-6	0.990692
4.812500E-6	0.989658
5.212500E-6	0.989402
5.612500E-6	0.988057
6.012500E-6	0.988297
6.412500E-6	0.987860
7.212500E-6	0.987080
8.012500E-6	0.987113
8.812500E-6	0.985431
9.612500E-6	0.984992
1.041250E-5	0.984286
1.121250E-5	0.982870
1.201250E-5	0.982468
1.281250E-5	0.982699
1.441250E-5	0.981094
1.601250E-5	0.980089
1.761250E-5	0.980053
1.921250E-5	0.979164
2.081250E-5	0.978200
2.241250E-5	0.977497
2.401250E-5	0.976311
2.561250E-5	0.975493
2.881250E-5	0.973775
3.201250E-5	0.972209
3.521250E-5	0.971067
3.841250E-5	0.970151
4.161250E-5	0.969440
4.481250E-5	0.968328
4.801250E-5	0.967185
5.121250E-5	0.965988
5.761250E-5	0.964368
6.401250E-5	0.962743
7.041250E-5	0.960892
7.681250E-5	0.959632
8.321250E-5	0.958533
8.961250E-5	0.957016
9.601250E-5	0.955871
0.000102	0.954825
0.000115	0.952764
0.000128	0.951044
0.000141	0.949543
0.000154	0.947929
0.000166	0.946742
0.000179	0.945476
0.000192	0.944289
0.000205	0.943327
0.000230	0.941504
0.000256	0.939759
0.000282	0.938323
0.000307	0.936912
0.000333	0.935773
0.000358	0.934758
0.000384	0.933755
0.000410	0.932734
0.000461	0.931023
0.000512	0.929436
0.000563	0.928212
0.000614	0.927061
0.000666	0.926199
0.000717	0.925437
0.000768	0.924531
0.000819	0.923733
0.000922	0.922425
0.001024	0.921286
0.001126	0.920205
0.001229	0.919279
0.001331	0.918374
0.001434	0.917674
0.001536	0.916911
0.001638	0.916297
0.001843	0.915127
0.002048	0.914001
0.002253	0.913074
0.002458	0.912321
0.002662	0.911509
0.002867	0.910728
0.003072	0.910008
0.003277	0.909408
0.003686	0.908326
0.004096	0.907326
0.004506	0.906201
0.004915	0.905204
0.005325	0.904511
0.005734	0.903696
0.006144	0.902983
0.006554	0.902493
0.007373	0.901548
0.008192	0.900348
0.009011	0.899318
0.009830	0.898380
0.010650	0.897336
0.011469	0.896560
0.012288	0.895864
0.013107	0.895658
0.014746	0.894655
0.016384	0.893813
0.018022	0.892310
0.019661	0.890866
0.021299	0.889294
0.022938	0.888237
0.024576	0.886374
0.026214	0.885823
0.029491	0.882850
0.032768	0.880892
0.036045	0.879421
0.039322	0.877754
0.042598	0.875271
0.045875	0.871827
0.049152	0.869433
0.052429	0.869933
0.058982	0.867248
0.065536	0.862954
0.072090	0.859371
0.078643	0.856622
0.085197	0.853187
0.091750	0.849499
0.098304	0.847200
0.104858	0.846899
0.117965	0.840260
0.131072	0.832744
0.144179	0.826792
0.157286	0.820413
0.170394	0.813550
0.183501	0.807427
0.399815	0.739878
0.599722	0.673834
0.799630	0.604425
0.999537	0.539951
1.199444	0.478796
1.399352	0.422867
1.599259	0.373127
1.799167	0.328997
1.999074	0.289780
2.198982	0.255495
2.398889	0.224452
2.598796	0.197603
2.798704	0.172158
2.998611	0.148962
3.198519	0.130618
3.398426	0.113198
3.598333	0.098083
3.798241	0.084860
3.998148	0.073404
4.198056	0.063220
4.397963	0.055102
4.597871	0.046334
4.797778	0.040434
4.997685	0.033785
5.197593	0.028579
5.397500	0.023581
5.597408	0.018459
5.797315	0.014144
5.997222	0.010267
6.197130	0.006801
6.397037	0.006803
6.596945	0.003803
6.796852	0.001903
6.996760	-0.000965
7.196667	-0.002513
7.396574	-0.004212
7.596482	-0.005524
7.796389	-0.006711
7.996297	-0.007614
8.196204	-0.008006
8.396111	-0.007933
8.596019	-0.007377
8.795926	-0.003423
8.995834	-0.002279
9.195741	-0.004630
9.395649	-0.001827
9.595556	-0.001067
9.795463	-0.000913
9.995371	-0.003950
10.195278	-0.002085
10.395186	-0.001845
10.595093	-0.001533
10.795000	-0.002688
10.994908	-0.002169
11.194815	-0.002062
11.394723	-0.002614
11.594630	-0.003876
11.794537	-0.002810
11.994445	-0.001551
12.194352	-0.001102
12.394260	-0.005237
12.594167	-0.006608
12.794075	-0.009172


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

6.420000	502.975169
13.380000	784.519977
20.338000	774.029152
27.299000	724.045777
34.269000	881.425889
41.237000	492.780922
48.199000	1046.505888
48.828146	771.869202
49.876722	786.639693
50.925298	784.468585
51.764158	788.936976
52.812734	790.539990
53.861310	790.400450
54.909886	783.599237
55.958462	774.759518
57.007038	774.005026
57.845899	784.834614
58.894475	788.335474
59.943051	787.002590
60.991627	799.367892
62.040203	790.986674
63.088779	793.513751
64.137355	789.787107
65.185931	792.983315
66.024792	790.926992
67.073368	761.932295
68.121944	775.206137
69.170520	773.597105
70.219096	773.020923
71.267672	773.412714
72.316248	785.732613
73.364824	784.936474
74.413400	791.044209
75.461976	788.936383
76.300837	792.995589
77.349413	785.600828
78.397989	787.815992
79.446565	792.209721
80.495141	784.787909
81.543717	782.500580
82.592293	781.180546
83.640869	784.653831
84.479730	787.481690
85.528306	796.889388
86.576882	793.522306
87.625458	791.660074
88.674034	789.298000
89.722610	792.850411
90.771186	790.138780
91.819762	788.107355
92.658622	792.294663

Measurement Notes:

