DWS Measurement v9.2.8 
08/21/18 12:42:37 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	45
Echo Duration (s):	45
Wavelength (nm):	685.0
Temperature (°C):	40.02
Cuvette Thickness (mm):	5.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.328
Particle Radius (nm):	300.0
l* (microns):	1069.13
Mean Count Rate (kHz):	793.8


Lag time (s)	g2-1

1.250000E-8	1.000266
2.500000E-8	1.000291
3.750000E-8	0.999851
5.000000E-8	1.002367
6.250000E-8	0.995980
7.500000E-8	0.999206
8.750000E-8	0.996899
1.000000E-7	1.000520
1.125000E-7	1.002650
1.250000E-7	1.000636
1.375000E-7	1.001315
1.500000E-7	0.997066
1.625000E-7	1.001159
1.750000E-7	0.999120
1.875000E-7	1.000022
2.000000E-7	0.993423
2.125000E-7	0.995532
2.375000E-7	0.998103
2.625000E-7	0.997920
2.875000E-7	0.995382
3.125000E-7	0.996182
3.375000E-7	1.000347
3.625000E-7	0.998450
3.875000E-7	0.997793
4.125000E-7	0.998482
4.625000E-7	0.996957
5.125000E-7	0.996262
5.625000E-7	0.995800
6.125000E-7	0.998245
6.625000E-7	0.998751
7.125000E-7	0.994796
7.625000E-7	0.998026
8.125000E-7	0.996743
9.125000E-7	0.995837
1.012500E-6	0.995373
1.112500E-6	0.995850
1.212500E-6	0.995741
1.312500E-6	0.996160
1.412500E-6	0.996971
1.512500E-6	0.995577
1.612500E-6	0.995859
1.812500E-6	0.995352
2.012500E-6	0.995439
2.212500E-6	0.994518
2.412500E-6	0.991929
2.612500E-6	0.993054
2.812500E-6	0.992731
3.012500E-6	0.993400
3.212500E-6	0.993287
3.612500E-6	0.992678
4.012500E-6	0.991659
4.412500E-6	0.991063
4.812500E-6	0.991111
5.212500E-6	0.990570
5.612500E-6	0.988688
6.012500E-6	0.988673
6.412500E-6	0.988319
7.212500E-6	0.987593
8.012500E-6	0.986908
8.812500E-6	0.985456
9.612500E-6	0.984993
1.041250E-5	0.984015
1.121250E-5	0.984172
1.201250E-5	0.983895
1.281250E-5	0.982958
1.441250E-5	0.982483
1.601250E-5	0.981260
1.761250E-5	0.980198
1.921250E-5	0.979368
2.081250E-5	0.978561
2.241250E-5	0.977847
2.401250E-5	0.977153
2.561250E-5	0.976087
2.881250E-5	0.974404
3.201250E-5	0.973378
3.521250E-5	0.972148
3.841250E-5	0.971341
4.161250E-5	0.970444
4.481250E-5	0.968933
4.801250E-5	0.968350
5.121250E-5	0.967224
5.761250E-5	0.965875
6.401250E-5	0.964434
7.041250E-5	0.963123
7.681250E-5	0.961934
8.321250E-5	0.960898
8.961250E-5	0.959688
9.601250E-5	0.959059
0.000102	0.958153
0.000115	0.956549
0.000128	0.955209
0.000141	0.954208
0.000154	0.952996
0.000166	0.952098
0.000179	0.951059
0.000192	0.950243
0.000205	0.949626
0.000230	0.948169
0.000256	0.946938
0.000282	0.945807
0.000307	0.945052
0.000333	0.944186
0.000358	0.943451
0.000384	0.942678
0.000410	0.942206
0.000461	0.941090
0.000512	0.940056
0.000563	0.939344
0.000614	0.938619
0.000666	0.937958
0.000717	0.937226
0.000768	0.936762
0.000819	0.936279
0.000922	0.935400
0.001024	0.934479
0.001126	0.933941
0.001229	0.933248
0.001331	0.932590
0.001434	0.931989
0.001536	0.931441
0.001638	0.931213
0.001843	0.930319
0.002048	0.929506
0.002253	0.928785
0.002458	0.927929
0.002662	0.927241
0.002867	0.926527
0.003072	0.925871
0.003277	0.925562
0.003686	0.924800
0.004096	0.923804
0.004506	0.922999
0.004915	0.922338
0.005325	0.921584
0.005734	0.920838
0.006144	0.920320
0.006554	0.920030
0.007373	0.918781
0.008192	0.917565
0.009011	0.916256
0.009830	0.914934
0.010650	0.913259
0.011469	0.911733
0.012288	0.910472
0.013107	0.909897
0.014746	0.907595
0.016384	0.905341
0.018022	0.902829
0.019661	0.900151
0.021299	0.896885
0.022938	0.893354
0.024576	0.890197
0.026214	0.887741
0.029491	0.880170
0.032768	0.873296
0.036045	0.865864
0.039322	0.858568
0.042598	0.849982
0.045875	0.840566
0.049152	0.831519
0.052429	0.824994
0.058982	0.806495
0.065536	0.785910
0.072090	0.764785
0.078643	0.743317
0.085197	0.721208
0.091750	0.698680
0.098304	0.675847
0.104858	0.657064
0.117965	0.611758
0.131072	0.569219
0.144179	0.529423
0.157286	0.492447
0.170394	0.459053
0.183501	0.427457
0.399815	0.127778
0.599722	0.046901
0.799630	0.019739
0.999537	0.010749
1.199445	0.006271
1.399352	0.004246
1.599259	0.003383
1.799167	0.003302
1.999074	0.001420
2.198982	-0.000424
2.398889	-0.002418
2.598797	-0.002494
2.798704	-0.001540
2.998611	-0.000288
3.198519	-0.002204
3.398426	-0.002247
3.598334	-0.004037
3.798241	-0.005810
3.998149	-0.004253
4.198056	-0.004996
4.397963	-0.005740
4.597871	-0.006039
4.797778	-0.007145
4.997686	-0.006991
5.197593	-0.006822
5.397501	-0.010039
5.597408	-0.007131
5.797315	-0.007564
5.997223	-0.005780
6.197130	-0.006719
6.397038	-0.006454
6.596945	-0.007057
6.796853	-0.006493
6.996760	-0.007832
7.196667	-0.006010
7.396575	-0.005845
7.596482	-0.007789
7.796390	-0.008185
7.996297	-0.007648
8.196205	-0.006058
8.396112	-0.007159
8.596019	-0.006696
8.795927	-0.003706
8.995834	-0.002262
9.195742	-0.002889
9.395649	-0.006213
9.595557	-0.010311
9.795464	-0.009450
9.995371	-0.008673
10.195279	-0.006944
10.395186	-0.005372
10.595094	-0.006021
10.795001	-0.005521
10.994908	-0.004773
11.194816	-0.004111
11.394723	-0.003773
11.594631	-0.003644
11.794538	-0.005440
11.994446	-0.005072
12.194353	-0.002497
12.394260	-0.000174
12.594168	9.455184E-5
12.794075	-0.000726


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

6.426000	903.113391
13.397000	945.852016
20.377000	667.069408
27.346000	709.237043
34.316000	664.693851
41.287000	1095.656682
48.257000	1029.706558
48.886146	771.760219
49.934722	790.223363
50.983298	773.167915
51.822158	794.323282
52.870734	788.132228
53.919310	778.461752
54.967886	780.863562
56.016462	768.857334
57.065038	767.999114
57.903899	770.806523
58.952475	774.843076
60.001051	772.272624
61.049627	781.064785
62.098203	776.859600
63.146779	785.549342
63.985640	786.090690
65.034216	773.540934
66.082792	787.049436
67.131368	773.000735
68.179944	776.507502
69.228520	780.842951
70.277096	782.504990
71.115957	768.926519
72.164533	784.056899
73.213109	774.459168
74.261685	780.223422
75.310261	789.803903
76.358837	779.090781
77.197698	772.193556
78.246274	771.567505
79.294850	786.859598
80.343426	786.825611
81.392002	761.157434
82.440578	768.586430
83.279438	778.660051
84.328014	784.672387
85.376590	781.308982
86.425166	780.621555
87.473742	773.843536
88.522318	778.672901
89.361179	780.457163
90.409755	778.348831
91.458331	780.547575
92.506907	782.045909

Measurement Notes:

