DWS Measurement v9.2.8 
08/21/18 12:48:21 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	45
Echo Duration (s):	45
Wavelength (nm):	685.0
Temperature (°C):	40.00
Cuvette Thickness (mm):	5.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.328
Particle Radius (nm):	300.0
l* (microns):	1014.01
Mean Count Rate (kHz):	778.5


Lag time (s)	g2-1

1.250000E-8	0.998543
2.500000E-8	1.000794
3.750000E-8	0.999126
5.000000E-8	0.998321
6.250000E-8	1.002984
7.500000E-8	0.997350
8.750000E-8	1.001513
1.000000E-7	0.998387
1.125000E-7	0.999676
1.250000E-7	1.001116
1.375000E-7	1.000703
1.500000E-7	0.997925
1.625000E-7	0.999369
1.750000E-7	0.997056
1.875000E-7	0.996962
2.000000E-7	0.994965
2.125000E-7	0.995232
2.375000E-7	0.996645
2.625000E-7	0.998026
2.875000E-7	0.996194
3.125000E-7	0.997754
3.375000E-7	0.995938
3.625000E-7	0.997909
3.875000E-7	0.996537
4.125000E-7	0.995707
4.625000E-7	0.995469
5.125000E-7	0.995214
5.625000E-7	0.996703
6.125000E-7	0.996542
6.625000E-7	0.993939
7.125000E-7	0.992026
7.625000E-7	0.993800
8.125000E-7	0.994628
9.125000E-7	0.991670
1.012500E-6	0.994498
1.112500E-6	0.992820
1.212500E-6	0.995194
1.312500E-6	0.992876
1.412500E-6	0.994022
1.512500E-6	0.994134
1.612500E-6	0.993479
1.812500E-6	0.992433
2.012500E-6	0.992395
2.212500E-6	0.990758
2.412500E-6	0.992321
2.612500E-6	0.991046
2.812500E-6	0.990012
3.012500E-6	0.989981
3.212500E-6	0.990122
3.612500E-6	0.989678
4.012500E-6	0.988473
4.412500E-6	0.988924
4.812500E-6	0.988430
5.212500E-6	0.987825
5.612500E-6	0.987001
6.012500E-6	0.985849
6.412500E-6	0.986263
7.212500E-6	0.984986
8.012500E-6	0.985530
8.812500E-6	0.983620
9.612500E-6	0.983185
1.041250E-5	0.982369
1.121250E-5	0.982161
1.201250E-5	0.981012
1.281250E-5	0.980582
1.441250E-5	0.979658
1.601250E-5	0.978970
1.761250E-5	0.977545
1.921250E-5	0.976851
2.081250E-5	0.976015
2.241250E-5	0.975029
2.401250E-5	0.974198
2.561250E-5	0.973356
2.881250E-5	0.971742
3.201250E-5	0.970404
3.521250E-5	0.969404
3.841250E-5	0.968441
4.161250E-5	0.967523
4.481250E-5	0.966318
4.801250E-5	0.965450
5.121250E-5	0.964493
5.761250E-5	0.962791
6.401250E-5	0.961602
7.041250E-5	0.960046
7.681250E-5	0.959100
8.321250E-5	0.958027
8.961250E-5	0.956887
9.601250E-5	0.955790
0.000102	0.955157
0.000115	0.953420
0.000128	0.951990
0.000141	0.950710
0.000154	0.949658
0.000166	0.948849
0.000179	0.947723
0.000192	0.946816
0.000205	0.946238
0.000230	0.944665
0.000256	0.943333
0.000282	0.942365
0.000307	0.941519
0.000333	0.940477
0.000358	0.939679
0.000384	0.938911
0.000410	0.938425
0.000461	0.937466
0.000512	0.936530
0.000563	0.935654
0.000614	0.934830
0.000666	0.934176
0.000717	0.933517
0.000768	0.932902
0.000819	0.932473
0.000922	0.931433
0.001024	0.930674
0.001126	0.929777
0.001229	0.929114
0.001331	0.928727
0.001434	0.928077
0.001536	0.927704
0.001638	0.927306
0.001843	0.926150
0.002048	0.925338
0.002253	0.924480
0.002458	0.923723
0.002662	0.923054
0.002867	0.922359
0.003072	0.921779
0.003277	0.921500
0.003686	0.920356
0.004096	0.919423
0.004506	0.918473
0.004915	0.917756
0.005325	0.917105
0.005734	0.916337
0.006144	0.915579
0.006554	0.915467
0.007373	0.914262
0.008192	0.913025
0.009011	0.911826
0.009830	0.910157
0.010650	0.908699
0.011469	0.907321
0.012288	0.906021
0.013107	0.905246
0.014746	0.902834
0.016384	0.900578
0.018022	0.897812
0.019661	0.894580
0.021299	0.891279
0.022938	0.887638
0.024576	0.883873
0.026214	0.881756
0.029491	0.874651
0.032768	0.867531
0.036045	0.859657
0.039322	0.851492
0.042598	0.842440
0.045875	0.832998
0.049152	0.823555
0.052429	0.817039
0.058982	0.797097
0.065536	0.775249
0.072090	0.752848
0.078643	0.730122
0.085197	0.705875
0.091750	0.681840
0.098304	0.657592
0.104858	0.636884
0.117965	0.585910
0.131072	0.534574
0.144179	0.482366
0.157286	0.425026
0.170394	0.351296
0.183501	0.295474
0.399815	0.055402
0.599723	0.021687
0.799630	0.009501
0.999538	0.005271
1.199445	0.003161
1.399353	0.001654
1.599260	0.000524
1.799168	0.000344
1.999076	0.000580
2.198983	0.001011
2.398891	6.638281E-5
2.598798	0.000332
2.798706	-0.000194
2.998613	0.000854
3.198521	0.000104
3.398429	0.000699
3.598336	0.001002
3.798244	0.000251
3.998151	-0.000266
4.198059	-0.000310
4.397966	0.000153
4.597874	-0.000462
4.797781	-0.000715
4.997689	-0.001083
5.197597	-0.000957
5.397504	-0.000992
5.597412	-0.001131
5.797319	-0.000721
5.997227	-0.000955
6.197134	-0.000178
6.397042	-0.000119
6.596949	-0.000930
6.796857	-0.002003
6.996765	-0.001720
7.196672	-0.001190
7.396580	-0.001295
7.596487	-0.001611
7.796395	-0.000879
7.996302	-0.001319
8.196210	-0.001440
8.396117	-0.002288
8.596025	-0.002505
8.795933	-0.001622
8.995840	-0.002214
9.195748	-0.002466
9.395655	-0.002504
9.595563	-0.002253
9.795470	-0.001887
9.995378	-0.001965
10.195286	-0.001252
10.395193	-0.001585
10.595101	-0.002176
10.795008	-0.002179
10.994916	-0.000678
11.194823	-0.000542
11.394731	-0.001998
11.594638	-0.003273
11.794546	-0.004770
11.994454	-0.003583
12.194361	-0.003471
12.394269	-0.002831
12.594176	-0.002141
12.794084	-0.003148


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

6.419000	783.654857
13.377000	459.187306
20.337000	542.828849
27.298000	609.367811
34.270000	417.363474
41.238000	870.024596
48.199000	902.262557
48.828146	762.687061
49.876722	773.792133
50.925298	771.001044
51.764158	772.331527
52.812734	775.083549
53.861310	766.309590
54.909886	786.110561
55.958462	777.474599
57.007038	776.446705
57.845899	776.373661
58.894475	771.569471
59.943051	772.073112
60.991627	765.656963
62.040203	777.759006
63.088779	779.773350
63.927640	763.550450
64.976216	776.448100
66.024792	779.895457
67.073368	774.996073
68.121944	754.420356
69.170520	786.011109
70.009381	773.425341
71.057957	763.362203
72.106533	758.088368
73.155109	778.458947
74.203685	776.345720
75.252261	777.421622
76.091122	771.392228
77.139698	763.750998
78.188274	779.534262
79.236850	765.374223
80.285426	774.869295
81.334002	764.519106
82.172862	778.249237
83.221438	780.125893
84.270014	763.462440
85.318590	771.502806
86.367166	779.420207
87.415742	772.140448
88.254603	766.775751
89.303179	767.116496
90.351755	773.946811
91.400331	765.832616
92.448907	773.468991

Measurement Notes:

