DWS Measurement v9.2.8
08/21/18 2:46:15 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	45
Echo Duration (s):	45
Wavelength (nm):	685.0
Temperature (°C):	25.00
Cuvette Thickness (mm):	5.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	969.15
Mean Count Rate (kHz):	776.0


Lag time (s)	g2-1

1.250000E-8	1.002012
2.500000E-8	1.000485
3.750000E-8	1.001350
5.000000E-8	0.999021
6.250000E-8	0.998417
7.500000E-8	0.996965
8.750000E-8	1.000460
1.000000E-7	0.998549
1.125000E-7	1.000559
1.250000E-7	1.001580
1.375000E-7	0.999420
1.500000E-7	0.999712
1.625000E-7	0.995071
1.750000E-7	0.995958
1.875000E-7	0.995615
2.000000E-7	1.000255
2.125000E-7	0.998949
2.375000E-7	0.997191
2.625000E-7	1.000350
2.875000E-7	0.998303
3.125000E-7	1.000579
3.375000E-7	0.997402
3.625000E-7	0.992928
3.875000E-7	0.994517
4.125000E-7	0.997965
4.625000E-7	0.997128
5.125000E-7	0.994682
5.625000E-7	0.995912
6.125000E-7	0.998444
6.625000E-7	0.998937
7.125000E-7	0.997010
7.625000E-7	0.996683
8.125000E-7	0.996904
9.125000E-7	0.995970
1.012500E-6	0.995136
1.112500E-6	0.994814
1.212500E-6	0.996549
1.312500E-6	0.995222
1.412500E-6	0.996540
1.512500E-6	0.996552
1.612500E-6	0.995035
1.812500E-6	0.995205
2.012500E-6	0.994094
2.212500E-6	0.994939
2.412500E-6	0.993854
2.612500E-6	0.993870
2.812500E-6	0.993272
3.012500E-6	0.993225
3.212500E-6	0.994066
3.612500E-6	0.993471
4.012500E-6	0.990940
4.412500E-6	0.990864
4.812500E-6	0.991799
5.212500E-6	0.991359
5.612500E-6	0.990186
6.012500E-6	0.989088
6.412500E-6	0.989743
7.212500E-6	0.988350
8.012500E-6	0.988429
8.812500E-6	0.986676
9.612500E-6	0.986846
1.041250E-5	0.985998
1.121250E-5	0.985891
1.201250E-5	0.984631
1.281250E-5	0.984160
1.441250E-5	0.983433
1.601250E-5	0.982265
1.761250E-5	0.981377
1.921250E-5	0.980854
2.081250E-5	0.980197
2.241250E-5	0.978581
2.401250E-5	0.978516
2.561250E-5	0.977360
2.881250E-5	0.976039
3.201250E-5	0.974630
3.521250E-5	0.973699
3.841250E-5	0.972490
4.161250E-5	0.971489
4.481250E-5	0.970206
4.801250E-5	0.968877
5.121250E-5	0.967914
5.761250E-5	0.966448
6.401250E-5	0.965030
7.041250E-5	0.963404
7.681250E-5	0.962022
8.321250E-5	0.961006
8.961250E-5	0.959648
9.601250E-5	0.958678
0.000102	0.957552
0.000115	0.955565
0.000128	0.953866
0.000141	0.952391
0.000154	0.950948
0.000166	0.949630
0.000179	0.948285
0.000192	0.947357
0.000205	0.946308
0.000230	0.944468
0.000256	0.942849
0.000282	0.941355
0.000307	0.940062
0.000333	0.938830
0.000358	0.937756
0.000384	0.936852
0.000410	0.935910
0.000461	0.934284
0.000512	0.932784
0.000563	0.931579
0.000614	0.930573
0.000666	0.929467
0.000717	0.928520
0.000768	0.927714
0.000819	0.927119
0.000922	0.925818
0.001024	0.924669
0.001126	0.923690
0.001229	0.922852
0.001331	0.922010
0.001434	0.921172
0.001536	0.920268
0.001638	0.919797
0.001843	0.918689
0.002048	0.917791
0.002253	0.916964
0.002458	0.916043
0.002662	0.915210
0.002867	0.914466
0.003072	0.913848
0.003277	0.913318
0.003686	0.912103
0.004096	0.911017
0.004506	0.910072
0.004915	0.909274
0.005325	0.908561
0.005734	0.907849
0.006144	0.907204
0.006554	0.906764
0.007373	0.905716
0.008192	0.904505
0.009011	0.903548
0.009830	0.902364
0.010650	0.901514
0.011469	0.900798
0.012288	0.900327
0.013107	0.900317
0.014746	0.899387
0.016384	0.898986
0.018022	0.898332
0.019661	0.897602
0.021299	0.896290
0.022938	0.895131
0.024576	0.894153
0.026214	0.893419
0.029491	0.891134
0.032768	0.890169
0.036045	0.889509
0.039322	0.888552
0.042598	0.887047
0.045875	0.884733
0.049152	0.882922
0.052429	0.883841
0.058982	0.883057
0.065536	0.881057
0.072090	0.878605
0.078643	0.878187
0.085197	0.875815
0.091750	0.873428
0.098304	0.871845
0.104858	0.871147
0.117965	0.867128
0.131072	0.863089
0.144179	0.859952
0.157286	0.856986
0.170394	0.854337
0.183501	0.852486
0.399815	0.806820
0.599722	0.765442
0.799630	0.720245
0.999537	0.682112
1.199444	0.644295
1.399352	0.608367
1.599259	0.576201
1.799167	0.543836
1.999074	0.517253
2.198982	0.491406
2.398889	0.465044
2.598796	0.442848
2.798704	0.419989
2.998611	0.399532
3.198519	0.381472
3.398426	0.362511
3.598333	0.347948
3.798241	0.331743
3.998148	0.317039
4.198056	0.304966
4.397963	0.291206
4.597871	0.279786
4.797778	0.268422
4.997685	0.257590
5.197593	0.247710
5.397500	0.238222
5.597408	0.227817
5.797315	0.219337
5.997222	0.209272
6.197130	0.202260
6.397037	0.195332
6.596945	0.188593
6.796852	0.182250
6.996759	0.175755
7.196667	0.168410
7.396574	0.162690
7.596482	0.156540
7.796389	0.150753
7.996297	0.146856
8.196204	0.142528
8.396111	0.137296
8.596019	0.133583
8.795926	0.128501
8.995834	0.125093
9.195741	0.118917
9.395648	0.115284
9.595556	0.111349
9.795463	0.108986
9.995371	0.106082
10.195278	0.103176
10.395186	0.101417
10.595093	0.098887
10.795000	0.095796
10.994908	0.092997
11.194815	0.090835
11.394723	0.089893
11.594630	0.088300
11.794537	0.087382
11.994445	0.084250
12.194352	0.082238
12.394260	0.081191
12.594167	0.077364
12.794074	0.075642


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

13.395000	2422.885882
20.356000	233.962810
27.325000	1075.949259
34.286000	2280.854084
41.066000	211.651544
48.035000	580.508004
48.664146	779.472497
49.712722	772.576020
50.761298	782.938607
51.600158	779.145674
52.648734	784.832470
53.697310	781.416009
54.745886	773.400743
55.794462	785.382162
56.843038	786.553500
57.681899	791.961006
58.730475	774.173622
59.779051	785.575574
60.827627	786.068696
61.876203	788.508039
62.924779	785.482972
63.973355	780.650065
65.021931	776.772803
65.860792	782.215286
66.909368	791.286341
67.957944	782.789036
69.006520	786.359807
70.055096	792.007336
71.103672	796.052142
72.152248	794.172406
73.200824	784.084861
74.249400	778.976134
75.297976	791.953760
76.136837	779.702730
77.185413	774.487039
78.233989	786.998360
79.282565	783.090919
80.331141	782.991275
81.379717	785.269627
82.428293	780.860440
83.476869	780.007128
84.525445	780.702172
85.574021	783.283277
86.622597	787.941004
87.461458	783.849497
88.510034	783.414263
89.558610	785.933120
90.607186	784.696897
91.655762	780.800358
92.704338	784.457022

Measurement Notes:

