DWS Measurement v9.2.8 
08/21/18 2:29:27 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	45
Echo Duration (s):	45
Wavelength (nm):	685.0
Temperature (°C):	19.99
Cuvette Thickness (mm):	5.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	972.57
Mean Count Rate (kHz):	777.0


Lag time (s)	g2-1

1.250000E-8	0.998748
2.500000E-8	0.999357
3.750000E-8	0.999465
5.000000E-8	1.001306
6.250000E-8	1.000912
7.500000E-8	0.996226
8.750000E-8	0.996064
1.000000E-7	1.002202
1.125000E-7	0.999130
1.250000E-7	1.002318
1.375000E-7	1.000932
1.500000E-7	0.999613
1.625000E-7	0.999688
1.750000E-7	0.996410
1.875000E-7	1.000318
2.000000E-7	0.997954
2.125000E-7	0.999227
2.375000E-7	0.997372
2.625000E-7	0.999097
2.875000E-7	0.999021
3.125000E-7	1.001678
3.375000E-7	1.002640
3.625000E-7	0.996643
3.875000E-7	0.998615
4.125000E-7	0.997882
4.625000E-7	0.998532
5.125000E-7	0.997237
5.625000E-7	0.996213
6.125000E-7	0.996849
6.625000E-7	0.998871
7.125000E-7	0.997117
7.625000E-7	0.997077
8.125000E-7	0.995994
9.125000E-7	0.997486
1.012500E-6	0.995615
1.112500E-6	0.996209
1.212500E-6	0.997493
1.312500E-6	0.997851
1.412500E-6	0.996874
1.512500E-6	0.996389
1.612500E-6	0.996968
1.812500E-6	0.996604
2.012500E-6	0.995801
2.212500E-6	0.994515
2.412500E-6	0.994604
2.612500E-6	0.994578
2.812500E-6	0.993872
3.012500E-6	0.994820
3.212500E-6	0.995190
3.612500E-6	0.994587
4.012500E-6	0.993074
4.412500E-6	0.992591
4.812500E-6	0.992520
5.212500E-6	0.991976
5.612500E-6	0.990685
6.012500E-6	0.990550
6.412500E-6	0.990588
7.212500E-6	0.989196
8.012500E-6	0.988817
8.812500E-6	0.988291
9.612500E-6	0.988299
1.041250E-5	0.987175
1.121250E-5	0.986939
1.201250E-5	0.985887
1.281250E-5	0.985428
1.441250E-5	0.984726
1.601250E-5	0.984194
1.761250E-5	0.983296
1.921250E-5	0.982519
2.081250E-5	0.981550
2.241250E-5	0.980843
2.401250E-5	0.979784
2.561250E-5	0.979100
2.881250E-5	0.977630
3.201250E-5	0.976233
3.521250E-5	0.975071
3.841250E-5	0.974063
4.161250E-5	0.972967
4.481250E-5	0.971697
4.801250E-5	0.970640
5.121250E-5	0.969716
5.761250E-5	0.967915
6.401250E-5	0.966321
7.041250E-5	0.964726
7.681250E-5	0.963165
8.321250E-5	0.962183
8.961250E-5	0.960692
9.601250E-5	0.959517
0.000102	0.958557
0.000115	0.956370
0.000128	0.954533
0.000141	0.952885
0.000154	0.951305
0.000166	0.949805
0.000179	0.948294
0.000192	0.947198
0.000205	0.946059
0.000230	0.943783
0.000256	0.942094
0.000282	0.940322
0.000307	0.938936
0.000333	0.937633
0.000358	0.936361
0.000384	0.935151
0.000410	0.934194
0.000461	0.932199
0.000512	0.930412
0.000563	0.928843
0.000614	0.927436
0.000666	0.926187
0.000717	0.925028
0.000768	0.923966
0.000819	0.923030
0.000922	0.921112
0.001024	0.919399
0.001126	0.917961
0.001229	0.916636
0.001331	0.915648
0.001434	0.914669
0.001536	0.913649
0.001638	0.912709
0.001843	0.911075
0.002048	0.909746
0.002253	0.908514
0.002458	0.907264
0.002662	0.906189
0.002867	0.905147
0.003072	0.904202
0.003277	0.903741
0.003686	0.902351
0.004096	0.901150
0.004506	0.899982
0.004915	0.898962
0.005325	0.897761
0.005734	0.896855
0.006144	0.895890
0.006554	0.895471
0.007373	0.893877
0.008192	0.892473
0.009011	0.890831
0.009830	0.889343
0.010650	0.888139
0.011469	0.886868
0.012288	0.885997
0.013107	0.885503
0.014746	0.884285
0.016384	0.883414
0.018022	0.882337
0.019661	0.880856
0.021299	0.879468
0.022938	0.877658
0.024576	0.876571
0.026214	0.875745
0.029491	0.872820
0.032768	0.871541
0.036045	0.869505
0.039322	0.867755
0.042598	0.865774
0.045875	0.863407
0.049152	0.861665
0.052429	0.860808
0.058982	0.858563
0.065536	0.855500
0.072090	0.852745
0.078643	0.851249
0.085197	0.847283
0.091750	0.844409
0.098304	0.842760
0.104858	0.842572
0.117965	0.840123
0.131072	0.836957
0.144179	0.834929
0.157286	0.833002
0.170394	0.830761
0.183501	0.830330
0.399815	0.777885
0.599722	0.742167
0.799629	0.706672
0.999537	0.676390
1.199444	0.647070
1.399351	0.618750
1.599259	0.593535
1.799166	0.570290
1.999073	0.546908
2.198981	0.522004
2.398888	0.504555
2.598795	0.485110
2.798703	0.467342
2.998610	0.449967
3.198518	0.431986
3.398425	0.414587
3.598332	0.399411
3.798240	0.385934
3.998147	0.371339
4.198054	0.358553
4.397962	0.343989
4.597869	0.332297
4.797776	0.322544
4.997684	0.309898
5.197591	0.300853
5.397498	0.289525
5.597406	0.281296
5.797313	0.271756
5.997220	0.262338
6.197128	0.254881
6.397035	0.247203
6.596942	0.239404
6.796850	0.232220
6.996757	0.225625
7.196664	0.218052
7.396572	0.211608
7.596479	0.205495
7.796386	0.200218
7.996294	0.194891
8.196201	0.189793
8.396109	0.185016
8.596016	0.180832
8.795923	0.176531
8.995831	0.173212
9.195738	0.171817
9.395645	0.168663
9.595553	0.166593
9.795460	0.164153
9.995367	0.162205
10.195275	0.157428
10.395182	0.154121
10.595089	0.150626
10.794997	0.147877
10.994904	0.144952
11.194811	0.141010
11.394719	0.139756
11.594626	0.135613
11.794533	0.133657
11.994441	0.131999
12.194348	0.130654
12.394255	0.129690
12.594163	0.128112
12.794070	0.127444


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

6.424000	252.066431
13.385000	766.296323
20.353000	391.474006
27.305000	1235.467165
34.263000	3428.952160
41.224000	273.933327
48.195000	747.796990
48.824146	785.822448
49.872722	784.330074
50.921298	789.942852
51.760158	793.007737
52.808734	785.416783
53.857310	791.143436
54.905886	792.412473
55.954462	781.034503
57.003038	788.998123
57.841899	778.761636
58.890475	791.891463
59.939051	787.314131
60.987627	781.280587
62.036203	784.282700
63.084779	790.552824
64.133355	785.845175
65.181931	790.053661
66.020792	788.400492
67.069368	787.736180
68.117944	791.793186
69.166520	785.051246
70.215096	783.635312
71.263672	789.095630
72.312248	791.566590
73.360824	789.046261
74.409400	786.969303
75.248261	787.783626
76.296837	786.711019
77.345413	778.731117
78.393989	784.260530
79.442565	781.634588
80.491141	776.334608
81.539717	779.070387
82.588293	780.767984
83.636869	775.607667
84.475730	773.136349
85.524306	777.179890
86.572882	768.310033
87.621458	778.962890
88.670034	780.499847
89.718610	778.776226
90.767186	770.528551
91.815762	773.642210
92.864338	776.514005

Measurement Notes:

