DWS Measurement v9.2.8 
08/21/18 4:21:53 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	48
Echo Duration (s):	48
Wavelength (nm):	685.0
Temperature (°C):	25.00
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	616.14
Mean Count Rate (kHz):	126.9


Lag time (s)	g2-1

1.250000E-8	1.032661
2.500000E-8	0.981642
3.750000E-8	0.969685
5.000000E-8	1.000333
6.250000E-8	1.029627
7.500000E-8	1.011976
8.750000E-8	0.978440
1.000000E-7	1.019005
1.125000E-7	0.986365
1.250000E-7	1.010612
1.375000E-7	1.006458
1.500000E-7	0.993432
1.625000E-7	1.001975
1.750000E-7	1.013904
1.875000E-7	1.003176
2.000000E-7	1.001755
2.125000E-7	1.011390
2.375000E-7	1.008371
2.625000E-7	1.008042
2.875000E-7	1.001259
3.125000E-7	0.993778
3.375000E-7	0.994422
3.625000E-7	0.987714
3.875000E-7	0.983937
4.125000E-7	0.997437
4.625000E-7	0.998587
5.125000E-7	0.997354
5.625000E-7	1.001058
6.125000E-7	0.991056
6.625000E-7	1.002839
7.125000E-7	0.986448
7.625000E-7	1.002391
8.125000E-7	1.002638
9.125000E-7	0.995557
1.012500E-6	0.979313
1.112500E-6	0.998382
1.212500E-6	1.003424
1.312500E-6	0.998204
1.412500E-6	0.994139
1.512500E-6	0.989043
1.612500E-6	0.991084
1.812500E-6	0.993418
2.012500E-6	0.992652
2.212500E-6	0.987989
2.412500E-6	0.983502
2.612500E-6	0.984582
2.812500E-6	0.982124
3.012500E-6	0.987124
3.212500E-6	0.990126
3.612500E-6	0.980118
4.012500E-6	0.981468
4.412500E-6	0.981278
4.812500E-6	0.979854
5.212500E-6	0.978157
5.612500E-6	0.976643
6.012500E-6	0.977576
6.412500E-6	0.973722
7.212500E-6	0.967146
8.012500E-6	0.966702
8.812500E-6	0.967095
9.612500E-6	0.963599
1.041250E-5	0.960323
1.121250E-5	0.961941
1.201250E-5	0.955060
1.281250E-5	0.957380
1.441250E-5	0.954852
1.601250E-5	0.953315
1.761250E-5	0.949461
1.921250E-5	0.946830
2.081250E-5	0.946406
2.241250E-5	0.941229
2.401250E-5	0.939100
2.561250E-5	0.936615
2.881250E-5	0.932786
3.201250E-5	0.928588
3.521250E-5	0.926257
3.841250E-5	0.923742
4.161250E-5	0.921919
4.481250E-5	0.918967
4.801250E-5	0.914676
5.121250E-5	0.911622
5.761250E-5	0.907020
6.401250E-5	0.902800
7.041250E-5	0.898182
7.681250E-5	0.895669
8.321250E-5	0.893033
8.961250E-5	0.889294
9.601250E-5	0.886261
0.000102	0.884524
0.000115	0.879954
0.000128	0.875614
0.000141	0.871645
0.000154	0.869605
0.000166	0.865444
0.000179	0.862663
0.000192	0.860454
0.000205	0.857695
0.000230	0.853774
0.000256	0.849920
0.000282	0.847319
0.000307	0.843983
0.000333	0.841708
0.000358	0.839945
0.000384	0.837609
0.000410	0.835841
0.000461	0.832934
0.000512	0.830048
0.000563	0.827154
0.000614	0.825679
0.000666	0.823285
0.000717	0.821676
0.000768	0.819839
0.000819	0.818650
0.000922	0.816220
0.001024	0.814397
0.001126	0.812346
0.001229	0.810653
0.001331	0.808960
0.001434	0.807949
0.001536	0.806727
0.001638	0.805402
0.001843	0.803223
0.002048	0.801107
0.002253	0.798463
0.002458	0.796590
0.002662	0.794341
0.002867	0.792275
0.003072	0.790636
0.003277	0.789244
0.003686	0.786483
0.004096	0.784414
0.004506	0.782696
0.004915	0.780528
0.005325	0.779691
0.005734	0.778272
0.006144	0.776839
0.006554	0.776837
0.007373	0.775880
0.008192	0.774635
0.009011	0.772276
0.009830	0.770565
0.010650	0.769892
0.011469	0.768103
0.012288	0.767323
0.013107	0.767504
0.014746	0.770266
0.016384	0.772956
0.018022	0.773463
0.019661	0.770682
0.021299	0.766824
0.022938	0.765249
0.024576	0.763653
0.026214	0.761286
0.029491	0.755387
0.032768	0.757799
0.036045	0.760489
0.039322	0.759547
0.042598	0.758494
0.045875	0.750569
0.049152	0.747772
0.052429	0.750068
0.058982	0.751189
0.065536	0.744647
0.072090	0.741589
0.078643	0.742490
0.085197	0.737935
0.091750	0.733632
0.098304	0.736080
0.104858	0.732819
0.117965	0.728877
0.131072	0.723174
0.144179	0.719435
0.157286	0.716243
0.170394	0.710540
0.183501	0.707125
0.399815	0.630873
0.599722	0.567425
0.799629	0.509490
0.999537	0.457247
1.199444	0.412186
1.399351	0.369833
1.599258	0.335446
1.799166	0.298900
1.999073	0.269759
2.198980	0.240308
2.398888	0.219160
2.598795	0.198267
2.798702	0.177733
2.998610	0.161224
3.198517	0.143412
3.398424	0.131399
3.598332	0.119871
3.798239	0.108007
3.998146	0.100461
4.198053	0.089538
4.397961	0.082031
4.597868	0.077228
4.797775	0.071050
4.997683	0.064929
5.197590	0.064788
5.397497	0.057020
5.597405	0.052340
5.797312	0.049906
5.997219	0.048078
6.197127	0.047385
6.397034	0.043118
6.596941	0.042964
6.796848	0.041756
6.996756	0.042987
7.196663	0.042487
7.396570	0.037897
7.596478	0.038297
7.796385	0.038311
7.996292	0.038848
8.196200	0.041617
8.396107	0.037984
8.596014	0.036093
8.795922	0.038184
8.995829	0.037485
9.195736	0.036563
9.395643	0.041512
9.595551	0.041834
9.795458	0.043529
9.995365	0.041538
10.195273	0.040902
10.395180	0.041639
10.595087	0.039689
10.794995	0.039042
10.994902	0.039900
11.194809	0.041250
11.394717	0.040694
11.594624	0.039569
11.794531	0.037253
11.994438	0.034892
12.194346	0.034027
12.394253	0.034980
12.594160	0.034873
12.794068	0.034281


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

6.424000	265.863053
13.192000	63.251848
20.163000	71.010231
27.134000	75.766780
34.093000	217.121633
41.063000	321.911567
48.035000	186.560655
48.664146	126.111125
49.712722	124.633473
50.761298	124.889403
51.600158	123.476611
52.648734	126.514682
53.697310	126.736721
54.745886	124.567437
55.794462	126.912701
56.843038	125.039565
57.681899	125.535520
58.730475	129.931423
59.779051	128.988932
60.827627	128.141010
61.876203	126.271120
62.924779	126.520116
63.973355	128.354572
65.021931	127.975234
65.860792	127.178118
66.909368	126.912695
67.957944	126.767321
69.006520	126.751606
70.055096	127.392495
71.103672	127.838914
72.152248	126.024493
73.200824	126.693187
74.039685	128.752625
75.088261	128.734319
76.136837	127.448565
77.185413	126.735820
78.233989	126.691935
79.282565	127.971892
80.331141	129.476536
81.170002	128.356733
82.218578	125.799975
83.267154	125.903662
84.315730	125.266697
85.364306	126.217890
86.412882	124.654832
87.461458	125.957361
88.510034	125.026699
89.348894	124.320259
90.397470	126.328794
91.446046	125.981512
92.494622	124.916653
93.543198	124.651345
94.591774	125.207099
95.640350	127.069834

Measurement Notes:

