DWS Measurement v9.2.8 
08/21/18 4:47:20 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	48
Echo Duration (s):	48
Wavelength (nm):	685.0
Temperature (°C):	25.00
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	616.02
Mean Count Rate (kHz):	104.2


Lag time (s)	g2-1

1.250000E-8	0.971957
2.500000E-8	0.982704
3.750000E-8	0.988656
5.000000E-8	1.000892
6.250000E-8	1.008167
7.500000E-8	1.007836
8.750000E-8	1.002380
1.000000E-7	0.985515
1.125000E-7	1.033465
1.250000E-7	1.000727
1.375000E-7	0.994774
1.500000E-7	0.995766
1.625000E-7	0.985184
1.750000E-7	1.022221
1.875000E-7	0.970469
2.000000E-7	0.967989
2.125000E-7	0.996180
2.375000E-7	0.997668
2.625000E-7	0.975512
2.875000E-7	0.993038
3.125000E-7	0.995436
3.375000E-7	0.976752
3.625000E-7	0.981051
3.875000E-7	0.993204
4.125000E-7	0.996924
4.625000E-7	0.998412
5.125000E-7	0.988243
5.625000E-7	0.972784
6.125000E-7	0.980886
6.625000E-7	0.983283
7.125000E-7	0.974437
7.625000E-7	0.970345
8.125000E-7	0.969849
9.125000E-7	0.980514
1.012500E-6	0.972784
1.112500E-6	0.974665
1.212500E-6	0.976091
1.312500E-6	0.987314
1.412500E-6	0.973528
1.512500E-6	0.980245
1.612500E-6	0.975450
1.812500E-6	0.969715
2.012500E-6	0.968041
2.212500E-6	0.968578
2.412500E-6	0.965468
2.612500E-6	0.965489
2.812500E-6	0.962699
3.012500E-6	0.958689
3.212500E-6	0.964461
3.612500E-6	0.961423
4.012500E-6	0.958369
4.412500E-6	0.952996
4.812500E-6	0.954841
5.212500E-6	0.951193
5.612500E-6	0.950511
6.012500E-6	0.949844
6.412500E-6	0.945703
7.212500E-6	0.939860
8.012500E-6	0.940128
8.812500E-6	0.933481
9.612500E-6	0.932768
1.041250E-5	0.930668
1.121250E-5	0.926587
1.201250E-5	0.916912
1.281250E-5	0.917817
1.441250E-5	0.912117
1.601250E-5	0.910870
1.761250E-5	0.904981
1.921250E-5	0.902163
2.081250E-5	0.899492
2.241250E-5	0.895521
2.401250E-5	0.891987
2.561250E-5	0.888272
2.881250E-5	0.880054
3.201250E-5	0.873185
3.521250E-5	0.869778
3.841250E-5	0.865302
4.161250E-5	0.857449
4.481250E-5	0.855426
4.801250E-5	0.850724
5.121250E-5	0.846775
5.761250E-5	0.839755
6.401250E-5	0.833193
7.041250E-5	0.825931
7.681250E-5	0.820546
8.321250E-5	0.816042
8.961250E-5	0.812106
9.601250E-5	0.807008
0.000102	0.803596
0.000115	0.796013
0.000128	0.789060
0.000141	0.781729
0.000154	0.777799
0.000166	0.772308
0.000179	0.767071
0.000192	0.762850
0.000205	0.759179
0.000230	0.752631
0.000256	0.746515
0.000282	0.740498
0.000307	0.735584
0.000333	0.731833
0.000358	0.727929
0.000384	0.724355
0.000410	0.721047
0.000461	0.715003
0.000512	0.710411
0.000563	0.706950
0.000614	0.703282
0.000666	0.699482
0.000717	0.696021
0.000768	0.692851
0.000819	0.690888
0.000922	0.686887
0.001024	0.683763
0.001126	0.679877
0.001229	0.677276
0.001331	0.674974
0.001434	0.672514
0.001536	0.671256
0.001638	0.669784
0.001843	0.666969
0.002048	0.663293
0.002253	0.661193
0.002458	0.658946
0.002662	0.657158
0.002867	0.655793
0.003072	0.654065
0.003277	0.653028
0.003686	0.650935
0.004096	0.649575
0.004506	0.647280
0.004915	0.646583
0.005325	0.646580
0.005734	0.645498
0.006144	0.643391
0.006554	0.642246
0.007373	0.639936
0.008192	0.638195
0.009011	0.635255
0.009830	0.633741
0.010650	0.632646
0.011469	0.632094
0.012288	0.630224
0.013107	0.629217
0.014746	0.627956
0.016384	0.625377
0.018022	0.624422
0.019661	0.622274
0.021299	0.621499
0.022938	0.620191
0.024576	0.618173
0.026214	0.617198
0.029491	0.614113
0.032768	0.611049
0.036045	0.610255
0.039322	0.606848
0.042598	0.605447
0.045875	0.602786
0.049152	0.601419
0.052429	0.600546
0.058982	0.596845
0.065536	0.594257
0.072090	0.591600
0.078643	0.589058
0.085197	0.586172
0.091750	0.584092
0.098304	0.581937
0.104858	0.579694
0.117965	0.575828
0.131072	0.571735
0.144179	0.567956
0.157286	0.564171
0.170394	0.561882
0.183501	0.558417
0.399815	0.497032
0.599722	0.448697
0.799629	0.403485
0.999536	0.365850
1.199444	0.337060
1.399351	0.306857
1.599258	0.280663
1.799165	0.257871
1.999073	0.235173
2.198980	0.218552
2.398887	0.199634
2.598794	0.182309
2.798702	0.170346
2.998609	0.158706
3.198516	0.143716
3.398423	0.134785
3.598331	0.125755
3.798238	0.116516
3.998145	0.110516
4.198052	0.102816
4.397960	0.091263
4.597867	0.085051
4.797774	0.075773
4.997681	0.072935
5.197589	0.066794
5.397496	0.061849
5.597403	0.055625
5.797311	0.051173
5.997218	0.047727
6.197125	0.040984
6.397032	0.040076
6.596940	0.036048
6.796847	0.034084
6.996754	0.031205
7.196661	0.030630
7.396569	0.027528
7.596476	0.025242
7.796383	0.024787
7.996290	0.021419
8.196198	0.018471
8.396105	0.014742
8.596012	0.016549
8.795919	0.014888
8.995827	0.008951
9.195734	0.011026
9.395641	0.010880
9.595548	0.007333
9.795456	0.008055
9.995363	0.008067
10.195270	0.005678
10.395177	0.008679
10.595085	0.008840
10.794992	0.005752
10.994899	0.008192
11.194807	0.004268
11.394714	0.003690
11.594621	0.007326
11.794528	0.006616
11.994436	0.006945
12.194343	0.003889
12.394250	0.006495
12.594157	0.004036
12.794065	0.003288


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

0.524288	36.820892
1.048576	55.781630
1.572864	137.423668
2.359296	131.319915
2.883584	75.199997
3.407872	95.420486
3.932160	51.556436
4.718592	47.788792
5.242880	37.592045
5.767168	36.091915
6.553600	47.525187
7.077888	89.470925
7.602176	88.602997
8.388608	69.042901
8.912896	63.296194
9.437184	100.475149
9.961472	65.222241
10.747904	62.631022
11.272192	28.894953
11.796480	40.948784
12.582912	50.821481
13.107200	47.960526
13.631488	83.750616
14.155776	101.600629
14.942208	77.203139
15.466496	115.928103
15.990784	54.511059
16.777216	235.084526
17.301504	259.963009
17.825792	194.247647
18.612224	257.512390
19.136512	176.543570
19.660800	283.918768
20.185088	276.735256
20.971520	216.846778
21.495808	87.263420
22.020096	95.304392
22.806528	55.690180
23.330816	123.576513
23.855104	112.881905
24.379392	207.279880
25.165824	359.178984
25.690112	243.621559
26.214400	238.098320
27.000832	170.287084
27.525120	330.265711
28.049408	222.235644
28.835840	212.957048
29.360128	137.313208
29.884416	31.778145
30.408704	28.628443
31.195136	29.988271
31.719424	33.849914
32.243712	69.693874
33.030144	26.086489
33.554432	51.170635
34.078720	51.524696
34.603008	70.427747
35.389440	110.092933
35.913728	39.389456
36.438016	71.869621
37.224448	51.298079
37.748736	46.518588
38.273024	34.110190
38.797312	28.458843
39.583744	52.602552
40.108032	100.755256
40.632320	47.580303
41.418752	35.920230
41.943040	67.874767
42.467328	43.654386
43.253760	37.672588
43.778048	36.960370
44.302336	45.454130
44.826624	34.599348
45.613056	48.225979
46.137344	44.944677
46.661632	39.418706
47.448064	35.846530
47.972352	42.271258
48.496640	28.966780
49.125786	105.075392
50.174362	105.584485
51.222938	105.463700
52.061798	104.417032
53.110374	105.446135
54.158950	104.717499
55.207526	104.549583
56.256102	104.584497
57.304678	106.801913
58.143539	102.842584
59.192115	104.993726
60.240691	105.244073
61.289267	104.327827
62.337843	106.530243
63.386419	106.329338
64.434995	103.195131
65.483571	103.169139
66.322432	105.885387
67.371008	104.974626
68.419584	106.196879
69.468160	104.615941
70.516736	104.190161
71.565312	104.933739
72.613888	106.162156
73.662464	104.251362
74.711040	104.299930
75.549901	103.935223
76.598477	106.091110
77.647053	106.371725
78.695629	105.184743
79.744205	104.325162
80.792781	105.697162
81.841357	106.619365
82.889933	103.690310
83.938509	106.085533
84.777370	107.052219
85.825946	106.649098
86.874522	105.738691
87.923098	103.581892
88.971674	105.822450
90.020250	106.062578
91.068826	106.827899
92.117402	106.830347
93.165978	105.197350
94.214554	105.378008
95.053414	104.957392
96.101990	106.467583

Measurement Notes:

