DWS Measurement v9.2.8 
08/21/18 5:18:51 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	25.00
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	465.0
l* (microns):	898.32
Mean Count Rate (kHz):	162.4


Lag time (s)	g2-1

1.250000E-8	1.002393
2.500000E-8	0.994934
3.750000E-8	1.014521
5.000000E-8	1.001313
6.250000E-8	0.983783
7.500000E-8	1.007403
8.750000E-8	0.995499
1.000000E-7	1.000546
1.125000E-7	0.983472
1.250000E-7	0.997010
1.375000E-7	1.007284
1.500000E-7	1.001610
1.625000E-7	0.998528
1.750000E-7	0.997178
1.875000E-7	1.008408
2.000000E-7	1.013412
2.125000E-7	1.003133
2.375000E-7	0.998101
2.625000E-7	0.998587
2.875000E-7	1.001501
3.125000E-7	0.998030
3.375000E-7	0.999155
3.625000E-7	0.995444
3.875000E-7	1.006444
4.125000E-7	0.999429
4.625000E-7	0.988561
5.125000E-7	0.995292
5.625000E-7	0.999757
6.125000E-7	0.996337
6.625000E-7	0.996994
7.125000E-7	0.997330
7.625000E-7	0.994648
8.125000E-7	0.996671
9.125000E-7	0.994389
1.012500E-6	0.994707
1.112500E-6	0.992066
1.212500E-6	0.993541
1.312500E-6	0.998649
1.412500E-6	0.997656
1.512500E-6	0.990603
1.612500E-6	0.990443
1.812500E-6	0.993942
2.012500E-6	0.993635
2.212500E-6	0.986773
2.412500E-6	0.989449
2.612500E-6	0.987860
2.812500E-6	0.992595
3.012500E-6	0.990354
3.212500E-6	0.991674
3.612500E-6	0.989690
4.012500E-6	0.985551
4.412500E-6	0.989838
4.812500E-6	0.991150
5.212500E-6	0.988406
5.612500E-6	0.986682
6.012500E-6	0.987578
6.412500E-6	0.986283
7.212500E-6	0.984107
8.012500E-6	0.982592
8.812500E-6	0.981753
9.612500E-6	0.979435
1.041250E-5	0.979699
1.121250E-5	0.979312
1.201250E-5	0.978280
1.281250E-5	0.978633
1.441250E-5	0.976860
1.601250E-5	0.976307
1.761250E-5	0.975545
1.921250E-5	0.972978
2.081250E-5	0.973519
2.241250E-5	0.971281
2.401250E-5	0.970989
2.561250E-5	0.969018
2.881250E-5	0.966506
3.201250E-5	0.965725
3.521250E-5	0.964353
3.841250E-5	0.962851
4.161250E-5	0.960713
4.481250E-5	0.960297
4.801250E-5	0.958857
5.121250E-5	0.957806
5.761250E-5	0.955506
6.401250E-5	0.954045
7.041250E-5	0.951980
7.681250E-5	0.949894
8.321250E-5	0.948903
8.961250E-5	0.947023
9.601250E-5	0.946127
0.000102	0.945084
0.000115	0.942576
0.000128	0.940985
0.000141	0.939261
0.000154	0.937734
0.000166	0.936267
0.000179	0.934917
0.000192	0.933370
0.000205	0.932850
0.000230	0.930755
0.000256	0.929040
0.000282	0.927261
0.000307	0.926026
0.000333	0.924562
0.000358	0.923422
0.000384	0.922170
0.000410	0.921262
0.000461	0.919209
0.000512	0.917532
0.000563	0.916188
0.000614	0.914870
0.000666	0.913556
0.000717	0.912245
0.000768	0.911253
0.000819	0.910107
0.000922	0.908204
0.001024	0.906781
0.001126	0.905322
0.001229	0.904094
0.001331	0.902655
0.001434	0.901730
0.001536	0.900470
0.001638	0.899484
0.001843	0.897500
0.002048	0.895709
0.002253	0.894126
0.002458	0.892864
0.002662	0.891472
0.002867	0.890248
0.003072	0.889166
0.003277	0.888204
0.003686	0.886517
0.004096	0.885061
0.004506	0.883824
0.004915	0.882732
0.005325	0.881308
0.005734	0.880337
0.006144	0.879446
0.006554	0.878509
0.007373	0.876472
0.008192	0.874709
0.009011	0.873354
0.009830	0.872327
0.010650	0.871124
0.011469	0.869976
0.012288	0.868621
0.013107	0.867662
0.014746	0.866075
0.016384	0.864415
0.018022	0.862757
0.019661	0.861054
0.021299	0.859298
0.022938	0.857667
0.024576	0.856021
0.026214	0.854913
0.029491	0.852106
0.032768	0.850020
0.036045	0.847691
0.039322	0.845057
0.042598	0.843473
0.045875	0.840975
0.049152	0.839338
0.052429	0.838320
0.058982	0.833817
0.065536	0.830067
0.072090	0.826643
0.078643	0.823021
0.085197	0.820071
0.091750	0.817431
0.098304	0.813625
0.104858	0.813571
0.117965	0.808039
0.131072	0.801447
0.144179	0.794581
0.157286	0.789131
0.170394	0.784242
0.183501	0.778777
0.399815	0.707180
0.599722	0.652098
0.799629	0.603197
0.999537	0.561956
1.199444	0.522612
1.399351	0.488118
1.599259	0.454601
1.799166	0.422799
1.999073	0.397100
2.198981	0.371391
2.398888	0.346608
2.598795	0.324449
2.798703	0.305411
2.998610	0.286533
3.198517	0.268909
3.398425	0.255357
3.598332	0.240392
3.798239	0.224728
3.998147	0.213370
4.198054	0.200567
4.397961	0.186694
4.597869	0.177157
4.797776	0.168710
4.997683	0.159518
5.197591	0.153045
5.397498	0.144800
5.597405	0.135077
5.797313	0.128718
5.997220	0.122117
6.197127	0.114868
6.397035	0.111632
6.596942	0.104723
6.796849	0.100629
6.996757	0.095077
7.196664	0.093311
7.396571	0.085920
7.596479	0.081843
7.796386	0.078795
7.996294	0.075305
8.196201	0.071483
8.396108	0.067704
8.596016	0.065804
8.795923	0.062959
8.995830	0.060066
9.195738	0.053944
9.395645	0.051945
9.595552	0.048051
9.795460	0.046651
9.995367	0.044167
10.195274	0.043741
10.395182	0.041791
10.595089	0.038018
10.794996	0.036732
10.994904	0.036316
11.194811	0.036092
11.394718	0.035108
11.594626	0.032412
11.794533	0.029529
11.994440	0.029760
12.194348	0.026842
12.394255	0.023934
12.594162	0.024565
12.794070	0.022997


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

6.422000	110.536659
13.384000	91.734522
20.351000	110.045683
27.313000	501.612515
34.281000	133.981835
41.241000	290.693879
48.213000	179.359499
55.183000	87.967265
62.153000	66.926638
69.112000	152.943279
76.091000	99.102878
83.052000	73.268487
90.011000	219.145820
96.972000	234.427638
103.941000	90.244332
110.902000	105.272490
117.870000	139.568095
124.830000	153.184384
125.459146	164.655088
126.507722	161.890276
127.556298	165.980504
128.395158	162.746977
129.443734	165.410194
130.492310	164.593383
131.540886	165.097431
132.589462	165.631466
133.638038	166.441660
134.476899	166.856510
135.525475	165.444880
136.574051	166.469205
137.622627	163.572892
138.671203	166.175666
139.719779	168.690936
140.768355	166.065315
141.816931	164.322510
142.655792	165.658309
143.704368	164.201817
144.752944	166.582711
145.801520	165.822878
146.850096	165.693683
147.898672	166.716333
148.947248	166.173891
149.995824	166.590111
151.044400	166.044805
152.092976	166.431950
152.931837	165.253269
153.980413	164.732194
155.028989	164.152290
156.077565	164.838837
157.126141	163.977635
158.174717	163.645171
159.223293	162.833395
160.271869	162.204978
161.320445	164.022756
162.369021	164.190902
163.207882	164.648561
164.256458	163.460086
165.305034	163.012256
166.353610	165.420479
167.402186	167.130491
168.450762	164.663295
169.499338	166.597524
170.547914	166.780413
171.596490	164.012284
172.645066	165.759438
173.483926	163.764972
174.532502	167.715810
175.581078	164.043498
176.629654	164.896536
177.678230	163.285996
178.726806	165.180210
179.775382	162.466774
180.823958	165.564311
181.872534	166.153535
182.921110	167.395114
183.969686	167.742648

Measurement Notes:

