DWS Measurement v9.2.8
08/22/18 8:51:57 AM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	40.00
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.328
Particle Radius (nm):	465.0
l* (microns):	952.54
Mean Count Rate (kHz):	167.6


Lag time (s)	g2-1

1.250000E-8	0.995538
2.500000E-8	1.003240
3.750000E-8	1.005208
5.000000E-8	1.011761
6.250000E-8	0.991447
7.500000E-8	0.993567
8.750000E-8	1.006533
1.000000E-7	0.995983
1.125000E-7	0.996820
1.250000E-7	0.994931
1.375000E-7	0.996506
1.500000E-7	1.004073
1.625000E-7	1.002576
1.750000E-7	0.986161
1.875000E-7	0.995885
2.000000E-7	0.996056
2.125000E-7	0.993298
2.375000E-7	0.987447
2.625000E-7	0.986526
2.875000E-7	0.986915
3.125000E-7	0.985712
3.375000E-7	0.988318
3.625000E-7	0.994512
3.875000E-7	0.987849
4.125000E-7	0.985608
4.625000E-7	0.991798
5.125000E-7	0.992120
5.625000E-7	0.996374
6.125000E-7	0.994609
6.625000E-7	0.989961
7.125000E-7	0.985831
7.625000E-7	0.988048
8.125000E-7	0.988570
9.125000E-7	0.988653
1.012500E-6	0.988542
1.112500E-6	0.991229
1.212500E-6	0.990260
1.312500E-6	0.994283
1.412500E-6	0.991655
1.512500E-6	0.991959
1.612500E-6	0.991218
1.812500E-6	0.986048
2.012500E-6	0.989048
2.212500E-6	0.990334
2.412500E-6	0.983941
2.612500E-6	0.987527
2.812500E-6	0.987248
3.012500E-6	0.985649
3.212500E-6	0.987946
3.612500E-6	0.987195
4.012500E-6	0.980512
4.412500E-6	0.982940
4.812500E-6	0.982705
5.212500E-6	0.982103
5.612500E-6	0.980975
6.012500E-6	0.979190
6.412500E-6	0.979240
7.212500E-6	0.975206
8.012500E-6	0.974683
8.812500E-6	0.972731
9.612500E-6	0.973988
1.041250E-5	0.971884
1.121250E-5	0.971687
1.201250E-5	0.970071
1.281250E-5	0.968622
1.441250E-5	0.968863
1.601250E-5	0.968114
1.761250E-5	0.968135
1.921250E-5	0.966040
2.081250E-5	0.965800
2.241250E-5	0.962734
2.401250E-5	0.960620
2.561250E-5	0.959733
2.881250E-5	0.957765
3.201250E-5	0.956181
3.521250E-5	0.954881
3.841250E-5	0.953690
4.161250E-5	0.952499
4.481250E-5	0.951552
4.801250E-5	0.949832
5.121250E-5	0.947433
5.761250E-5	0.946355
6.401250E-5	0.943967
7.041250E-5	0.942727
7.681250E-5	0.940318
8.321250E-5	0.940118
8.961250E-5	0.937615
9.601250E-5	0.936953
0.000102	0.936337
0.000115	0.933961
0.000128	0.932890
0.000141	0.930847
0.000154	0.929515
0.000166	0.927959
0.000179	0.926690
0.000192	0.925431
0.000205	0.924762
0.000230	0.922646
0.000256	0.921124
0.000282	0.919605
0.000307	0.918361
0.000333	0.917056
0.000358	0.915731
0.000384	0.914267
0.000410	0.913621
0.000461	0.911564
0.000512	0.909739
0.000563	0.908028
0.000614	0.906623
0.000666	0.905097
0.000717	0.903680
0.000768	0.902214
0.000819	0.901245
0.000922	0.899170
0.001024	0.897428
0.001126	0.895591
0.001229	0.893840
0.001331	0.892446
0.001434	0.890951
0.001536	0.889645
0.001638	0.888548
0.001843	0.886181
0.002048	0.883849
0.002253	0.881567
0.002458	0.879768
0.002662	0.877672
0.002867	0.875892
0.003072	0.874394
0.003277	0.872865
0.003686	0.870225
0.004096	0.867685
0.004506	0.865337
0.004915	0.863703
0.005325	0.861664
0.005734	0.859623
0.006144	0.857649
0.006554	0.856089
0.007373	0.852611
0.008192	0.849083
0.009011	0.846159
0.009830	0.843375
0.010650	0.840276
0.011469	0.837515
0.012288	0.834463
0.013107	0.832261
0.014746	0.827194
0.016384	0.822550
0.018022	0.817940
0.019661	0.813170
0.021299	0.808391
0.022938	0.803645
0.024576	0.799543
0.026214	0.795837
0.029491	0.787275
0.032768	0.779159
0.036045	0.771409
0.039322	0.763927
0.042598	0.755502
0.045875	0.747554
0.049152	0.739622
0.052429	0.733422
0.058982	0.716972
0.065536	0.701255
0.072090	0.687495
0.078643	0.674363
0.085197	0.661798
0.091750	0.648816
0.098304	0.636007
0.104858	0.625501
0.117965	0.601047
0.131072	0.577584
0.144179	0.554119
0.157286	0.532597
0.170394	0.510970
0.183501	0.489959
0.399815	0.242988
0.599722	0.133699
0.799629	0.074484
0.999536	0.042531
1.199444	0.022106
1.399351	0.012345
1.599258	0.005893
1.799165	0.003127
1.999073	0.002198
2.198980	0.000710
2.398887	0.000791
2.598794	0.000935
2.798702	0.002709
2.998609	0.001765
3.198516	0.002587
3.398423	0.001156
3.598331	0.001501
3.798238	0.000990
3.998145	-0.000842
4.198052	-0.001653
4.397960	-0.003533
4.597867	0.000222
4.797774	-0.001025
4.997681	-0.000518
5.197589	-0.001081
5.397496	-0.001736
5.597403	-0.001717
5.797310	-0.002498
5.997218	-0.004505
6.197125	-0.006240
6.397032	-0.005767
6.596939	-0.004317
6.796847	-0.004931
6.996754	-0.004314
7.196661	-0.007568
7.396568	-0.008397
7.596476	-0.006207
7.796383	-0.006907
7.996290	-0.004268
8.196197	-0.002852
8.396105	-0.002318
8.596012	-0.003935
8.795919	-0.004192
8.995826	-0.004951
9.195734	-0.005974
9.395641	-0.005755
9.595548	-0.007443
9.795455	-0.007249
9.995363	-0.005336
10.195270	-0.004653
10.395177	-0.003165
10.595084	-0.002938
10.794992	-0.005433
10.994899	-0.005488
11.194806	-0.002046
11.394713	-0.003361
11.594621	-0.003470
11.794528	-0.001640
11.994435	-0.006357
12.194342	-0.006203
12.394250	-0.005231
12.594157	-0.006721
12.794064	-0.006782


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

13.379000	241.139245
20.338000	162.679250
27.310000	225.894068
34.079000	219.860821
41.040000	101.391434
47.999000	146.961974
54.768000	194.578800
61.740000	200.827026
68.699000	158.083148
75.670000	160.423895
82.639000	243.458578
89.598000	175.845045
96.559000	199.920941
103.528000	71.934231
110.498000	199.170831
117.458000	144.241107
124.429000	166.758611
125.058146	170.156400
126.106722	169.680994
127.155298	168.732610
127.994158	171.504800
129.042734	166.931204
130.091310	170.499598
131.139886	167.153493
132.188462	167.327059
133.237038	172.190619
134.075899	171.931311
135.124475	167.771229
136.173051	168.774567
137.221627	170.386870
138.270203	167.842281
139.318779	171.698727
140.367355	168.789870
141.206216	170.069592
142.254792	170.158802
143.303368	168.775173
144.351944	168.025760
145.400520	168.916598
146.449096	167.809069
147.497672	168.983564
148.336533	167.218762
149.385109	169.712893
150.433685	167.441184
151.482261	168.486578
152.530837	167.348370
153.579413	169.107991
154.627989	167.766257
155.676565	170.470889
156.725141	166.882705
157.564002	169.837232
158.612578	169.937259
159.661154	166.522092
160.709730	170.773196
161.758306	166.882718
162.806882	164.272967
163.855458	168.038191
164.694318	166.307967
165.742894	168.774993
166.791470	167.722624
167.840046	168.419982
168.888622	167.692607
169.937198	169.040073
170.776059	166.810154
171.824635	166.021265
172.873211	168.295048
173.921787	167.523096
174.970363	167.280841
176.018939	167.225585
176.857800	167.444861
177.906376	173.236818
178.954952	169.015682
180.003528	165.948526
181.052104	170.174652
182.100680	169.851192
183.149256	168.666160
183.988117	170.280693

Measurement Notes:

