DWS Measurement v9.2.8 
08/22/18 11:22:02 AM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	19.99
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	465.0
l* (microns):	989.84
Mean Count Rate (kHz):	172.7


Lag time (s)	g2-1

1.250000E-8	0.988726
2.500000E-8	1.005005
3.750000E-8	1.010151
5.000000E-8	1.000187
6.250000E-8	0.983982
7.500000E-8	0.984347
8.750000E-8	1.001392
1.000000E-7	1.004275
1.125000E-7	0.995771
1.250000E-7	1.001246
1.375000E-7	0.988361
1.500000E-7	0.996063
1.625000E-7	0.998910
1.750000E-7	0.991427
1.875000E-7	0.991938
2.000000E-7	0.983909
2.125000E-7	1.003417
2.375000E-7	1.008016
2.625000E-7	1.000443
2.875000E-7	0.982230
3.125000E-7	0.989201
3.375000E-7	0.982741
3.625000E-7	0.986555
3.875000E-7	0.996793
4.125000E-7	0.997943
4.625000E-7	0.985177
5.125000E-7	0.988006
5.625000E-7	0.981865
6.125000E-7	0.990688
6.625000E-7	0.990980
7.125000E-7	0.983881
7.625000E-7	0.986172
8.125000E-7	0.983845
9.125000E-7	0.988608
1.012500E-6	0.990798
1.112500E-6	0.992181
1.212500E-6	0.993002
1.312500E-6	0.984721
1.412500E-6	0.990356
1.512500E-6	0.981354
1.612500E-6	0.988880
1.812500E-6	0.989957
2.012500E-6	0.988698
2.212500E-6	0.984106
2.412500E-6	0.985317
2.612500E-6	0.981834
2.812500E-6	0.988588
3.012500E-6	0.985938
3.212500E-6	0.986278
3.612500E-6	0.985413
4.012500E-6	0.983321
4.412500E-6	0.980839
4.812500E-6	0.982781
5.212500E-6	0.978702
5.612500E-6	0.980184
6.012500E-6	0.977486
6.412500E-6	0.978772
7.212500E-6	0.976077
8.012500E-6	0.976999
8.812500E-6	0.971235
9.612500E-6	0.972815
1.041250E-5	0.970985
1.121250E-5	0.971776
1.201250E-5	0.969168
1.281250E-5	0.969080
1.441250E-5	0.968732
1.601250E-5	0.966113
1.761250E-5	0.966738
1.921250E-5	0.966309
2.081250E-5	0.963211
2.241250E-5	0.963458
2.401250E-5	0.961968
2.561250E-5	0.959200
2.881250E-5	0.957333
3.201250E-5	0.954537
3.521250E-5	0.953103
3.841250E-5	0.951329
4.161250E-5	0.950184
4.481250E-5	0.948612
4.801250E-5	0.946912
5.121250E-5	0.945019
5.761250E-5	0.943355
6.401250E-5	0.941325
7.041250E-5	0.938051
7.681250E-5	0.937193
8.321250E-5	0.935181
8.961250E-5	0.932924
9.601250E-5	0.931516
0.000102	0.930174
0.000115	0.927282
0.000128	0.924945
0.000141	0.922844
0.000154	0.920553
0.000166	0.918920
0.000179	0.917378
0.000192	0.915462
0.000205	0.913835
0.000230	0.911126
0.000256	0.908634
0.000282	0.906909
0.000307	0.904932
0.000333	0.903326
0.000358	0.901143
0.000384	0.899678
0.000410	0.898646
0.000461	0.896422
0.000512	0.894197
0.000563	0.892337
0.000614	0.890669
0.000666	0.889241
0.000717	0.887725
0.000768	0.886288
0.000819	0.884995
0.000922	0.882849
0.001024	0.880821
0.001126	0.878985
0.001229	0.877307
0.001331	0.875664
0.001434	0.874071
0.001536	0.872663
0.001638	0.871536
0.001843	0.869256
0.002048	0.867022
0.002253	0.864737
0.002458	0.862995
0.002662	0.861277
0.002867	0.859806
0.003072	0.858581
0.003277	0.857163
0.003686	0.854592
0.004096	0.852475
0.004506	0.850670
0.004915	0.849654
0.005325	0.848110
0.005734	0.846832
0.006144	0.845854
0.006554	0.845081
0.007373	0.843225
0.008192	0.842452
0.009011	0.840793
0.009830	0.838919
0.010650	0.837022
0.011469	0.835148
0.012288	0.833211
0.013107	0.831721
0.014746	0.829472
0.016384	0.828235
0.018022	0.827130
0.019661	0.825314
0.021299	0.822956
0.022938	0.820861
0.024576	0.819154
0.026214	0.818059
0.029491	0.815489
0.032768	0.812402
0.036045	0.808860
0.039322	0.806461
0.042598	0.803320
0.045875	0.800239
0.049152	0.798291
0.052429	0.796464
0.058982	0.791686
0.065536	0.788502
0.072090	0.785380
0.078643	0.781695
0.085197	0.778378
0.091750	0.775311
0.098304	0.771052
0.104858	0.768384
0.117965	0.763953
0.131072	0.758601
0.144179	0.752426
0.157286	0.747532
0.170394	0.742251
0.183501	0.737167
0.399815	0.691844
0.599722	0.657886
0.799629	0.623628
0.999536	0.595618
1.199444	0.564138
1.399351	0.535719
1.599258	0.508220
1.799165	0.482156
1.999073	0.455816
2.198980	0.432437
2.398887	0.407035
2.598795	0.385767
2.798702	0.365448
2.998609	0.347299
3.198516	0.327252
3.398424	0.309317
3.598331	0.293535
3.798238	0.278313
3.998146	0.262162
4.198053	0.247310
4.397960	0.233411
4.597867	0.219872
4.797775	0.209908
4.997682	0.194598
5.197589	0.186169
5.397496	0.173541
5.597404	0.163728
5.797311	0.154638
5.997218	0.145925
6.197126	0.137449
6.397033	0.129346
6.596940	0.121723
6.796847	0.113465
6.996755	0.108868
7.196662	0.102337
7.396569	0.094540
7.596477	0.089052
7.796384	0.083678
7.996291	0.078886
8.196198	0.072932
8.396106	0.067795
8.596013	0.063338
8.795920	0.057633
8.995827	0.052954
9.195735	0.049031
9.395642	0.047390
9.595549	0.044413
9.795457	0.039981
9.995364	0.037600
10.195271	0.033976
10.395178	0.032483
10.595086	0.029770
10.794993	0.025963
10.994900	0.022161
11.194808	0.020842
11.394715	0.018846
11.594622	0.017025
11.794529	0.013120
11.994437	0.014543
12.194344	0.010796
12.394251	0.008993
12.594158	0.007389
12.794066	0.005024


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

0.524288	162.766178
1.048576	88.106374
1.572864	197.422745
2.359296	144.874290
2.883584	111.795187
3.407872	95.115652
3.932160	116.626116
4.718592	168.363291
5.242880	194.895994
5.767168	293.784506
6.553600	237.032519
7.077888	174.686114
7.602176	348.688910
8.388608	71.858925
8.912896	176.189193
9.437184	200.085417
9.961472	144.187472
10.747904	118.976586
11.272192	182.679846
11.796480	203.828802
12.582912	222.070693
13.107200	278.490523
13.631488	170.018977
14.155776	91.718279
14.942208	61.858970
15.466496	59.121528
15.990784	89.225618
16.777216	28.606411
17.301504	31.159782
17.825792	41.102114
18.612224	55.905276
19.136512	142.675867
19.660800	244.739495
20.185088	269.424229
20.971520	47.275117
21.495808	63.164986
22.020096	98.792093
22.806528	40.624502
23.330816	25.311101
23.855104	13.973006
24.379392	63.798679
25.165824	75.495748
25.690112	88.519497
26.214400	99.902370
27.000832	74.983573
27.525120	86.779978
28.049408	54.725423
28.835840	18.701965
29.360128	19.021811
29.884416	36.119330
30.408704	86.381924
31.195136	33.872514
31.719424	62.482834
32.243712	77.907499
33.030144	108.394245
33.554432	189.538501
34.078720	199.832329
34.603008	324.132139
35.389440	140.869031
35.913728	159.973644
36.438016	135.000149
37.224448	106.849667
37.748736	178.923301
38.273024	177.249301
38.797312	148.543629
39.583744	220.142247
40.108032	218.718203
40.632320	77.776047
41.418752	31.141255
41.943040	19.454741
42.467328	20.587700
43.253760	65.568150
43.778048	104.690551
44.302336	120.416740
44.826624	168.775368
45.613056	124.674143
46.137344	136.223422
46.661632	100.709808
47.448064	85.072555
47.972352	109.017473
48.496640	37.097931
49.020928	40.119153
49.807360	128.584437
50.331648	132.862214
50.855936	224.119991
51.642368	193.962095
52.166656	86.184787
52.690944	125.746626
53.477376	174.141631
54.001664	41.185360
54.525952	51.895106
55.050240	70.718413
55.836672	85.421461
56.360960	21.215468
56.885248	19.347007
57.671680	22.541035
58.195968	21.648197
58.720256	82.495537
59.244544	47.351227
60.030976	34.708017
60.555264	22.022128
61.079552	47.334624
61.865984	61.580962
62.390272	70.025665
62.914560	155.792218
63.438848	77.534106
64.225280	100.530600
64.749568	152.626351
65.273856	210.222225
66.060288	144.480001
66.584576	279.891205
67.108864	432.454483
67.895296	487.716537
68.419584	481.251874
68.943872	490.788520
69.468160	555.355815
70.254592	276.749180
70.778880	293.845793
71.303168	208.474323
72.089600	243.033946
72.613888	124.017637
73.138176	180.418900
73.662464	146.671367
74.448896	201.152784
74.973184	143.177565
75.497472	259.020529
76.283904	251.912183
76.808192	323.431487
77.332480	355.383786
78.118912	334.494430
78.643200	424.449254
79.167488	534.138650
79.691776	641.478762
80.478208	183.408060
81.002496	150.657734
81.526784	166.957650
82.313216	136.576502
82.837504	127.620658
83.361792	198.357186
83.886080	284.777917
84.672512	248.269472
