DWS Measurement v9.2.8
08/22/18 12:00:21 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	25.00
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	465.0
l* (microns):	949.85
Mean Count Rate (kHz):	164.3


Lag time (s)	g2-1

1.250000E-8	0.995738
2.500000E-8	0.999074
3.750000E-8	0.999615
5.000000E-8	1.002852
6.250000E-8	1.004680
7.500000E-8	0.997442
8.750000E-8	0.997688
1.000000E-7	1.002903
1.125000E-7	1.002030
1.250000E-7	0.988202
1.375000E-7	0.983310
1.500000E-7	0.998926
1.625000E-7	0.994004
1.750000E-7	0.997706
1.875000E-7	0.993565
2.000000E-7	1.006165
2.125000E-7	0.992149
2.375000E-7	1.004485
2.625000E-7	0.996984
2.875000E-7	0.991751
3.125000E-7	0.986601
3.375000E-7	0.993182
3.625000E-7	0.994024
3.875000E-7	0.987520
4.125000E-7	0.992327
4.625000E-7	0.990880
5.125000E-7	0.990111
5.625000E-7	0.987334
6.125000E-7	0.994598
6.625000E-7	0.991439
7.125000E-7	0.991417
7.625000E-7	0.992669
8.125000E-7	0.989383
9.125000E-7	0.993195
1.012500E-6	0.993865
1.112500E-6	0.989412
1.212500E-6	0.989544
1.312500E-6	0.987213
1.412500E-6	0.988339
1.512500E-6	0.989493
1.612500E-6	0.989006
1.812500E-6	0.990296
2.012500E-6	0.991493
2.212500E-6	0.990160
2.412500E-6	0.987353
2.612500E-6	0.984927
2.812500E-6	0.987992
3.012500E-6	0.987629
3.212500E-6	0.988305
3.612500E-6	0.987798
4.012500E-6	0.986408
4.412500E-6	0.985388
4.812500E-6	0.984223
5.212500E-6	0.983738
5.612500E-6	0.980851
6.012500E-6	0.981015
6.412500E-6	0.982322
7.212500E-6	0.979901
8.012500E-6	0.979801
8.812500E-6	0.976416
9.612500E-6	0.978686
1.041250E-5	0.976478
1.121250E-5	0.977190
1.201250E-5	0.973924
1.281250E-5	0.974095
1.441250E-5	0.973573
1.601250E-5	0.972520
1.761250E-5	0.972626
1.921250E-5	0.970895
2.081250E-5	0.969300
2.241250E-5	0.968336
2.401250E-5	0.967424
2.561250E-5	0.966532
2.881250E-5	0.963889
3.201250E-5	0.961956
3.521250E-5	0.962120
3.841250E-5	0.960244
4.161250E-5	0.960320
4.481250E-5	0.958591
4.801250E-5	0.956804
5.121250E-5	0.955334
5.761250E-5	0.954000
6.401250E-5	0.952841
7.041250E-5	0.950443
7.681250E-5	0.948587
8.321250E-5	0.948262
8.961250E-5	0.946161
9.601250E-5	0.944959
0.000102	0.944365
0.000115	0.942390
0.000128	0.940207
0.000141	0.938843
0.000154	0.937287
0.000166	0.935640
0.000179	0.934839
0.000192	0.933849
0.000205	0.932946
0.000230	0.930832
0.000256	0.929037
0.000282	0.927193
0.000307	0.926564
0.000333	0.925174
0.000358	0.923887
0.000384	0.923033
0.000410	0.922323
0.000461	0.920256
0.000512	0.918754
0.000563	0.917324
0.000614	0.916008
0.000666	0.914851
0.000717	0.914159
0.000768	0.912956
0.000819	0.912115
0.000922	0.910510
0.001024	0.908780
0.001126	0.907424
0.001229	0.906146
0.001331	0.905133
0.001434	0.904044
0.001536	0.903374
0.001638	0.902556
0.001843	0.901026
0.002048	0.899409
0.002253	0.897912
0.002458	0.896357
0.002662	0.895199
0.002867	0.894173
0.003072	0.893063
0.003277	0.892267
0.003686	0.890737
0.004096	0.889498
0.004506	0.888255
0.004915	0.887308
0.005325	0.886233
0.005734	0.885308
0.006144	0.884593
0.006554	0.884125
0.007373	0.882973
0.008192	0.881555
0.009011	0.880373
0.009830	0.879194
0.010650	0.878005
0.011469	0.877006
0.012288	0.875652
0.013107	0.874993
0.014746	0.873040
0.016384	0.871389
0.018022	0.869852
0.019661	0.868461
0.021299	0.866500
0.022938	0.864795
0.024576	0.863306
0.026214	0.862658
0.029491	0.861230
0.032768	0.859510
0.036045	0.857531
0.039322	0.856211
0.042598	0.854545
0.045875	0.852625
0.049152	0.851354
0.052429	0.851087
0.058982	0.847526
0.065536	0.844716
0.072090	0.842108
0.078643	0.838951
0.085197	0.836014
0.091750	0.833338
0.098304	0.830396
0.104858	0.831219
0.117965	0.826666
0.131072	0.821762
0.144179	0.817082
0.157286	0.812447
0.170394	0.807630
0.183501	0.803051
0.399815	0.744907
0.599722	0.691217
0.799630	0.641684
0.999537	0.600131
1.199445	0.557195
1.399352	0.517856
1.599260	0.480786
1.799167	0.442716
1.999075	0.413257
2.198982	0.381970
2.398890	0.351932
2.598797	0.327319
2.798705	0.304434
2.998612	0.281222
3.198520	0.261121
3.398427	0.238912
3.598335	0.223385
3.798242	0.206581
3.998149	0.192406
4.198057	0.176322
4.397964	0.163238
4.597872	0.152647
4.797779	0.142433
4.997687	0.130900
5.197594	0.124370
5.397502	0.114113
5.597409	0.104837
5.797317	0.099448
5.997224	0.090796
6.197132	0.084109
6.397039	0.077643
6.596947	0.070171
6.796854	0.064231
6.996762	0.059073
7.196669	0.054832
7.396577	0.051226
7.596484	0.046282
7.796391	0.041111
7.996299	0.037107
8.196206	0.032681
8.396114	0.028440
8.596021	0.024200
8.795929	0.020356
8.995836	0.018605
9.195744	0.013923
9.395651	0.014167
9.595559	0.011966
9.795466	0.009157
9.995374	0.006299
10.195281	0.003914
10.395189	0.002562
10.595096	0.000193
10.795004	-0.001215
10.994911	-0.001974
11.194819	-0.003627
11.394726	-0.001832
11.594634	-0.001791
11.794541	-0.002740
11.994448	-0.003057
12.194356	-0.004526
12.394263	-0.007083
12.594171	-0.006589
12.794078	-0.007266


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

13.205000	171.996472
20.165000	219.706535
27.135000	319.270155
34.095000	354.118875
41.064000	68.591805
48.034000	50.803770
54.995000	142.926775
61.965000	53.613879
68.734000	244.279156
75.514000	618.582190
82.484000	249.241586
89.453000	194.588509
96.413000	191.127326
103.384000	140.295345
110.343000	105.791855
117.312000	255.724213
124.262000	158.412865
124.891146	162.913095
125.939722	164.627096
126.988298	164.068056
127.827158	164.889630
128.875734	167.959241
129.924310	163.846445
130.972886	167.762193
132.021462	167.980473
133.070038	166.003582
133.908899	167.301076
134.957475	167.580697
136.006051	166.772207
137.054627	165.825176
138.103203	167.497124
139.151779	166.870708
140.200355	167.502692
141.248931	167.820950
142.297507	165.590171
143.136368	162.850180
144.184944	163.387641
145.233520	165.837207
146.282096	166.788407
147.330672	167.244097
148.379248	164.966700
149.427824	165.772999
150.476400	163.444995
151.524976	161.422956
152.573552	160.394831
153.412413	162.109867
154.460989	163.625568
155.509565	161.674759
156.558141	163.464857
157.606717	164.475395
158.655293	164.042023
159.703869	164.838772
160.752445	165.847343
161.801021	164.267032
162.849597	167.345213
163.898173	167.215824
164.737034	166.238844
165.785610	165.403696
166.834186	168.779983
167.882762	167.843565
168.931338	165.637357
169.979914	165.448379
171.028490	167.136925
172.077066	166.930284
173.125642	165.221033
173.964502	166.918639
175.013078	166.163982
176.061654	167.257006
177.110230	166.915088
178.158806	166.829713
179.207382	165.754320
180.255958	165.738071
181.304534	165.089414
182.353110	167.891873
183.401686	167.708813

Measurement Notes:

