DWS Measurement v9.2.8
10/02/18 5:23:04 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	20.01
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	465.0
l* (microns):	1020.79
Mean Count Rate (kHz):	163.8


Lag time (s)	g2-1

1.250000E-8	0.997779
2.500000E-8	0.992473
3.750000E-8	1.000230
5.000000E-8	0.996539
6.250000E-8	0.997308
7.500000E-8	1.000230
8.750000E-8	0.992779
1.000000E-7	0.997316
1.125000E-7	1.006550
1.250000E-7	1.000440
1.375000E-7	1.005890
1.500000E-7	1.003280
1.625000E-7	1.006740
1.750000E-7	0.994684
1.875000E-7	1.005520
2.000000E-7	1.010810
2.125000E-7	1.004630
2.375000E-7	0.998298
2.625000E-7	1.003090
2.875000E-7	1.004840
3.125000E-7	1.000880
3.375000E-7	0.998228
3.625000E-7	0.995059
3.875000E-7	1.003720
4.125000E-7	1.001850
4.625000E-7	0.999498
5.125000E-7	0.995564
5.625000E-7	0.992716
6.125000E-7	0.996582
6.625000E-7	0.994208
7.125000E-7	1.000690
7.625000E-7	0.998554
8.125000E-7	0.998007
9.125000E-7	0.995759
1.012500E-6	0.997120
1.112500E-6	0.995881
1.212500E-6	0.995561
1.312500E-6	0.994991
1.412500E-6	0.997325
1.512500E-6	0.999232
1.612500E-6	0.999405
1.812500E-6	0.998921
2.012500E-6	0.994919
2.212500E-6	0.994587
2.412500E-6	0.993044
2.612500E-6	0.991548
2.812500E-6	0.993862
3.012500E-6	0.993055
3.212500E-6	0.993610
3.612500E-6	0.993246
4.012500E-6	0.990906
4.412500E-6	0.990407
4.812500E-6	0.990930
5.212500E-6	0.990194
5.612500E-6	0.986946
6.012500E-6	0.986629
6.412500E-6	0.988333
7.212500E-6	0.986903
8.012500E-6	0.986952
8.812500E-6	0.984468
9.612500E-6	0.984382
1.041250E-5	0.983631
1.121250E-5	0.983074
1.201250E-5	0.980949
1.281250E-5	0.981149
1.441250E-5	0.980641
1.601250E-5	0.979384
1.761250E-5	0.978930
1.921250E-5	0.978487
2.081250E-5	0.977351
2.241250E-5	0.976437
2.401250E-5	0.975337
2.561250E-5	0.973859
2.881250E-5	0.971302
3.201250E-5	0.969229
3.521250E-5	0.968660
3.841250E-5	0.968185
4.161250E-5	0.966246
4.481250E-5	0.965321
4.801250E-5	0.963403
5.121250E-5	0.961990
5.761250E-5	0.960611
6.401250E-5	0.959078
7.041250E-5	0.956898
7.681250E-5	0.955235
8.321250E-5	0.954720
8.961250E-5	0.952298
9.601250E-5	0.951398
0.000102	0.950350
0.000115	0.947989
0.000128	0.946196
0.000141	0.944627
0.000154	0.942482
0.000166	0.941212
0.000179	0.940155
0.000192	0.939088
0.000205	0.937912
0.000230	0.935720
0.000256	0.933860
0.000282	0.932274
0.000307	0.930875
0.000333	0.929420
0.000358	0.928082
0.000384	0.927220
0.000410	0.926218
0.000461	0.924109
0.000512	0.922427
0.000563	0.920989
0.000614	0.919666
0.000666	0.918463
0.000717	0.917319
0.000768	0.916151
0.000819	0.915280
0.000922	0.913577
0.001024	0.911863
0.001126	0.910486
0.001229	0.909210
0.001331	0.907974
0.001434	0.906832
0.001536	0.905868
0.001638	0.904926
0.001843	0.903274
0.002048	0.901745
0.002253	0.900161
0.002458	0.898732
0.002662	0.897437
0.002867	0.896412
0.003072	0.895520
0.003277	0.894575
0.003686	0.892797
0.004096	0.891258
0.004506	0.889698
0.004915	0.888369
0.005325	0.887248
0.005734	0.886336
0.006144	0.885417
0.006554	0.884642
0.007373	0.883026
0.008192	0.881373
0.009011	0.879791
0.009830	0.878429
0.010650	0.877167
0.011469	0.876043
0.012288	0.874876
0.013107	0.874127
0.014746	0.872537
0.016384	0.871151
0.018022	0.869607
0.019661	0.867949
0.021299	0.866248
0.022938	0.864711
0.024576	0.863069
0.026214	0.862312
0.029491	0.860434
0.032768	0.858656
0.036045	0.856677
0.039322	0.855055
0.042598	0.853078
0.045875	0.851325
0.049152	0.850191
0.052429	0.849276
0.058982	0.845670
0.065536	0.842853
0.072090	0.839862
0.078643	0.836537
0.085197	0.833994
0.091750	0.831217
0.098304	0.828401
0.104858	0.827884
0.117965	0.822901
0.131072	0.817345
0.144179	0.812113
0.157286	0.806590
0.170394	0.801670
0.183501	0.797234
0.399815	0.751772
0.599722	0.717332
0.799630	0.676835
0.999537	0.649325
1.199440	0.614259
1.399350	0.581965
1.599260	0.556322
1.799170	0.524763
1.999070	0.500642
2.198980	0.474310
2.398890	0.447194
2.598800	0.428828
2.798700	0.404176
2.998610	0.382490
3.198520	0.364959
3.398430	0.343738
3.598330	0.326909
3.798240	0.309669
3.998150	0.293068
4.198060	0.282125
4.397960	0.264898
4.597870	0.252358
4.797780	0.241507
4.997680	0.228681
5.197590	0.218566
5.397500	0.206323
5.597410	0.195779
5.797320	0.187509
5.997220	0.177458
6.197130	0.169978
6.397040	0.162353
6.596940	0.154223
6.796850	0.148210
6.996760	0.139518
7.196670	0.131995
7.396570	0.128257
7.596480	0.120043
7.796390	0.114702
7.996300	0.109885
8.196200	0.106060
8.396110	0.101916
8.596020	0.096235
8.795930	0.091723
8.995830	0.090705
9.195740	0.086441
9.395650	0.083617
9.595550	0.081255
9.795460	0.079591
9.995370	0.075178
10.195300	0.073031
10.395200	0.070830
10.595100	0.067516
10.795000	0.065453
10.994900	0.063324
11.194800	0.061049
11.394700	0.059215
11.594600	0.060073
11.794500	0.057198
11.994400	0.055500
12.194400	0.053778
12.394300	0.050895
12.594200	0.051277
12.794100	0.050047


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

13.383000	107.524899
20.352000	147.682589
27.312000	261.392034
34.281000	86.115349
41.252000	40.601780
48.221000	206.725086
55.192000	189.633152
62.152000	78.412065
69.111000	525.948643
76.071000	113.205890
83.042000	196.983590
90.012000	168.440274
96.781000	160.108119
103.749000	60.161044
110.701000	208.271207
117.661000	202.309631
124.429000	131.651437
125.058146	171.822155
126.106722	171.779328
127.155298	169.078782
127.994158	167.600124
129.042734	167.059865
130.091310	168.484297
131.139886	169.849169
132.188462	167.128186
133.237038	167.849779
134.075899	169.081585
135.124475	166.205967
136.173051	167.284544
137.221627	169.863185
138.270203	168.625942
139.318779	168.665563
140.367355	169.787336
141.415931	170.031589
142.464507	169.300381
143.303368	170.741291
144.351944	167.209395
145.400520	169.208059
146.449096	169.404310
147.497672	170.333655
148.546248	171.577137
149.594824	168.853426
150.643400	168.815562
151.691976	167.588188
152.740552	170.183474
153.579413	168.110768
154.627989	168.144777
155.676565	168.381252
156.725141	168.497562
157.773717	165.662737
158.822293	167.303049
159.870869	170.171250
160.919445	168.316006
161.968021	168.534431
163.016597	167.284920
163.855458	167.119651
164.904034	167.574393
165.952610	168.810529
167.001186	168.235449
168.049762	168.855370
169.098338	169.122449
170.146914	167.992282
171.195490	167.416186
172.244066	168.489651
173.292642	168.786711
174.341218	167.628538
175.180078	167.516282
176.228654	169.894613
177.277230	167.036872
178.325806	166.604035
179.374382	166.353315
180.422958	166.709133
0.000000	0.000000
0.000000	0.000000
0.000000	0.000000

Measurement Notes:

