DWS Measurement v9.2.8 
08/22/18 11:04:41 AM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	20.01
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	465.0
l* (microns):	1020.79
Mean Count Rate (kHz):	163.8


Lag time (s)	g2-1

1.25E-08	0.997779
 2.5E-08	0.992473
3.75E-08	 1.00023
   5E-08	0.996539
6.25E-08	0.997308
 7.5E-08	 1.00023
8.75E-08	0.992779
   1E-07	0.997316
1.125E-07	 1.00655
1.25E-07	 1.00044
1.375E-07	 1.00589
 1.5E-07	 1.00328
1.625E-07	 1.00674
1.75E-07	0.994684
1.875E-07	 1.00552
   2E-07	 1.01081
2.125E-07	 1.00463
2.375E-07	0.998298
2.625E-07	 1.00309
2.875E-07	 1.00484
3.125E-07	 1.00088
3.375E-07	0.998228
3.625E-07	0.995059
3.875E-07	 1.00372
4.125E-07	 1.00185
4.625E-07	0.999498
5.125E-07	0.995564
5.625E-07	0.992716
6.125E-07	0.996582
6.625E-07	0.994208
7.125E-07	 1.00069
7.625E-07	0.998554
8.125E-07	0.998007
9.125E-07	0.995759
1.0125E-06	 0.99712
1.1125E-06	0.995881
1.2125E-06	0.995561
1.3125E-06	0.994991
1.4125E-06	0.997325
1.5125E-06	0.999232
1.6125E-06	0.999405
1.8125E-06	0.998921
2.0125E-06	0.994919
2.2125E-06	0.994587
2.4125E-06	0.993044
2.6125E-06	0.991548
2.8125E-06	0.993862
3.0125E-06	0.993055
3.2125E-06	 0.99361
3.6125E-06	0.993246
4.0125E-06	0.990906
4.4125E-06	0.990407
4.8125E-06	 0.99093
5.2125E-06	0.990194
5.6125E-06	0.986946
6.0125E-06	0.986629
6.4125E-06	0.988333
7.2125E-06	0.986903
8.0125E-06	0.986952
8.8125E-06	0.984468
9.6125E-06	0.984382
1.04125E-05	0.983631
1.12125E-05	0.983074
1.20125E-05	0.980949
1.28125E-05	0.981149
1.44125E-05	0.980641
1.60125E-05	0.979384
1.76125E-05	 0.97893
1.92125E-05	0.978487
2.08125E-05	0.977351
2.24125E-05	0.976437
2.40125E-05	0.975337
2.56125E-05	0.973859
2.88125E-05	0.971302
3.20125E-05	0.969229
3.52125E-05	 0.96866
3.84125E-05	0.968185
4.16125E-05	0.966246
4.48125E-05	0.965321
4.80125E-05	0.963403
5.12125E-05	 0.96199
5.76125E-05	0.960611
6.40125E-05	0.959078
7.04125E-05	0.956898
7.68125E-05	0.955235
8.32125E-05	 0.95472
8.96125E-05	0.952298
9.60125E-05	0.951398
0.000102	 0.95035
0.000115	0.947989
0.000128	0.946196
0.000141	0.944627
0.000154	0.942482
0.000166	0.941212
0.000179	0.940155
0.000192	0.939088
0.000205	0.937912
 0.00023	 0.93572
0.000256	 0.93386
0.000282	0.932274
0.000307	0.930875
0.000333	 0.92942
0.000358	0.928082
0.000384	 0.92722
 0.00041	0.926218
0.000461	0.924109
0.000512	0.922427
0.000563	0.920989
0.000614	0.919666
0.000666	0.918463
0.000717	0.917319
0.000768	0.916151
0.000819	 0.91528
0.000922	0.913577
0.001024	0.911863
0.001126	0.910486
0.001229	 0.90921
0.001331	0.907974
0.001434	0.906832
0.001536	0.905868
0.001638	0.904926
0.001843	0.903274
0.002048	0.901745
0.002253	0.900161
0.002458	0.898732
0.002662	0.897437
0.002867	0.896412
0.003072	 0.89552
0.003277	0.894575
0.003686	0.892797
0.004096	0.891258
0.004506	0.889698
0.004915	0.888369
0.005325	0.887248
0.005734	0.886336
0.006144	0.885417
0.006554	0.884642
0.007373	0.883026
0.008192	0.881373
0.009011	0.879791
 0.00983	0.878429
 0.01065	0.877167
0.011469	0.876043
0.012288	0.874876
0.013107	0.874127
0.014746	0.872537
0.016384	0.871151
0.018022	0.869607
0.019661	0.867949
0.021299	0.866248
0.022938	0.864711
0.024576	0.863069
0.026214	0.862312
0.029491	0.860434
0.032768	0.858656
0.036045	0.856677
0.039322	0.855055
0.042598	0.853078
0.045875	0.851325
0.049152	0.850191
0.052429	0.849276
0.058982	 0.84567
0.065536	0.842853
 0.07209	0.839862
0.078643	0.836537
0.085197	0.833994
 0.09175	0.831217
0.098304	0.828401
0.104858	0.827884
0.117965	0.822901
0.131072	0.817345
0.144179	0.812113
0.157286	 0.80659
0.170394	 0.80167
0.183501	0.797234
0.399815	0.751772
0.599722	0.717332
 0.79963	0.676835
0.999537	0.649325
 1.19944	0.614259
 1.39935	0.581965
 1.59926	0.556322
 1.79917	0.524763
 1.99907	0.500642
 2.19898	 0.47431
 2.39889	0.447194
  2.5988	0.428828
  2.7987	0.404176
 2.99861	 0.38249
 3.19852	0.364959
 3.39843	0.343738
 3.59833	0.326909
 3.79824	0.309669
 3.99815	0.293068
 4.19806	0.282125
 4.39796	0.264898
 4.59787	0.252358
 4.79778	0.241507
 4.99768	0.228681
 5.19759	0.218566
  5.3975	0.206323
 5.59741	0.195779
 5.79732	0.187509
 5.99722	0.177458
 6.19713	0.169978
 6.39704	0.162353
 6.59694	0.154223
 6.79685	 0.14821
 6.99676	0.139518
 7.19667	0.131995
 7.39657	0.128257
 7.59648	0.120043
 7.79639	0.114702
  7.9963	0.109885
  8.1962	 0.10606
 8.39611	0.101916
 8.59602	0.096235
 8.79593	0.091723
 8.99583	0.0907055
 9.19574	0.086441
 9.39565	0.0836175
 9.59555	0.081255
 9.79546	0.079591
 9.99537	0.075178
 10.1953	0.073031
 10.3952	0.0708295
 10.5951	0.0675155
  10.795	0.065453
 10.9949	0.0633235
 11.1948	0.0610495
 11.3947	0.059215
 11.5946	0.0600725
 11.7945	0.057198
 11.9944	0.0554995
 12.1944	0.053778
 12.3943	0.050895
 12.5942	0.0512765
 12.7941	0.0500465


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

  6.423000	 54.836692
 13.383000	107.524899
 20.352000	147.682589
 27.312000	261.392034
 34.281000	 86.115349
 41.252000	 40.601780
 48.221000	206.725086
 55.192000	189.633152
 62.152000	 78.412065
 69.111000	525.948643
 76.071000	113.205890
 83.042000	196.983590
 90.012000	168.440274
 96.781000	160.108119
103.749000	 60.161044
110.701000	208.271207
117.661000	202.309631
124.429000	131.651437
125.058146	171.822155
126.106722	171.779328
127.155298	169.078782
127.994158	167.600124
129.042734	167.059865
130.091310	168.484297
131.139886	169.849169
132.188462	167.128186
133.237038	167.849779
134.075899	169.081585
135.124475	166.205967
136.173051	167.284544
137.221627	169.863185
138.270203	168.625942
139.318779	168.665563
140.367355	169.787336
141.415931	170.031589
142.464507	169.300381
143.303368	170.741291
144.351944	167.209395
145.400520	169.208059
146.449096	169.404310
147.497672	170.333655
148.546248	171.577137
149.594824	168.853426
150.643400	168.815562
151.691976	167.588188
152.740552	170.183474
153.579413	168.110768
154.627989	168.144777
155.676565	168.381252
156.725141	168.497562
157.773717	165.662737
158.822293	167.303049
159.870869	170.171250
160.919445	168.316006
161.968021	168.534431
163.016597	167.284920
163.855458	167.119651
164.904034	167.574393
165.952610	168.810529
167.001186	168.235449
168.049762	168.855370
169.098338	169.122449
170.146914	167.992282
171.195490	167.416186
172.244066	168.489651
173.292642	168.786711
174.341218	167.628538
175.180078	167.516282
176.228654	169.894613
177.277230	167.036872
178.325806	166.604035
179.374382	166.353315
180.422958	166.709133

Measurement notes:

