DWS Measurement v9.2.8 
08/22/18 7:41:17 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	19.99
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	465.0
l* (microns):	989.03
Mean Count Rate (kHz):	170.1


Lag time (s)	g2-1

1.25E-08	 1.01162
 2.5E-08	0.999184
3.75E-08	 1.00282
   5E-08	0.999104
6.25E-08	0.998202
 7.5E-08	   1.006
8.75E-08	0.998131
   1E-07	0.997965
1.125E-07	 1.00604
1.25E-07	0.996596
1.375E-07	 1.00338
 1.5E-07	0.999094
1.625E-07	0.993907
1.75E-07	 1.00215
1.875E-07	0.993068
   2E-07	0.999194
2.125E-07	0.995774
2.375E-07	0.996233
2.625E-07	 1.00032
2.875E-07	0.996535
3.125E-07	 1.00065
3.375E-07	0.998579
3.625E-07	0.995471
3.875E-07	0.994333
4.125E-07	0.998026
4.625E-07	0.998153
5.125E-07	0.992376
5.625E-07	0.992295
6.125E-07	0.993325
6.625E-07	0.991089
7.125E-07	0.994788
7.625E-07	0.996376
8.125E-07	0.994826
9.125E-07	0.995775
1.0125E-06	0.994027
1.1125E-06	0.993782
1.2125E-06	0.993744
1.3125E-06	0.996076
1.4125E-06	 0.99512
1.5125E-06	0.997044
1.6125E-06	0.997464
1.8125E-06	0.995252
2.0125E-06	0.995425
2.2125E-06	0.991231
2.4125E-06	0.991308
2.6125E-06	0.990191
2.8125E-06	0.990837
3.0125E-06	 0.99383
3.2125E-06	 0.99517
3.6125E-06	0.991051
4.0125E-06	0.988205
4.4125E-06	0.989282
4.8125E-06	 0.99057
5.2125E-06	0.990351
5.6125E-06	0.986184
6.0125E-06	0.986799
6.4125E-06	0.987401
7.2125E-06	0.985097
8.0125E-06	0.985276
8.8125E-06	0.983051
9.6125E-06	0.983163
1.04125E-05	0.981776
1.12125E-05	0.982928
1.20125E-05	0.980291
1.28125E-05	0.980787
1.44125E-05	0.980013
1.60125E-05	0.979254
1.76125E-05	0.979041
1.92125E-05	0.978206
2.08125E-05	0.978262
2.24125E-05	0.977235
2.40125E-05	 0.97489
2.56125E-05	0.974062
2.88125E-05	0.971469
3.20125E-05	0.970381
3.52125E-05	0.969489
3.84125E-05	0.969695
4.16125E-05	0.968608
4.48125E-05	 0.96704
4.80125E-05	0.965084
5.12125E-05	0.964235
5.76125E-05	0.963059
6.40125E-05	 0.96156
7.04125E-05	0.959596
7.68125E-05	0.958751
8.32125E-05	0.958083
8.96125E-05	0.956355
9.60125E-05	0.955293
0.000102	0.954593
0.000115	0.952359
0.000128	 0.95104
0.000141	0.949524
0.000154	   0.948
0.000166	0.947087
0.000179	0.946065
0.000192	0.944889
0.000205	0.944146
 0.00023	0.942561
0.000256	0.941206
0.000282	0.939773
0.000307	0.938968
0.000333	0.937665
0.000358	0.936592
0.000384	 0.93605
 0.00041	0.935189
0.000461	0.933797
0.000512	0.932619
0.000563	0.931685
0.000614	0.930635
0.000666	0.929929
0.000717	0.929062
0.000768	0.928259
0.000819	0.927775
0.000922	0.926783
0.001024	0.925738
0.001126	0.924888
0.001229	0.923934
0.001331	0.923168
0.001434	0.922562
0.001536	0.921823
0.001638	 0.92131
0.001843	0.920085
0.002048	0.918982
0.002253	0.918258
0.002458	0.917456
0.002662	 0.91664
0.002867	0.915905
0.003072	0.915167
0.003277	0.914505
0.003686	0.913421
0.004096	0.912389
0.004506	0.911625
0.004915	0.910911
0.005325	0.910469
0.005734	 0.91001
0.006144	0.909834
0.006554	0.909738
0.007373	0.909601
0.008192	0.909664
0.009011	0.909536
 0.00983	0.909264
 0.01065	0.908762
0.011469	0.908151
0.012288	0.907497
0.013107	0.907186
0.014746	0.906831
0.016384	0.907428
0.018022	0.907714
0.019661	0.906879
0.021299	0.905151
0.022938	0.903252
0.024576	0.901981
0.026214	0.902211
0.029491	0.902911
0.032768	 0.90247
0.036045	0.901569
0.039322	0.900708
0.042598	0.898855
0.045875	0.898193
0.049152	0.899176
0.052429	0.898961
0.058982	0.896372
0.065536	0.895341
 0.07209	0.894333
0.078643	0.891625
0.085197	0.891145
 0.09175	 0.88926
0.098304	0.887575
0.104858	 0.88791
0.117965	0.884927
0.131072	0.881717
0.144179	 0.87871
0.157286	0.876071
0.170394	0.873555
0.183501	0.870776
0.399815	0.843812
0.599723	0.824241
 0.79963	0.794457
0.999538	0.775915
 1.19945	 0.75313
 1.39935	0.730878
 1.59926	0.713868
 1.79917	0.691285
 1.99908	0.673535
 2.19898	0.655725
 2.39889	0.635818
  2.5988	0.621826
 2.79871	0.601557
 2.99861	0.586041
 3.19852	0.572344
 3.39843	0.554523
 3.59834	0.542498
 3.79824	 0.52639
 3.99815	0.510729
 4.19806	 0.50092
 4.39797	0.483752
 4.59788	0.471528
 4.79778	0.460484
 4.99769	0.445281
  5.1976	0.437113
  5.3975	0.423573
 5.59741	0.410323
 5.79732	0.401178
 5.99723	0.388909
 6.19714	 0.37939
 6.39704	0.369405
 6.59695	0.357731
 6.79686	0.351121
 6.99677	0.339332
 7.19667	0.330403
 7.39658	0.322456
 7.59649	0.312284
  7.7964	0.304936
  7.9963	0.296933
 8.19621	0.289152
 8.39612	0.284196
 8.59603	0.274009
 8.79594	0.267819
 8.99584	0.261268
 9.19575	0.253189
 9.39566	0.247147
 9.59557	0.238769
 9.79547	0.233029
 9.99538	0.228422
 10.1953	0.220001
 10.3952	0.213617
 10.5951	0.208456
  10.795	 0.20163
 10.9949	0.196899
 11.1948	0.191227
 11.3947	0.184262
 11.5946	0.180722
 11.7945	0.175076
 11.9945	0.169682
 12.1944	0.164334
 12.3943	0.160531
 12.5942	0.156034
 12.7941	0.150647


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

  6.424000	 72.114759
 13.383000	 78.129740
 20.352000	341.687429
 27.311000	 69.903807
 34.282000	106.592894
 41.231000	 43.213246
 48.190000	345.811755
 55.152000	 39.381717
 62.122000	 37.740176
 69.083000	 44.594886
 76.052000	183.468298
 83.020000	 64.137030
 89.981000	 60.828721
 96.950000	217.563416
103.911000	148.378502
110.880000	 84.365341
117.841000	 75.212507
124.810000	277.356912
125.439146	174.085900
126.487722	175.453840
127.536298	175.548458
128.375158	175.334922
129.423734	175.087574
130.472310	176.857506
131.520886	176.676834
132.569462	175.752043
133.618038	177.342178
134.456899	178.037766
135.505475	176.703891
136.554051	176.715832
137.602627	177.960396
138.651203	179.707323
139.699779	178.191519
140.748355	178.714585
141.796931	176.934540
142.635792	177.240084
143.684368	180.033954
144.732944	178.520604
145.781520	177.693502
146.830096	177.460221
147.878672	179.080534
148.927248	177.269774
149.975824	174.902304
151.024400	174.935901
151.863261	175.397884
152.911837	175.100556
153.960413	175.107358
155.008989	172.038865
156.057565	170.802762
157.106141	171.795974
158.154717	173.321132
159.203293	174.023092
160.251869	175.380485
161.300445	174.968156
162.139306	175.089022
163.187882	175.147279
164.236458	178.322764
165.285034	177.166444
166.333610	176.656845
167.382186	176.122043
168.430762	176.557440
169.479338	178.976351
170.318198	180.233635
171.366774	177.454358
172.415350	176.338504
173.463926	177.351216
174.512502	179.334773
175.561078	174.591646
176.609654	174.980157
177.658230	177.342788
178.706806	178.046173
179.545667	178.915182
180.594243	177.206085
181.642819	175.423277

Measurement notes:

