DWS Measurement v9.2.8 
08/22/18 8:26:10 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	25.00
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	465.0
l* (microns):	971.08
Mean Count Rate (kHz):	166.1


Lag time (s)	g2-1

1.250000E-8	0.999490
2.500000E-8	0.998381
3.750000E-8	0.998745
5.000000E-8	0.997241
6.250000E-8	1.002990
7.500000E-8	0.999693
8.750000E-8	1.003209
1.000000E-7	0.993324
1.125000E-7	1.007949
1.250000E-7	1.003305
1.375000E-7	1.011840
1.500000E-7	0.995874
1.625000E-7	0.998191
1.750000E-7	0.997290
1.875000E-7	1.006571
2.000000E-7	1.006881
2.125000E-7	0.996229
2.375000E-7	0.995334
2.625000E-7	0.995026
2.875000E-7	1.004955
3.125000E-7	1.001849
3.375000E-7	0.998107
3.625000E-7	0.997362
3.875000E-7	0.994020
4.125000E-7	0.995447
4.625000E-7	1.008832
5.125000E-7	0.997154
5.625000E-7	1.000939
6.125000E-7	0.998751
6.625000E-7	1.000139
7.125000E-7	0.987788
7.625000E-7	0.995972
8.125000E-7	0.999397
9.125000E-7	0.997855
1.012500E-6	0.996410
1.112500E-6	0.993995
1.212500E-6	0.994439
1.312500E-6	0.996826
1.412500E-6	0.993437
1.512500E-6	1.001450
1.612500E-6	1.000006
1.812500E-6	0.999747
2.012500E-6	0.994906
2.212500E-6	0.995646
2.412500E-6	0.992395
2.612500E-6	0.993121
2.812500E-6	0.994843
3.012500E-6	0.994750
3.212500E-6	0.995292
3.612500E-6	0.994680
4.012500E-6	0.990396
4.412500E-6	0.991659
4.812500E-6	0.994282
5.212500E-6	0.991872
5.612500E-6	0.989985
6.012500E-6	0.986195
6.412500E-6	0.990047
7.212500E-6	0.987028
8.012500E-6	0.987740
8.812500E-6	0.984107
9.612500E-6	0.984405
1.041250E-5	0.984232
1.121250E-5	0.985567
1.201250E-5	0.982768
1.281250E-5	0.983151
1.441250E-5	0.982282
1.601250E-5	0.980736
1.761250E-5	0.981198
1.921250E-5	0.980156
2.081250E-5	0.980900
2.241250E-5	0.978794
2.401250E-5	0.977922
2.561250E-5	0.976066
2.881250E-5	0.974527
3.201250E-5	0.972025
3.521250E-5	0.971548
3.841250E-5	0.971533
4.161250E-5	0.969623
4.481250E-5	0.969394
4.801250E-5	0.967534
5.121250E-5	0.966936
5.761250E-5	0.964895
6.401250E-5	0.963538
7.041250E-5	0.961421
7.681250E-5	0.961251
8.321250E-5	0.960187
8.961250E-5	0.958707
9.601250E-5	0.957522
0.000102	0.956957
0.000115	0.954884
0.000128	0.954603
0.000141	0.953205
0.000154	0.951612
0.000166	0.950971
0.000179	0.949725
0.000192	0.948880
0.000205	0.948047
0.000230	0.946549
0.000256	0.945270
0.000282	0.944348
0.000307	0.943021
0.000333	0.942268
0.000358	0.941697
0.000384	0.940704
0.000410	0.940482
0.000461	0.939172
0.000512	0.938116
0.000563	0.936959
0.000614	0.936327
0.000666	0.935839
0.000717	0.935008
0.000768	0.934495
0.000819	0.933941
0.000922	0.932774
0.001024	0.931783
0.001126	0.931009
0.001229	0.930077
0.001331	0.929409
0.001434	0.928631
0.001536	0.927985
0.001638	0.927471
0.001843	0.926195
0.002048	0.925334
0.002253	0.924438
0.002458	0.923707
0.002662	0.922696
0.002867	0.921681
0.003072	0.921002
0.003277	0.920427
0.003686	0.919118
0.004096	0.918028
0.004506	0.917050
0.004915	0.916324
0.005325	0.915690
0.005734	0.915357
0.006144	0.914842
0.006554	0.914728
0.007373	0.914532
0.008192	0.914430
0.009011	0.914045
0.009830	0.913186
0.010650	0.912337
0.011469	0.911348
0.012288	0.909967
0.013107	0.909510
0.014746	0.908449
0.016384	0.908210
0.018022	0.908194
0.019661	0.907089
0.021299	0.905043
0.022938	0.902757
0.024576	0.901363
0.026214	0.901247
0.029491	0.900625
0.032768	0.898832
0.036045	0.896863
0.039322	0.895307
0.042598	0.892849
0.045875	0.891264
0.049152	0.891141
0.052429	0.890170
0.058982	0.886450
0.065536	0.883482
0.072090	0.880641
0.078643	0.876723
0.085197	0.874280
0.091750	0.871170
0.098304	0.868309
0.104858	0.867185
0.117965	0.862035
0.131072	0.856792
0.144179	0.852013
0.157286	0.847524
0.170394	0.842470
0.183501	0.837219
0.399815	0.756281
0.599722	0.692039
0.799630	0.633862
0.999537	0.580663
1.199445	0.531537
1.399352	0.486358
1.599260	0.445277
1.799167	0.408283
1.999075	0.372563
2.198982	0.341479
2.398889	0.309755
2.598797	0.283786
2.798704	0.259442
2.998612	0.236530
3.198519	0.215466
3.398427	0.196406
3.598334	0.180212
3.798242	0.162823
3.998149	0.149102
4.198056	0.136648
4.397964	0.123424
4.597871	0.113116
4.797779	0.104466
4.997686	0.092967
5.197594	0.085481
5.397501	0.077897
5.597409	0.071878
5.797316	0.062445
5.997224	0.060850
6.197131	0.054746
6.397038	0.049355
6.596946	0.047142
6.796853	0.042205
6.996761	0.037471
7.196668	0.034425
7.396576	0.030261
7.596483	0.027876
7.796391	0.025651
7.996298	0.023777
8.196206	0.020430
8.396113	0.018091
8.596020	0.015712
8.795928	0.013896
8.995835	0.010042
9.195743	0.006606
9.395650	0.004668
9.595558	0.002869
9.795465	-0.000328
9.995373	-0.001991
10.195280	-0.002930
10.395187	-0.004419
10.595095	-0.006891
10.795002	-0.007804
10.994910	-0.008976
11.194817	-0.009681
11.394725	-0.011941
11.594632	-0.013976
11.794540	-0.013707
11.994447	-0.015477
12.194355	-0.013758
12.394262	-0.015954
12.594169	-0.017423
12.794077	-0.016443


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

6.421000	96.620378
13.381000	124.910207
20.350000	169.775598
27.311000	238.685654
34.092000	202.029996
41.061000	161.852334
48.031000	128.102517
54.991000	91.614047
61.961000	101.141848
68.919000	55.073579
75.889000	436.123544
82.841000	43.701330
89.800000	91.854962
96.571000	119.770316
103.540000	84.204695
110.510000	168.325608
117.470000	43.200265
124.438000	270.473010
125.067146	169.316905
126.115722	169.074368
127.164298	168.592214
128.003158	169.424191
129.051734	171.216614
130.100310	171.889199
131.148886	168.949781
132.197462	170.266998
133.246038	172.207630
134.084899	170.866674
135.133475	170.288018
136.182051	169.860667
137.230627	167.611586
138.279203	166.940710
139.327779	167.206326
140.376355	167.114922
141.424931	169.509630
142.473507	169.009181
143.312368	169.046889
144.360944	170.741673
145.409520	169.470082
146.458096	169.627482
147.506672	169.629003
148.555248	170.342991
149.603824	168.934603
150.652400	167.695774
151.700976	164.500801
152.539837	168.432363
153.588413	166.107146
154.636989	167.323999
155.685565	167.317119
156.734141	166.605447
157.782717	168.001255
158.831293	169.582273
159.879869	169.681560
160.928445	168.097092
161.767306	169.626938
162.815882	168.147999
163.864458	165.986868
164.913034	167.289479
165.961610	166.974289
167.010186	166.012839
168.058762	167.836751
169.107338	169.740896
170.155914	166.921434
171.204490	167.790348
172.043350	167.627430
173.091926	168.611153
174.140502	169.060152
175.189078	166.367360
176.237654	166.841553
177.286230	167.303833
178.334806	166.646246
179.383382	167.999477
180.431958	166.272891
181.480534	168.286895
182.529110	170.725191
183.367971	170.366694

Measurement Notes:

