DWS Measurement v9.2.8 
08/23/18 11:32:50 AM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	35.01
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	817.88
Mean Count Rate (kHz):	125.0


Lag time (s)	g2-1

1.250000E-8	1.004987
2.500000E-8	1.005367
3.750000E-8	0.989359
5.000000E-8	0.997894
6.250000E-8	0.993923
7.500000E-8	1.020798
8.750000E-8	1.001887
1.000000E-7	0.989055
1.125000E-7	0.995223
1.250000E-7	1.003635
1.375000E-7	1.006562
1.500000E-7	0.986335
1.625000E-7	0.992748
1.750000E-7	0.997429
1.875000E-7	0.996988
2.000000E-7	0.985855
2.125000E-7	0.997936
2.375000E-7	1.021700
2.625000E-7	1.000426
2.875000E-7	0.998291
3.125000E-7	1.023546
3.375000E-7	1.002570
3.625000E-7	1.001706
3.875000E-7	1.000674
4.125000E-7	1.002244
4.625000E-7	1.003925
5.125000E-7	0.987421
5.625000E-7	0.982922
6.125000E-7	0.993200
6.625000E-7	0.991623
7.125000E-7	0.995280
7.625000E-7	0.989945
8.125000E-7	0.995542
9.125000E-7	0.992543
1.012500E-6	0.991035
1.112500E-6	0.988538
1.212500E-6	1.000251
1.312500E-6	0.994122
1.412500E-6	0.994796
1.512500E-6	0.988938
1.612500E-6	0.993588
1.812500E-6	0.992595
2.012500E-6	0.990104
2.212500E-6	0.984208
2.412500E-6	0.981702
2.612500E-6	0.989518
2.812500E-6	0.984764
3.012500E-6	0.982995
3.212500E-6	0.984707
3.612500E-6	0.981212
4.012500E-6	0.978343
4.412500E-6	0.979350
4.812500E-6	0.978787
5.212500E-6	0.977960
5.612500E-6	0.971123
6.012500E-6	0.971790
6.412500E-6	0.973771
7.212500E-6	0.972043
8.012500E-6	0.970275
8.812500E-6	0.967581
9.612500E-6	0.967296
1.041250E-5	0.962216
1.121250E-5	0.962643
1.201250E-5	0.961576
1.281250E-5	0.961197
1.441250E-5	0.958075
1.601250E-5	0.955976
1.761250E-5	0.954323
1.921250E-5	0.952806
2.081250E-5	0.949736
2.241250E-5	0.948057
2.401250E-5	0.947663
2.561250E-5	0.943351
2.881250E-5	0.941523
3.201250E-5	0.937377
3.521250E-5	0.936499
3.841250E-5	0.934171
4.161250E-5	0.932857
4.481250E-5	0.930177
4.801250E-5	0.926777
5.121250E-5	0.925160
5.761250E-5	0.922995
6.401250E-5	0.920249
7.041250E-5	0.917274
7.681250E-5	0.915770
8.321250E-5	0.912918
8.961250E-5	0.910002
9.601250E-5	0.909671
0.000102	0.907784
0.000115	0.904405
0.000128	0.901984
0.000141	0.899946
0.000154	0.897556
0.000166	0.896090
0.000179	0.893615
0.000192	0.893005
0.000205	0.892228
0.000230	0.889961
0.000256	0.887206
0.000282	0.885099
0.000307	0.883449
0.000333	0.881887
0.000358	0.880255
0.000384	0.879334
0.000410	0.878569
0.000461	0.876328
0.000512	0.874734
0.000563	0.873152
0.000614	0.871261
0.000666	0.870149
0.000717	0.868995
0.000768	0.867628
0.000819	0.867156
0.000922	0.864926
0.001024	0.863098
0.001126	0.861559
0.001229	0.860032
0.001331	0.858599
0.001434	0.857113
0.001536	0.856002
0.001638	0.854608
0.001843	0.852500
0.002048	0.850808
0.002253	0.848751
0.002458	0.847158
0.002662	0.845230
0.002867	0.843418
0.003072	0.841824
0.003277	0.840685
0.003686	0.838232
0.004096	0.835937
0.004506	0.833757
0.004915	0.831883
0.005325	0.830019
0.005734	0.828226
0.006144	0.826260
0.006554	0.824729
0.007373	0.821058
0.008192	0.817370
0.009011	0.813804
0.009830	0.810239
0.010650	0.807062
0.011469	0.803882
0.012288	0.800616
0.013107	0.798161
0.014746	0.792110
0.016384	0.786510
0.018022	0.781421
0.019661	0.775696
0.021299	0.769662
0.022938	0.764334
0.024576	0.759395
0.026214	0.755262
0.029491	0.744340
0.032768	0.734706
0.036045	0.725038
0.039322	0.715109
0.042598	0.706166
0.045875	0.695852
0.049152	0.686946
0.052429	0.680864
0.058982	0.662498
0.065536	0.644145
0.072090	0.625667
0.078643	0.607920
0.085197	0.590209
0.091750	0.572735
0.098304	0.556112
0.104858	0.544386
0.117965	0.515073
0.131072	0.488563
0.144179	0.463989
0.157286	0.438402
0.170394	0.414954
0.183501	0.394216
0.399814	0.167927
0.599721	0.084973
0.799628	0.045243
0.999536	0.024768
1.199443	0.016254
1.399350	0.010542
1.599257	0.004822
1.799164	0.004065
1.999071	0.002102
2.198978	6.309752E-5
2.398885	0.000285
2.598792	0.002949
2.798700	0.001457
2.998607	-0.000675
3.198514	0.001871
3.398421	0.003126
3.598328	0.003577
3.798235	0.004695
3.998142	0.004607
4.198049	0.003320
4.397957	0.002628
4.597864	0.002988
4.797771	0.002914
4.997678	0.003366
5.197585	0.003516
5.397492	0.001532
5.597399	0.003668
5.797306	0.001591
5.997213	0.003290
6.197121	0.003880
6.397028	0.004460
6.596935	0.003000
6.796842	0.002872
6.996749	0.001888
7.196656	0.004010
7.396563	0.005510
7.596470	0.005963
7.796377	0.003214
7.996285	0.006008
8.196192	0.005720
8.396099	0.008349
8.596006	0.005874
8.795913	0.010809
8.995820	0.009014
9.195727	0.007810
9.395634	0.006292
9.595541	0.006832
9.795449	0.005859
9.995356	0.004018
10.195263	0.005515
10.395170	0.004432
10.595077	0.003669
10.794984	0.002496
10.994891	0.005622
11.194798	0.005867
11.394705	0.005599
11.594613	0.003549
11.794520	0.004158
11.994427	0.003636
12.194334	0.005819
12.394241	0.002659
12.594148	0.007077
12.794055	0.008701


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

6.418000	173.537966
13.381000	126.138437
20.339000	165.354366
27.309000	92.004216
34.270000	106.074745
41.240000	100.422245
48.210000	126.336447
55.171000	104.692419
62.139000	251.553181
69.088000	132.232306
76.050000	125.303286
83.009000	103.315533
89.980000	180.577602
96.949000	109.594930
103.910000	139.460733
110.877000	89.225862
117.839000	89.886815
124.808000	102.035988
125.437146	126.038535
126.485722	123.932922
127.534298	124.105044
128.373158	123.193814
129.421734	125.491966
130.470310	125.012037
131.518886	126.658806
132.567462	125.029626
133.616038	124.049233
134.454899	126.583124
135.503475	125.857087
136.552051	127.234928
137.600627	125.556653
138.649203	124.059706
139.697779	124.176027
140.746355	126.921460
141.585216	124.894251
142.633792	125.918645
143.682368	123.357792
144.730944	124.283395
145.779520	126.634964
146.828096	125.025603
147.876672	127.418856
148.715533	124.969098
149.764109	124.305532
150.812685	125.975002
151.861261	125.772079
152.909837	126.664614
153.958413	126.852290
155.006989	125.919787
155.845850	123.616875
156.894426	126.280039
157.943002	123.910869
158.991578	125.794577
160.040154	126.846335
161.088730	123.388426
162.137306	126.037010
162.976166	125.202175
164.024742	123.811973
165.073318	126.075420
166.121894	125.011428
167.170470	126.265115
168.219046	125.849216
169.267622	123.668076
170.106483	126.646942
171.155059	123.215468
172.203635	123.415550
173.252211	123.725246
174.300787	126.219806
175.349363	126.782563
176.397939	127.388621
177.236800	124.105847
178.285376	125.112449
179.333952	125.021550
180.382528	126.217191
181.431104	124.757750
182.479680	126.191871
183.318541	125.344744
184.367117	125.332923

Measurement Notes:

