DWS Measurement v9.2.8 
08/23/18 11:32:50 AM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	35.01
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	817.88
Mean Count Rate (kHz):	125.0


Lag time (s)	g2-1

1.25E-08	0.998956
 2.5E-08	0.996996
3.75E-08	0.996603
   5E-08	  1.0023
6.25E-08	 1.00198
 7.5E-08	 1.00774
8.75E-08	 0.99451
   1E-07	0.990924
1.125E-07	 1.00318
1.25E-07	0.999947
1.375E-07	 1.00005
 1.5E-07	0.986295
1.625E-07	0.988734
1.75E-07	 1.00123
1.875E-07	 1.00706
   2E-07	0.994632
2.125E-07	0.996802
2.375E-07	 1.00959
2.625E-07	 1.00061
2.875E-07	0.994961
3.125E-07	 1.01026
3.375E-07	 1.00355
3.625E-07	0.999312
3.875E-07	0.995933
4.125E-07	0.999542
4.625E-07	0.996555
5.125E-07	0.993704
5.625E-07	0.984512
6.125E-07	0.994932
6.625E-07	0.996134
7.125E-07	0.990423
7.625E-07	0.987657
8.125E-07	0.992742
9.125E-07	0.992427
1.0125E-06	0.992276
1.1125E-06	0.990142
1.2125E-06	0.993498
1.3125E-06	0.991566
1.4125E-06	0.994135
1.5125E-06	0.991675
1.6125E-06	0.993221
1.8125E-06	0.990412
2.0125E-06	0.988897
2.2125E-06	0.985432
2.4125E-06	0.982275
2.6125E-06	0.985631
2.8125E-06	0.985864
3.0125E-06	0.986571
3.2125E-06	0.986187
3.6125E-06	0.981065
4.0125E-06	0.978456
4.4125E-06	0.978713
4.8125E-06	0.978434
5.2125E-06	0.978014
5.6125E-06	0.971656
6.0125E-06	0.972581
6.4125E-06	 0.97355
7.2125E-06	0.971051
8.0125E-06	0.970122
8.8125E-06	0.966861
9.6125E-06	0.967175
1.04125E-05	0.963434
1.12125E-05	0.964203
1.20125E-05	0.962274
1.28125E-05	0.961017
1.44125E-05	0.958873
1.60125E-05	0.956567
1.76125E-05	0.956377
1.92125E-05	0.953744
2.08125E-05	0.951004
2.24125E-05	0.949882
2.40125E-05	0.948079
2.56125E-05	0.945164
2.88125E-05	0.942777
3.20125E-05	0.939359
3.52125E-05	0.938261
3.84125E-05	 0.93598
4.16125E-05	0.934757
4.48125E-05	0.932022
4.80125E-05	 0.92953
5.12125E-05	0.927655
5.76125E-05	 0.92544
6.40125E-05	0.923247
7.04125E-05	0.919973
7.68125E-05	0.918314
8.32125E-05	0.916123
8.96125E-05	0.914028
9.60125E-05	0.912603
0.000102	0.911217
0.000115	0.908135
0.000128	0.905641
0.000141	0.903482
0.000154	0.901389
0.000166	0.900073
0.000179	0.898011
0.000192	0.897061
0.000205	0.896062
 0.00023	0.893803
0.000256	0.891549
0.000282	0.889513
0.000307	0.887934
0.000333	0.886583
0.000358	0.885217
0.000384	0.884173
 0.00041	0.883146
0.000461	0.881041
0.000512	0.879491
0.000563	0.878205
0.000614	0.876602
0.000666	0.875412
0.000717	0.874243
0.000768	 0.87324
0.000819	0.872465
0.000922	0.870367
0.001024	0.868712
0.001126	0.867092
0.001229	0.865535
0.001331	0.864286
0.001434	0.862949
0.001536	0.861894
0.001638	0.860541
0.001843	0.858417
0.002048	0.856719
0.002253	0.854845
0.002458	0.852987
0.002662	0.851347
0.002867	0.849663
0.003072	0.848208
0.003277	0.847001
0.003686	0.844677
0.004096	0.842553
0.004506	0.840579
0.004915	0.838758
0.005325	0.837043
0.005734	0.835369
0.006144	0.833454
0.006554	0.831916
0.007373	0.828578
0.008192	0.825072
0.009011	  0.8219
 0.00983	 0.81855
 0.01065	0.815366
0.011469	0.812426
0.012288	0.809343
0.013107	0.806637
0.014746	0.800998
0.016384	0.795975
0.018022	0.791122
0.019661	0.785597
0.021299	 0.77978
0.022938	 0.77507
0.024576	0.770501
0.026214	0.766312
0.029491	0.756536
0.032768	0.747683
0.036045	 0.73897
0.039322	0.729664
0.042598	0.721364
0.045875	0.712113
0.049152	 0.70365
0.052429	0.696646
0.058982	0.679187
0.065536	0.661542
 0.07209	0.644296
0.078643	0.627568
0.085197	0.612108
 0.09175	0.596465
0.098304	0.581481
0.104858	0.569441
0.117965	0.542355
0.131072	0.516887
0.144179	0.493037
0.157286	0.469583
0.170394	0.448651
0.183501	0.428942
0.399814	0.190528
0.599721	0.098132
0.799629	0.0535775
0.999536	0.029774
 1.19944	0.0190635
 1.39935	0.012358
 1.59926	0.0052025
 1.79916	0.005085
 1.99907	0.004057
 2.19898	0.000772049
 2.39889	0.0013565
 2.59879	-0.0012295
  2.7987	0.0004265
 2.99861	-0.0008995
 3.19851	-0.0011835
 3.39842	0.001124
 3.59833	0.000646
 3.79824	0.0003985
 3.99814	0.0025955
 4.19805	0.0003965
 4.39796	0.0028405
 4.59786	0.0029315
 4.79777	0.001682
 4.99768	0.001068
 5.19759	0.003648
 5.39749	0.0017485
  5.5974	0.0007725
 5.79731	-0.00134
 5.99721	-0.000197
 6.19712	0.0012795
 6.39703	0.0031055
 6.59694	0.000591
 6.79684	-0.002384
 6.99675	-0.000976
 7.19666	0.0014585
 7.39656	0.001669
 7.59647	0.0021925
 7.79638	0.0007065
 7.99629	0.0042745
 8.19619	0.003066
  8.3961	0.004455
 8.59601	0.0034805
 8.79592	0.0059315
 8.99582	 0.00495
 9.19573	0.0035255
 9.39564	-0.0004585
 9.59554	0.001383
 9.79545	0.0025645
 9.99536	0.0011925
 10.1953	-0.0002355
 10.3952	0.0003835
 10.5951	-0.000799
  10.795	-0.0048615
 10.9949	0.0004885
 11.1948	0.0007625
 11.3947	8.15E-05
 11.5946	-0.0002985
 11.7945	0.0014985
 11.9944	-0.0012635
 12.1943	0.000761
 12.3942	0.001255
 12.5942	0.004008
 12.7941	0.0034955


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

  0.524288	 29.845582
  1.048576	 54.856495
  1.572864	 56.900370
  2.359296	 62.040313
  2.883584	128.794949
  3.407872	 26.000974
  3.932160	131.588478
  4.718592	 67.814841
  5.242880	173.768153
  5.767168	193.422243
  6.553600	146.969992
  7.077888	 81.986622
  7.602176	107.874993
  8.388608	141.383173
  8.912896	223.547477
  9.437184	305.735786
  9.961472	 98.716290
 10.747904	126.385827
 11.272192	 42.562028
 11.796480	 77.028556
 12.582912	239.945843
 13.107200	203.281294
 13.631488	 73.614094
 14.155776	218.802436
 14.942208	236.029788
 15.466496	211.753538
 15.990784	103.650701
 16.777216	 40.086566
 17.301504	 71.317772
 17.825792	 58.761311
 18.612224	 42.346490
 19.136512	177.354873
 19.660800	120.390761
 20.185088	 39.048780
 20.971520	 71.440726
 21.495808	216.867889
 22.020096	251.364839
 22.806528	 60.071975
 23.330816	 81.477127
 23.855104	123.501656
 24.379392	 36.946708
 25.165824	 20.660841
 25.690112	 43.180443
 26.214400	130.732767
 27.000832	280.117348
 27.525120	189.824839
 28.049408	 72.990748
 28.835840	 76.344353
 29.360128	 89.344637
 29.884416	 72.054844
 30.408704	 81.333358
 31.195136	 24.999617
 31.719424	 51.953061
 32.243712	 86.758115
 33.030144	 81.160193
 33.554432	 65.531215
 34.078720	 83.075979
 34.603008	 25.180338
 35.389440	100.662611
 35.913728	 30.082493
 36.438016	215.863879
 37.224448	 39.770906
 37.748736	 32.597013
 38.273024	212.951665
 38.797312	 25.694122
 39.583744	 78.718082
 40.108032	 69.334464
 40.632320	 41.920499
 41.418752	 38.985128
 41.943040	 76.894733
 42.467328	 78.352962
 43.253760	191.340754
 43.778048	 88.751865
 44.302336	 71.843763
 44.826624	352.905936
 45.613056	166.060864
 46.137344	169.471530
 46.661632	 53.048774
 47.448064	 58.815165
 47.972352	111.110644
 48.496640	138.731601
 49.020928	 43.109429
 49.807360	112.860175
 50.331648	 83.257470
 50.855936	283.294790
 51.642368	390.366920
 52.166656	195.995011
 52.690944	 51.910627
 53.477376	151.629076
 54.001664	 61.354813
 54.525952	122.567146
 55.050240	100.444571
 55.836672	 50.244625
 56.360960	 77.258723
 56.885248	179.818378
 57.671680	418.910371
 58.195968	179.204869
 58.720256	293.947336
 59.244544	 98.505561
 60.030976	 30.977312
 60.555264	 69.903466
 61.079552	 96.594180
 61.865984	141.868468
 62.390272	 94.559853
 62.914560	190.162813
 63.438848	122.021417
 64.225280	103.417330
 64.749568	 85.662775
 65.273856	406.550289
 66.060288	162.783316
 66.584576	 55.645940
 67.108864	 78.405115
 67.895296	243.149108
