DWS Measurement v9.2.8 
08/23/18 9:17:32 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	25.00
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	642.52
Mean Count Rate (kHz):	113.3


Lag time (s)	g2-1

1.25E-08	 1.00346
 2.5E-08	  1.0058
3.75E-08	0.998982
   5E-08	0.982283
6.25E-08	 1.00592
 7.5E-08	 1.00334
8.75E-08	 1.00009
   1E-07	0.997714
1.125E-07	0.989639
1.25E-07	 1.00038
1.375E-07	 1.01173
 1.5E-07	 1.00592
1.625E-07	0.998329
1.75E-07	 1.00587
1.875E-07	0.995432
   2E-07	0.988682
2.125E-07	0.988044
2.375E-07	0.995311
2.625E-07	0.999628
2.875E-07	0.991452
3.125E-07	0.994333
3.375E-07	0.992923
3.625E-07	0.993746
3.875E-07	0.986434
4.125E-07	0.992351
4.625E-07	0.994288
5.125E-07	0.993981
5.625E-07	0.989866
6.125E-07	0.989596
6.625E-07	0.985429
7.125E-07	0.989032
7.625E-07	 0.98626
8.125E-07	 0.98736
9.125E-07	0.983326
1.0125E-06	0.989766
1.1125E-06	0.985132
1.2125E-06	0.986917
1.3125E-06	0.987549
1.4125E-06	0.988493
1.5125E-06	0.987522
1.6125E-06	0.988628
1.8125E-06	0.987165
2.0125E-06	0.982666
2.2125E-06	0.982464
2.4125E-06	0.973911
2.6125E-06	0.976417
2.8125E-06	0.975368
3.0125E-06	0.977907
3.2125E-06	0.979585
3.6125E-06	0.974791
4.0125E-06	 0.96572
4.4125E-06	0.966343
4.8125E-06	0.969839
5.2125E-06	0.965765
5.6125E-06	0.963323
6.0125E-06	0.960935
6.4125E-06	0.960871
7.2125E-06	0.954525
8.0125E-06	0.954995
8.8125E-06	0.950401
9.6125E-06	0.948501
1.04125E-05	0.945346
1.12125E-05	0.943765
1.20125E-05	0.939964
1.28125E-05	0.938815
1.44125E-05	0.936543
1.60125E-05	 0.93379
1.76125E-05	 0.93094
1.92125E-05	0.927845
2.08125E-05	0.925764
2.24125E-05	0.921545
2.40125E-05	0.917983
2.56125E-05	0.914822
2.88125E-05	0.908255
3.20125E-05	0.903894
3.52125E-05	0.900644
3.84125E-05	0.897574
4.16125E-05	0.894114
4.48125E-05	0.890594
4.80125E-05	0.885852
5.12125E-05	0.882016
5.76125E-05	0.877503
6.40125E-05	0.871783
7.04125E-05	0.866401
7.68125E-05	0.862796
8.32125E-05	0.858839
8.96125E-05	0.854254
9.60125E-05	0.850462
0.000102	 0.84821
0.000115	0.841835
0.000128	0.836872
0.000141	0.831735
0.000154	0.827605
0.000166	 0.82272
0.000179	0.819734
0.000192	0.816158
0.000205	0.813268
 0.00023	0.807648
0.000256	0.803014
0.000282	0.798891
0.000307	 0.79504
0.000333	 0.79154
0.000358	0.788627
0.000384	0.785638
 0.00041	0.783168
0.000461	0.778295
0.000512	0.774403
0.000563	0.770989
0.000614	0.768155
0.000666	0.765218
0.000717	0.763321
0.000768	0.760968
0.000819	0.759023
0.000922	0.755737
0.001024	0.752557
0.001126	0.750259
0.001229	0.747922
0.001331	0.745733
0.001434	0.743977
0.001536	0.742285
0.001638	0.740904
0.001843	0.738045
0.002048	0.735757
0.002253	 0.73351
0.002458	0.731655
0.002662	0.729955
0.002867	0.728524
0.003072	0.727035
0.003277	0.725486
0.003686	0.722939
0.004096	0.720825
0.004506	0.719007
0.004915	0.717873
0.005325	0.716655
0.005734	0.715329
0.006144	0.713999
0.006554	0.712906
0.007373	0.710489
0.008192	0.708457
0.009011	0.706825
 0.00983	0.705224
 0.01065	0.704469
0.011469	 0.70371
0.012288	 0.70288
0.013107	0.702533
0.014746	0.701734
0.016384	0.701377
0.018022	 0.70132
0.019661	0.700213
0.021299	0.697785
0.022938	0.695171
0.024576	0.692794
0.026214	0.691526
0.029491	 0.68821
0.032768	0.686283
0.036045	 0.68574
0.039322	0.684783
0.042598	0.683093
0.045875	0.680249
0.049152	0.678764
0.052429	0.677986
0.058982	0.675469
0.065536	0.673331
 0.07209	0.669685
0.078643	0.667161
0.085197	0.666214
 0.09175	0.661985
0.098304	0.659722
0.104858	0.660197
0.117965	 0.65567
0.131072	0.651306
0.144179	0.647144
0.157286	0.643326
0.170394	 0.63995
0.183501	0.635619
0.399815	0.591401
0.599723	0.557784
 0.79963	0.526078
0.999538	0.498023
 1.19945	0.471206
 1.39935	0.449268
 1.59926	0.426838
 1.79917	0.405193
 1.99907	0.383931
 2.19898	0.365619
 2.39889	0.347582
  2.5988	0.332662
  2.7987	0.316308
 2.99861	 0.29849
 3.19852	0.284977
 3.39843	 0.27218
 3.59834	0.259301
 3.79824	0.247146
 3.99815	0.235599
 4.19806	0.225218
 4.39797	0.214838
 4.59787	  0.2053
 4.79778	 0.19384
 4.99769	0.184837
 5.19759	0.178133
  5.3975	0.170349
 5.59741	0.163506
 5.79732	 0.15548
 5.99723	0.149038
 6.19713	0.141373
 6.39704	 0.13459
 6.59695	0.130386
 6.79685	0.125102
 6.99676	0.119429
 7.19667	0.113231
 7.39658	0.108172
 7.59649	0.103242
 7.79639	0.098813
  7.9963	0.0937263
 8.19621	0.0893703
 8.39611	0.0853857
 8.59602	0.0827883
 8.79593	0.0789793
 8.99584	0.0753913
 9.19575	0.0710313
 9.39565	 0.06939
 9.59556	0.0655053
 9.79547	0.0639203
 9.99538	0.0610597
 10.1953	0.057439
 10.3952	0.056647
 10.5951	0.053791
  10.795	0.0506267
 10.9949	0.0512327
 11.1948	0.048664
 11.3947	 0.04668
 11.5946	0.044075
 11.7945	0.041589
 11.9945	0.042817
 12.1944	0.038909
 12.3943	0.036609
 12.5942	0.0357917
 12.7941	 0.03427


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

  6.424000	 62.490089
 13.396000	202.728253
 20.353000	147.247381
 27.322000	132.302334
 34.283000	 85.270289
 41.255000	115.184491
 48.226000	 45.312559
 55.183000	328.546855
 62.153000	116.706006
 69.115000	 55.956410
 76.083000	 87.080468
 83.044000	 81.766366
 90.015000	237.482270
 96.984000	 39.329046
103.944000	 97.847982
110.914000	120.119307
117.871000	101.717421
124.843000	168.914708
125.472146	111.921221
126.520722	110.253221
127.569298	110.057002
128.408158	110.323870
129.456734	112.085317
130.505310	110.188217
131.553886	110.697673
132.602462	111.242881
133.651038	109.414461
134.489899	112.094367
135.538475	112.163850
136.587051	112.396413
137.635627	109.874124
138.684203	111.748340
139.732779	111.001233
140.781355	111.691712
141.829931	110.289330
142.668792	111.751377
143.717368	110.024724
144.765944	110.526155
145.814520	111.264871
146.863096	113.204881
147.911672	112.493124
148.960248	112.296952
150.008824	110.314819
151.057400	110.743635
152.105976	113.229811
152.944837	112.139575
153.993413	110.207639
155.041989	112.948026
156.090565	111.096207
157.139141	111.890690
158.187717	112.179028
159.236293	112.779244
160.284869	111.151675
161.333445	112.554185
162.382021	110.636680
163.430597	111.724759
164.479173	113.588709
165.318034	112.307135
166.366610	111.102452
167.415186	109.968013
168.463762	111.542109
169.512338	111.357874
170.560914	110.114949
171.609490	110.049429
172.658066	112.165257
173.706642	110.543820
174.755218	110.275144
175.803794	110.256558
176.642654	109.844986
177.691230	110.897146
178.739806	111.312174
179.788382	112.327357
180.836958	112.336517

Measurement notes:

