DWS Measurement v9.2.8 
08/23/18 7:37:57 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	29.98
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	546.72
Mean Count Rate (kHz):	117.2


Lag time (s)	g2-1

1.250000E-8	1.000271
2.500000E-8	0.996995
3.750000E-8	1.004955
5.000000E-8	0.972745
6.250000E-8	1.005100
7.500000E-8	1.003759
8.750000E-8	1.018802
1.000000E-7	1.009332
1.125000E-7	1.010136
1.250000E-7	0.982912
1.375000E-7	1.000586
1.500000E-7	1.002582
1.625000E-7	0.986449
1.750000E-7	1.003088
1.875000E-7	0.999182
2.000000E-7	1.012647
2.125000E-7	0.986641
2.375000E-7	0.990268
2.625000E-7	0.989972
2.875000E-7	0.996680
3.125000E-7	0.998564
3.375000E-7	0.984335
3.625000E-7	0.992644
3.875000E-7	0.979775
4.125000E-7	0.993924
4.625000E-7	0.991790
5.125000E-7	0.993912
5.625000E-7	0.993236
6.125000E-7	0.983247
6.625000E-7	0.979785
7.125000E-7	0.984336
7.625000E-7	0.980273
8.125000E-7	0.980158
9.125000E-7	0.986028
1.012500E-6	0.982360
1.112500E-6	0.987348
1.212500E-6	0.989207
1.312500E-6	0.983761
1.412500E-6	0.985979
1.512500E-6	0.984793
1.612500E-6	0.985465
1.812500E-6	0.980994
2.012500E-6	0.977809
2.212500E-6	0.978440
2.412500E-6	0.970982
2.612500E-6	0.970798
2.812500E-6	0.976751
3.012500E-6	0.975797
3.212500E-6	0.976552
3.612500E-6	0.972539
4.012500E-6	0.966707
4.412500E-6	0.963434
4.812500E-6	0.964369
5.212500E-6	0.965917
5.612500E-6	0.957196
6.012500E-6	0.960219
6.412500E-6	0.959827
7.212500E-6	0.954873
8.012500E-6	0.952076
8.812500E-6	0.945439
9.612500E-6	0.950069
1.041250E-5	0.944350
1.121250E-5	0.945756
1.201250E-5	0.939852
1.281250E-5	0.938779
1.441250E-5	0.935563
1.601250E-5	0.932381
1.761250E-5	0.927298
1.921250E-5	0.927116
2.081250E-5	0.923251
2.241250E-5	0.919635
2.401250E-5	0.920509
2.561250E-5	0.915736
2.881250E-5	0.910105
3.201250E-5	0.905355
3.521250E-5	0.901407
3.841250E-5	0.900577
4.161250E-5	0.893993
4.481250E-5	0.892683
4.801250E-5	0.888340
5.121250E-5	0.885507
5.761250E-5	0.881056
6.401250E-5	0.876757
7.041250E-5	0.870938
7.681250E-5	0.867420
8.321250E-5	0.863925
8.961250E-5	0.859833
9.601250E-5	0.857613
0.000102	0.855127
0.000115	0.848373
0.000128	0.844547
0.000141	0.840959
0.000154	0.836674
0.000166	0.833981
0.000179	0.830861
0.000192	0.827957
0.000205	0.825638
0.000230	0.820999
0.000256	0.817584
0.000282	0.814309
0.000307	0.810770
0.000333	0.807093
0.000358	0.805239
0.000384	0.802912
0.000410	0.801092
0.000461	0.797166
0.000512	0.793717
0.000563	0.791121
0.000614	0.788934
0.000666	0.787008
0.000717	0.784904
0.000768	0.783310
0.000819	0.781449
0.000922	0.778643
0.001024	0.776012
0.001126	0.774696
0.001229	0.772180
0.001331	0.770188
0.001434	0.768519
0.001536	0.767009
0.001638	0.765804
0.001843	0.763678
0.002048	0.761638
0.002253	0.759754
0.002458	0.758018
0.002662	0.756588
0.002867	0.754912
0.003072	0.754113
0.003277	0.752989
0.003686	0.751540
0.004096	0.750079
0.004506	0.748578
0.004915	0.747462
0.005325	0.746374
0.005734	0.745628
0.006144	0.744874
0.006554	0.743997
0.007373	0.741376
0.008192	0.739379
0.009011	0.737563
0.009830	0.737475
0.010650	0.737052
0.011469	0.736250
0.012288	0.735477
0.013107	0.734869
0.014746	0.733788
0.016384	0.733528
0.018022	0.733179
0.019661	0.731014
0.021299	0.729206
0.022938	0.727464
0.024576	0.725909
0.026214	0.724383
0.029491	0.721456
0.032768	0.719539
0.036045	0.718734
0.039322	0.716354
0.042598	0.715581
0.045875	0.712703
0.049152	0.710292
0.052429	0.710215
0.058982	0.706909
0.065536	0.704483
0.072090	0.700147
0.078643	0.696870
0.085197	0.695782
0.091750	0.691890
0.098304	0.688680
0.104858	0.690530
0.117965	0.684295
0.131072	0.679691
0.144179	0.674005
0.157286	0.668942
0.170394	0.665379
0.183501	0.660292
0.399814	0.593957
0.599721	0.541310
0.799627	0.491237
0.999534	0.451590
1.199441	0.410257
1.399348	0.379789
1.599255	0.347997
1.799162	0.323174
1.999069	0.297079
2.198975	0.276456
2.398882	0.253388
2.598789	0.234428
2.798696	0.217640
2.998603	0.199401
3.198510	0.185867
3.398416	0.171944
3.598323	0.158946
3.798230	0.148624
3.998137	0.141306
4.198044	0.129523
4.397951	0.120058
4.597858	0.111430
4.797764	0.106342
4.997671	0.097928
5.197578	0.092156
5.397485	0.087451
5.597392	0.079870
5.797299	0.075021
5.997206	0.072506
6.197112	0.069636
6.397019	0.067436
6.596926	0.061842
6.796833	0.058405
6.996740	0.057691
7.196647	0.054542
7.396553	0.050262
7.596460	0.049329
7.796367	0.048726
7.996274	0.047323
8.196181	0.039184
8.396088	0.039636
8.595995	0.041420
8.795901	0.037680
8.995808	0.035538
9.195715	0.034636
9.395622	0.034920
9.595529	0.036261
9.795436	0.035736
9.995343	0.036883
10.195249	0.034112
10.395156	0.034049
10.595063	0.031021
10.794970	0.031229
10.994877	0.030865
11.194784	0.032786
11.394690	0.030399
11.594597	0.031776
11.794504	0.026962
11.994411	0.027848
12.194318	0.028362
12.394225	0.024086
12.594132	0.023021
12.794038	0.021945


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

6.421000	47.925023
13.383000	76.408950
20.352000	126.669351
27.312000	136.247025
34.283000	87.778652
41.252000	50.772268
48.212000	162.375199
55.184000	202.383376
62.151000	40.402710
69.111000	166.038343
76.061000	46.867142
83.022000	204.403871
89.980000	78.792516
96.942000	63.877262
103.913000	52.610189
110.880000	57.834141
117.843000	102.685493
124.813000	110.274126
125.442146	117.525459
126.490722	115.635113
127.539298	118.384397
128.378158	117.376245
129.426734	116.021953
130.475310	117.389956
131.523886	116.394400
132.572462	116.987306
133.621038	116.322820
134.459899	116.798286
135.508475	115.477307
136.557051	115.251071
137.605627	116.554527
138.654203	117.134564
139.702779	117.566065
140.751355	118.206743
141.799931	117.675013
142.848507	117.676547
143.897083	116.685645
144.735944	116.844239
145.784520	115.966931
146.833096	115.406800
147.881672	116.913098
148.930248	116.222565
149.978824	117.937568
151.027400	118.442909
152.075976	116.474278
153.124552	116.770843
154.173128	116.392364
155.221704	117.462083
156.270280	116.466907
157.318856	116.242930
158.367432	116.511411
159.416008	117.461871
160.464584	117.155233
161.513160	117.462675
162.561736	118.361160
163.610312	117.307039
164.658888	117.400105
165.707464	116.700230
166.756040	116.868718
167.804616	117.241430
168.643477	117.722111
169.692053	115.665116
170.740629	117.369748
171.789205	117.049937
172.837781	117.315363
173.886357	117.575380
174.934933	115.812674
175.983509	116.096090
177.032085	113.919250
178.080661	115.103867
179.129237	117.310024
180.177813	116.933062
181.226389	117.493900
182.274965	116.798290
183.113826	116.867739
184.162402	117.469991

Measurement Notes:

