DWS Measurement v9.2.8 
08/24/18 11:12:27 AM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	25.00
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	184.226
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	896.13
Mean Count Rate (kHz):	128.1


Lag time (s)	g2-1

1.250000E-8	0.990566
2.500000E-8	0.990468
3.750000E-8	1.000601
5.000000E-8	0.967378
6.250000E-8	0.990956
7.500000E-8	0.980726
8.750000E-8	0.992125
1.000000E-7	1.011611
1.125000E-7	1.012585
1.250000E-7	0.983454
1.375000E-7	1.009662
1.500000E-7	1.020866
1.625000E-7	0.999724
1.750000E-7	1.031584
1.875000E-7	1.033922
2.000000E-7	0.999724
2.125000E-7	0.986961
2.375000E-7	0.995243
2.625000E-7	0.998312
2.875000E-7	1.007178
3.125000E-7	1.004498
3.375000E-7	0.989884
3.625000E-7	0.996022
3.875000E-7	0.996266
4.125000E-7	0.998799
4.625000E-7	1.004060
5.125000E-7	0.987765
5.625000E-7	0.984696
6.125000E-7	0.982041
6.625000E-7	0.989300
7.125000E-7	0.990639
7.625000E-7	0.967232
8.125000E-7	0.979679
9.125000E-7	0.996656
1.012500E-6	0.990104
1.112500E-6	0.979581
1.212500E-6	0.979520
1.312500E-6	0.991590
1.412500E-6	0.995901
1.512500E-6	0.988594
1.612500E-6	0.995517
1.812500E-6	0.990835
2.012500E-6	0.984258
2.212500E-6	0.977310
2.412500E-6	0.976531
2.612500E-6	0.972372
2.812500E-6	0.983461
3.012500E-6	0.979716
3.212500E-6	0.980666
3.612500E-6	0.974205
4.012500E-6	0.961333
4.412500E-6	0.965069
4.812500E-6	0.973384
5.212500E-6	0.965215
5.612500E-6	0.953243
6.012500E-6	0.959707
6.412500E-6	0.960846
7.212500E-6	0.954674
8.012500E-6	0.954948
8.812500E-6	0.946006
9.612500E-6	0.949527
1.041250E-5	0.941650
1.121250E-5	0.943116
1.201250E-5	0.938872
1.281250E-5	0.940038
1.441250E-5	0.934945
1.601250E-5	0.930628
1.761250E-5	0.927100
1.921250E-5	0.924268
2.081250E-5	0.923624
2.241250E-5	0.919108
2.401250E-5	0.916458
2.561250E-5	0.912600
2.881250E-5	0.906812
3.201250E-5	0.900030
3.521250E-5	0.897604
3.841250E-5	0.895413
4.161250E-5	0.893004
4.481250E-5	0.885781
4.801250E-5	0.882171
5.121250E-5	0.878339
5.761250E-5	0.873717
6.401250E-5	0.868338
7.041250E-5	0.862156
7.681250E-5	0.858301
8.321250E-5	0.854447
8.961250E-5	0.848909
9.601250E-5	0.845788
0.000102	0.844529
0.000115	0.836749
0.000128	0.831599
0.000141	0.826382
0.000154	0.821921
0.000166	0.818261
0.000179	0.815862
0.000192	0.812828
0.000205	0.809290
0.000230	0.803381
0.000256	0.798303
0.000282	0.793721
0.000307	0.790963
0.000333	0.787651
0.000358	0.784393
0.000384	0.781996
0.000410	0.779646
0.000461	0.774921
0.000512	0.771137
0.000563	0.767996
0.000614	0.764826
0.000666	0.762579
0.000717	0.760958
0.000768	0.759129
0.000819	0.757376
0.000922	0.754269
0.001024	0.751558
0.001126	0.749307
0.001229	0.746680
0.001331	0.744922
0.001434	0.743415
0.001536	0.741689
0.001638	0.740312
0.001843	0.737739
0.002048	0.735641
0.002253	0.733566
0.002458	0.731472
0.002662	0.729731
0.002867	0.727770
0.003072	0.726607
0.003277	0.725966
0.003686	0.724101
0.004096	0.722202
0.004506	0.720912
0.004915	0.719835
0.005325	0.718833
0.005734	0.717652
0.006144	0.716403
0.006554	0.715065
0.007373	0.712744
0.008192	0.712075
0.009011	0.710670
0.009830	0.709996
0.010650	0.709760
0.011469	0.710434
0.012288	0.710138
0.013107	0.710174
0.014746	0.711578
0.016384	0.714738
0.018022	0.716442
0.019661	0.715673
0.021299	0.712800
0.022938	0.710207
0.024576	0.706984
0.026214	0.703774
0.029491	0.701766
0.032768	0.703170
0.036045	0.705094
0.039322	0.705850
0.042598	0.705136
0.045875	0.699553
0.049152	0.698219
0.052429	0.699168
0.058982	0.699325
0.065536	0.696698
0.072090	0.693819
0.078643	0.693664
0.085197	0.694284
0.091750	0.690169
0.098304	0.690448
0.104858	0.689350
0.117965	0.686104
0.131072	0.682344
0.144179	0.679777
0.157286	0.677294
0.170394	0.674818
0.183501	0.671715
0.399814	0.650054
0.599721	0.636176
0.799629	0.617910
0.999536	0.603997
1.199443	0.588931
1.399350	0.576710
1.599257	0.563787
1.799164	0.550682
1.999071	0.537395
2.198979	0.526456
2.398886	0.512571
2.598793	0.503633
2.798700	0.490658
2.998607	0.479799
3.198514	0.468583
3.398421	0.456942
3.598329	0.446108
3.798236	0.437595
3.998143	0.427423
4.198050	0.420157
4.397957	0.408990
4.597864	0.401619
4.797772	0.393441
4.997679	0.385152
5.197586	0.378656
5.397493	0.370387
5.597400	0.364755
5.797307	0.355303
5.997214	0.347410
6.197122	0.340746
6.397029	0.335477
6.596936	0.328020
6.796843	0.321008
6.996750	0.315616
7.196657	0.310712
7.396564	0.304846
7.596472	0.297341
7.796379	0.291491
7.996286	0.286194
8.196193	0.280156
8.396100	0.273677
8.596007	0.267922
8.795914	0.263312
8.995822	0.257976
9.195729	0.251450
9.395636	0.246865
9.595543	0.242527
9.795450	0.236229
9.995357	0.231455
10.195264	0.224490
10.395172	0.222399
10.595079	0.219921
10.794986	0.214473
10.994893	0.208730
11.194800	0.204917
11.394707	0.201493
11.594614	0.197786
11.794522	0.192707
11.994429	0.189469
12.194336	0.186889
12.394243	0.185038
12.594150	0.180156
12.794057	0.176063


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

0.524288	55.673493
1.048576	89.300538
1.572864	61.314816
2.359296	135.766352
2.883584	107.256684
3.407872	138.624024
3.932160	188.350603
4.718592	97.185788
5.242880	91.438265
5.767168	42.453248
6.553600	87.893343
7.077888	101.577738
7.602176	75.333305
8.388608	66.009440
8.912896	57.575956
9.437184	75.297665
9.961472	46.267354
10.747904	79.551345
11.272192	64.882703
11.796480	64.299168
12.582912	31.765309
13.107200	29.662232
13.631488	19.786586
14.155776	17.509434
14.942208	19.686937
15.466496	51.342004
15.990784	50.746468
16.777216	108.863821
17.301504	65.197943
17.825792	50.197325
18.612224	14.874610
19.136512	26.226043
19.660800	36.136598
20.185088	35.002914
20.971520	28.056704
21.495808	41.611286
22.020096	42.138577
22.806528	89.339076
23.330816	101.518904
23.855104	75.774856
24.379392	69.988169
25.165824	82.295387
25.690112	101.752960
26.214400	97.350572
27.000832	120.261031
27.525120	89.254195
28.049408	93.027691
28.573696	103.057464
29.360128	160.974195
29.884416	125.386188
30.408704	87.504246
31.195136	45.179696
31.719424	41.024814
32.243712	83.006262
33.030144	127.563745
33.554432	84.649854
34.078720	100.040077
34.603008	140.033561
35.389440	118.364297
35.913728	40.973592
36.438016	29.308317
37.224448	33.370238
37.748736	22.733590
38.273024	25.710987
38.797312	15.029890
39.583744	19.292716
40.108032	49.251042
40.632320	216.275787
41.418752	204.220550
41.943040	184.869256
42.467328	236.602985
43.253760	187.132008
43.778048	133.760436
44.302336	120.857880
44.826624	107.399582
45.613056	64.537291
46.137344	97.820783
46.661632	152.485691
47.448064	98.330825
47.972352	106.664299
48.496640	96.797626
49.020928	64.287185
49.807360	24.693255
50.331648	43.590341
50.855936	34.144754
51.642368	45.511055
52.166656	41.027058
52.690944	87.769654
53.215232	107.858862
54.001664	26.378632
54.525952	25.297894
55.050240	23.544952
55.836672	33.750110
56.360960	62.644079
56.885248	52.694305
57.671680	53.737014
58.195968	68.742066
58.720256	42.804643
59.244544	51.435470
60.030976	54.908307
60.555264	25.556556
61.079552	26.628379
61.865984	21.467466
62.390272	16.567095
62.914560	20.758682
63.438848	34.661082
64.225280	87.329534
64.749568	55.155946
65.273856	119.576356
66.060288	112.808171
66.584576	95.975385
67.108864	125.085566
67.895296	68.656455
68.419584	60.544313
68.943872	80.417633
69.468160	101.167256
70.254592	106.397560
70.778880	180.376984
71.303168	96.227884
72.089600	86.357100
72.613888	106.342504
73.138176	110.563260
73.662464	169.643295
74.448896	120.097354
74.973184	92.026169
75.497472	59.761625
76.283904	93.309335
76.808192	67.747108
77.332480	63.910035
77.856768	62.217778
78.643200	36.949148
79.167488	57.025319
79.691776	27.122302
80.478208	36.127089
81.002496	21.474362
81.526784	27.534458
82.313216	16.839125
82.837504	24.795152
83.361792	20.041974
83.886080	31.361870
84.672512	33.613204
