DWS Measurement v9.2.8 
08/24/18 11:39:56 AM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	19.99
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	112.727
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	943.21
Mean Count Rate (kHz):	122.7


Lag time (s)	g2-1

1.25E-08	  1.0057
 2.5E-08	0.995196
3.75E-08	0.996031
   5E-08	 1.00167
6.25E-08	 1.00627
 7.5E-08	0.997852
8.75E-08	0.991498
   1E-07	 1.00641
1.125E-07	 1.00755
1.25E-07	 1.00104
1.375E-07	0.995416
 1.5E-07	 1.00331
1.625E-07	 1.00143
1.75E-07	0.998027
1.875E-07	0.990514
   2E-07	0.994026
2.125E-07	 1.00231
2.375E-07	0.996104
2.625E-07	0.988683
2.875E-07	0.993129
3.125E-07	0.994262
3.375E-07	0.994484
3.625E-07	0.992286
3.875E-07	0.990371
4.125E-07	0.992465
4.625E-07	0.991128
5.125E-07	0.991329
5.625E-07	0.988793
6.125E-07	 0.98903
6.625E-07	0.993891
7.125E-07	 0.99348
7.625E-07	0.981575
8.125E-07	0.984697
9.125E-07	0.987275
1.0125E-06	0.987834
1.1125E-06	0.993619
1.2125E-06	0.985276
1.3125E-06	 0.99019
1.4125E-06	0.991871
1.5125E-06	0.990886
1.6125E-06	0.991678
1.8125E-06	0.992376
2.0125E-06	0.985267
2.2125E-06	0.985738
2.4125E-06	0.982783
2.6125E-06	0.982506
2.8125E-06	0.982857
3.0125E-06	0.982778
3.2125E-06	 0.98383
3.6125E-06	0.982417
4.0125E-06	0.976897
4.4125E-06	0.977353
4.8125E-06	0.978209
5.2125E-06	 0.97557
5.6125E-06	0.972214
6.0125E-06	0.972902
6.4125E-06	0.973152
7.2125E-06	0.969158
8.0125E-06	0.968547
8.8125E-06	0.966101
9.6125E-06	0.967321
1.04125E-05	0.962986
1.12125E-05	0.964755
1.20125E-05	0.962285
1.28125E-05	0.960961
1.44125E-05	0.958158
1.60125E-05	0.956444
1.76125E-05	0.955631
1.92125E-05	 0.95285
2.08125E-05	0.950949
2.24125E-05	0.949112
2.40125E-05	0.946933
2.56125E-05	0.944844
2.88125E-05	0.941044
3.20125E-05	0.937345
3.52125E-05	 0.93537
3.84125E-05	0.934394
4.16125E-05	0.932003
4.48125E-05	0.929045
4.80125E-05	 0.92673
5.12125E-05	0.923999
5.76125E-05	0.920672
6.40125E-05	0.917488
7.04125E-05	0.913091
7.68125E-05	 0.91064
8.32125E-05	0.908899
8.96125E-05	0.905132
9.60125E-05	0.903048
0.000102	 0.90113
0.000115	0.896726
0.000128	0.893253
0.000141	0.890055
0.000154	0.886807
0.000166	0.884351
0.000179	0.881779
0.000192	0.879333
0.000205	  0.8775
 0.00023	0.873584
0.000256	0.870277
0.000282	0.867399
0.000307	0.865133
0.000333	0.862525
0.000358	  0.8602
0.000384	0.858262
 0.00041	0.856867
0.000461	0.853302
0.000512	0.850551
0.000563	0.848351
0.000614	0.846288
0.000666	0.844335
0.000717	0.842668
0.000768	0.841252
0.000819	0.839768
0.000922	0.837561
0.001024	0.835552
0.001126	0.833715
0.001229	 0.83214
0.001331	0.830921
0.001434	0.829691
0.001536	0.828664
0.001638	0.827713
0.001843	 0.82574
0.002048	0.823942
0.002253	0.822466
0.002458	0.821131
0.002662	0.820067
0.002867	0.818926
0.003072	0.817982
0.003277	0.816816
0.003686	 0.81499
0.004096	 0.81332
0.004506	0.812311
0.004915	 0.81084
0.005325	0.809697
0.005734	0.808488
0.006144	0.807515
0.006554	0.806499
0.007373	0.804998
0.008192	0.803828
0.009011	0.802596
 0.00983	0.801988
 0.01065	0.801708
0.011469	0.801616
0.012288	0.801765
0.013107	0.802357
0.014746	0.803965
0.016384	0.805875
0.018022	0.807011
0.019661	 0.80687
0.021299	0.805113
0.022938	0.803025
0.024576	0.800385
0.026214	0.798033
0.029491	0.796022
0.032768	0.796738
0.036045	0.798846
0.039322	0.800288
0.042598	0.798884
0.045875	0.795812
0.049152	0.793631
0.052429	 0.79345
0.058982	 0.79503
0.065536	0.793721
 0.07209	 0.78975
0.078643	0.790944
0.085197	0.791522
 0.09175	0.786601
0.098304	0.787983
0.104858	0.787698
0.117965	0.785289
0.131072	0.783029
0.144179	0.781845
0.157286	0.779964
0.170394	0.778017
0.183501	0.776339
0.399815	0.761412
0.599722	0.752271
 0.79963	0.740386
0.999537	0.728876
 1.19944	0.720179
 1.39935	0.709397
 1.59926	0.701377
 1.79917	0.690919
 1.99907	0.682922
 2.19898	0.672346
 2.39889	0.664548
  2.5988	0.654969
  2.7987	0.647489
 2.99861	0.638934
 3.19852	0.630434
 3.39843	0.620685
 3.59833	0.613305
 3.79824	0.606354
 3.99815	0.599561
 4.19806	0.590212
 4.39796	0.582106
 4.59787	0.577813
 4.79778	0.569372
 4.99768	0.562488
 5.19759	0.553321
  5.3975	0.546286
 5.59741	0.539415
 5.79731	0.533513
 5.99722	 0.52523
 6.19713	0.517814
 6.39704	0.511265
 6.59694	0.504439
 6.79685	0.496938
 6.99676	0.491423
 7.19667	0.484303
 7.39657	0.479221
 7.59648	0.471782
 7.79639	0.465232
  7.9963	0.456464
  8.1962	 0.45164
 8.39611	 0.44587
 8.59602	0.439928
 8.79593	0.432468
 8.99583	0.427674
 9.19574	0.422071
 9.39565	0.418129
 9.59555	0.411606
 9.79546	0.406305
 9.99537	0.401638
 10.1953	0.395955
 10.3952	0.389549
 10.5951	0.384793
  10.795	0.379758
 10.9949	0.375989
 11.1948	0.371768
 11.3947	0.364401
 11.5946	0.361594
 11.7945	0.356959
 11.9944	0.352044
 12.1944	0.347508
 12.3943	0.344211
 12.5942	0.340548
 12.7941	0.335429


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

  6.422000	163.522293
 13.383000	 54.732403
 20.353000	 97.629380
 27.323000	124.913385
 34.284000	126.061463
 41.254000	335.044647
 48.023000	 44.817093
 54.991000	440.117785
 61.771000	232.854191
 68.732000	138.480605
 75.703000	 25.890539
 82.670000	 41.059370
 89.632000	 93.966751
 96.602000	100.232540
103.571000	468.871620
110.533000	224.048288
117.499000	 67.788217
124.461000	 91.398101
125.090146	124.799728
126.138722	124.600742
127.187298	123.145598
128.026158	123.614062
129.074734	124.075397
130.123310	124.279040
131.171886	124.108037
132.220462	124.271251
133.269038	122.489723
134.317614	124.778959
135.156475	126.344627
136.205051	124.002317
137.253627	123.560308
138.302203	124.589180
139.350779	124.693392
140.399355	125.658639
141.447931	125.401656
142.496507	124.885783
143.335368	124.971863
144.383944	127.624807
145.432520	126.594241
146.481096	128.049868
147.529672	125.409768
148.578248	125.110234
149.626824	126.172429
150.675400	126.537519
151.514261	126.126937
152.562837	125.692740
153.611413	126.298928
154.659989	124.917296
155.708565	126.239894
156.757141	126.281200
157.805717	125.990714
158.854293	123.871074
159.902869	125.011291
160.951445	125.807488
161.790306	123.870858
162.838882	125.161825
163.887458	123.843747
164.936034	125.928849
165.984610	124.478810
167.033186	124.919603
168.081762	123.581456
169.130338	123.726815
170.178914	124.723235
171.227490	125.840742
172.066350	123.886824
173.114926	123.013141
174.163502	123.886417
175.212078	122.656783
176.260654	123.166129
177.309230	124.601520
178.357806	123.494825
179.406382	124.685519
180.454958	124.693709
181.293819	125.371922

Measurement notes:

