DWS Measurement v9.2.8 
08/24/18 1:17:28 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	40.00
Cuvette Thickness (mm):	5.00
Absorption Length (mm):	100.259
Solvent:	Water
Solvent Refractive Index:	1.328
Particle Radius (nm):	300.0
l* (microns):	779.92
Mean Count Rate (kHz):	608.9


Lag time (s)	g2-1

1.25E-08	0.999305
 2.5E-08	0.999483
3.75E-08	 0.99848
   5E-08	 1.00148
6.25E-08	 1.00092
 7.5E-08	0.999592
8.75E-08	0.997323
   1E-07	 1.00083
1.125E-07	0.997677
1.25E-07	0.999127
1.375E-07	0.998805
 1.5E-07	 1.00011
1.625E-07	 1.00051
1.75E-07	0.998663
1.875E-07	0.998295
   2E-07	0.999465
2.125E-07	0.998632
2.375E-07	0.998754
2.625E-07	 0.99735
2.875E-07	0.997352
3.125E-07	0.999145
3.375E-07	0.996631
3.625E-07	0.997437
3.875E-07	0.996567
4.125E-07	0.996896
4.625E-07	0.997907
5.125E-07	0.997232
5.625E-07	0.996019
6.125E-07	0.995964
6.625E-07	0.995458
7.125E-07	0.997253
7.625E-07	0.995591
8.125E-07	0.995115
9.125E-07	0.994883
1.0125E-06	0.995014
1.1125E-06	0.995566
1.2125E-06	0.995937
1.3125E-06	0.995884
1.4125E-06	0.995684
1.5125E-06	0.995928
1.6125E-06	0.995438
1.8125E-06	0.994447
2.0125E-06	0.994101
2.2125E-06	0.993195
2.4125E-06	0.992718
2.6125E-06	0.992141
2.8125E-06	0.992807
3.0125E-06	0.993126
3.2125E-06	0.992837
3.6125E-06	0.991686
4.0125E-06	0.990422
4.4125E-06	0.990083
4.8125E-06	 0.99034
5.2125E-06	0.989221
5.6125E-06	0.988364
6.0125E-06	0.988122
6.4125E-06	0.988253
7.2125E-06	0.986421
8.0125E-06	0.986224
8.8125E-06	0.984948
9.6125E-06	0.984899
1.04125E-05	0.983696
1.12125E-05	0.983341
1.20125E-05	0.982274
1.28125E-05	0.982075
1.44125E-05	0.981002
1.60125E-05	0.979982
1.76125E-05	0.979172
1.92125E-05	0.978468
2.08125E-05	0.977672
2.24125E-05	0.976828
2.40125E-05	0.975925
2.56125E-05	0.975074
2.88125E-05	0.973436
3.20125E-05	0.972238
3.52125E-05	0.971139
3.84125E-05	0.970371
4.16125E-05	0.969459
4.48125E-05	0.968457
4.80125E-05	0.967223
5.12125E-05	0.966343
5.76125E-05	0.965153
6.40125E-05	  0.9639
7.04125E-05	0.962519
7.68125E-05	0.961636
8.32125E-05	0.960737
8.96125E-05	0.959552
9.60125E-05	0.958845
0.000102	0.958201
0.000115	0.956764
0.000128	  0.9556
0.000141	0.954592
0.000154	0.953539
0.000166	 0.95277
0.000179	 0.95199
0.000192	0.951305
0.000205	0.950775
 0.00023	0.949672
0.000256	0.948682
0.000282	 0.94787
0.000307	0.947161
0.000333	0.946471
0.000358	0.945905
0.000384	0.945384
 0.00041	0.944939
0.000461	0.944078
0.000512	0.943389
0.000563	0.942696
0.000614	0.942185
0.000666	0.941667
0.000717	0.941219
0.000768	0.940791
0.000819	0.940441
0.000922	0.939764
0.001024	0.939214
0.001126	0.938709
0.001229	0.938281
0.001331	0.937849
0.001434	 0.93749
0.001536	0.937117
0.001638	0.936833
0.001843	 0.93617
0.002048	  0.9356
0.002253	0.935094
0.002458	0.934577
0.002662	 0.93414
0.002867	0.933789
0.003072	0.933363
0.003277	0.933163
0.003686	0.932509
0.004096	0.931962
0.004506	0.931473
0.004915	0.931001
0.005325	 0.93062
0.005734	0.930213
0.006144	0.929877
0.006554	0.929852
0.007373	0.929214
0.008192	0.928602
0.009011	0.928033
 0.00983	0.927441
 0.01065	0.926764
0.011469	0.926009
0.012288	0.925148
0.013107	0.924943
0.014746	0.923425
0.016384	0.922204
0.018022	0.921193
0.019661	 0.92014
0.021299	0.918723
0.022938	0.917196
0.024576	0.915771
0.026214	0.915789
0.029491	0.913891
0.032768	0.911433
0.036045	0.908808
0.039322	0.906806
0.042598	0.904382
0.045875	0.901794
0.049152	0.899974
0.052429	0.899932
0.058982	0.895243
0.065536	0.890718
 0.07209	0.886173
0.078643	0.881634
0.085197	0.877159
 0.09175	0.872717
0.098304	0.868254
0.104858	0.868644
0.117965	0.860139
0.131072	0.851957
0.144179	0.843831
0.157286	 0.83569
0.170394	 0.82745
0.183501	0.819143
0.399814	0.728843
0.599722	   0.656
0.799629	0.587372
0.999536	0.530917
 1.19944	0.476602
 1.39935	 0.42976
 1.59926	0.390034
 1.79916	0.351823
 1.99907	0.318924
 2.19898	0.289554
 2.39889	0.262697
 2.59879	0.239421
  2.7987	 0.21712
 2.99861	0.198295
 3.19851	0.181421
 3.39842	 0.16451
 3.59833	0.151139
 3.79824	0.137175
 3.99814	0.125349
 4.19805	0.115408
 4.39796	0.105475
 4.59787	0.0968853
 4.79777	0.089128
 4.99768	0.0816163
 5.19759	0.074637
 5.39749	0.068715
  5.5974	0.063353
 5.79731	0.059339
 5.99722	0.0542017
 6.19712	0.050909
 6.39703	0.047749
 6.59694	0.044902
 6.79685	0.0422167
 6.99675	0.0393993
 7.19666	0.0377027
 7.39657	0.0359133
 7.59647	0.033749
 7.79638	0.0314727
 7.99629	0.0305587
 8.19619	0.0288593
  8.3961	0.027115
 8.59601	0.0253927
 8.79592	0.0249623
 8.99582	0.0239257
 9.19573	0.0226323
 9.39564	0.0210397
 9.59554	0.0196487
 9.79545	0.018594
 9.99536	0.017406
 10.1953	0.0170257
 10.3952	0.016309
 10.5951	0.016078
  10.795	0.0154893
 10.9949	0.0151503
 11.1948	0.0141933
 11.3947	0.0144387
 11.5946	 0.01437
 11.7945	0.013839
 11.9944	0.013615
 12.1943	0.0134723
 12.3942	0.0136677
 12.5942	0.0128647
 12.7941	0.0133973


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

  6.424000	487.945426
 13.396000	413.742723
 20.364000	695.273925
 27.325000	413.710570
 34.293000	259.093329
 41.255000	293.956586
 48.225000	317.304439
 55.185000	713.832528
 62.155000	1017.891188
 69.125000	208.724320
 76.085000	701.616136
 83.054000	266.542030
 90.013000	678.731457
 96.984000	578.310748
103.954000	426.068821
110.721000	275.577016
117.675000	769.171473
124.634000	551.504964
125.263146	601.431444
126.311722	612.953572
127.360298	602.650850
128.199158	607.099965
129.247734	606.586320
130.296310	599.647600
131.344886	592.360382
132.393462	599.294338
133.442038	604.553052
134.490614	602.704312
135.329475	598.480551
136.378051	599.490993
137.426627	610.882830
138.475203	604.338186
139.523779	599.089365
140.572355	603.023039
141.620931	606.920407
142.669507	613.046475
143.718083	606.506755
144.556944	605.689902
145.605520	604.798207
146.654096	610.860779
147.702672	607.753773
148.751248	598.901308
149.799824	595.289925
150.848400	604.977365
151.896976	596.869056
152.945552	608.167267
153.784413	605.277772
154.832989	603.833891
155.881565	608.592452
156.930141	606.766052
157.978717	607.276601
159.027293	599.083861
160.075869	609.719705
161.124445	604.257448
162.173021	599.872513
163.221597	601.425509
164.060458	599.409209
165.109034	599.334870
166.157610	602.140470
167.206186	603.333339
168.254762	612.452448
169.303338	611.091699
170.351914	608.755795
171.400490	604.809441
172.449066	603.541037
173.497642	612.300454
174.546218	604.951895
175.594794	608.948720
176.433654	598.707885
177.482230	603.536037
178.530806	606.319551
179.579382	611.279212
180.627958	614.654157

Measurement notes:

