DWS Measurement v9.2.8 
08/24/18 3:59:41 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	20.01
Cuvette Thickness (mm):	5.00
Absorption Length (mm):	105.035
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	758.74
Mean Count Rate (kHz):	615.4


Lag time (s)	g2-1

1.250000E-8	0.999015
2.500000E-8	1.000160
3.750000E-8	1.000831
5.000000E-8	0.999166
6.250000E-8	1.002066
7.500000E-8	1.000682
8.750000E-8	0.997425
1.000000E-7	0.999575
1.125000E-7	0.998324
1.250000E-7	0.999952
1.375000E-7	0.996906
1.500000E-7	0.998355
1.625000E-7	0.998905
1.750000E-7	0.998998
1.875000E-7	1.001031
2.000000E-7	0.998636
2.125000E-7	0.996905
2.375000E-7	0.999390
2.625000E-7	0.999308
2.875000E-7	0.996961
3.125000E-7	0.998054
3.375000E-7	0.996579
3.625000E-7	0.999479
3.875000E-7	0.997713
4.125000E-7	0.999481
4.625000E-7	0.996155
5.125000E-7	0.996663
5.625000E-7	0.996373
6.125000E-7	0.997740
6.625000E-7	0.995523
7.125000E-7	0.994493
7.625000E-7	0.995592
8.125000E-7	0.995981
9.125000E-7	0.996267
1.012500E-6	0.995902
1.112500E-6	0.995518
1.212500E-6	0.996211
1.312500E-6	0.996283
1.412500E-6	0.995927
1.512500E-6	0.996264
1.612500E-6	0.996728
1.812500E-6	0.996142
2.012500E-6	0.995135
2.212500E-6	0.994805
2.412500E-6	0.993165
2.612500E-6	0.992519
2.812500E-6	0.993479
3.012500E-6	0.994785
3.212500E-6	0.994478
3.612500E-6	0.993310
4.012500E-6	0.991035
4.412500E-6	0.992438
4.812500E-6	0.992366
5.212500E-6	0.991612
5.612500E-6	0.990254
6.012500E-6	0.989730
6.412500E-6	0.989974
7.212500E-6	0.989094
8.012500E-6	0.988738
8.812500E-6	0.987271
9.612500E-6	0.987367
1.041250E-5	0.985973
1.121250E-5	0.986065
1.201250E-5	0.985181
1.281250E-5	0.985045
1.441250E-5	0.984518
1.601250E-5	0.983654
1.761250E-5	0.982872
1.921250E-5	0.981940
2.081250E-5	0.981772
2.241250E-5	0.980554
2.401250E-5	0.979683
2.561250E-5	0.978808
2.881250E-5	0.977410
3.201250E-5	0.976311
3.521250E-5	0.975388
3.841250E-5	0.974569
4.161250E-5	0.973831
4.481250E-5	0.972638
4.801250E-5	0.971328
5.121250E-5	0.970280
5.761250E-5	0.969015
6.401250E-5	0.967719
7.041250E-5	0.965799
7.681250E-5	0.964801
8.321250E-5	0.963836
8.961250E-5	0.962630
9.601250E-5	0.961513
0.000102	0.960848
0.000115	0.958968
0.000128	0.957297
0.000141	0.955948
0.000154	0.954722
0.000166	0.953563
0.000179	0.952351
0.000192	0.951343
0.000205	0.950479
0.000230	0.948700
0.000256	0.947176
0.000282	0.945965
0.000307	0.944819
0.000333	0.943640
0.000358	0.942772
0.000384	0.941843
0.000410	0.941020
0.000461	0.939518
0.000512	0.938372
0.000563	0.937238
0.000614	0.936331
0.000666	0.935428
0.000717	0.934678
0.000768	0.933876
0.000819	0.933302
0.000922	0.932096
0.001024	0.930883
0.001126	0.929902
0.001229	0.929103
0.001331	0.928281
0.001434	0.927635
0.001536	0.927127
0.001638	0.926541
0.001843	0.925497
0.002048	0.924517
0.002253	0.923755
0.002458	0.923032
0.002662	0.922262
0.002867	0.921525
0.003072	0.921051
0.003277	0.920606
0.003686	0.919656
0.004096	0.918944
0.004506	0.918237
0.004915	0.917602
0.005325	0.917016
0.005734	0.916406
0.006144	0.915897
0.006554	0.915404
0.007373	0.914271
0.008192	0.913317
0.009011	0.912495
0.009830	0.911762
0.010650	0.911017
0.011469	0.910249
0.012288	0.909567
0.013107	0.909224
0.014746	0.907934
0.016384	0.906927
0.018022	0.906141
0.019661	0.905315
0.021299	0.904239
0.022938	0.903454
0.024576	0.902857
0.026214	0.902390
0.029491	0.900785
0.032768	0.899579
0.036045	0.898420
0.039322	0.897313
0.042598	0.896228
0.045875	0.894895
0.049152	0.893906
0.052429	0.893356
0.058982	0.891361
0.065536	0.889655
0.072090	0.887889
0.078643	0.886224
0.085197	0.884899
0.091750	0.883249
0.098304	0.881740
0.104858	0.881143
0.117965	0.878207
0.131072	0.875575
0.144179	0.872833
0.157286	0.870098
0.170394	0.867011
0.183501	0.864028
0.399815	0.837148
0.599722	0.817477
0.799629	0.792603
0.999536	0.778225
1.199444	0.758101
1.399351	0.739537
1.599258	0.726715
1.799166	0.705951
1.999073	0.691768
2.198980	0.676194
2.398887	0.657593
2.598795	0.646414
2.798702	0.628683
2.998609	0.614538
3.198516	0.602886
3.398424	0.585135
3.598331	0.574313
3.798238	0.559811
3.998146	0.545626
4.198053	0.536617
4.397960	0.521262
4.597867	0.509769
4.797775	0.500140
4.997682	0.486004
5.197589	0.478578
5.397497	0.465294
5.597404	0.453814
5.797311	0.447245
5.997218	0.433549
6.197126	0.424959
6.397033	0.416536
6.596940	0.405710
6.796847	0.399280
6.996755	0.387996
7.196662	0.378377
7.396569	0.372535
7.596477	0.362032
7.796384	0.356134
7.996291	0.348375
8.196198	0.341043
8.396106	0.335453
8.596013	0.326962
8.795920	0.319654
8.995828	0.314701
9.195735	0.306454
9.395642	0.301859
9.595549	0.295163
9.795457	0.288666
9.995364	0.284906
10.195271	0.277800
10.395179	0.272178
10.595086	0.266537
10.794993	0.259221
10.994900	0.256373
11.194808	0.249488
11.394715	0.245026
11.594622	0.240662
11.794529	0.234691
11.994437	0.229837
12.194344	0.225371
12.394251	0.220073
12.594159	0.218376
12.794066	0.212608


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

6.423000	1024.977411
13.384000	331.440388
20.349000	485.592127
27.304000	741.707487
34.264000	217.332052
41.224000	810.254334
48.194000	101.020749
55.150000	1057.429820
62.102000	242.276581
69.072000	729.945893
76.034000	215.551453
82.805000	174.337415
89.773000	481.425521
96.733000	272.021406
103.703000	246.013891
110.673000	157.129182
117.630000	370.025812
124.578000	459.934296
125.207146	617.054229
126.255722	616.547202
127.304298	618.966007
128.143158	623.679918
129.191734	615.928992
130.240310	615.781224
131.288886	614.578130
132.337462	617.083304
133.386038	614.727998
134.224899	611.432605
135.273475	614.716813
136.322051	611.592607
137.370627	605.289305
138.419203	614.402002
139.467779	617.615902
140.516355	625.598206
141.564931	615.204883
142.613507	617.295625
143.662083	620.134469
144.500944	614.999990
145.549520	615.247887
146.598096	615.374764
147.646672	615.463051
148.695248	616.336386
149.743824	617.545230
150.792400	615.032831
151.840976	612.348903
152.889552	608.023457
153.728413	609.168122
154.776989	616.177313
155.825565	618.758181
156.874141	620.046626
157.922717	625.170572
158.971293	622.059011
160.019869	621.895318
161.068445	624.414219
162.117021	622.265684
162.955882	624.690580
164.004458	621.640487
165.053034	621.284573
166.101610	623.599208
167.150186	626.698580
168.198762	623.598763
169.247338	616.394916
170.295914	615.689674
171.344490	614.646905
172.183350	615.063051
173.231926	620.697858
174.280502	620.351361
175.329078	617.316091
176.377654	623.912117
177.426230	623.928767
178.474806	620.198675
179.523382	624.360684
180.571958	627.102777
181.410819	632.086235
182.459395	629.958363
183.507971	626.638183
184.556547	629.431685

Measurement Notes:

