DWS Measurement v9.2.8 
08/24/18 1:17:28 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	40.00
Cuvette Thickness (mm):	5.00
Absorption Length (mm):	100.259
Solvent:	Water
Solvent Refractive Index:	1.328
Particle Radius (nm):	300.0
l* (microns):	779.92
Mean Count Rate (kHz):	608.9


Lag time (s)	g2-1

1.25E-08	0.999113
 2.5E-08	0.999408
3.75E-08	0.998137
   5E-08	 1.00138
6.25E-08	 1.00034
 7.5E-08	0.999854
8.75E-08	0.997602
   1E-07	 1.00183
1.125E-07	0.997324
1.25E-07	0.998378
1.375E-07	 1.00028
 1.5E-07	0.999853
1.625E-07	 1.00069
1.75E-07	0.998097
1.875E-07	0.998109
   2E-07	0.999328
2.125E-07	0.998097
2.375E-07	  0.9997
2.625E-07	0.997483
2.875E-07	0.997249
3.125E-07	0.998951
3.375E-07	0.998111
3.625E-07	0.997535
3.875E-07	0.997157
4.125E-07	0.997233
4.625E-07	0.998636
5.125E-07	0.997051
5.625E-07	0.995424
6.125E-07	0.995592
6.625E-07	0.995144
7.125E-07	0.997501
7.625E-07	0.995759
8.125E-07	0.994918
9.125E-07	0.994806
1.0125E-06	0.994511
1.1125E-06	 0.99528
1.2125E-06	0.995681
1.3125E-06	0.995875
1.4125E-06	0.995776
1.5125E-06	0.996011
1.6125E-06	0.995583
1.8125E-06	 0.99483
2.0125E-06	0.994449
2.2125E-06	 0.99308
2.4125E-06	0.992436
2.6125E-06	 0.99203
2.8125E-06	0.992711
3.0125E-06	0.993277
3.2125E-06	0.992737
3.6125E-06	0.991421
4.0125E-06	0.990282
4.4125E-06	0.989947
4.8125E-06	0.990252
5.2125E-06	 0.98924
5.6125E-06	0.988088
6.0125E-06	0.987998
6.4125E-06	0.988111
7.2125E-06	0.986209
8.0125E-06	0.985953
8.8125E-06	0.984787
9.6125E-06	0.984725
1.04125E-05	 0.98342
1.12125E-05	 0.98321
1.20125E-05	0.982012
1.28125E-05	 0.98187
1.44125E-05	0.980741
1.60125E-05	0.979671
1.76125E-05	0.979023
1.92125E-05	0.978243
2.08125E-05	0.977369
2.24125E-05	0.976574
2.40125E-05	0.975665
2.56125E-05	0.974742
2.88125E-05	0.973141
3.20125E-05	0.971774
3.52125E-05	0.970641
3.84125E-05	0.969941
4.16125E-05	0.969005
4.48125E-05	0.968009
4.80125E-05	0.966799
5.12125E-05	0.965828
5.76125E-05	0.964671
6.40125E-05	0.963365
7.04125E-05	0.962042
7.68125E-05	0.961184
8.32125E-05	0.960282
8.96125E-05	0.959057
9.60125E-05	0.958306
0.000102	0.957676
0.000115	0.956211
0.000128	0.955056
0.000141	0.954014
0.000154	0.952897
0.000166	0.952136
0.000179	0.951395
0.000192	0.950689
0.000205	 0.95012
 0.00023	0.949007
0.000256	0.948051
0.000282	0.947261
0.000307	0.946465
0.000333	0.945765
0.000358	0.945167
0.000384	0.944705
 0.00041	0.944244
0.000461	0.943343
0.000512	0.942654
0.000563	0.941986
0.000614	0.941457
0.000666	0.940933
0.000717	0.940465
0.000768	0.940029
0.000819	0.939679
0.000922	0.938943
0.001024	0.938368
0.001126	0.937874
0.001229	0.937463
0.001331	0.937024
0.001434	0.936611
0.001536	0.936264
0.001638	0.936017
0.001843	0.935322
0.002048	0.934734
0.002253	0.934189
0.002458	0.933663
0.002662	0.933202
0.002867	 0.93281
0.003072	0.932384
0.003277	0.932195
0.003686	0.931513
0.004096	0.930966
0.004506	0.930457
0.004915	0.929928
0.005325	0.929501
0.005734	 0.92908
0.006144	0.928731
0.006554	0.928728
0.007373	0.928043
0.008192	0.927431
0.009011	0.926851
 0.00983	0.926202
 0.01065	0.925468
0.011469	0.924701
0.012288	 0.92382
0.013107	0.923619
0.014746	0.922009
0.016384	0.920737
0.018022	0.919628
0.019661	0.918578
0.021299	0.917057
0.022938	0.915486
0.024576	0.913939
0.026214	0.913981
0.029491	0.911965
0.032768	0.909261
0.036045	0.906459
0.039322	0.904314
0.042598	0.901676
0.045875	0.898874
0.049152	0.896863
0.052429	0.896953
0.058982	0.891833
0.065536	0.886912
 0.07209	0.881906
0.078643	0.876949
0.085197	0.872064
 0.09175	0.867139
0.098304	0.862162
0.104858	0.862786
0.117965	0.853373
0.131072	0.844271
0.144179	0.835138
0.157286	0.826012
0.170394	 0.81664
0.183501	0.807138
0.399815	0.717583
0.599723	0.645083
 0.79963	0.577414
0.999538	0.521344
 1.19945	0.467816
 1.39935	0.421658
 1.59926	0.382354
 1.79917	 0.34505
 1.99908	0.312678
 2.19898	0.283841
 2.39889	0.257205
  2.5988	0.234494
 2.79871	0.212084
 2.99861	0.193524
 3.19852	0.177115
 3.39843	  0.1604
 3.59834	 0.14744
 3.79824	0.133683
 3.99815	0.122092
 4.19806	0.112463
 4.39797	0.102647
 4.59787	0.094324
 4.79778	0.086534
 4.99769	0.0792095
  5.1976	0.0721605
  5.3975	0.066394
 5.59741	0.0611365
 5.79732	0.0571335
 5.99723	0.051939
 6.19714	0.0487355
 6.39704	0.0451305
 6.59695	0.0424175
 6.79686	0.039873
 6.99676	0.037209
 7.19667	0.0354195
 7.39658	0.0337025
 7.59649	0.0315695
  7.7964	0.029352
  7.9963	0.0285095
 8.19621	0.027172
 8.39612	0.025712
 8.59603	0.0246135
 8.79593	0.0242345
 8.99584	0.0226345
 9.19575	0.021368
 9.39566	0.020023
 9.59556	0.0184125
 9.79547	0.017776
 9.99538	0.016474
 10.1953	0.016258
 10.3952	0.015225
 10.5951	0.014798
  10.795	0.013943
 10.9949	0.013649
 11.1948	0.012894
 11.3947	0.0136085
 11.5946	0.0134015
 11.7945	0.012762
 11.9945	0.012831
 12.1944	0.012867
 12.3943	0.0123025
 12.5942	0.0116435
 12.7941	0.0120115


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

  6.423000	718.030012
 13.385000	444.576683
 20.354000	493.395495
 27.335000	1381.932009
 34.293000	374.398339
 41.252000	738.853030
 48.210000	208.832395
 55.174000	386.617824
 62.141000	272.400364
 69.113000	285.869239
 76.083000	739.237829
 83.042000	373.423292
 90.012000	379.207830
 96.782000	561.581633
103.561000	293.674472
110.532000	1161.013189
117.501000	250.990062
124.462000	418.681556
125.091146	610.329883
126.139722	607.543823
127.188298	608.942396
128.027158	607.316208
129.075734	611.897176
130.124310	604.215029
131.172886	605.491526
132.221462	602.283310
133.270038	610.744542
134.108899	612.447905
135.157475	608.731354
136.206051	609.891476
137.254627	610.225802
138.303203	609.162390
139.351779	613.153314
140.400355	618.813977
141.448931	621.059182
142.497507	617.564405
143.546083	613.369374
144.384944	612.858743
145.433520	623.125031
146.482096	609.331076
147.530672	611.687058
148.579248	614.790050
149.627824	612.066323
150.676400	612.462172
151.724976	615.119859
152.773552	616.045983
153.822128	610.251863
154.870704	608.191233
155.919280	609.771539
156.967856	613.667597
157.806717	607.397328
158.855293	602.535980
159.903869	605.971479
160.952445	614.389399
162.001021	614.499156
163.049597	613.138214
164.098173	615.091909
165.146749	615.094297
166.195325	606.320383
167.243901	612.369455
168.292477	600.100178
169.341053	605.965364
170.179914	609.600278
171.228490	612.603564
172.277066	612.084683
173.325642	610.938936
174.374218	612.785218
175.422794	611.739114
176.471370	622.195698
177.519946	614.204181
178.568522	606.346371
179.617098	603.621813
180.455958	607.365405

Measurement notes:

