DWS Measurement v9.2.8 
08/31/18 1:19:14 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	25.00
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	465.0
l* (microns):	1077.80
Mean Count Rate (kHz):	158.1


Lag time (s)	g2-1

1.25E-08	 1.00002
 2.5E-08	 1.00336
3.75E-08	  1.0109
   5E-08	0.996617
6.25E-08	 1.00146
 7.5E-08	0.999655
8.75E-08	0.999016
   1E-07	0.997203
1.125E-07	 1.00088
1.25E-07	0.990988
1.375E-07	 1.00146
 1.5E-07	 1.00202
1.625E-07	 1.00244
1.75E-07	 1.00064
1.875E-07	 1.00646
   2E-07	 1.00227
2.125E-07	0.998926
2.375E-07	 1.00199
2.625E-07	 1.00229
2.875E-07	 1.00003
3.125E-07	0.999873
3.375E-07	 0.99774
3.625E-07	 1.00233
3.875E-07	 0.99843
4.125E-07	 1.00117
4.625E-07	   1.001
5.125E-07	 0.99891
5.625E-07	 1.00039
6.125E-07	0.999315
6.625E-07	 1.00138
7.125E-07	0.996759
7.625E-07	0.998297
8.125E-07	0.996405
9.125E-07	0.997826
1.0125E-06	0.998403
1.1125E-06	0.998397
1.2125E-06	0.997946
1.3125E-06	 1.00033
1.4125E-06	 1.00172
1.5125E-06	 1.00005
1.6125E-06	 1.00038
1.8125E-06	0.998786
2.0125E-06	0.996929
2.2125E-06	 0.99784
2.4125E-06	 0.99438
2.6125E-06	0.994489
2.8125E-06	0.996024
3.0125E-06	0.997397
3.2125E-06	0.996288
3.6125E-06	0.994352
4.0125E-06	0.993195
4.4125E-06	0.992431
4.8125E-06	0.992784
5.2125E-06	0.992084
5.6125E-06	0.990443
6.0125E-06	0.989318
6.4125E-06	 0.99074
7.2125E-06	 0.98836
8.0125E-06	0.988574
8.8125E-06	0.986814
9.6125E-06	0.986783
1.04125E-05	0.985756
1.12125E-05	 0.98575
1.20125E-05	0.983975
1.28125E-05	0.984097
1.44125E-05	0.982777
1.60125E-05	0.982272
1.76125E-05	0.981152
1.92125E-05	0.980708
2.08125E-05	0.979766
2.24125E-05	0.979113
2.40125E-05	0.977934
2.56125E-05	0.976372
2.88125E-05	0.974194
3.20125E-05	 0.97217
3.52125E-05	0.971598
3.84125E-05	0.970948
4.16125E-05	0.969896
4.48125E-05	0.968213
4.80125E-05	0.967116
5.12125E-05	0.966448
5.76125E-05	0.964827
6.40125E-05	0.963019
7.04125E-05	0.960907
7.68125E-05	0.959872
8.32125E-05	0.958568
8.96125E-05	0.957138
9.60125E-05	0.956145
0.000102	0.955626
0.000115	0.953654
0.000128	0.952001
0.000141	0.950701
0.000154	0.949374
0.000166	0.948131
0.000179	0.947123
0.000192	0.946235
0.000205	0.944972
 0.00023	0.943386
0.000256	0.942066
0.000282	0.940772
0.000307	0.939691
0.000333	0.938382
0.000358	0.937438
0.000384	0.936472
 0.00041	0.935869
0.000461	0.934158
0.000512	0.932826
0.000563	 0.93166
0.000614	0.930558
0.000666	0.929476
0.000717	0.928525
0.000768	0.927806
0.000819	0.927061
0.000922	0.925623
0.001024	0.924274
0.001126	0.923019
0.001229	0.921858
0.001331	0.920964
0.001434	0.920165
0.001536	0.919241
0.001638	0.918487
0.001843	0.917005
0.002048	0.915736
0.002253	0.914439
0.002458	0.913306
0.002662	0.912192
0.002867	 0.91134
0.003072	0.910457
0.003277	 0.90977
0.003686	0.908316
0.004096	0.907097
0.004506	0.906131
0.004915	0.905277
0.005325	0.904468
0.005734	0.903696
0.006144	0.902678
0.006554	0.902255
0.007373	0.900905
0.008192	0.899713
0.009011	0.898629
 0.00983	0.897667
 0.01065	0.896895
0.011469	0.896113
0.012288	0.895136
0.013107	0.894689
0.014746	 0.89362
0.016384	0.892933
0.018022	0.892193
0.019661	0.890961
0.021299	0.889693
0.022938	0.888452
0.024576	0.887335
0.026214	 0.88654
0.029491	0.884299
0.032768	0.882766
0.036045	0.881201
0.039322	0.879921
0.042598	0.878824
0.045875	0.876757
0.049152	0.875415
0.052429	0.875061
0.058982	0.872144
0.065536	0.870067
 0.07209	0.867212
0.078643	0.864325
0.085197	0.862691
 0.09175	0.859986
0.098304	0.857636
0.104858	0.857804
0.117965	0.853227
0.131072	0.849509
0.144179	0.845262
0.157286	0.842021
0.170394	0.838536
0.183501	0.834826
0.399815	0.787517
0.599723	0.748896
0.799631	0.708467
0.999539	 0.67758
 1.19945	0.643565
 1.39935	0.612879
 1.59926	0.586916
 1.79917	0.557375
 1.99908	0.532487
 2.19898	0.509169
 2.39889	0.485654
  2.5988	0.466635
 2.79871	0.445204
 2.99862	0.425304
 3.19852	0.407801
 3.39843	0.388852
 3.59834	0.373585
 3.79825	0.357171
 3.99816	0.341228
 4.19806	0.329869
 4.39797	0.314588
 4.59788	 0.30289
 4.79779	0.291344
 4.99769	0.279227
  5.1976	0.268141
 5.39751	0.257549
 5.59742	0.246462
 5.79732	0.237956
 5.99723	0.228095
 6.19714	0.218892
 6.39705	0.210755
 6.59696	  0.2023
 6.79686	0.196615
 6.99677	0.188398
 7.19668	0.181409
 7.39659	0.175588
 7.59649	0.169167
  7.7964	 0.16357
 7.99631	0.158932
 8.19622	0.152679
 8.39612	0.147622
 8.59603	0.142329
 8.79594	0.137393
 8.99585	0.132659
 9.19576	  0.1284
 9.39566	0.125821
 9.59557	0.122005
 9.79548	0.117001
 9.99539	0.113565
 10.1953	0.109835
 10.3952	0.107905
 10.5951	0.103868
  10.795	0.100852
 10.9949	0.0992183
 11.1948	0.0963447
 11.3947	0.0929783
 11.5946	0.0918457
 11.7946	0.0882953
 11.9945	0.0863827
 12.1944	0.083689
 12.3943	0.0812133
 12.5942	0.0791697
 12.7941	0.0769123


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

  6.419000	 43.319146
 13.377000	135.277323
 20.340000	127.235615
 27.308000	 49.166077
 34.266000	 38.967536
 41.217000	247.553971
 48.178000	182.301281
 55.139000	130.671866
 62.106000	 65.826318
 69.067000	215.403642
 76.039000	457.391549
 83.008000	112.938404
 89.967000	129.183329
 96.937000	 48.328820
103.897000	193.447326
110.867000	266.084027
117.838000	 50.393533
124.807000	195.898336
125.436146	156.322979
126.484722	158.220497
127.533298	159.789295
128.372158	159.566386
129.420734	158.150847
130.469310	157.615081
131.517886	157.708575
132.566462	158.361864
133.615038	157.335430
134.453899	156.084725
135.502475	155.986885
136.551051	156.945313
137.599627	154.615490
138.648203	154.365018
139.696779	154.827012
140.745355	156.377370
141.793931	157.200145
142.632792	158.530957
143.681368	157.516134
144.729944	157.276091
145.778520	157.541104
146.827096	157.647416
147.875672	159.031285
148.924248	158.142746
149.972824	159.047620
151.021400	157.772811
152.069976	160.882531
153.118552	160.545798
154.167128	160.512754
155.215704	161.084398
156.264280	160.389469
157.103141	159.954795
158.151717	157.746121
159.200293	156.025889
160.248869	156.571180
161.297445	156.588360
162.346021	157.233612
163.394597	159.551558
164.443173	158.568096
165.491749	158.635211
166.540325	158.900684
167.379186	156.059925
168.427762	156.885521
169.476338	157.417812
170.524914	155.195599
171.573490	158.897434
172.622066	155.501114
173.670642	157.540528
174.719218	156.345998
175.767794	156.371818
176.816370	154.687334
177.864946	156.832274
178.703806	156.759570
179.752382	155.930475
180.800958	156.279323

Measurement notes:

