DWS Measurement v9.2.8 
08/31/18 1:22:57 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	25.00
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	465.0
l* (microns):	1074.31
Mean Count Rate (kHz):	158.4


Lag time (s)	g2-1

1.250000E-8	1.000665
2.500000E-8	1.003805
3.750000E-8	1.001326
5.000000E-8	1.009609
6.250000E-8	0.997624
7.500000E-8	1.002650
8.750000E-8	1.003637
1.000000E-7	1.003297
1.125000E-7	1.003758
1.250000E-7	0.987483
1.375000E-7	1.005798
1.500000E-7	0.991993
1.625000E-7	1.001321
1.750000E-7	0.999393
1.875000E-7	1.006256
2.000000E-7	1.003019
2.125000E-7	0.998439
2.375000E-7	1.005475
2.625000E-7	1.008413
2.875000E-7	1.007776
3.125000E-7	0.999827
3.375000E-7	0.996910
3.625000E-7	1.002106
3.875000E-7	0.995611
4.125000E-7	1.004332
4.625000E-7	1.008241
5.125000E-7	1.003217
5.625000E-7	1.001664
6.125000E-7	1.000549
6.625000E-7	0.999474
7.125000E-7	0.995876
7.625000E-7	1.001871
8.125000E-7	0.999827
9.125000E-7	0.999192
1.012500E-6	0.998557
1.112500E-6	1.003988
1.212500E-6	0.999555
1.312500E-6	1.003796
1.412500E-6	1.003816
1.512500E-6	1.002277
1.612500E-6	1.001791
1.812500E-6	0.998578
2.012500E-6	0.998945
2.212500E-6	0.999032
2.412500E-6	0.996974
2.612500E-6	0.997142
2.812500E-6	0.997536
3.012500E-6	0.999746
3.212500E-6	0.999229
3.612500E-6	0.999225
4.012500E-6	0.995867
4.412500E-6	0.993314
4.812500E-6	0.995150
5.212500E-6	0.995063
5.612500E-6	0.992452
6.012500E-6	0.991847
6.412500E-6	0.993546
7.212500E-6	0.989647
8.012500E-6	0.991751
8.812500E-6	0.988695
9.612500E-6	0.987991
1.041250E-5	0.987527
1.121250E-5	0.988677
1.201250E-5	0.987254
1.281250E-5	0.986961
1.441250E-5	0.985321
1.601250E-5	0.984894
1.761250E-5	0.983995
1.921250E-5	0.984307
2.081250E-5	0.982629
2.241250E-5	0.981766
2.401250E-5	0.982087
2.561250E-5	0.979344
2.881250E-5	0.977796
3.201250E-5	0.975143
3.521250E-5	0.974861
3.841250E-5	0.973924
4.161250E-5	0.973789
4.481250E-5	0.970895
4.801250E-5	0.970874
5.121250E-5	0.969280
5.761250E-5	0.968244
6.401250E-5	0.966446
7.041250E-5	0.964389
7.681250E-5	0.963211
8.321250E-5	0.962019
8.961250E-5	0.960864
9.601250E-5	0.959868
0.000102	0.959317
0.000115	0.957741
0.000128	0.956001
0.000141	0.954503
0.000154	0.953287
0.000166	0.952373
0.000179	0.951325
0.000192	0.950372
0.000205	0.948928
0.000230	0.947569
0.000256	0.946253
0.000282	0.945207
0.000307	0.943898
0.000333	0.942678
0.000358	0.942006
0.000384	0.940629
0.000410	0.940373
0.000461	0.938620
0.000512	0.937280
0.000563	0.936235
0.000614	0.935351
0.000666	0.934234
0.000717	0.933312
0.000768	0.932774
0.000819	0.932110
0.000922	0.930746
0.001024	0.929387
0.001126	0.928377
0.001229	0.927271
0.001331	0.926327
0.001434	0.925588
0.001536	0.924640
0.001638	0.923880
0.001843	0.922412
0.002048	0.921195
0.002253	0.920058
0.002458	0.918882
0.002662	0.917730
0.002867	0.917006
0.003072	0.916135
0.003277	0.915392
0.003686	0.913906
0.004096	0.912655
0.004506	0.911699
0.004915	0.910983
0.005325	0.910331
0.005734	0.909697
0.006144	0.908708
0.006554	0.908371
0.007373	0.907138
0.008192	0.906010
0.009011	0.904894
0.009830	0.903950
0.010650	0.903159
0.011469	0.902533
0.012288	0.901626
0.013107	0.901154
0.014746	0.900194
0.016384	0.899558
0.018022	0.898906
0.019661	0.897940
0.021299	0.896768
0.022938	0.895590
0.024576	0.894385
0.026214	0.893701
0.029491	0.891434
0.032768	0.889974
0.036045	0.888866
0.039322	0.887428
0.042598	0.886280
0.045875	0.884342
0.049152	0.883219
0.052429	0.882723
0.058982	0.879679
0.065536	0.877836
0.072090	0.875090
0.078643	0.872095
0.085197	0.870716
0.091750	0.868254
0.098304	0.866119
0.104858	0.866128
0.117965	0.862531
0.131072	0.859514
0.144179	0.855302
0.157286	0.852081
0.170394	0.849392
0.183501	0.846071
0.399815	0.799749
0.599722	0.760486
0.799630	0.719247
0.999537	0.689262
1.199445	0.653882
1.399352	0.623988
1.599260	0.596065
1.799167	0.565350
1.999074	0.541437
2.198982	0.518152
2.398889	0.493803
2.598797	0.474697
2.798704	0.452423
2.998612	0.431020
3.198519	0.413318
3.398426	0.394294
3.598334	0.378997
3.798241	0.362789
3.998149	0.346563
4.198056	0.334697
4.397964	0.317426
4.597871	0.306314
4.797779	0.294705
4.997686	0.281768
5.197593	0.272402
5.397501	0.260971
5.597408	0.250026
5.797316	0.241857
5.997223	0.230696
6.197131	0.221358
6.397038	0.211639
6.596946	0.202645
6.796853	0.196698
6.996760	0.189729
7.196668	0.182915
7.396575	0.175984
7.596483	0.170710
7.796390	0.166391
7.996298	0.161078
8.196205	0.155121
8.396112	0.149288
8.596020	0.141474
8.795927	0.136318
8.995835	0.129860
9.195742	0.126177
9.395650	0.122024
9.595557	0.119789
9.795465	0.113772
9.995372	0.108968
10.195279	0.104603
10.395187	0.102583
10.595094	0.098559
10.795002	0.097264
10.994909	0.092550
11.194817	0.090085
11.394724	0.085821
11.594632	0.085077
11.794539	0.080408
11.994446	0.077085
12.194354	0.073211
12.394261	0.072488
12.594169	0.069387
12.794076	0.067284


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

6.425000	816.762010
13.385000	53.809827
20.355000	101.063329
27.325000	479.141174
34.286000	205.060219
41.255000	53.719321
48.214000	363.914528
55.184000	87.703979
62.154000	44.354545
69.114000	195.314397
76.083000	158.716492
83.043000	98.076743
90.013000	71.157703
96.983000	468.521691
103.944000	175.096542
110.913000	44.702335
117.875000	416.623519
124.843000	40.401780
125.472146	157.941160
126.520722	155.902713
127.569298	159.612273
128.408158	159.110098
129.456734	158.651781
130.505310	159.938635
131.553886	159.843175
132.602462	157.470611
133.651038	158.354398
134.489899	158.389432
135.538475	157.712420
136.587051	154.665115
137.635627	154.916768
138.684203	157.213991
139.732779	154.747610
140.781355	156.487459
141.829931	156.758245
142.878507	158.303014
143.717368	157.386089
144.765944	156.257961
145.814520	158.570484
146.863096	157.486518
147.911672	156.795474
148.960248	155.099457
150.008824	158.197313
151.057400	157.153962
152.105976	158.993576
153.154552	160.433715
154.203128	160.620076
155.251704	158.956293
156.090565	158.168129
157.139141	158.818636
158.187717	160.904651
159.236293	160.085260
160.284869	159.683504
161.333445	159.416893
162.382021	157.496420
163.430597	157.899108
164.479173	155.951800
165.527749	156.280486
166.576325	158.158333
167.624901	154.105776
168.463762	156.449062
169.512338	157.960051
170.560914	158.500746
171.609490	159.320695
172.658066	159.881423
173.706642	158.414738
174.755218	157.780465
175.803794	156.903897
176.852370	157.287457
177.900946	155.270101
178.949522	155.452878
179.788382	156.284126
180.836958	158.030464
181.885534	157.758182
182.934110	159.478161
183.982686	159.623320

Measurement Notes:

