DWS Measurement v9.2.8
08/31/18 3:09:54 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	25.00
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	465.0
l* (microns):	1107.38
Mean Count Rate (kHz):	157.3


Lag time (s)	g2-1

1.250000E-8	0.991928
2.500000E-8	1.006016
3.750000E-8	1.016636
5.000000E-8	0.986894
6.250000E-8	1.005477
7.500000E-8	0.995059
8.750000E-8	0.992114
1.000000E-7	0.983263
1.125000E-7	1.007375
1.250000E-7	0.998308
1.375000E-7	0.994880
1.500000E-7	1.003231
1.625000E-7	1.006283
1.750000E-7	1.001631
1.875000E-7	1.010441
2.000000E-7	1.002482
2.125000E-7	1.000420
2.375000E-7	0.993984
2.625000E-7	0.998696
2.875000E-7	0.992536
3.125000E-7	0.997159
3.375000E-7	0.997343
3.625000E-7	1.004317
3.875000E-7	1.002555
4.125000E-7	0.995886
4.625000E-7	0.994968
5.125000E-7	0.991399
5.625000E-7	0.999099
6.125000E-7	0.995853
6.625000E-7	1.001578
7.125000E-7	0.998022
7.625000E-7	0.997203
8.125000E-7	0.994690
9.125000E-7	0.992647
1.012500E-6	0.996185
1.112500E-6	0.992465
1.212500E-6	0.996294
1.312500E-6	0.997671
1.412500E-6	0.999269
1.512500E-6	1.000086
1.612500E-6	1.000321
1.812500E-6	0.996882
2.012500E-6	0.993292
2.212500E-6	0.995172
2.412500E-6	0.991106
2.612500E-6	0.991261
2.812500E-6	0.995387
3.012500E-6	0.992480
3.212500E-6	0.993130
3.612500E-6	0.990176
4.012500E-6	0.989407
4.412500E-6	0.989563
4.812500E-6	0.988311
5.212500E-6	0.988364
5.612500E-6	0.987044
6.012500E-6	0.984675
6.412500E-6	0.988163
7.212500E-6	0.985701
8.012500E-6	0.984804
8.812500E-6	0.984304
9.612500E-6	0.983183
1.041250E-5	0.982164
1.121250E-5	0.982398
1.201250E-5	0.979908
1.281250E-5	0.980925
1.441250E-5	0.979336
1.601250E-5	0.979618
1.761250E-5	0.977723
1.921250E-5	0.976903
2.081250E-5	0.975509
2.241250E-5	0.976607
2.401250E-5	0.973617
2.561250E-5	0.972415
2.881250E-5	0.969924
3.201250E-5	0.968790
3.521250E-5	0.967426
3.841250E-5	0.966967
4.161250E-5	0.965743
4.481250E-5	0.964383
4.801250E-5	0.963440
5.121250E-5	0.962875
5.761250E-5	0.961158
6.401250E-5	0.959178
7.041250E-5	0.957200
7.681250E-5	0.956269
8.321250E-5	0.954774
8.961250E-5	0.952994
9.601250E-5	0.952167
0.000102	0.951574
0.000115	0.949414
0.000128	0.947775
0.000141	0.946551
0.000154	0.945335
0.000166	0.943691
0.000179	0.942759
0.000192	0.941826
0.000205	0.940672
0.000230	0.939239
0.000256	0.937756
0.000282	0.936324
0.000307	0.935351
0.000333	0.934143
0.000358	0.932760
0.000384	0.932128
0.000410	0.931503
0.000461	0.929675
0.000512	0.928529
0.000563	0.927239
0.000614	0.925895
0.000666	0.925097
0.000717	0.923937
0.000768	0.923155
0.000819	0.922392
0.000922	0.920866
0.001024	0.919506
0.001126	0.918187
0.001229	0.917203
0.001331	0.916156
0.001434	0.915390
0.001536	0.914515
0.001638	0.913728
0.001843	0.912163
0.002048	0.910970
0.002253	0.909666
0.002458	0.908407
0.002662	0.907273
0.002867	0.906328
0.003072	0.905462
0.003277	0.904887
0.003686	0.903480
0.004096	0.902317
0.004506	0.901392
0.004915	0.900372
0.005325	0.899534
0.005734	0.898693
0.006144	0.897663
0.006554	0.897142
0.007373	0.895712
0.008192	0.894677
0.009011	0.893684
0.009830	0.892711
0.010650	0.892051
0.011469	0.891192
0.012288	0.889967
0.013107	0.889631
0.014746	0.888779
0.016384	0.888162
0.018022	0.887278
0.019661	0.885974
0.021299	0.884737
0.022938	0.883428
0.024576	0.882349
0.026214	0.881636
0.029491	0.879326
0.032768	0.877563
0.036045	0.875607
0.039322	0.874402
0.042598	0.873060
0.045875	0.870663
0.049152	0.869346
0.052429	0.869030
0.058982	0.866274
0.065536	0.863965
0.072090	0.860998
0.078643	0.857913
0.085197	0.855930
0.091750	0.853024
0.098304	0.850835
0.104858	0.851014
0.117965	0.845775
0.131072	0.841529
0.144179	0.837140
0.157286	0.833695
0.170394	0.829435
0.183501	0.824928
0.399815	0.780843
0.599723	0.743616
0.799631	0.703235
0.999539	0.672540
1.199446	0.639511
1.399354	0.608143
1.599262	0.585647
1.799170	0.555914
1.999077	0.531394
2.198985	0.508385
2.398893	0.484974
2.598800	0.466529
2.798708	0.444075
2.998616	0.424935
3.198524	0.405906
3.398431	0.388541
3.598339	0.372766
3.798247	0.356281
3.998155	0.340885
4.198062	0.328636
4.397970	0.313945
4.597878	0.302902
4.797785	0.291861
4.997693	0.279111
5.197601	0.267431
5.397509	0.256515
5.597416	0.243960
5.797324	0.236520
5.997232	0.225330
6.197139	0.216790
6.397047	0.209826
6.596955	0.201376
6.796863	0.194946
6.996770	0.184136
7.196678	0.179152
7.396586	0.174107
7.596494	0.166957
7.796401	0.162483
7.996309	0.157457
8.196217	0.153304
8.396124	0.148762
8.596032	0.143861
8.795940	0.139914
8.995848	0.133947
9.195755	0.131477
9.395663	0.130085
9.595571	0.123658
9.795479	0.119120
9.995386	0.115595
10.195294	0.112918
10.395202	0.110556
10.595109	0.106555
10.795017	0.101288
10.994925	0.102640
11.194833	0.099388
11.394740	0.096108
11.594648	0.095508
11.794556	0.092521
11.994464	0.093009
12.194371	0.091060
12.394279	0.089279
12.594187	0.088091
12.794094	0.087465


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

13.377000	135.277323
20.340000	127.235615
27.308000	49.166077
34.266000	38.967536
41.217000	247.553971
48.178000	182.301281
55.139000	130.671866
62.106000	65.826318
69.067000	215.403642
76.039000	457.391549
83.008000	112.938404
89.967000	129.183329
96.937000	48.328820
103.897000	193.447326
110.867000	266.084027
117.838000	50.393533
124.807000	195.898336
125.436146	156.322979
126.484722	158.220497
127.533298	159.789295
128.372158	159.566386
129.420734	158.150847
130.469310	157.615081
131.517886	157.708575
132.566462	158.361864
133.615038	157.335430
134.453899	156.084725
135.502475	155.986885
136.551051	156.945313
137.599627	154.615490
138.648203	154.365018
139.696779	154.827012
140.745355	156.377370
141.793931	157.200145
142.632792	158.530957
143.681368	157.516134
144.729944	157.276091
145.778520	157.541104
146.827096	157.647416
147.875672	159.031285
148.924248	158.142746
149.972824	159.047620
151.021400	157.772811
152.069976	160.882531
153.118552	160.545798
154.167128	160.512754
155.215704	161.084398
156.264280	160.389469
157.103141	159.954795
158.151717	157.746121
159.200293	156.025889
160.248869	156.571180
161.297445	156.588360
162.346021	157.233612
163.394597	159.551558
164.443173	158.568096
165.491749	158.635211
166.540325	158.900684
167.379186	156.059925
168.427762	156.885521
169.476338	157.417812
170.524914	155.195599
171.573490	158.897434
172.622066	155.501114
173.670642	157.540528
174.719218	156.345998
175.767794	156.371818
176.816370	154.687334
177.864946	156.832274
178.703806	156.759570
179.752382	155.930475
180.800958	156.279323
181.849534	156.467935
182.898110	156.472482
183.946686	155.548313

Measurement Notes:

