DWS Measurement v9.2.8 
08/16/18 4:37:13 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	30
Echo Duration (s):	30
Wavelength (nm):	685.0
Temperature (°C):	25.04
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	465.0
l* (microns):	1066.27
Mean Count Rate (kHz):	182.7


Lag time (s)	g2-1

1.250000E-8	1.011816
2.500000E-8	1.011616
3.750000E-8	0.980998
5.000000E-8	1.002773
6.250000E-8	0.997360
7.500000E-8	1.010092
8.750000E-8	0.998787
1.000000E-7	1.001978
1.125000E-7	1.001791
1.250000E-7	1.013594
1.375000E-7	1.021454
1.500000E-7	0.998275
1.625000E-7	1.004121
1.750000E-7	0.966340
1.875000E-7	1.007819
2.000000E-7	0.991540
2.125000E-7	1.003470
2.375000E-7	1.002173
2.625000E-7	1.016165
2.875000E-7	1.013066
3.125000E-7	1.000945
3.375000E-7	0.993757
3.625000E-7	1.002289
3.875000E-7	1.004080
4.125000E-7	1.008615
4.625000E-7	0.993099
5.125000E-7	1.007081
5.625000E-7	0.999389
6.125000E-7	1.010497
6.625000E-7	1.004712
7.125000E-7	1.000010
7.625000E-7	0.986529
8.125000E-7	0.993078
9.125000E-7	0.998849
1.012500E-6	1.001480
1.112500E-6	0.997655
1.212500E-6	1.003230
1.312500E-6	1.001088
1.412500E-6	1.008317
1.512500E-6	1.003616
1.612500E-6	1.007921
1.812500E-6	1.005464
2.012500E-6	1.002679
2.212500E-6	1.002104
2.412500E-6	1.001613
2.612500E-6	0.999347
2.812500E-6	1.000931
3.012500E-6	0.997162
3.212500E-6	0.998586
3.612500E-6	0.994523
4.012500E-6	0.995821
4.412500E-6	0.995039
4.812500E-6	0.994755
5.212500E-6	0.991739
5.612500E-6	0.994063
6.012500E-6	0.991564
6.412500E-6	0.995023
7.212500E-6	0.989979
8.012500E-6	0.991276
8.812500E-6	0.987229
9.612500E-6	0.988452
1.041250E-5	0.985989
1.121250E-5	0.988773
1.201250E-5	0.986209
1.281250E-5	0.986174
1.441250E-5	0.983900
1.601250E-5	0.981337
1.761250E-5	0.981678
1.921250E-5	0.981046
2.081250E-5	0.977948
2.241250E-5	0.979425
2.401250E-5	0.976654
2.561250E-5	0.976509
2.881250E-5	0.973663
3.201250E-5	0.971242
3.521250E-5	0.970746
3.841250E-5	0.969339
4.161250E-5	0.968302
4.481250E-5	0.965803
4.801250E-5	0.964619
5.121250E-5	0.962819
5.761250E-5	0.961537
6.401250E-5	0.959761
7.041250E-5	0.957302
7.681250E-5	0.956708
8.321250E-5	0.955182
8.961250E-5	0.952611
9.601250E-5	0.951792
0.000102	0.950960
0.000115	0.948261
0.000128	0.946973
0.000141	0.944268
0.000154	0.942894
0.000166	0.941797
0.000179	0.940394
0.000192	0.938623
0.000205	0.938047
0.000230	0.935374
0.000256	0.933459
0.000282	0.931767
0.000307	0.930173
0.000333	0.928705
0.000358	0.927027
0.000384	0.925832
0.000410	0.924562
0.000461	0.922571
0.000512	0.920597
0.000563	0.919005
0.000614	0.917533
0.000666	0.915640
0.000717	0.914082
0.000768	0.913073
0.000819	0.911800
0.000922	0.909976
0.001024	0.907681
0.001126	0.905773
0.001229	0.903981
0.001331	0.902497
0.001434	0.900725
0.001536	0.899067
0.001638	0.897150
0.001843	0.894084
0.002048	0.891187
0.002253	0.888156
0.002458	0.885217
0.002662	0.882272
0.002867	0.879511
0.003072	0.876708
0.003277	0.874031
0.003686	0.868754
0.004096	0.864260
0.004506	0.859494
0.004915	0.855469
0.005325	0.851364
0.005734	0.847633
0.006144	0.843593
0.006554	0.840395
0.007373	0.834082
0.008192	0.828707
0.009011	0.824187
0.009830	0.821326
0.010650	0.819835
0.011469	0.820162
0.012288	0.822586
0.013107	0.826590
0.014746	0.836437
0.016384	0.847079
0.018022	0.855218
0.019661	0.857437
0.021299	0.852139
0.022938	0.841745
0.024576	0.829078
0.026214	0.817335
0.029491	0.801237
0.032768	0.807796
0.036045	0.826065
0.039322	0.837544
0.042598	0.826007
0.045875	0.801208
0.049152	0.787586
0.052429	0.796449
0.058982	0.817563
0.065536	0.793087
0.072090	0.783403
0.078643	0.802923
0.085197	0.780170
0.091750	0.770074
0.098304	0.789591
0.104858	0.773084
0.117965	0.768981
0.131072	0.759112
0.144179	0.756243
0.157286	0.755236
0.170394	0.746279
0.183501	0.745277
0.399815	0.666432
0.599722	0.603944
0.799630	0.546190
0.999537	0.504492
1.199445	0.464056
1.399352	0.430560
1.599259	0.408862
1.799167	0.391132
1.999074	0.372820
2.198982	0.353083
2.398889	0.338314
2.598797	0.325261
2.798704	0.301228
2.998611	0.282764
3.198519	0.262287
3.398426	0.246182
3.598334	0.234178
3.798241	0.223841
3.998149	0.211631
4.198056	0.205237
4.397963	0.193538
4.597871	0.189990
4.797778	0.181763
4.997686	0.170698
5.197593	0.166113
5.397501	0.158882
5.597408	0.150196
5.797315	0.144460
5.997223	0.143207
6.197130	0.137995
6.397038	0.131768
6.596945	0.128449
6.796852	0.127282
6.996760	0.122573
7.196667	0.117414
7.396575	0.115529
7.596482	0.112876
7.796390	0.110935
7.996297	0.104147
8.196204	0.100940
8.396112	0.097463
8.596019	0.098549
8.795927	0.094935
8.995834	0.095115
9.195742	0.089310
9.395649	0.090036
9.595556	0.089672
9.795464	0.086537
9.995371	0.089142
10.195279	0.083013
10.395186	0.082950
10.595094	0.080431
10.795001	0.078487
10.994908	0.077860
11.194816	0.078740
11.394723	0.072182
11.594631	0.067709
11.794538	0.067776
11.994446	0.064936
12.194353	0.059029
12.394260	0.054734
12.594168	0.052370
12.794075	0.047703


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

6.426000	210.682851
13.386000	78.495861
20.355000	67.590976
27.317000	89.225573
34.284000	209.959822
34.913146	180.540440
35.961722	181.475601
37.010298	177.936429
37.849158	178.608138
38.897734	182.173310
39.946310	181.327976
40.994886	182.714452
42.043462	181.799178
43.092038	181.723361
43.930899	180.850011
44.979475	182.260869
46.028051	182.002455
47.076627	184.330952
48.125203	183.314464
49.173779	184.225945
50.222355	184.927546
51.270931	183.303185
52.109792	186.376817
53.158368	182.566576
54.206944	183.491676
55.255520	183.203880
56.304096	181.327963
57.352672	179.718924
58.401248	179.539756
59.449824	179.963111
60.498400	177.983465
61.546976	181.074756
62.595552	181.034056
63.434413	180.437533

Measurement Notes:

