DWS Measurement v9.2.8 
08/16/18 4:57:13 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	60
Echo Duration (s):	30
Wavelength (nm):	685.0
Temperature (°C):	25.00
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	465.0
l* (microns):	898.64
Mean Count Rate (kHz):	162.1


Lag time (s)	g2-1

1.250000E-8	1.002933
2.500000E-8	0.996725
3.750000E-8	1.014338
5.000000E-8	1.012416
6.250000E-8	0.973332
7.500000E-8	1.011514
8.750000E-8	0.999374
1.000000E-7	0.997309
1.125000E-7	0.992284
1.250000E-7	1.000265
1.375000E-7	1.002325
1.500000E-7	1.009215
1.625000E-7	0.980737
1.750000E-7	1.011569
1.875000E-7	0.997401
2.000000E-7	0.992537
2.125000E-7	1.005997
2.375000E-7	0.987408
2.625000E-7	0.999231
2.875000E-7	0.996558
3.125000E-7	1.004567
3.375000E-7	0.996853
3.625000E-7	1.004805
3.875000E-7	0.999434
4.125000E-7	1.001605
4.625000E-7	0.991711
5.125000E-7	0.992695
5.625000E-7	1.001425
6.125000E-7	0.998701
6.625000E-7	0.994900
7.125000E-7	0.996355
7.625000E-7	0.997084
8.125000E-7	0.996076
9.125000E-7	0.993725
1.012500E-6	0.988887
1.112500E-6	0.999504
1.212500E-6	0.991207
1.312500E-6	0.991959
1.412500E-6	0.992427
1.512500E-6	0.996588
1.612500E-6	0.998450
1.812500E-6	0.995947
2.012500E-6	0.995303
2.212500E-6	0.991947
2.412500E-6	0.986754
2.612500E-6	0.993576
2.812500E-6	0.988751
3.012500E-6	0.991321
3.212500E-6	0.990280
3.612500E-6	0.986094
4.012500E-6	0.986036
4.412500E-6	0.986122
4.812500E-6	0.988516
5.212500E-6	0.983685
5.612500E-6	0.982918
6.012500E-6	0.981462
6.412500E-6	0.982614
7.212500E-6	0.981135
8.012500E-6	0.982326
8.812500E-6	0.978449
9.612500E-6	0.977738
1.041250E-5	0.975109
1.121250E-5	0.975861
1.201250E-5	0.972849
1.281250E-5	0.975253
1.441250E-5	0.974764
1.601250E-5	0.972679
1.761250E-5	0.972066
1.921250E-5	0.969552
2.081250E-5	0.970297
2.241250E-5	0.969160
2.401250E-5	0.969861
2.561250E-5	0.965883
2.881250E-5	0.963174
3.201250E-5	0.960633
3.521250E-5	0.959561
3.841250E-5	0.958921
4.161250E-5	0.958015
4.481250E-5	0.955476
4.801250E-5	0.955330
5.121250E-5	0.953735
5.761250E-5	0.950856
6.401250E-5	0.949048
7.041250E-5	0.946236
7.681250E-5	0.945773
8.321250E-5	0.944237
8.961250E-5	0.941993
9.601250E-5	0.940552
0.000102	0.939413
0.000115	0.937005
0.000128	0.935296
0.000141	0.933098
0.000154	0.932043
0.000166	0.930121
0.000179	0.928783
0.000192	0.926899
0.000205	0.926203
0.000230	0.923626
0.000256	0.922273
0.000282	0.920197
0.000307	0.918706
0.000333	0.917174
0.000358	0.915730
0.000384	0.914092
0.000410	0.912809
0.000461	0.910841
0.000512	0.908773
0.000563	0.907135
0.000614	0.905185
0.000666	0.903344
0.000717	0.901785
0.000768	0.900137
0.000819	0.898909
0.000922	0.895786
0.001024	0.892827
0.001126	0.889924
0.001229	0.886931
0.001331	0.883616
0.001434	0.880752
0.001536	0.877521
0.001638	0.874460
0.001843	0.868386
0.002048	0.861636
0.002253	0.855044
0.002458	0.848174
0.002662	0.841245
0.002867	0.834166
0.003072	0.826818
0.003277	0.819300
0.003686	0.804322
0.004096	0.789588
0.004506	0.775045
0.004915	0.760913
0.005325	0.747694
0.005734	0.734847
0.006144	0.722814
0.006554	0.712503
0.007373	0.693961
0.008192	0.679728
0.009011	0.669976
0.009830	0.665754
0.010650	0.666747
0.011469	0.673548
0.012288	0.685811
0.013107	0.704258
0.014746	0.748370
0.016384	0.797977
0.018022	0.837054
0.019661	0.851206
0.021299	0.832453
0.022938	0.790408
0.024576	0.739526
0.026214	0.696076
0.029491	0.647021
0.032768	0.672810
0.036045	0.743780
0.039322	0.785972
0.042598	0.741045
0.045875	0.654890
0.049152	0.605707
0.052429	0.631520
0.058982	0.693399
0.065536	0.608154
0.072090	0.567563
0.078643	0.615195
0.085197	0.545886
0.091750	0.503868
0.098304	0.539057
0.104858	0.489782
0.117965	0.451653
0.131072	0.400004
0.144179	0.366824
0.157286	0.328595
0.170394	0.266199
0.183501	0.238386
0.399814	0.058937
0.599721	0.026427
0.799628	0.008996
0.999535	0.007584
1.199442	0.005549
1.399349	-0.000118
1.599256	0.004539
1.799163	0.003742
1.999070	0.001690
2.198977	0.004024
2.398884	0.001034
2.598791	0.000620
2.798698	-0.002601
2.998606	-0.002984
3.198513	0.000667
3.398420	0.000445
3.598327	0.001297
3.798234	-0.000981
3.998141	-0.002729
4.198048	-0.002797
4.397955	-0.005877
4.597862	-0.002228
4.797769	-0.001953
4.997676	-0.003352
5.197583	-0.005957
5.397490	-0.002162
5.597397	-0.001358
5.797304	-0.000936
5.997211	0.003996
6.197118	-0.000342
6.397025	-0.001022
6.596932	-0.004572
6.796839	0.002564
6.996746	0.000552
7.196653	0.000496
7.396560	0.001254
7.596467	0.002995
7.796374	0.001931
7.996281	0.002140
8.196188	0.001403
8.396095	0.002994
8.596002	0.003299
8.795910	0.001305
8.995817	0.002421
9.195724	0.003314
9.395631	0.000409
9.595538	-0.001035
9.795445	0.002805
9.995352	0.004578
10.195259	0.003737
10.395166	0.006699
10.595073	0.000551
10.794980	0.002325
10.994887	-0.001077
11.194794	-0.002620
11.394701	-0.002040
11.594608	-0.002430
11.794515	-0.001567
11.994422	-0.001983
12.194329	-0.002938
12.394236	-0.000817
12.594143	0.001035
12.794050	-0.004386


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

6.419000	155.159560
13.380000	187.698692
20.339000	225.146034
27.311000	132.535395
34.269000	113.948537
41.239000	179.926789
48.199000	142.109357
55.170000	209.951444
62.140000	210.384723
62.769146	165.981098
63.817722	164.578006
64.866298	166.249169
65.705158	166.720262
66.753734	163.515910
67.802310	164.216371
68.850886	165.319265
69.899462	164.198289
70.948038	163.066919
71.786899	164.184831
72.835475	166.650289
73.884051	166.152327
74.932627	165.622416
75.981203	165.231068
77.029779	162.762645
78.078355	166.555191
78.917216	165.374411
79.965792	164.219138
81.014368	166.928388
82.062944	166.439113
83.111520	168.552103
84.160096	166.047719
84.998957	164.562937
86.047533	163.855203
87.096109	165.173385
88.144685	164.553476
89.193261	164.018520
90.241837	164.930782
91.080698	162.913135
92.129274	163.896289

Measurement Notes:

