DWS Measurement v9.2.8 
08/16/18 5:34:07 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	60
Echo Duration (s):	30
Wavelength (nm):	685.0
Temperature (°C):	24.98
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	465.0
l* (microns):	837.36
Mean Count Rate (kHz):	152.7


Lag time (s)	g2-1

1.250000E-8	0.987190
2.500000E-8	1.014794
3.750000E-8	1.014366
5.000000E-8	0.993503
6.250000E-8	0.988390
7.500000E-8	1.012478
8.750000E-8	0.985487
1.000000E-7	1.010425
1.125000E-7	0.991664
1.250000E-7	0.999978
1.375000E-7	0.980635
1.500000E-7	0.992295
1.625000E-7	1.002924
1.750000E-7	0.997174
1.875000E-7	1.006515
2.000000E-7	1.000755
2.125000E-7	1.006078
2.375000E-7	1.012671
2.625000E-7	1.012825
2.875000E-7	0.987103
3.125000E-7	1.005032
3.375000E-7	0.997815
3.625000E-7	0.992203
3.875000E-7	1.004382
4.125000E-7	1.004178
4.625000E-7	0.998477
5.125000E-7	1.001076
5.625000E-7	1.003510
6.125000E-7	0.989033
6.625000E-7	0.996426
7.125000E-7	0.992155
7.625000E-7	1.005745
8.125000E-7	0.995942
9.125000E-7	1.003215
1.012500E-6	0.999213
1.112500E-6	0.989885
1.212500E-6	0.992057
1.312500E-6	0.998044
1.412500E-6	1.000005
1.512500E-6	1.002226
1.612500E-6	1.004112
1.812500E-6	1.003387
2.012500E-6	0.994401
2.212500E-6	0.990298
2.412500E-6	0.997838
2.612500E-6	0.989158
2.812500E-6	0.999134
3.012500E-6	0.995352
3.212500E-6	0.996617
3.612500E-6	0.992735
4.012500E-6	0.992599
4.412500E-6	0.991274
4.812500E-6	0.989235
5.212500E-6	0.987790
5.612500E-6	0.986532
6.012500E-6	0.991503
6.412500E-6	0.989702
7.212500E-6	0.985038
8.012500E-6	0.986529
8.812500E-6	0.984387
9.612500E-6	0.982585
1.041250E-5	0.981009
1.121250E-5	0.978590
1.201250E-5	0.979898
1.281250E-5	0.978337
1.441250E-5	0.977261
1.601250E-5	0.975435
1.761250E-5	0.973711
1.921250E-5	0.972713
2.081250E-5	0.971650
2.241250E-5	0.970611
2.401250E-5	0.969340
2.561250E-5	0.966387
2.881250E-5	0.964009
3.201250E-5	0.961563
3.521250E-5	0.959588
3.841250E-5	0.958384
4.161250E-5	0.958639
4.481250E-5	0.956272
4.801250E-5	0.955374
5.121250E-5	0.951782
5.761250E-5	0.950878
6.401250E-5	0.948832
7.041250E-5	0.944613
7.681250E-5	0.942767
8.321250E-5	0.941160
8.961250E-5	0.938949
9.601250E-5	0.937393
0.000102	0.936798
0.000115	0.933282
0.000128	0.931349
0.000141	0.929223
0.000154	0.926593
0.000166	0.925561
0.000179	0.923187
0.000192	0.922475
0.000205	0.921034
0.000230	0.918792
0.000256	0.916431
0.000282	0.914837
0.000307	0.912819
0.000333	0.911140
0.000358	0.909344
0.000384	0.908551
0.000410	0.907076
0.000461	0.904676
0.000512	0.902366
0.000563	0.900631
0.000614	0.899435
0.000666	0.897867
0.000717	0.896644
0.000768	0.894841
0.000819	0.893534
0.000922	0.891249
0.001024	0.888890
0.001126	0.887099
0.001229	0.884814
0.001331	0.882878
0.001434	0.881086
0.001536	0.879157
0.001638	0.877635
0.001843	0.874452
0.002048	0.870721
0.002253	0.867088
0.002458	0.864114
0.002662	0.860526
0.002867	0.857131
0.003072	0.853794
0.003277	0.850976
0.003686	0.844484
0.004096	0.837988
0.004506	0.832253
0.004915	0.826879
0.005325	0.821391
0.005734	0.816577
0.006144	0.811301
0.006554	0.806736
0.007373	0.797449
0.008192	0.789070
0.009011	0.781462
0.009830	0.775405
0.010650	0.770396
0.011469	0.767486
0.012288	0.764655
0.013107	0.764424
0.014746	0.763692
0.016384	0.763095
0.018022	0.756291
0.019661	0.740691
0.021299	0.717293
0.022938	0.690085
0.024576	0.660924
0.026214	0.634031
0.029491	0.586879
0.032768	0.554367
0.036045	0.525642
0.039322	0.490011
0.042598	0.447287
0.045875	0.401221
0.049152	0.362601
0.052429	0.334380
0.058982	0.279832
0.065536	0.223755
0.072090	0.174278
0.078643	0.124597
0.085197	0.083255
0.091750	0.058508
0.098304	0.048178
0.104858	0.040331
0.117965	0.027626
0.131072	0.024693
0.144179	0.024704
0.157286	0.027426
0.170394	0.034231
0.183501	0.041303
0.196608	0.044319
0.209715	0.045755
0.235930	0.041000
0.262144	0.029802
0.288358	0.023078
0.314573	0.027152
0.340787	0.050728
0.367002	0.068398
0.393216	0.068217
0.419430	0.070588
0.471859	0.041427
0.524288	0.017694
0.576717	0.019758
0.629146	0.033542
0.681574	0.026308
0.734003	0.005205
0.786432	0.012857
0.838861	0.025452
0.943718	0.030992
1.048576	0.022596
1.153434	0.024087
1.258291	0.042485
1.363149	0.032746
1.468006	0.024477
1.572864	0.022789
1.677722	0.019965
1.887437	0.022673
2.097152	0.013279
2.306867	0.027716
2.516582	0.029123
2.726298	0.020423
2.936013	0.026196
3.145728	0.024291
3.355443	0.045055
3.774874	0.042361
4.194304	0.039486
4.613734	0.083391
5.033165	0.052618
5.452595	0.042000
5.872026	0.042000
6.291456	0.042000
6.710886	NaN
7.549747	NaN
8.388608	NaN
9.227469	NaN
10.066330	NaN
10.905190	NaN
11.744051	NaN
12.582912	NaN
13.421773	NaN
15.099494	NaN
16.777216	NaN
18.454938	NaN
20.132659	NaN
21.810381	NaN
23.488102	NaN
25.165824	NaN
26.843546	NaN
30.198989	NaN
33.554432	NaN
36.909875	NaN
40.265318	NaN
43.620762	NaN
46.976205	NaN
50.331648	NaN
53.687091	NaN
60.397978	NaN
67.108864	NaN
73.819750	NaN
80.530637	NaN
87.241523	NaN
93.952410	NaN
100.663296	NaN
107.374182	NaN
120.795955	NaN
134.217728	NaN
147.639501	NaN
161.061274	NaN
174.483046	NaN
187.904819	NaN
201.326592	NaN
214.748365	NaN
241.591910	NaN
268.435456	NaN
295.279002	NaN
322.122547	NaN
348.966093	NaN
375.809638	NaN
402.653184	NaN
429.496730	NaN
483.183821	NaN
536.870912	NaN
590.558003	NaN
644.245094	NaN
697.932186	NaN
751.619277	NaN
805.306368	NaN
858.993459	NaN
966.367642	NaN
1073.741824	NaN
1181.116006	NaN
1288.490189	NaN
1395.864371	NaN
1503.238554	NaN
1610.612736	NaN
1717.986918	NaN
1932.735283	NaN
2147.483648	NaN
2362.232013	NaN
2576.980378	NaN
2791.728742	NaN
3006.477107	NaN
3221.225472	NaN
3435.973837	NaN
3865.470566	NaN
4294.967296	NaN
4724.464026	NaN
5153.960755	NaN
5583.457485	NaN
6012.954214	NaN
6442.450944	NaN
6871.947674	NaN
7730.941133	NaN
8589.934592	NaN
9448.928051	NaN
10307.921510	NaN
11166.914970	NaN
12025.908429	NaN
12884.901888	NaN
13743.895347	NaN
15461.882266	NaN
17179.869184	NaN
18897.856102	NaN
20615.843021	NaN
22333.829939	NaN
24051.816858	NaN
25769.803776	NaN
27487.790694	NaN
30923.764531	NaN
34359.738368	NaN
37795.712205	NaN
41231.686042	NaN
44667.659878	NaN
48103.633715	NaN
51539.607552	NaN


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

6.425000	148.554978
13.394000	155.491253
20.364000	161.636116
27.323000	155.823303
34.283000	131.731274
41.243000	151.306885
48.213000	121.807453
55.185000	128.086732
62.145000	134.628398

Measurement Notes:

