DWS Measurement v9.2.8 
08/21/18 11:35:59 AM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	60
Echo Duration (s):	30
Wavelength (nm):	685.0
Temperature (°C):	25.00
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	465.0
l* (microns):	914.96
Mean Count Rate (kHz):	162.2


Lag time (s)	g2-1

1.250000E-8	0.994717
2.500000E-8	1.012729
3.750000E-8	1.003482
5.000000E-8	0.996053
6.250000E-8	0.986487
7.500000E-8	0.996488
8.750000E-8	0.996970
1.000000E-7	0.996465
1.125000E-7	1.001142
1.250000E-7	1.002015
1.375000E-7	1.000935
1.500000E-7	1.006829
1.625000E-7	1.002597
1.750000E-7	0.994903
1.875000E-7	0.986399
2.000000E-7	1.005125
2.125000E-7	1.020400
2.375000E-7	0.990517
2.625000E-7	0.995695
2.875000E-7	0.992013
3.125000E-7	1.007222
3.375000E-7	1.008512
3.625000E-7	0.989573
3.875000E-7	1.009101
4.125000E-7	0.991650
4.625000E-7	0.990846
5.125000E-7	0.997084
5.625000E-7	0.996751
6.125000E-7	0.993332
6.625000E-7	0.994388
7.125000E-7	0.997579
7.625000E-7	1.002807
8.125000E-7	1.005016
9.125000E-7	0.998728
1.012500E-6	1.000952
1.112500E-6	0.991789
1.212500E-6	0.999526
1.312500E-6	0.994870
1.412500E-6	0.992196
1.512500E-6	0.992506
1.612500E-6	0.993257
1.812500E-6	0.990017
2.012500E-6	0.992608
2.212500E-6	0.994849
2.412500E-6	0.987485
2.612500E-6	0.988529
2.812500E-6	0.990972
3.012500E-6	0.993548
3.212500E-6	0.995086
3.612500E-6	0.987334
4.012500E-6	0.985534
4.412500E-6	0.987551
4.812500E-6	0.987657
5.212500E-6	0.985880
5.612500E-6	0.985074
6.012500E-6	0.982075
6.412500E-6	0.984243
7.212500E-6	0.982305
8.012500E-6	0.983161
8.812500E-6	0.978160
9.612500E-6	0.980041
1.041250E-5	0.978959
1.121250E-5	0.978042
1.201250E-5	0.977293
1.281250E-5	0.975667
1.441250E-5	0.972456
1.601250E-5	0.973168
1.761250E-5	0.971983
1.921250E-5	0.971681
2.081250E-5	0.970000
2.241250E-5	0.969445
2.401250E-5	0.967408
2.561250E-5	0.965983
2.881250E-5	0.964238
3.201250E-5	0.961117
3.521250E-5	0.960010
3.841250E-5	0.960493
4.161250E-5	0.958538
4.481250E-5	0.955609
4.801250E-5	0.953580
5.121250E-5	0.952970
5.761250E-5	0.950972
6.401250E-5	0.949557
7.041250E-5	0.946003
7.681250E-5	0.944383
8.321250E-5	0.943337
8.961250E-5	0.941161
9.601250E-5	0.939436
0.000102	0.939924
0.000115	0.936824
0.000128	0.934592
0.000141	0.932165
0.000154	0.930506
0.000166	0.930277
0.000179	0.928110
0.000192	0.926315
0.000205	0.925528
0.000230	0.923495
0.000256	0.921326
0.000282	0.919525
0.000307	0.918264
0.000333	0.916570
0.000358	0.915005
0.000384	0.913698
0.000410	0.912982
0.000461	0.910854
0.000512	0.908894
0.000563	0.906683
0.000614	0.904943
0.000666	0.903685
0.000717	0.901703
0.000768	0.900256
0.000819	0.899049
0.000922	0.895813
0.001024	0.892949
0.001126	0.889853
0.001229	0.887189
0.001331	0.884272
0.001434	0.881166
0.001536	0.878161
0.001638	0.874809
0.001843	0.868353
0.002048	0.861779
0.002253	0.854780
0.002458	0.848147
0.002662	0.841117
0.002867	0.833993
0.003072	0.826884
0.003277	0.820002
0.003686	0.805776
0.004096	0.792116
0.004506	0.778607
0.004915	0.766495
0.005325	0.755030
0.005734	0.744309
0.006144	0.734503
0.006554	0.725779
0.007373	0.710538
0.008192	0.698341
0.009011	0.690706
0.009830	0.687315
0.010650	0.688473
0.011469	0.695041
0.012288	0.705768
0.013107	0.721804
0.014746	0.762821
0.016384	0.811596
0.018022	0.853485
0.019661	0.869743
0.021299	0.853129
0.022938	0.814120
0.024576	0.767638
0.026214	0.729692
0.029491	0.689342
0.032768	0.722439
0.036045	0.799814
0.039322	0.852830
0.042598	0.813152
0.045875	0.729285
0.049152	0.687783
0.052429	0.729781
0.058982	0.824381
0.065536	0.742313
0.072090	0.723067
0.078643	0.818936
0.085197	0.742813
0.091750	0.716840
0.098304	0.815230
0.104858	0.756262
0.117965	0.771699
0.131072	0.743935
0.144179	0.750480
0.157286	0.763393
0.170394	0.736746
0.183501	0.745021
0.399815	0.677676
0.599722	0.613085
0.799629	0.552743
0.999537	0.507561
1.199444	0.475961
1.399352	0.458249
1.599259	0.459342
1.799166	0.467554
1.999074	0.485137
2.198981	0.490700
2.398888	0.492897
2.598796	0.485558
2.798703	0.463406
2.998610	0.426892
3.198518	0.389345
3.398425	0.349337
3.598333	0.324101
3.798240	0.308814
3.998147	0.303483
4.198055	0.302424
4.397962	0.302803
4.597869	0.317076
4.797777	0.328512
4.997684	0.327132
5.197591	0.313981
5.397499	0.298968
5.597406	0.275814
5.797313	0.255815
5.997221	0.234915
6.197128	0.216501
6.397036	0.205018
6.596943	0.197416
6.796850	0.204270
6.996758	0.212218
7.196665	0.215356
7.396572	0.219618
7.596480	0.216083
7.796387	0.214773
7.996294	0.201754
8.196202	0.181697
8.396109	0.168448
8.596017	0.158638
8.795924	0.148810
8.995831	0.142805
9.195739	0.139748
9.395646	0.142425
9.595553	0.148019
9.795461	0.149090
9.995368	0.148957
10.195275	0.144790
10.395183	0.135342
10.595090	0.127227
10.794998	0.115928
10.994905	0.107712
11.194812	0.098963
11.394720	0.094517
11.594627	0.091955
11.794534	0.094616
11.994442	0.092482
12.194349	0.096936
12.394256	0.096668
12.594164	0.095988
12.794071	0.096999


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

6.422000	176.500020
13.381000	174.706402
20.340000	114.833935
27.312000	187.101602
34.280000	76.959595
41.241000	107.592826
48.212000	134.386020
55.170000	322.007625
62.140000	74.936989
62.769146	165.116041
63.817722	165.576293
64.866298	165.486191
65.705158	166.378279
66.753734	165.704590
67.802310	164.493582
68.850886	166.658168
69.899462	164.952396
70.948038	165.122140
71.786899	164.493130
72.835475	165.304313
73.884051	164.368701
74.932627	164.121984
75.981203	164.512343
77.029779	161.953501
78.078355	162.609406
79.126931	162.590259
80.175507	164.023346
81.014368	164.734892
82.062944	165.861934
83.111520	162.787551
84.160096	164.245525
85.208672	163.284526
86.257248	165.167757
87.305824	164.606334
88.354400	162.562224
89.402976	163.475761
90.451552	164.070323
91.500128	166.880257

Measurement Notes:

