Filename	8312018_JJwlm_24A_19
Instrument name	4010-0082
Operator	sdh
rundate	8/31/2018
proceduresegments	Frequency Sweep#Frequency Sweep
[File Parameters]
Name	8312018_JJwlm_24A_19
Instrument type	AresG2
Instrument serial number	4010-0082
Instrument name	4010-0082
Instrument location	Loc-NIST
Company name	NIST
Trios version	4.3.1.39215
File name	C:\ProgramData\TA Instruments\TRIOS\Data\8312018_JJwlm_24A_19.tri
Run date	8/31/2018 2:28:44 PM
Time at start of test	21.7418
[Firmware Versions]
Code Image Loader	V2018.2.13
Main Embedded Kernel	V2018.3.1
Power Board	V2017.1.11
Linear Encoder Board	V2017.1.11
Stepper / Rear Panel Board	V2017.1.11
Lower (Motor) PRTBoard	V2012.6.25
Upper (Transducer) PRT Board	V2012.6.25
Phase Fire Board	V2018.3.2
Environmental (Peltier/EHP) Board	V2017.1.11
FCO PRT Board	V2011.9.7
[Calibration Date Information]
Motor commutation angle calibration	1/19/2018 11:30 AM
Phase angle correction calibration	1/19/2018 2:09 PM
Encoder mapping calibration	1/19/2018 12:24 PM
Encoder impairments calibration	1/19/2018 12:09 PM
Motor residual torque calibration	1/19/2018 11:51 AM
Transducer static normal calibration	6/6/2018 9:39 AM
Transducer static torque calibration	6/6/2018 9:36 AM
Filter lag correction calibration	1/19/2018 1:29 PM
Transducer compliance scaling calibration	1/19/2018 12:56 PM
Motor torque/motor force constant calibration	1/19/2018 1:40 PM
Programmable gain amplifier calibration	1/19/2018 1:10 PM
[Calibration Parameters]
SPFrtScaleLow	52.46188
SPFrtScaleMid	209.8475
Transducer full scale	2098.475
SPNrmScale	2098.636
SPXducerMass	0
SPXducerNormDamping	0
SPXducerNormSpringConst	0
[step]
Frequency - 1
Angular frequency	Step time	Temperature	Oscillation strain	Oscillation stress	Tan(delta)	Storage modulus	Loss modulus	Complex viscosity
rad/s	s	°C	%	Pa		Pa	Pa	Pa.s
500.000	7.73350	25.030	0.996197	2.33443	0.186584	230.359	42.9812	0.468668
397.164	19.3587	25.017	0.993452	2.23751	0.171834	221.973	38.1424	0.567085
315.479	32.4938	25.018	0.997987	2.26119	0.160368	223.717	35.8769	0.718195
250.594	41.3852	25.010	0.999303	2.16487	0.155840	214.055	33.3584	0.864500
199.054	47.5192	25.004	1.01011	2.14773	0.158386	210.004	33.2616	1.06816
158.114	60.1393	25.000	1.00294	2.09115	0.154443	206.060	31.8245	1.31869
125.594	67.9853	25.005	1.01382	2.07147	0.156563	201.864	31.6045	1.62685
99.7631	79.2302	25.007	1.00293	2.01172	0.158324	198.117	31.3668	2.01061
79.2447	85.6303	25.003	1.00859	1.98602	0.162952	194.346	31.6692	2.48483
62.9463	93.4548	24.993	1.01475	1.96149	0.169772	190.570	32.3534	3.07082
50.0000	99.3838	25.001	1.01906	1.93353	0.179278	186.759	33.4819	3.79473
39.7164	112.176	24.996	1.00293	1.86710	0.191543	182.841	35.0219	4.68735
31.5479	119.861	25.002	1.00185	1.82872	0.207219	178.736	37.0376	5.78592
25.0594	125.306	24.996	1.00308	1.79353	0.227091	174.364	39.5965	7.13519
19.9054	131.504	24.999	1.00388	1.75561	0.252171	169.573	42.7614	8.78567
15.8114	138.997	24.998	1.00421	1.71529	0.283559	164.330	46.5973	10.8029
12.5594	144.315	25.000	1.00470	1.67099	0.323121	158.261	51.1376	13.2425
9.97631	150.542	24.999	1.00470	1.62124	0.372867	151.196	56.3762	16.1748
7.92447	157.635	25.006	1.00466	1.56357	0.435742	142.675	62.1696	19.6394
6.29463	166.528	25.000	1.00464	1.49549	0.514190	132.383	68.0699	23.6485
5.00000	170.195	25.000	1.00517	1.41420	0.611965	120.004	73.4382	28.1383
