DWS Measurement v9.2.8
10/02/18 5:16:59 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	40.00
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.328
Particle Radius (nm):	465.0
l* (microns):	1008.21
Mean Count Rate (kHz):	173.2


Lag time (s)	g2-1

1.250000E-8	0.994411
2.500000E-8	1.001450
3.750000E-8	1.003540
5.000000E-8	1.006060
6.250000E-8	0.998494
7.500000E-8	0.994286
8.750000E-8	0.997576
1.000000E-7	0.998747
1.125000E-7	1.002220
1.250000E-7	0.999577
1.375000E-7	0.997230
1.500000E-7	1.000650
1.625000E-7	1.000220
1.750000E-7	0.995581
1.875000E-7	1.000170
2.000000E-7	0.999284
2.125000E-7	0.997787
2.375000E-7	0.995807
2.625000E-7	0.997688
2.875000E-7	1.002540
3.125000E-7	0.998204
3.375000E-7	1.003480
3.625000E-7	0.995805
3.875000E-7	0.997519
4.125000E-7	0.996336
4.625000E-7	0.995806
5.125000E-7	0.998387
5.625000E-7	0.999343
6.125000E-7	0.998412
6.625000E-7	0.993814
7.125000E-7	0.994019
7.625000E-7	0.992297
8.125000E-7	0.993336
9.125000E-7	0.993162
1.012500E-6	0.995315
1.112500E-6	0.993098
1.212500E-6	0.995902
1.312500E-6	0.996365
1.412500E-6	0.997406
1.512500E-6	0.994614
1.612500E-6	0.995156
1.812500E-6	0.993323
2.012500E-6	0.994719
2.212500E-6	0.993008
2.412500E-6	0.989416
2.612500E-6	0.988808
2.812500E-6	0.990808
3.012500E-6	0.990175
3.212500E-6	0.991967
3.612500E-6	0.989815
4.012500E-6	0.986173
4.412500E-6	0.986269
4.812500E-6	0.986624
5.212500E-6	0.985264
5.612500E-6	0.983545
6.012500E-6	0.981677
6.412500E-6	0.982606
7.212500E-6	0.979784
8.012500E-6	0.979546
8.812500E-6	0.977511
9.612500E-6	0.977239
1.041250E-5	0.975210
1.121250E-5	0.975414
1.201250E-5	0.973744
1.281250E-5	0.972695
1.441250E-5	0.971737
1.601250E-5	0.970842
1.761250E-5	0.970637
1.921250E-5	0.969062
2.081250E-5	0.967907
2.241250E-5	0.966020
2.401250E-5	0.964397
2.561250E-5	0.962956
2.881250E-5	0.960725
3.201250E-5	0.958750
3.521250E-5	0.957223
3.841250E-5	0.956401
4.161250E-5	0.955470
4.481250E-5	0.953703
4.801250E-5	0.951873
5.121250E-5	0.950193
5.761250E-5	0.948814
6.401250E-5	0.946825
7.041250E-5	0.944596
7.681250E-5	0.943235
8.321250E-5	0.942491
8.961250E-5	0.939727
9.601250E-5	0.938980
0.000102	0.938286
0.000115	0.935927
0.000128	0.934566
0.000141	0.932649
0.000154	0.931150
0.000166	0.929745
0.000179	0.928315
0.000192	0.927130
0.000205	0.926141
0.000230	0.924091
0.000256	0.922409
0.000282	0.920693
0.000307	0.919357
0.000333	0.917987
0.000358	0.916544
0.000384	0.915357
0.000410	0.914362
0.000461	0.912274
0.000512	0.910346
0.000563	0.908708
0.000614	0.907048
0.000666	0.905664
0.000717	0.904198
0.000768	0.902791
0.000819	0.901671
0.000922	0.899454
0.001024	0.897439
0.001126	0.895555
0.001229	0.893919
0.001331	0.892560
0.001434	0.890881
0.001536	0.889574
0.001638	0.888393
0.001843	0.885909
0.002048	0.883482
0.002253	0.881537
0.002458	0.879666
0.002662	0.877815
0.002867	0.876093
0.003072	0.874576
0.003277	0.873090
0.003686	0.870371
0.004096	0.867892
0.004506	0.865552
0.004915	0.863621
0.005325	0.861684
0.005734	0.859741
0.006144	0.857911
0.006554	0.856300
0.007373	0.852728
0.008192	0.849111
0.009011	0.845903
0.009830	0.842972
0.010650	0.839793
0.011469	0.836845
0.012288	0.834011
0.013107	0.831474
0.014746	0.826311
0.016384	0.821559
0.018022	0.816836
0.019661	0.812170
0.021299	0.807193
0.022938	0.802387
0.024576	0.797837
0.026214	0.794144
0.029491	0.785714
0.032768	0.777288
0.036045	0.769102
0.039322	0.761384
0.042598	0.753343
0.045875	0.745541
0.049152	0.738291
0.052429	0.732129
0.058982	0.716820
0.065536	0.702079
0.072090	0.688180
0.078643	0.674329
0.085197	0.660919
0.091750	0.647648
0.098304	0.633934
0.104858	0.622861
0.117965	0.597036
0.131072	0.572326
0.144179	0.548909
0.157286	0.526610
0.170394	0.504032
0.183501	0.482881
0.399815	0.239722
0.599722	0.130519
0.799629	0.071136
0.999536	0.039823
1.199440	0.023675
1.399350	0.013966
1.599260	0.007566
1.799160	0.005798
1.999070	0.005627
2.198980	0.005774
2.398890	0.005777
2.598790	0.004055
2.798700	0.003525
2.998610	0.004304
3.198520	0.006334
3.398420	0.004653
3.598330	0.005241
3.798240	0.005559
3.998150	0.005701
4.198050	0.006524
4.397960	0.005546
4.597870	0.006264
4.797770	0.005190
4.997680	0.005145
5.197590	0.004095
5.397500	0.005296
5.597400	0.005158
5.797310	0.004606
5.997220	0.002778
6.197120	0.002096
6.397030	0.002607
6.596940	0.002371
6.796850	0.003054
6.996750	0.002438
7.196660	0.002097
7.396570	0.001894
7.596480	0.002449
7.796380	0.002276
7.996290	0.001804
8.196200	0.002192
8.396110	0.003163
8.596010	0.003909
8.795920	0.003370
8.995830	0.004567
9.195730	0.004452
9.395640	0.005071
9.595550	0.004681
9.795460	0.004740
9.995360	0.004736
10.195300	0.004821
10.395200	0.004678
10.595100	0.005252
10.795000	0.003063
10.994900	0.004035
11.194800	0.005225
11.394700	0.003490
11.594600	0.004090
11.794500	0.004022
11.994400	0.003163
12.194300	0.002217
12.394200	0.003834
12.594200	0.002422
12.794100	0.003307


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

13.379000	241.139245
20.338000	162.679250
27.310000	225.894068
34.079000	219.860821
41.040000	101.391434
47.999000	146.961974
54.768000	194.578800
61.740000	200.827026
68.699000	158.083148
75.670000	160.423895
82.639000	243.458578
89.598000	175.845045
96.559000	199.920941
103.528000	71.934231
110.498000	199.170831
117.458000	144.241107
124.429000	166.758611
125.058146	170.156400
126.106722	169.680994
127.155298	168.732610
127.994158	171.504800
129.042734	166.931204
130.091310	170.499598
131.139886	167.153493
132.188462	167.327059
133.237038	172.190619
134.075899	171.931311
135.124475	167.771229
136.173051	168.774567
137.221627	170.386870
138.270203	167.842281
139.318779	171.698727
140.367355	168.789870
141.206216	170.069592
142.254792	170.158802
143.303368	168.775173
144.351944	168.025760
145.400520	168.916598
146.449096	167.809069
147.497672	168.983564
148.336533	167.218762
149.385109	169.712893
150.433685	167.441184
151.482261	168.486578
152.530837	167.348370
153.579413	169.107991
154.627989	167.766257
155.676565	170.470889
156.725141	166.882705
157.564002	169.837232
158.612578	169.937259
159.661154	166.522092
160.709730	170.773196
161.758306	166.882718
162.806882	164.272967
163.855458	168.038191
164.694318	166.307967
165.742894	168.774993
166.791470	167.722624
167.840046	168.419982
168.888622	167.692607
169.937198	169.040073
170.776059	166.810154
171.824635	166.021265
172.873211	168.295048
173.921787	167.523096
174.970363	167.280841
176.018939	167.225585
176.857800	167.444861
177.906376	173.236818
178.954952	169.015682
180.003528	165.948526
181.052104	170.174652
0.000000	0.000000
0.000000	0.000000
0.000000	0.000000

Measurement Notes:

