DWS Measurement v9.2.8
10/03/18 5:37:49 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	30.04
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	465.0
l* (microns):	969.79
Mean Count Rate (kHz):	169.2


Lag time (s)	g2-1

1.250000E-8	0.998795
2.500000E-8	0.994526
3.750000E-8	1.001510
5.000000E-8	1.002810
6.250000E-8	0.999455
7.500000E-8	0.999024
8.750000E-8	0.989617
1.000000E-7	0.994401
1.125000E-7	1.006320
1.250000E-7	1.000440
1.375000E-7	1.004470
1.500000E-7	1.007530
1.625000E-7	0.994946
1.750000E-7	1.001810
1.875000E-7	1.000990
2.000000E-7	1.003480
2.125000E-7	1.000480
2.375000E-7	0.999416
2.625000E-7	0.998839
2.875000E-7	0.999222
3.125000E-7	0.999188
3.375000E-7	0.998163
3.625000E-7	0.996846
3.875000E-7	0.994693
4.125000E-7	0.992404
4.625000E-7	0.996385
5.125000E-7	0.998977
5.625000E-7	0.999429
6.125000E-7	0.996096
6.625000E-7	0.998285
7.125000E-7	0.994285
7.625000E-7	0.997521
8.125000E-7	0.995503
9.125000E-7	0.992553
1.012500E-6	0.991337
1.112500E-6	0.995965
1.212500E-6	0.993922
1.312500E-6	0.996193
1.412500E-6	0.999632
1.512500E-6	0.998577
1.612500E-6	0.997244
1.812500E-6	0.996047
2.012500E-6	0.994020
2.212500E-6	0.994629
2.412500E-6	0.990781
2.612500E-6	0.991926
2.812500E-6	0.992324
3.012500E-6	0.993452
3.212500E-6	0.992361
3.612500E-6	0.992196
4.012500E-6	0.988048
4.412500E-6	0.991140
4.812500E-6	0.990874
5.212500E-6	0.988834
5.612500E-6	0.988041
6.012500E-6	0.987622
6.412500E-6	0.987639
7.212500E-6	0.987075
8.012500E-6	0.987273
8.812500E-6	0.984437
9.612500E-6	0.984193
1.041250E-5	0.982647
1.121250E-5	0.982319
1.201250E-5	0.979761
1.281250E-5	0.981250
1.441250E-5	0.980499
1.601250E-5	0.979650
1.761250E-5	0.978542
1.921250E-5	0.978147
2.081250E-5	0.975804
2.241250E-5	0.975585
2.401250E-5	0.975404
2.561250E-5	0.973537
2.881250E-5	0.972021
3.201250E-5	0.971017
3.521250E-5	0.969561
3.841250E-5	0.968220
4.161250E-5	0.968481
4.481250E-5	0.966609
4.801250E-5	0.965104
5.121250E-5	0.963873
5.761250E-5	0.963510
6.401250E-5	0.961820
7.041250E-5	0.960623
7.681250E-5	0.959419
8.321250E-5	0.958533
8.961250E-5	0.957196
9.601250E-5	0.956668
0.000102	0.955969
0.000115	0.954327
0.000128	0.953353
0.000141	0.952039
0.000154	0.951053
0.000166	0.949959
0.000179	0.949057
0.000192	0.948661
0.000205	0.947940
0.000230	0.946398
0.000256	0.945233
0.000282	0.944209
0.000307	0.943261
0.000333	0.943014
0.000358	0.942138
0.000384	0.941475
0.000410	0.940807
0.000461	0.939796
0.000512	0.938969
0.000563	0.938074
0.000614	0.937108
0.000666	0.936378
0.000717	0.935756
0.000768	0.935291
0.000819	0.934754
0.000922	0.933717
0.001024	0.932800
0.001126	0.932007
0.001229	0.930918
0.001331	0.930256
0.001434	0.929701
0.001536	0.928911
0.001638	0.928595
0.001843	0.927373
0.002048	0.926276
0.002253	0.925224
0.002458	0.924382
0.002662	0.923382
0.002867	0.922723
0.003072	0.922000
0.003277	0.921510
0.003686	0.920084
0.004096	0.918907
0.004506	0.917782
0.004915	0.916826
0.005325	0.915849
0.005734	0.915168
0.006144	0.914494
0.006554	0.914494
0.007373	0.913153
0.008192	0.911919
0.009011	0.910518
0.009830	0.908978
0.010650	0.907403
0.011469	0.905734
0.012288	0.904116
0.013107	0.903852
0.014746	0.901358
0.016384	0.899260
0.018022	0.896924
0.019661	0.894195
0.021299	0.891267
0.022938	0.888311
0.024576	0.885849
0.026214	0.885675
0.029491	0.881067
0.032768	0.876726
0.036045	0.871950
0.039322	0.867328
0.042598	0.862691
0.045875	0.857746
0.049152	0.853557
0.052429	0.853449
0.058982	0.843524
0.065536	0.834427
0.072090	0.825174
0.078643	0.815781
0.085197	0.807058
0.091750	0.797633
0.098304	0.788112
0.104858	0.786629
0.117965	0.767799
0.131072	0.748285
0.144179	0.728851
0.157286	0.710220
0.170394	0.691839
0.183501	0.672947
0.399815	0.470180
0.599722	0.330352
0.799630	0.232353
0.999537	0.165063
1.199450	0.120041
1.399350	0.086397
1.599260	0.062807
1.799170	0.047953
1.999070	0.036997
2.198980	0.028618
2.398890	0.022885
2.598800	0.017251
2.798700	0.014070
2.998610	0.011449
3.198520	0.009095
3.398430	0.005586
3.598330	0.003570
3.798240	0.004577
3.998150	0.002769
4.198060	0.002766
4.397960	0.002684
4.597870	0.001587
4.797780	0.002055
4.997680	0.003954
5.197590	0.001120
5.397500	0.002926
5.597410	0.002610
5.797320	0.003855
5.997220	0.003521
6.197130	0.001992
6.397040	0.002797
6.596940	0.003033
6.796850	0.001753
6.996760	0.002721
7.196670	0.002632
7.396570	0.003495
7.596480	0.004146
7.796390	0.002273
7.996300	0.001350
8.196200	0.002625
8.396110	0.003902
8.596020	0.003354
8.795930	0.003454
8.995830	0.003773
9.195740	0.002848
9.395650	0.001259
9.595560	-0.000280
9.795460	-0.000575
9.995370	-0.002783
10.195300	-0.002773
10.395200	-0.001644
10.595100	-0.000557
10.795000	0.001072
10.994900	0.001876
11.194800	0.000521
11.394700	-0.000509
11.594600	-0.000157
11.794500	0.001235
11.994400	0.001511
12.194400	0.001691
12.394300	0.002694
12.594200	0.002600
12.794100	0.001720


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

13.383000	160.859667
20.333000	195.100301
27.293000	163.538277
34.252000	198.494185
41.222000	415.128994
48.183000	128.530113
55.153000	99.077212
62.123000	151.236081
69.083000	193.133879
76.053000	254.125287
83.024000	83.185369
89.982000	229.376197
96.953000	120.297468
103.913000	123.480921
110.882000	294.392650
117.852000	151.606388
124.812000	159.273447
125.441146	169.614778
126.489722	169.611995
127.538298	173.597779
128.377158	167.903629
129.425734	169.608321
130.474310	170.193921
131.522886	170.338546
132.571462	170.148263
133.620038	171.652158
134.458899	168.479109
135.507475	168.727816
136.556051	166.582085
137.604627	169.454589
138.653203	168.586291
139.701779	170.685861
140.750355	168.429004
141.589216	170.403030
142.637792	168.573687
143.686368	168.810833
144.734944	167.176329
145.783520	170.909714
146.832096	170.009527
147.880672	170.092951
148.719533	166.797196
149.768109	168.804882
150.816685	168.649266
151.865261	167.901673
152.913837	168.212245
153.962413	168.239233
155.010989	169.154549
155.849850	165.501678
156.898426	171.625637
157.947002	170.448865
158.995578	168.878800
160.044154	171.396213
161.092730	170.291285
162.141306	169.247987
162.980166	170.963593
164.028742	169.931614
165.077318	171.254568
166.125894	167.500542
167.174470	168.257718
168.223046	169.300270
169.271622	165.227457
170.110483	167.036669
171.159059	169.019923
172.207635	169.851971
173.256211	169.026990
174.304787	169.347865
175.353363	169.491771
176.401939	168.441558
177.240800	168.030408
178.289376	165.505558
179.337952	168.007499
180.386528	169.524963
181.435104	168.378990
0.000000	0.000000
0.000000	0.000000
0.000000	0.000000

Measurement Notes:

