DWS Measurement v9.2.8
10/03/18 5:31:26 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	25.00
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	154.852
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	465.0
l* (microns):	872.47
Mean Count Rate (kHz):	120.7


Lag time (s)	g2-1

1.250000E-8	0.996877
2.500000E-8	1.006508
3.750000E-8	1.002214
5.000000E-8	0.992930
6.250000E-8	1.007708
7.500000E-8	0.993467
8.750000E-8	1.000888
1.000000E-7	1.005182
1.125000E-7	0.986551
1.250000E-7	0.996688
1.375000E-7	0.996909
1.500000E-7	1.011529
1.625000E-7	1.006003
1.750000E-7	0.991888
1.875000E-7	0.989993
2.000000E-7	1.003540
2.125000E-7	0.999056
2.375000E-7	0.995962
2.625000E-7	1.006856
2.875000E-7	1.002546
3.125000E-7	0.993735
3.375000E-7	1.004346
3.625000E-7	0.991951
3.875000E-7	0.998409
4.125000E-7	0.998259
4.625000E-7	1.002206
5.125000E-7	0.993728
5.625000E-7	1.002104
6.125000E-7	0.991723
6.625000E-7	0.986323
7.125000E-7	0.991873
7.625000E-7	0.989954
8.125000E-7	0.987108
9.125000E-7	0.989733
1.012500E-6	0.993203
1.112500E-6	0.994379
1.212500E-6	0.993238
1.312500E-6	0.989429
1.412500E-6	0.992887
1.512500E-6	0.992627
1.612500E-6	0.991679
1.812500E-6	0.996004
2.012500E-6	0.990947
2.212500E-6	0.989651
2.412500E-6	0.982870
2.612500E-6	0.990417
2.812500E-6	0.987295
3.012500E-6	0.988591
3.212500E-6	0.990352
3.612500E-6	0.986473
4.012500E-6	0.984286
4.412500E-6	0.985011
4.812500E-6	0.984942
5.212500E-6	0.982038
5.612500E-6	0.980857
6.012500E-6	0.979428
6.412500E-6	0.981907
7.212500E-6	0.976052
8.012500E-6	0.979438
8.812500E-6	0.975491
9.612500E-6	0.976160
1.041250E-5	0.971287
1.121250E-5	0.971502
1.201250E-5	0.970044
1.281250E-5	0.970516
1.441250E-5	0.969684
1.601250E-5	0.966522
1.761250E-5	0.966103
1.921250E-5	0.965275
2.081250E-5	0.963233
2.241250E-5	0.961244
2.401250E-5	0.961529
2.561250E-5	0.959359
2.881250E-5	0.955460
3.201250E-5	0.953435
3.521250E-5	0.951370
3.841250E-5	0.950308
4.161250E-5	0.948406
4.481250E-5	0.945807
4.801250E-5	0.944075
5.121250E-5	0.942502
5.761250E-5	0.940341
6.401250E-5	0.937974
7.041250E-5	0.935128
7.681250E-5	0.933553
8.321250E-5	0.932131
8.961250E-5	0.929310
9.601250E-5	0.927906
0.000102	0.926560
0.000115	0.923285
0.000128	0.920591
0.000141	0.918931
0.000154	0.916265
0.000166	0.915483
0.000179	0.913404
0.000192	0.911239
0.000205	0.910751
0.000230	0.908312
0.000256	0.905962
0.000282	0.903982
0.000307	0.902366
0.000333	0.901160
0.000358	0.900269
0.000384	0.898977
0.000410	0.897823
0.000461	0.895712
0.000512	0.894379
0.000563	0.892534
0.000614	0.891519
0.000666	0.890317
0.000717	0.889256
0.000768	0.888591
0.000819	0.887591
0.000922	0.886384
0.001024	0.885072
0.001126	0.883782
0.001229	0.882947
0.001331	0.882012
0.001434	0.881290
0.001536	0.880600
0.001638	0.879751
0.001843	0.878280
0.002048	0.877195
0.002253	0.876178
0.002458	0.875205
0.002662	0.874356
0.002867	0.873279
0.003072	0.872440
0.003277	0.871809
0.003686	0.870689
0.004096	0.869892
0.004506	0.869310
0.004915	0.868669
0.005325	0.868165
0.005734	0.867632
0.006144	0.867660
0.006554	0.866954
0.007373	0.865940
0.008192	0.865315
0.009011	0.864592
0.009830	0.864613
0.010650	0.864380
0.011469	0.864090
0.012288	0.863210
0.013107	0.862730
0.014746	0.862133
0.016384	0.862746
0.018022	0.862298
0.019661	0.861277
0.021299	0.859917
0.022938	0.858420
0.024576	0.857219
0.026214	0.856885
0.029491	0.857022
0.032768	0.856696
0.036045	0.855538
0.039322	0.854147
0.042598	0.853227
0.045875	0.851544
0.049152	0.851843
0.052429	0.851326
0.058982	0.848137
0.065536	0.846780
0.072090	0.845399
0.078643	0.842519
0.085197	0.841744
0.091750	0.839386
0.098304	0.837822
0.104858	0.836158
0.117965	0.832427
0.131072	0.828431
0.144179	0.824421
0.157286	0.821546
0.170394	0.817971
0.183501	0.814991
0.399815	0.758076
0.599723	0.707264
0.799630	0.660582
0.999538	0.622996
1.199445	0.583308
1.399353	0.548420
1.599260	0.514279
1.799168	0.483367
1.999075	0.457581
2.198983	0.429312
2.398890	0.404873
2.598798	0.379576
2.798705	0.358866
2.998613	0.340385
3.198520	0.320603
3.398428	0.299862
3.598335	0.287082
3.798243	0.270281
3.998150	0.252343
4.198058	0.240829
4.397965	0.228993
4.597873	0.215987
4.797780	0.204937
4.997688	0.195197
5.197595	0.185759
5.397503	0.177593
5.597410	0.169905
5.797318	0.163810
5.997225	0.153293
6.197133	0.146563
6.397040	0.140909
6.596948	0.133437
6.796855	0.128780
6.996763	0.124020
7.196670	0.116856
7.396578	0.112417
7.596485	0.105771
7.796393	0.098683
7.996300	0.098065
8.196208	0.092013
8.396115	0.087127
8.596023	0.085272
8.795930	0.082083
8.995838	0.080270
9.195745	0.076548
9.395653	0.073243
9.595560	0.071190
9.795468	0.068834
9.995375	0.065776
10.195283	0.063847
10.395191	0.062054
10.595098	0.061215
10.795006	0.055183
10.994913	0.053120
11.194821	0.054253
11.394728	0.051561
11.594636	0.050772
11.794543	0.046308
11.994451	0.043523
12.194358	0.040869
12.394266	0.039735
12.594173	0.036705
12.794081	0.037573


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

1.048576	113.121396
1.572864	106.927488
2.359296	235.942180
2.883584	72.056104
3.407872	65.581911
3.932160	35.972361
4.718592	122.177983
5.242880	113.390111
5.767168	148.918166
6.553600	184.042804
7.077888	97.153691
7.602176	69.307009
8.388608	343.868947
8.912896	239.332702
9.437184	141.372586
9.961472	138.886934
10.747904	71.403083
11.272192	97.273941
11.796480	85.285713
12.582912	103.127450
13.107200	262.055083
13.631488	417.225393
14.155776	687.877178
14.942208	886.589130
15.466496	739.932922
15.990784	522.483621
16.777216	405.915678
17.301504	490.620882
17.825792	498.456333
18.612224	183.845309
19.136512	105.316818
19.660800	149.809156
20.185088	155.554013
20.971520	378.894826
21.495808	509.286752
22.020096	539.721738
22.806528	358.413610
23.330816	181.302371
23.855104	140.664527
24.379392	48.787839
25.165824	21.124225
25.690112	40.454711
26.214400	51.035806
27.000832	49.303112
27.525120	116.252553
28.049408	102.793230
28.573696	22.484654
29.360128	77.409380
29.884416	121.682721
30.408704	79.724943
31.195136	79.106106
31.719424	20.157739
32.243712	101.620042
33.030144	152.720478
33.554432	245.997318
34.078720	215.855237
34.603008	265.672199
35.389440	309.291890
35.913728	308.524404
36.438016	256.944776
37.224448	242.069294
37.748736	298.001498
38.273024	308.715296
38.797312	450.860999
39.583744	390.408968
40.108032	446.946078
40.632320	147.912690
41.418752	89.551803
41.943040	118.547314
42.467328	85.005336
43.253760	32.529602
43.778048	17.473884
44.302336	51.590180
44.826624	71.417262
45.613056	59.643485
46.137344	51.604606
46.661632	39.961937
47.448064	41.498177
47.972352	25.194014
48.496640	98.312532
49.020928	137.176831
49.807360	109.112094
50.331648	97.504428
50.855936	162.323208
51.642368	91.866109
52.166656	92.267903
52.690944	92.741553
53.215232	149.144099
54.001664	168.808533
54.525952	156.508049
55.050240	212.218016
55.836672	124.159888
56.360960	40.335494
56.885248	20.221539
57.671680	34.218631
58.195968	71.340302
58.720256	101.375899
59.244544	94.603396
60.030976	89.946549
60.555264	67.623762
61.079552	71.297133
61.865984	60.144585
62.390272	43.658965
62.914560	72.955531
63.438848	41.902273
64.225280	50.205673
64.749568	72.468468
65.273856	72.680304
66.060288	61.575988
66.584576	53.230416
67.108864	69.469185
67.895296	53.465108
68.419584	39.685012
68.943872	48.212969
69.468160	31.245035
70.254592	47.249052
70.778880	120.383058
71.303168	133.342336
72.089600	114.805375
72.613888	95.837042
73.138176	33.863577
73.662464	26.686007
74.448896	34.776174
74.973184	75.695120
75.497472	168.178537
76.283904	201.762437
76.808192	203.232121
77.332480	279.619731
77.856768	284.380201
78.643200	340.129688
79.167488	337.443281
79.691776	239.260847
80.478208	119.661262
81.002496	85.809201
81.526784	51.688593
82.313216	26.419569
82.837504	67.945918
83.361792	148.781462
83.886080	147.066132
84.672512	124.881068
85.196800	70.298633
