DWS Measurement v9.2.8
10/11/18 8:11:34 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	30.06
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	196.942
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	827.98
Mean Count Rate (kHz):	123.9


Lag time (s)	g2-1

1.250000E-8	1.002370
2.500000E-8	0.997091
3.750000E-8	1.004910
5.000000E-8	0.993928
6.250000E-8	0.991258
7.500000E-8	1.012620
8.750000E-8	0.997189
1.000000E-7	1.004190
1.125000E-7	0.991728
1.250000E-7	0.991204
1.375000E-7	0.987909
1.500000E-7	0.998244
1.625000E-7	0.999405
1.750000E-7	0.997633
1.875000E-7	1.001850
2.000000E-7	1.008900
2.125000E-7	1.001770
2.375000E-7	0.996382
2.625000E-7	0.995976
2.875000E-7	0.995582
3.125000E-7	0.997526
3.375000E-7	0.990627
3.625000E-7	0.992287
3.875000E-7	0.993772
4.125000E-7	0.992870
4.625000E-7	0.984851
5.125000E-7	0.987852
5.625000E-7	0.991019
6.125000E-7	0.990719
6.625000E-7	0.988017
7.125000E-7	0.992140
7.625000E-7	0.992447
8.125000E-7	0.987721
9.125000E-7	0.987438
1.012500E-6	0.982970
1.112500E-6	0.987410
1.212500E-6	0.988552
1.312500E-6	0.988598
1.412500E-6	0.989830
1.512500E-6	0.986102
1.612500E-6	0.989223
1.812500E-6	0.991825
2.012500E-6	0.986903
2.212500E-6	0.983958
2.412500E-6	0.981714
2.612500E-6	0.976854
2.812500E-6	0.980894
3.012500E-6	0.984919
3.212500E-6	0.985765
3.612500E-6	0.981745
4.012500E-6	0.976984
4.412500E-6	0.977183
4.812500E-6	0.978842
5.212500E-6	0.976781
5.612500E-6	0.970724
6.012500E-6	0.971569
6.412500E-6	0.972770
7.212500E-6	0.968870
8.012500E-6	0.968438
8.812500E-6	0.964482
9.612500E-6	0.965526
1.041250E-5	0.961969
1.121250E-5	0.962811
1.201250E-5	0.959801
1.281250E-5	0.958348
1.441250E-5	0.955302
1.601250E-5	0.955468
1.761250E-5	0.953459
1.921250E-5	0.951695
2.081250E-5	0.949423
2.241250E-5	0.946632
2.401250E-5	0.946206
2.561250E-5	0.944249
2.881250E-5	0.939314
3.201250E-5	0.936341
3.521250E-5	0.935333
3.841250E-5	0.933368
4.161250E-5	0.931331
4.481250E-5	0.928798
4.801250E-5	0.926136
5.121250E-5	0.924057
5.761250E-5	0.920983
6.401250E-5	0.918188
7.041250E-5	0.914762
7.681250E-5	0.913182
8.321250E-5	0.911372
8.961250E-5	0.908777
9.601250E-5	0.906694
0.000102	0.905241
0.000115	0.901987
0.000128	0.898964
0.000141	0.896513
0.000154	0.894375
0.000166	0.892170
0.000179	0.890657
0.000192	0.888498
0.000205	0.887204
0.000230	0.884570
0.000256	0.882454
0.000282	0.880370
0.000307	0.878698
0.000333	0.877139
0.000358	0.875649
0.000384	0.874476
0.000410	0.873555
0.000461	0.871183
0.000512	0.869478
0.000563	0.868105
0.000614	0.866730
0.000666	0.865433
0.000717	0.864104
0.000768	0.863397
0.000819	0.862262
0.000922	0.860227
0.001024	0.858766
0.001126	0.857314
0.001229	0.856109
0.001331	0.854918
0.001434	0.853838
0.001536	0.852969
0.001638	0.851894
0.001843	0.849998
0.002048	0.848319
0.002253	0.846820
0.002458	0.845252
0.002662	0.843877
0.002867	0.842486
0.003072	0.841538
0.003277	0.840882
0.003686	0.839257
0.004096	0.837994
0.004506	0.837001
0.004915	0.836000
0.005325	0.835412
0.005734	0.834507
0.006144	0.833601
0.006554	0.833141
0.007373	0.831012
0.008192	0.828836
0.009011	0.827241
0.009830	0.825659
0.010650	0.824310
0.011469	0.823028
0.012288	0.821442
0.013107	0.820182
0.014746	0.817235
0.016384	0.815914
0.018022	0.814218
0.019661	0.810693
0.021299	0.807052
0.022938	0.805031
0.024576	0.803198
0.026214	0.801715
0.029491	0.797778
0.032768	0.793570
0.036045	0.790183
0.039322	0.785241
0.042598	0.782085
0.045875	0.777858
0.049152	0.774816
0.052429	0.773229
0.058982	0.765000
0.065536	0.757877
0.072090	0.750858
0.078643	0.743533
0.085197	0.737497
0.091750	0.730703
0.098304	0.724378
0.104858	0.722379
0.117965	0.709124
0.131072	0.695971
0.144179	0.683890
0.157286	0.671640
0.170394	0.659199
0.183501	0.647392
0.399815	0.501116
0.599723	0.403516
0.799630	0.328275
0.999538	0.267172
1.199450	0.218317
1.399350	0.176114
1.599260	0.144747
1.799170	0.118554
1.999070	0.098772
2.198980	0.081142
2.398890	0.068024
2.598800	0.055834
2.798700	0.047712
2.998610	0.041318
3.198520	0.034925
3.398430	0.029439
3.598340	0.025534
3.798240	0.021320
3.998150	0.019238
4.198060	0.016478
4.397970	0.016259
4.597870	0.014158
4.797780	0.014084
4.997690	0.013551
5.197590	0.011357
5.397500	0.010522
5.597410	0.006329
5.797320	0.005995
5.997230	0.006269
6.197130	0.005824
6.397040	0.005327
6.596950	0.004620
6.796860	0.005091
6.996760	0.006057
7.196670	0.006027
7.396580	0.004932
7.596490	0.004194
7.796390	0.003185
7.996300	0.005262
8.196210	0.005081
8.396120	0.005161
8.596020	0.004301
8.795930	0.004228
8.995840	0.004346
9.195750	0.003722
9.395650	0.003511
9.595560	0.004203
9.795470	0.004410
9.995380	0.005485
10.195300	0.004549
10.395200	0.005239
10.595100	0.006690
10.795000	0.009796
10.994900	0.009386
11.194800	0.012314
11.394700	0.011182
11.594600	0.011468
11.794500	0.011409
11.994500	0.012418
12.194400	0.013368
12.394300	0.013862
12.594200	0.014602
12.794100	0.015572


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

13.382000	264.485642
20.350000	89.949139
27.310000	166.013188
34.280000	193.271024
41.240000	79.532363
48.210000	118.650636
55.180000	125.017161
62.141000	81.336202
69.110000	116.152320
76.070000	126.953104
83.040000	44.873949
90.009000	75.147628
96.970000	296.114354
103.938000	145.007363
110.899000	112.761725
117.870000	195.300751
124.840000	131.220464
125.469146	123.894215
126.517722	123.958587
127.566298	121.203121
128.405158	124.661976
129.453734	124.327757
130.502310	125.868987
131.550886	124.817627
132.599462	125.953226
133.648038	124.856328
134.486899	124.789402
135.535475	123.181609
136.584051	123.670833
137.632627	123.637300
138.681203	123.987145
139.729779	124.665854
140.778355	125.769533
141.617216	124.371309
142.665792	124.312501
143.714368	127.543018
144.762944	128.606233
145.811520	125.164435
146.860096	124.147289
147.908672	125.171697
148.957248	124.489195
149.796109	126.568358
150.844685	122.965681
151.893261	124.332027
152.941837	124.358826
153.990413	124.405882
155.038989	124.865020
156.087565	123.631954
157.136141	124.310598
157.975002	122.714113
159.023578	125.282614
160.072154	125.192989
161.120730	126.411918
162.169306	124.954240
163.217882	123.463926
164.266458	126.659870
165.315034	123.992047
166.153894	123.106575
167.202470	123.273275
168.251046	122.688997
169.299622	122.461928
170.348198	127.480423
171.396774	124.244443
172.445350	124.404301
173.284211	123.993933
174.332787	122.351813
175.381363	121.947425
176.429939	123.930700
177.478515	124.911648
178.527091	124.236066
179.575667	124.233405
180.624243	124.993373
181.463104	126.365150
0.000000	0.000000
0.000000	0.000000
0.000000	0.000000

Measurement Notes:

