DWS Measurement v9.2.8
10/03/18 5:24:40 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	39.98
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	188.537
Solvent:	Water
Solvent Refractive Index:	1.328
Particle Radius (nm):	300.0
l* (microns):	904.66
Mean Count Rate (kHz):	130.2


Lag time (s)	g2-1

1.250000E-8	0.993813
2.500000E-8	1.001527
3.750000E-8	1.006009
5.000000E-8	0.995133
6.250000E-8	1.013347
7.500000E-8	0.998550
8.750000E-8	0.990754
1.000000E-7	0.997935
1.125000E-7	1.014652
1.250000E-7	1.007420
1.375000E-7	0.990881
1.500000E-7	0.989957
1.625000E-7	1.005868
1.750000E-7	0.986249
1.875000E-7	0.993120
2.000000E-7	0.993194
2.125000E-7	0.989371
2.375000E-7	0.991976
2.625000E-7	0.983725
2.875000E-7	0.997248
3.125000E-7	1.005015
3.375000E-7	0.987125
3.625000E-7	0.997523
3.875000E-7	1.001335
4.125000E-7	1.001588
4.625000E-7	0.984042
5.125000E-7	0.990944
5.625000E-7	0.994211
6.125000E-7	0.985247
6.625000E-7	0.990469
7.125000E-7	0.989397
7.625000E-7	0.992716
8.125000E-7	0.994814
9.125000E-7	0.997011
1.012500E-6	0.989850
1.112500E-6	0.988492
1.212500E-6	0.986451
1.312500E-6	0.990862
1.412500E-6	0.992814
1.512500E-6	0.988668
1.612500E-6	0.989689
1.812500E-6	0.986124
2.012500E-6	0.981942
2.212500E-6	0.984301
2.412500E-6	0.980945
2.612500E-6	0.979989
2.812500E-6	0.977892
3.012500E-6	0.982993
3.212500E-6	0.984983
3.612500E-6	0.980840
4.012500E-6	0.972862
4.412500E-6	0.972458
4.812500E-6	0.974105
5.212500E-6	0.972645
5.612500E-6	0.968926
6.012500E-6	0.968015
6.412500E-6	0.969062
7.212500E-6	0.965983
8.012500E-6	0.965798
8.812500E-6	0.957787
9.612500E-6	0.961493
1.041250E-5	0.957065
1.121250E-5	0.956836
1.201250E-5	0.954015
1.281250E-5	0.953164
1.441250E-5	0.951736
1.601250E-5	0.948341
1.761250E-5	0.946596
1.921250E-5	0.944763
2.081250E-5	0.944445
2.241250E-5	0.940738
2.401250E-5	0.939300
2.561250E-5	0.937653
2.881250E-5	0.934004
3.201250E-5	0.930549
3.521250E-5	0.928293
3.841250E-5	0.926475
4.161250E-5	0.923602
4.481250E-5	0.922653
4.801250E-5	0.918425
5.121250E-5	0.916982
5.761250E-5	0.914529
6.401250E-5	0.911416
7.041250E-5	0.908598
7.681250E-5	0.906637
8.321250E-5	0.904419
8.961250E-5	0.903146
9.601250E-5	0.901098
0.000102	0.899658
0.000115	0.896151
0.000128	0.893460
0.000141	0.891264
0.000154	0.888800
0.000166	0.887685
0.000179	0.886271
0.000192	0.884528
0.000205	0.882682
0.000230	0.880835
0.000256	0.878580
0.000282	0.876913
0.000307	0.875642
0.000333	0.874011
0.000358	0.872821
0.000384	0.871713
0.000410	0.870846
0.000461	0.869221
0.000512	0.868531
0.000563	0.866740
0.000614	0.865601
0.000666	0.864451
0.000717	0.863505
0.000768	0.862907
0.000819	0.862167
0.000922	0.860444
0.001024	0.859342
0.001126	0.858334
0.001229	0.857070
0.001331	0.856127
0.001434	0.855486
0.001536	0.854492
0.001638	0.853934
0.001843	0.852432
0.002048	0.850917
0.002253	0.849533
0.002458	0.848463
0.002662	0.847144
0.002867	0.845961
0.003072	0.844911
0.003277	0.844180
0.003686	0.842582
0.004096	0.841137
0.004506	0.840216
0.004915	0.839116
0.005325	0.838313
0.005734	0.837531
0.006144	0.836765
0.006554	0.836804
0.007373	0.835815
0.008192	0.834857
0.009011	0.834053
0.009830	0.832825
0.010650	0.831235
0.011469	0.829655
0.012288	0.828147
0.013107	0.827175
0.014746	0.825043
0.016384	0.823889
0.018022	0.822559
0.019661	0.819367
0.021299	0.815261
0.022938	0.810616
0.024576	0.806796
0.026214	0.805769
0.029491	0.802493
0.032768	0.798361
0.036045	0.793780
0.039322	0.788999
0.042598	0.782900
0.045875	0.778080
0.049152	0.775131
0.052429	0.772668
0.058982	0.762095
0.065536	0.753281
0.072090	0.744455
0.078643	0.735784
0.085197	0.729505
0.091750	0.721906
0.098304	0.714355
0.104858	0.710460
0.117965	0.694701
0.131072	0.679446
0.144179	0.665043
0.157286	0.651697
0.170394	0.639169
0.183501	0.625884
0.399815	0.457022
0.599723	0.353760
0.799631	0.267789
0.999538	0.206843
1.199446	0.157039
1.399354	0.120190
1.599261	0.092135
1.799169	0.070125
1.999077	0.053389
2.198984	0.042501
2.398892	0.035090
2.598800	0.028307
2.798707	0.022973
2.998615	0.019116
3.198523	0.016985
3.398430	0.014699
3.598338	0.013167
3.798246	0.009586
3.998153	0.010838
4.198061	0.007438
4.397968	0.010190
4.597876	0.005324
4.797784	0.006144
4.997691	0.007378
5.197599	0.006154
5.397507	0.006403
5.597414	0.008470
5.797322	0.009246
5.997230	0.005188
6.197137	0.006425
6.397045	0.004646
6.596953	0.005901
6.796860	0.004228
6.996768	0.005460
7.196676	0.006449
7.396583	0.005085
7.596491	0.006690
7.796399	0.006990
7.996306	0.009850
8.196214	0.008650
8.396122	0.008244
8.596029	0.009988
8.795937	0.011970
8.995845	0.012104
9.195752	0.007946
9.395660	0.005241
9.595568	0.005090
9.795475	0.004116
9.995383	0.005280
10.195291	0.005453
10.395198	0.007989
10.595106	0.009377
10.795014	0.010178
10.994921	0.012052
11.194829	0.013324
11.394737	0.012658
11.594644	0.012298
11.794552	0.013520
11.994460	0.014854
12.194367	0.014595
12.394275	0.014561
12.594183	0.013893
12.794090	0.015237


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

13.377000	155.592540
20.337000	93.671483
27.307000	101.332318
34.266000	135.596165
41.236000	151.974746
48.007000	125.877620
54.977000	113.617712
61.945000	122.448372
68.905000	147.106138
75.877000	225.403307
82.846000	98.871054
89.805000	55.124090
96.776000	82.966181
103.734000	121.921162
110.516000	66.804998
117.487000	161.272344
124.455000	124.069420
125.084146	131.898774
126.132722	131.644312
127.181298	130.193159
128.020158	129.141769
129.068734	131.463122
130.117310	130.099194
131.165886	129.566167
132.214462	130.352747
133.263038	130.726699
134.101899	131.735795
135.150475	128.816875
136.199051	131.287011
137.247627	132.309341
138.296203	133.154426
139.344779	130.975149
140.393355	132.499024
141.232216	131.859499
142.280792	133.933640
143.329368	131.673588
144.377944	130.520745
145.426520	129.830159
146.475096	131.180107
147.523672	130.567636
148.362533	131.265583
149.411109	130.837445
150.459685	132.150086
151.508261	132.789362
152.556837	132.283372
153.605413	130.514498
154.653989	130.457543
155.492850	128.538608
156.541426	131.852854
157.590002	132.346136
158.638578	130.348819
159.687154	131.538556
160.735730	133.228728
161.784306	131.773947
162.623166	132.769920
163.671742	131.253895
164.720318	131.720858
165.768894	130.230727
166.817470	131.583015
167.866046	132.327073
168.914622	131.232075
169.963198	134.346112
170.802059	132.333648
171.850635	130.402944
172.899211	129.687410
173.947787	131.769158
174.996363	130.553876
176.044939	130.478962
177.093515	131.001281
178.142091	131.857392
178.980952	129.854679
180.029528	132.503510
181.078104	132.755216
182.126680	129.212914
183.175256	132.794072
184.223832	133.378313

Measurement Notes:

