DWS Measurement v9.2.8
10/11/18 8:14:38 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	40.00
Cuvette Thickness (mm):	5.00
Absorption Length (mm):	100.259
Solvent:	Water
Solvent Refractive Index:	1.328
Particle Radius (nm):	300.0
l* (microns):	779.92
Mean Count Rate (kHz):	608.9


Lag time (s)	g2-1

1.250000E-8	0.999113
2.500000E-8	0.999408
3.750000E-8	0.998137
5.000000E-8	1.001380
6.250000E-8	1.000340
7.500000E-8	0.999854
8.750000E-8	0.997602
1.000000E-7	1.001830
1.125000E-7	0.997324
1.250000E-7	0.998378
1.375000E-7	1.000280
1.500000E-7	0.999853
1.625000E-7	1.000690
1.750000E-7	0.998097
1.875000E-7	0.998109
2.000000E-7	0.999328
2.125000E-7	0.998097
2.375000E-7	0.999700
2.625000E-7	0.997483
2.875000E-7	0.997249
3.125000E-7	0.998951
3.375000E-7	0.998111
3.625000E-7	0.997535
3.875000E-7	0.997157
4.125000E-7	0.997233
4.625000E-7	0.998636
5.125000E-7	0.997051
5.625000E-7	0.995424
6.125000E-7	0.995592
6.625000E-7	0.995144
7.125000E-7	0.997501
7.625000E-7	0.995759
8.125000E-7	0.994918
9.125000E-7	0.994806
1.012500E-6	0.994511
1.112500E-6	0.995280
1.212500E-6	0.995681
1.312500E-6	0.995875
1.412500E-6	0.995776
1.512500E-6	0.996011
1.612500E-6	0.995583
1.812500E-6	0.994830
2.012500E-6	0.994449
2.212500E-6	0.993080
2.412500E-6	0.992436
2.612500E-6	0.992030
2.812500E-6	0.992711
3.012500E-6	0.993277
3.212500E-6	0.992737
3.612500E-6	0.991421
4.012500E-6	0.990282
4.412500E-6	0.989947
4.812500E-6	0.990252
5.212500E-6	0.989240
5.612500E-6	0.988088
6.012500E-6	0.987998
6.412500E-6	0.988111
7.212500E-6	0.986209
8.012500E-6	0.985953
8.812500E-6	0.984787
9.612500E-6	0.984725
1.041250E-5	0.983420
1.121250E-5	0.983210
1.201250E-5	0.982012
1.281250E-5	0.981870
1.441250E-5	0.980741
1.601250E-5	0.979671
1.761250E-5	0.979023
1.921250E-5	0.978243
2.081250E-5	0.977369
2.241250E-5	0.976574
2.401250E-5	0.975665
2.561250E-5	0.974742
2.881250E-5	0.973141
3.201250E-5	0.971774
3.521250E-5	0.970641
3.841250E-5	0.969941
4.161250E-5	0.969005
4.481250E-5	0.968009
4.801250E-5	0.966799
5.121250E-5	0.965828
5.761250E-5	0.964671
6.401250E-5	0.963365
7.041250E-5	0.962042
7.681250E-5	0.961184
8.321250E-5	0.960282
8.961250E-5	0.959057
9.601250E-5	0.958306
0.000102	0.957676
0.000115	0.956211
0.000128	0.955056
0.000141	0.954014
0.000154	0.952897
0.000166	0.952136
0.000179	0.951395
0.000192	0.950689
0.000205	0.950120
0.000230	0.949007
0.000256	0.948051
0.000282	0.947261
0.000307	0.946465
0.000333	0.945765
0.000358	0.945167
0.000384	0.944705
0.000410	0.944244
0.000461	0.943343
0.000512	0.942654
0.000563	0.941986
0.000614	0.941457
0.000666	0.940933
0.000717	0.940465
0.000768	0.940029
0.000819	0.939679
0.000922	0.938943
0.001024	0.938368
0.001126	0.937874
0.001229	0.937463
0.001331	0.937024
0.001434	0.936611
0.001536	0.936264
0.001638	0.936017
0.001843	0.935322
0.002048	0.934734
0.002253	0.934189
0.002458	0.933663
0.002662	0.933202
0.002867	0.932810
0.003072	0.932384
0.003277	0.932195
0.003686	0.931513
0.004096	0.930966
0.004506	0.930457
0.004915	0.929928
0.005325	0.929501
0.005734	0.929080
0.006144	0.928731
0.006554	0.928728
0.007373	0.928043
0.008192	0.927431
0.009011	0.926851
0.009830	0.926202
0.010650	0.925468
0.011469	0.924701
0.012288	0.923820
0.013107	0.923619
0.014746	0.922009
0.016384	0.920737
0.018022	0.919628
0.019661	0.918578
0.021299	0.917057
0.022938	0.915486
0.024576	0.913939
0.026214	0.913981
0.029491	0.911965
0.032768	0.909261
0.036045	0.906459
0.039322	0.904314
0.042598	0.901676
0.045875	0.898874
0.049152	0.896863
0.052429	0.896953
0.058982	0.891833
0.065536	0.886912
0.072090	0.881906
0.078643	0.876949
0.085197	0.872064
0.091750	0.867139
0.098304	0.862162
0.104858	0.862786
0.117965	0.853373
0.131072	0.844271
0.144179	0.835138
0.157286	0.826012
0.170394	0.816640
0.183501	0.807138
0.399815	0.717583
0.599723	0.645083
0.799630	0.577414
0.999538	0.521344
1.199450	0.467816
1.399350	0.421658
1.599260	0.382354
1.799170	0.345050
1.999080	0.312678
2.198980	0.283841
2.398890	0.257205
2.598800	0.234494
2.798710	0.212084
2.998610	0.193524
3.198520	0.177115
3.398430	0.160400
3.598340	0.147440
3.798240	0.133683
3.998150	0.122092
4.198060	0.112463
4.397970	0.102647
4.597870	0.094324
4.797780	0.086534
4.997690	0.079210
5.197600	0.072161
5.397500	0.066394
5.597410	0.061137
5.797320	0.057133
5.997230	0.051939
6.197140	0.048736
6.397040	0.045130
6.596950	0.042417
6.796860	0.039873
6.996760	0.037209
7.196670	0.035419
7.396580	0.033703
7.596490	0.031570
7.796400	0.029352
7.996300	0.028510
8.196210	0.027172
8.396120	0.025712
8.596030	0.024613
8.795930	0.024234
8.995840	0.022634
9.195750	0.021368
9.395660	0.020023
9.595560	0.018412
9.795470	0.017776
9.995380	0.016474
10.195300	0.016258
10.395200	0.015225
10.595100	0.014798
10.795000	0.013943
10.994900	0.013649
11.194800	0.012894
11.394700	0.013609
11.594600	0.013402
11.794500	0.012762
11.994500	0.012831
12.194400	0.012867
12.394300	0.012302
12.594200	0.011643
12.794100	0.012011


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

13.385000	444.576683
20.354000	493.395495
27.335000	1381.932009
34.293000	374.398339
41.252000	738.853030
48.210000	208.832395
55.174000	386.617824
62.141000	272.400364
69.113000	285.869239
76.083000	739.237829
83.042000	373.423292
90.012000	379.207830
96.782000	561.581633
103.561000	293.674472
110.532000	1161.013189
117.501000	250.990062
124.462000	418.681556
125.091146	610.329883
126.139722	607.543823
127.188298	608.942396
128.027158	607.316208
129.075734	611.897176
130.124310	604.215029
131.172886	605.491526
132.221462	602.283310
133.270038	610.744542
134.108899	612.447905
135.157475	608.731354
136.206051	609.891476
137.254627	610.225802
138.303203	609.162390
139.351779	613.153314
140.400355	618.813977
141.448931	621.059182
142.497507	617.564405
143.546083	613.369374
144.384944	612.858743
145.433520	623.125031
146.482096	609.331076
147.530672	611.687058
148.579248	614.790050
149.627824	612.066323
150.676400	612.462172
151.724976	615.119859
152.773552	616.045983
153.822128	610.251863
154.870704	608.191233
155.919280	609.771539
156.967856	613.667597
157.806717	607.397328
158.855293	602.535980
159.903869	605.971479
160.952445	614.389399
162.001021	614.499156
163.049597	613.138214
164.098173	615.091909
165.146749	615.094297
166.195325	606.320383
167.243901	612.369455
168.292477	600.100178
169.341053	605.965364
170.179914	609.600278
171.228490	612.603564
172.277066	612.084683
173.325642	610.938936
174.374218	612.785218
175.422794	611.739114
176.471370	622.195698
177.519946	614.204181
178.568522	606.346371
179.617098	603.621813
180.455958	607.365405
0.000000	0.000000
0.000000	0.000000
0.000000	0.000000

Measurement Notes:

