DWS Measurement v9.2.8
10/03/18 5:14:18 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	30.04
Cuvette Thickness (mm):	5.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	594.15
Mean Count Rate (kHz):	586.8


Lag time (s)	g2-1

1.250000E-8	0.999018
2.500000E-8	0.998503
3.750000E-8	0.997301
5.000000E-8	0.997153
6.250000E-8	1.002590
7.500000E-8	0.999990
8.750000E-8	0.998573
1.000000E-7	0.998604
1.125000E-7	1.000150
1.250000E-7	1.001650
1.375000E-7	0.999555
1.500000E-7	0.998980
1.625000E-7	0.998097
1.750000E-7	0.999175
1.875000E-7	0.998231
2.000000E-7	0.997212
2.125000E-7	0.997680
2.375000E-7	0.997744
2.625000E-7	0.996944
2.875000E-7	0.997535
3.125000E-7	0.996741
3.375000E-7	0.999429
3.625000E-7	0.997393
3.875000E-7	0.995034
4.125000E-7	0.995023
4.625000E-7	0.996375
5.125000E-7	0.994950
5.625000E-7	0.994379
6.125000E-7	0.993297
6.625000E-7	0.994622
7.125000E-7	0.993042
7.625000E-7	0.993297
8.125000E-7	0.992786
9.125000E-7	0.992908
1.012500E-6	0.992621
1.112500E-6	0.991205
1.212500E-6	0.992829
1.312500E-6	0.991297
1.412500E-6	0.991427
1.512500E-6	0.991316
1.612500E-6	0.991225
1.812500E-6	0.991021
2.012500E-6	0.988509
2.212500E-6	0.988176
2.412500E-6	0.986580
2.612500E-6	0.986090
2.812500E-6	0.985659
3.012500E-6	0.985894
3.212500E-6	0.985951
3.612500E-6	0.984287
4.012500E-6	0.981593
4.412500E-6	0.980940
4.812500E-6	0.980835
5.212500E-6	0.979399
5.612500E-6	0.976824
6.012500E-6	0.976852
6.412500E-6	0.976190
7.212500E-6	0.974257
8.012500E-6	0.972933
8.812500E-6	0.970090
9.612500E-6	0.969529
1.041250E-5	0.967276
1.121250E-5	0.966653
1.201250E-5	0.964460
1.281250E-5	0.963662
1.441250E-5	0.960761
1.601250E-5	0.959200
1.761250E-5	0.956743
1.921250E-5	0.955006
2.081250E-5	0.952804
2.241250E-5	0.951103
2.401250E-5	0.949067
2.561250E-5	0.947202
2.881250E-5	0.943792
3.201250E-5	0.940751
3.521250E-5	0.938107
3.841250E-5	0.935670
4.161250E-5	0.933212
4.481250E-5	0.930770
4.801250E-5	0.928222
5.121250E-5	0.926203
5.761250E-5	0.922561
6.401250E-5	0.919115
7.041250E-5	0.915674
7.681250E-5	0.912937
8.321250E-5	0.910262
8.961250E-5	0.907516
9.601250E-5	0.905131
0.000102	0.903039
0.000115	0.898865
0.000128	0.895324
0.000141	0.891916
0.000154	0.889018
0.000166	0.886289
0.000179	0.883876
0.000192	0.881560
0.000205	0.879425
0.000230	0.875610
0.000256	0.872242
0.000282	0.869151
0.000307	0.866498
0.000333	0.864008
0.000358	0.861777
0.000384	0.859795
0.000410	0.858093
0.000461	0.854849
0.000512	0.851951
0.000563	0.849527
0.000614	0.847330
0.000666	0.845435
0.000717	0.843601
0.000768	0.841930
0.000819	0.840488
0.000922	0.837850
0.001024	0.835647
0.001126	0.833568
0.001229	0.831731
0.001331	0.830118
0.001434	0.828584
0.001536	0.827192
0.001638	0.826010
0.001843	0.823596
0.002048	0.821670
0.002253	0.819767
0.002458	0.818104
0.002662	0.816843
0.002867	0.815650
0.003072	0.814247
0.003277	0.813422
0.003686	0.811396
0.004096	0.809543
0.004506	0.808129
0.004915	0.806628
0.005325	0.805188
0.005734	0.803802
0.006144	0.802597
0.006554	0.801786
0.007373	0.799614
0.008192	0.797594
0.009011	0.795643
0.009830	0.793527
0.010650	0.791765
0.011469	0.790379
0.012288	0.788833
0.013107	0.787753
0.014746	0.784914
0.016384	0.782349
0.018022	0.779920
0.019661	0.777174
0.021299	0.774788
0.022938	0.772915
0.024576	0.771073
0.026214	0.769736
0.029491	0.765965
0.032768	0.762599
0.036045	0.759335
0.039322	0.755640
0.042598	0.752434
0.045875	0.748951
0.049152	0.746343
0.052429	0.745866
0.058982	0.740788
0.065536	0.735667
0.072090	0.730389
0.078643	0.725096
0.085197	0.720140
0.091750	0.714873
0.098304	0.709115
0.104858	0.707218
0.117965	0.696953
0.131072	0.686856
0.144179	0.677984
0.157286	0.669421
0.170394	0.660368
0.183501	0.651975
0.399815	0.532337
0.599722	0.440885
0.799629	0.365681
0.999537	0.303789
1.199440	0.251410
1.399350	0.209899
1.599260	0.176573
1.799170	0.147568
1.999070	0.124269
2.198980	0.103616
2.398890	0.088328
2.598790	0.075368
2.798700	0.063509
2.998610	0.053083
3.198520	0.045094
3.398420	0.036889
3.598330	0.031809
3.798240	0.026449
3.998150	0.022473
4.198050	0.019523
4.397960	0.017094
4.597870	0.015324
4.797770	0.013655
4.997680	0.011946
5.197590	0.012280
5.397500	0.010233
5.597410	0.010339
5.797310	0.008686
5.997220	0.007440
6.197130	0.006027
6.397030	0.006237
6.596940	0.004440
6.796850	0.005018
6.996760	0.004639
7.196660	0.004612
7.396570	0.003735
7.596480	0.004156
7.796380	0.002998
7.996290	0.001818
8.196200	0.001731
8.396110	0.001746
8.596010	0.002603
8.795920	0.003305
8.995830	0.002393
9.195740	0.003025
9.395640	0.003600
9.595550	0.005445
9.795460	0.005507
9.995360	0.004632
10.195300	0.004719
10.395200	0.004661
10.595100	0.004160
10.795000	0.002659
10.994900	0.002718
11.194800	0.001618
11.394700	0.002100
11.594600	0.002824
11.794500	0.004307
11.994400	0.003406
12.194300	0.002703
12.394300	0.001559
12.594200	0.002053
12.794100	0.001398


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

13.387000	379.938744
20.357000	555.783880
27.134000	692.441901
34.093000	239.713763
41.064000	653.804840
48.026000	322.212705
54.995000	530.308281
61.965000	948.496913
68.924000	491.364404
75.895000	500.056939
82.864000	379.068099
89.824000	604.056755
96.793000	438.036055
103.565000	640.199613
110.534000	419.356248
117.503000	546.856758
124.462000	347.212488
125.091146	594.130966
126.139722	597.369845
127.188298	586.280015
128.236874	587.982276
129.075734	592.708818
130.124310	587.889613
131.172886	594.942573
132.221462	591.026814
133.270038	581.588938
134.108899	592.231535
135.157475	596.820386
136.206051	595.938061
137.254627	584.124143
138.303203	591.678525
139.351779	595.789267
140.400355	584.737020
141.239216	584.586097
142.287792	583.389086
143.336368	594.154572
144.384944	599.050451
145.433520	591.687508
146.482096	593.312836
147.530672	578.152626
148.579248	591.675243
149.418109	588.031350
150.466685	588.613742
151.515261	591.812877
152.563837	589.687278
153.612413	589.085519
154.660989	586.460698
155.709565	585.050994
156.758141	596.752534
157.597002	592.280905
158.645578	589.838458
159.694154	587.695399
160.742730	582.443761
161.791306	580.973939
162.839882	581.407129
163.888458	586.593348
164.937034	588.733998
165.775894	591.025012
166.824470	594.056780
167.873046	594.395402
168.921622	590.453776
169.970198	592.327831
171.018774	588.629783
172.067350	588.907808
173.115926	585.687163
173.954787	585.144753
175.003363	583.776830
176.051939	578.503504
177.100515	577.693487
178.149091	580.936149
179.197667	586.437212
180.246243	590.236478
181.085104	598.217006
0.000000	0.000000
0.000000	0.000000
0.000000	0.000000

Measurement Notes:

