 FINAL RESULT:
 ITERATION:           11           1
 PARAMETERS PART
 RATIO   1.6649094662705337     
 TIME INTERVAL   9.9999999747524271E-007
 REPTATION TIME  0.59166657415209623     
 BREAKAGE TIME  0.98507128018168166     
 MICELLE LENGTH   2.4461773131681536E-006
 PLATAEU   221.16943086599272     
 Le   9.3161017806394998E-008
 Lp   3.8187859308962509E-008
 d   3.9999998868722741E-009
 DATA PART
   1.0327614057613975E-002   2.5190912077907319E-003  0.49961461448882610     
   1.0665961212302578E-002   2.6868474673159984E-003  0.51598174315631307     
   1.1015393095414151E-002   2.8657748933543468E-003  0.53288498566702514     
   1.1376272858234310E-002   3.0566173390498830E-003  0.55034189608659512     
   1.1748975549395297E-002   3.2601681810727743E-003  0.56837060258385053     
   1.2133888504649774E-002   3.4772736157384467E-003  0.58698982613847173     
   1.2531411749414162E-002   3.7088361743664203E-003  0.60621889985130972     
   1.2941958414499863E-002   3.9558184724422648E-003  0.62607778887607080     
   1.3365955165464426E-002   4.2192472081109666E-003  0.64658711099158084     
   1.3803842646028845E-002   4.5002174265581663E-003  0.66776815783435850     
   1.4256075936021878E-002   4.7998970679320862E-003  0.68964291681174572     
   1.4723125024327186E-002   5.1195318176265664E-003  0.71223409371635582     
   1.5205475297324954E-002   5.4604502789910450E-003  0.73556513606314389     
   1.5703628043335523E-002   5.8240694898593756E-003  0.75966025717091168     
   1.6218100973589299E-002   6.2119008057033602E-003  0.78454446101060049     
   1.6749428760264373E-002   6.6255561737229565E-003  0.81024356784325280     
   1.7298163592151014E-002   7.0667548237897913E-003  0.83678424067101076     
   1.7864875748520508E-002   7.5373304038706141E-003  0.86419401252510697     
   1.8450154191794736E-002   8.0392385893784234E-003  0.89250131461521998     
   1.9054607179632473E-002   8.5745651978392391E-003  0.92173550536514715     
   1.9678862897068449E-002   9.1455348423286655E-003  0.95192690036016137     
   2.0323570109362220E-002   9.7545201593337155E-003  0.98310680323192989     
   2.0989398836235244E-002   1.0404051649038125E-002   1.0153075375072929     
   2.1677041048196951E-002   1.1096828168525454E-002   1.0485624794476012     
   2.2387211385683399E-002   1.1835728121050772E-002   1.0829060919057369     
   2.3120647901755952E-002   1.2623821387359797E-002   1.1183739592282484     
   2.3878112829131781E-002   1.3464382048044878E-002   1.1550028232303400     
   2.4660393372343388E-002   1.4360901949130830E-002   1.1928306202717236     
   2.5468302525850407E-002   1.5317105166492311E-002   1.2318965194615477     
