020-24A-Tscan_3_5mean-b_MR				!Title
303.15	0.12	0.000797 	!T (K), volume fraction, solvent visc. (Pa.s)
Y	N			!Data format (w, G' ,G"), only mechanical data?
N	N	N		!Create output file for Gf(t), G(w), G(w)+Rouse?
N	Y	N		!Output bending/Rouse modes, iterate?, 1 mode?
Y    	70			!Fit lp?, initial guess or fixed value
25.2   1.5	4.0		!Zero shear viscosity (Pa.s), initial guess for micelle length (L) in micron, and diameter (d) in nm
1500	20			!Size of micelle ensemble, number of iterations
N       0.40    1.0          	!Set parameter values?, zeta, alpha
0.131638	0.090065303	2.499778
0.144026	0.110455039	2.802011
0.157577	0.135474583	3.141161
0.172403	0.166143431	3.52098
0.188626	0.203677092	3.945171
0.206373	0.249537314	4.417818
0.22579	0.305472818	4.943028
0.247037	0.373549108	5.524728
0.270279	0.456215306	6.167125
0.295712	0.55636206	6.874067
0.323536	0.677354526	7.649246
0.353976	0.823153551	8.496347
0.387286	0.998323988	9.418135
0.423723	1.208145325	10.417472
0.463595	1.458688765	11.496062
0.507211	1.756889097	12.655546
0.55494	2.110654884	13.896211
0.60716	2.528840294	15.217505
0.664287	3.021442245	16.618191
0.726791	3.599624158	18.095593
0.795168	4.275788666	19.64638
0.869984	5.063686474	21.265752
0.951843	5.978332905	22.947743
1.041405	7.036143328	24.685403
1.139405	8.254835095	26.470094
1.246614	9.653398283	28.292637
1.363903	11.25234617	30.142884
1.492232	13.075498	32.00963
1.632637	15.103371	33.881186
1.786273	17.300327	35.744399
1.954333	19.666398	37.586926
2.138211	22.200027	39.395639
2.339399	24.897816	41.157341
2.559518	27.755053	42.859372
2.80038	30.764746	44.488654
3.063873	33.919083	46.033741
3.352173	37.208065	47.48291
3.667531	40.621966	48.827027
4.012646	44.148606	50.056256
4.390234	47.774638	51.162722
4.803301	51.486611	52.140203
5.255218	55.271051	52.983923
5.749748	59.112673	53.68968
6.290754	62.996601	54.255683
6.882618	66.908836	54.681625
7.530263	70.834326	54.967907
8.238792	74.758719	55.117003
9.013898	78.669485	55.132892
9.862096	82.55303	55.01984
10.790003	86.397769	54.784282
11.805272	90.192605	54.433001
12.916052	93.927846	53.973998
14.131425	97.5942	53.415719
15.461011	101.184657	52.767679
16.915849	104.692312	52.039279
18.507441	108.112093	51.240779
20.248754	111.440384	50.382384
22.154103	114.674073	49.474285
24.238747	117.811201	48.526901
26.519403	120.851319	47.550517
29.014693	123.794477	46.555061
31.744498	126.642713	45.550375
34.731724	129.397283	44.545595
37.999521	132.061535	43.550038
41.574922	134.638865	42.572112
45.48651	137.134007	41.620003
49.766846	139.551	40.701216
54.449304	141.895232	39.82314
59.572136	144.172773	38.992358
65.177966	146.388752	38.21497
71.310283	148.549825	37.496922
78.020251	150.66192	36.843366
85.360972	152.732029	36.25928
93.393992	154.765761	35.749025
102.180769	156.770332	35.316933
111.795271	158.752065	34.966642
122.314334	160.717365	34.701699
133.822533	162.672916	34.525369
146.41447	164.624988	34.44063
160.191626	166.579784	34.45032
175.26515	168.543164	34.557073
191.754481	170.521663	34.763509
209.797208	172.521155	35.072061
229.539399	174.546808	35.485021
251.13424	176.605302	36.004971
274.767578	178.701021	36.634045
300.616886	180.840425	37.374861
328.903788	183.028387	38.229846
359.851349	185.270282	39.201581
393.711644	187.570985	40.29267
430.753563	189.936083	41.506076
471.284542	192.370717	42.844937
515.634945	194.879296	44.312254
564.151875	197.466799	45.911317
617.225492	200.139294	47.646262
675.308157	202.900866	49.520895
738.850254	205.756463	51.53922
808.361086	208.712247	53.706323
884.429834	211.772088	56.026803
967.638386	214.942682	58.506427
1058.698582	218.227759	61.150505
1158.300568	221.634153	63.965549
1267.287777	225.167016	66.958411
1386.52937	228.832596	70.136513
1517.005876	232.635786	73.507201
1659.734366	236.583692	77.079152
1815.900624	240.682617	80.861726
1986.768203	244.938907	84.864587
2173.708468	249.359462	89.098273
2378.233687	253.95122	93.574089
2601.988073	258.72276	98.305079
2846.83827	263.680329	103.303941
3114.698289	268.83277	108.585102
3407.769792	274.188282	114.16415
3728.419263	279.755627	120.057778
4079.244504	285.543322	126.283604
4463.050303	291.561712	132.861546
4882.995699	297.820236	139.812621
5342.463436	304.328584	147.159009
5845.133958	311.097492	154.925126
6395.078308	318.138551	163.137975
6996.794292	325.463511	171.826767
7655.194968	333.082077	181.020979
8375.44469	341.007726	190.754593
9163.462165	349.253776	201.065135
10025.72165	357.832291	211.991796
10969.15735	366.754197	223.575177
12001.17893	376.035773	235.863554
13130.40894	385.688639	248.906582
14365.83041	395.728052	262.760071
15717.61231	406.166284	277.48287
17196.57507	417.016827	293.139359
18814.67065	428.292924	309.800035
20584.99428	440.005741	327.539987
22521.6395	452.170231	346.445291
24640.63124	464.798516	366.609451
26959.34269	477.897509	388.129341
29496.11103	491.476574	411.113681
32271.51907	505.541158	435.680431
35307.84806	520.09876	461.963726
38630.274	535.143646	490.099324
42264.56817	550.680042	520.249645
46241.29479	566.697938	552.585805
50592.47389	583.181578	587.291506
55352.77894	600.11397	624.575659
60561.34595	617.464139	664.661963
66259.91018	635.19163	707.793692
72493.8637	653.250584	754.247815
79314.3762	671.581737	804.333935
86777.8947	690.097176	858.371605
94942.22324	708.715024	916.748279
103876.2395	727.317192	979.878627
113650.8354	745.774441	1048.233638
124343.1427	763.964259	1122.405023
136043.467	781.744292	1203.085686
148844.6333	799.00494	1291.171657
162849.0979	815.699459	1387.892502
