020-24A-Tscan_0_2mean-b_MR					!Title
308.15	0.12	0.000719 	!T (K), volume fraction, solvent visc. (Pa.s)
Y	N			!Data format (w, G' ,G"), only mechanical data?
N	N	N		!Create output file for Gf(t), G(w), G(w)+Rouse?
N	Y	N		!Output bending/Rouse modes, iterate?, 1 mode?
Y    	70			!Fit lp?, initial guess or fixed value
13.1   2.0	4.0		!Zero shear viscosity (Pa.s), initial guess for micelle length (L) in micron, and diameter (d) in nm
1500	20			!Size of micelle ensemble, number of iterations
N       0.40    1.0          	!Set parameter values?, zeta, alpha
0.238202	0.073947459	2.483521
0.262437	0.0901684	2.748649
0.28914	0.110248648	3.050388
0.318559	0.135139736	3.393776
0.350967	0.166024194	3.784383
0.386675	0.204363151	4.228112
0.426018	0.251946033	4.731181
0.469359	0.310974392	5.30041
0.517119	0.384120324	5.942467
0.56973	0.474616995	6.664448
0.627693	0.58637605	7.473412
0.691557	0.724074097	8.376161
0.76192	0.893256436	9.379005
0.839433	1.100494669	10.487981
0.924842	1.353499678	11.707943
1.018944	1.661193192	13.042469
1.122604	2.033902073	14.494173
1.236816	2.483499782	16.063827
1.362663	3.023403421	17.74997
1.501313	3.668648795	19.549015
1.654055	4.436015273	21.455225
1.822333	5.344099724	23.460475
2.007744	6.413187333	25.553805
2.212021	7.665107612	27.721645
2.437062	9.123369158	29.948747
2.685039	10.81278093	32.216384
2.958202	12.75917746	34.505223
3.259184	14.98949157	36.793238
3.590751	17.53122819	39.058633
3.956136	20.41219947	41.277043
4.358632	23.65945104	43.425462
4.802061	27.004227	45.481126
5.290646	30.586967	47.42148
5.828883	34.36968	49.226563
6.421951	38.334152	50.877347
7.075355	42.459406	52.357522
7.795164	46.723578	53.654261
8.588337	51.101977	54.756422
9.462146	55.56928	55.657047
10.424813	60.100206	56.35234
11.485479	64.669215	56.841487
12.654114	69.250593	57.126736
13.941473	73.820691	57.214006
15.359808	78.357415	57.111508
16.922589	82.839761	56.829774
18.644386	87.249131	56.381822
20.541451	91.568498	55.782164
22.63122	95.784571	55.047285
24.93371	99.886349	54.194114
27.47076	103.864008	53.240293
30.265465	107.712167	52.20449
33.344962	111.426374	51.104505
36.737637	115.004935	49.958605
40.47543	118.448144	48.78431
44.593282	121.758565	47.598552
49.130243	124.94	46.417288
54.128653	127.99798	45.255702
59.63566	130.9393	44.127834
65.703255	133.771709	43.046651
72.388618	136.503103	42.024064
79.752849	139.143417	41.071039
87.86724	141.702144	40.197045
96.807577	144.189164	39.41083
106.657706	146.614253	38.7201
117.508596	148.988214	38.131701
129.465059	151.32062	37.651392
142.636545	153.621626	37.284443
157.147562	155.901445	37.035293
173.137351	158.168947	36.907677
190.751402	160.433967	36.905061
210.159861	162.704883	37.030158
231.540164	164.990767	37.285549
255.097499	167.300057	37.673398
281.0555	169.640091	38.195496
309.650973	172.018753	38.853586
341.154825	174.443434	39.649223
375.863058	176.921463	40.583949
414.105149	179.459427	41.659136
456.235863	182.064037	42.876204
502.651054	184.742125	44.236764
553.792958	187.499777	45.74234
610.136742	190.343744	47.394794
672.222387	193.279377	49.195716
740.613913	196.313211	51.147132
815.959984	199.451845	53.25157
898.979026	202.701041	55.511451
990.438383	206.067814	57.929872
1091.217288	209.557955	60.509881
1202.244747	213.177853	63.254805
1324.555204	216.934897	66.16893
1459.318654	220.836024	69.256902
1607.80359	224.887249	72.523087
1771.358442	229.097909	75.973837
1951.59403	233.474335	79.615106
2150.152214	238.025378	83.454007
2368.93392	242.758266	87.497851
2609.944953	247.682216	91.755319
2875.471865	252.806662	96.23643
3168.035888	258.140706	100.951866
3490.376883	263.693486	105.913123
3845.487869	269.475048	111.133273
4236.695385	275.497282	116.628011
4667.77086	281.76932	122.413083
5142.657357	288.304146	128.507638
5665.941351	295.111368	134.931311
6242.405124	302.203696	141.707064
6877.517868	309.59291	148.860347
7577.219473	317.291487	156.419639
8348.08678	325.314115	164.418374
9197.5783	333.669495	172.88983
10133.30207	342.37229	181.874289
11164.20701	351.436882	191.418226
12300.2178	360.871116	201.568685
13551.51701	370.691032	212.38383
14930.33595	380.904577	223.92498
16449.30363	391.523249	236.262974
18122.88048	402.555215	249.476848
19966.81204	414.006763	263.654965
21998.4554	425.879657	278.894713
24236.62662	438.174637	295.307098
26702.43455	450.887893	313.017378
29419.20252	464.008104	332.164305
32412.3127	477.519452	352.905772
35710.26348	491.390763	375.412869
39343.2188	505.588326	399.884915
43346.19194	520.055899	426.538889
47756.18714	534.725159	455.62096
52615.02274	549.504388	487.406475
57968.58087	564.270273	522.195041
63865.79483	578.882769	560.339888
70364.49937	593.143125	602.213372
77522.62725	606.83611	648.263761
85410.48365	619.678834	698.984961
94099.81495	631.361407	754.977726
103674.0856	641.524469	816.972341
114222.5319	649.789403	885.912632
125842.8879	655.788285	963.117514
