DWS Measurement v9.2.8 
08/23/18 11:24:07 AM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	35.01
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	813.56
Mean Count Rate (kHz):	123.5


Lag time (s)	g2-1

1.250000E-8	1.007262
2.500000E-8	1.011355
3.750000E-8	0.986912
5.000000E-8	0.985445
6.250000E-8	0.988341
7.500000E-8	0.994249
8.750000E-8	0.994867
1.000000E-7	1.004868
1.125000E-7	1.017032
1.250000E-7	0.992357
1.375000E-7	1.013016
1.500000E-7	1.007185
1.625000E-7	0.990156
1.750000E-7	1.004791
1.875000E-7	1.008343
2.000000E-7	1.000080
2.125000E-7	1.002319
2.375000E-7	0.998690
2.625000E-7	1.006046
2.875000E-7	0.992106
3.125000E-7	0.995794
3.375000E-7	0.998381
3.625000E-7	0.998265
3.875000E-7	1.005621
4.125000E-7	0.998149
4.625000E-7	1.000978
5.125000E-7	0.996170
5.625000E-7	0.990059
6.125000E-7	0.995716
6.625000E-7	0.990957
7.125000E-7	0.995630
7.625000E-7	0.992222
8.125000E-7	0.992299
9.125000E-7	0.992280
1.012500E-6	0.990610
1.112500E-6	0.990383
1.212500E-6	0.996035
1.312500E-6	0.991319
1.412500E-6	0.999105
1.512500E-6	0.993448
1.612500E-6	0.994684
1.812500E-6	0.989997
2.012500E-6	0.987062
2.212500E-6	0.983191
2.412500E-6	0.982405
2.612500E-6	0.983445
2.812500E-6	0.982236
3.012500E-6	0.987118
3.212500E-6	0.989071
3.612500E-6	0.984731
4.012500E-6	0.978589
4.412500E-6	0.979245
4.812500E-6	0.982981
5.212500E-6	0.980815
5.612500E-6	0.977458
6.012500E-6	0.973899
6.412500E-6	0.975787
7.212500E-6	0.973521
8.012500E-6	0.972556
8.812500E-6	0.967906
9.612500E-6	0.968934
1.041250E-5	0.965428
1.121250E-5	0.963919
1.201250E-5	0.961705
1.281250E-5	0.962177
1.441250E-5	0.960393
1.601250E-5	0.959468
1.761250E-5	0.958545
1.921250E-5	0.955092
2.081250E-5	0.953234
2.241250E-5	0.951833
2.401250E-5	0.949589
2.561250E-5	0.947188
2.881250E-5	0.943576
3.201250E-5	0.941423
3.521250E-5	0.939669
3.841250E-5	0.937436
4.161250E-5	0.936651
4.481250E-5	0.933940
4.801250E-5	0.930766
5.121250E-5	0.928916
5.761250E-5	0.926593
6.401250E-5	0.924361
7.041250E-5	0.920269
7.681250E-5	0.918698
8.321250E-5	0.917304
8.961250E-5	0.915327
9.601250E-5	0.914386
0.000102	0.912991
0.000115	0.909873
0.000128	0.907559
0.000141	0.905377
0.000154	0.903828
0.000166	0.901709
0.000179	0.899970
0.000192	0.898501
0.000205	0.897062
0.000230	0.894797
0.000256	0.892798
0.000282	0.891149
0.000307	0.889481
0.000333	0.888043
0.000358	0.886607
0.000384	0.885480
0.000410	0.884407
0.000461	0.882218
0.000512	0.880408
0.000563	0.878770
0.000614	0.877444
0.000666	0.876407
0.000717	0.875159
0.000768	0.874330
0.000819	0.873097
0.000922	0.871387
0.001024	0.869350
0.001126	0.868054
0.001229	0.866556
0.001331	0.865433
0.001434	0.863837
0.001536	0.862867
0.001638	0.861846
0.001843	0.859462
0.002048	0.857638
0.002253	0.856155
0.002458	0.854556
0.002662	0.852875
0.002867	0.851457
0.003072	0.849891
0.003277	0.848837
0.003686	0.846228
0.004096	0.843897
0.004506	0.841535
0.004915	0.839690
0.005325	0.837979
0.005734	0.836473
0.006144	0.834762
0.006554	0.832856
0.007373	0.829215
0.008192	0.825962
0.009011	0.822379
0.009830	0.819157
0.010650	0.816227
0.011469	0.813023
0.012288	0.810233
0.013107	0.807650
0.014746	0.801625
0.016384	0.796616
0.018022	0.791480
0.019661	0.785848
0.021299	0.780228
0.022938	0.775318
0.024576	0.770452
0.026214	0.765465
0.029491	0.755764
0.032768	0.747161
0.036045	0.738482
0.039322	0.729560
0.042598	0.721752
0.045875	0.713139
0.049152	0.705695
0.052429	0.698724
0.058982	0.683972
0.065536	0.670751
0.072090	0.657051
0.078643	0.643693
0.085197	0.631682
0.091750	0.619781
0.098304	0.607244
0.104858	0.595627
0.117965	0.573173
0.131072	0.552314
0.144179	0.532491
0.157286	0.514067
0.170394	0.496599
0.183501	0.480252
0.399815	0.229701
0.599722	0.117105
0.799630	0.061891
0.999537	0.031658
1.199444	0.019851
1.399352	0.009613
1.599259	0.002816
1.799166	0.000929
1.999074	-0.002379
2.198981	-0.001485
2.398889	-0.002593
2.598796	-0.004845
2.798703	-0.006133
2.998611	-0.003310
3.198518	-0.003448
3.398426	-0.004705
3.598333	-0.003839
3.798240	-0.004426
3.998148	-0.004451
4.198055	-0.000919
4.397962	-0.004784
4.597870	-0.003111
4.797777	-0.000831
4.997685	-0.003934
5.197592	-0.004663
5.397499	-0.006714
5.597407	-0.007511
5.797314	-0.006366
5.997222	-0.003571
6.197129	-0.006191
6.397036	-0.008373
6.596944	-0.004961
6.796851	-0.008428
6.996759	-0.008385
7.196666	-0.008013
7.396573	-0.009881
7.596481	-0.010727
7.796388	-0.009623
7.996295	-0.007769
8.196203	-0.007267
8.396110	-0.008243
8.596018	-0.007381
8.795925	-0.011273
8.995832	-0.009175
9.195740	-0.006792
9.395647	-0.008342
9.595555	-0.007699
9.795462	-0.011287
9.995369	-0.012123
10.195277	-0.010837
10.395184	-0.011940
10.595091	-0.009777
10.794999	-0.006019
10.994906	-0.006339
11.194814	-0.009269
11.394721	-0.009167
11.594628	-0.006610
11.794536	-0.008784
11.994443	-0.009052
12.194351	-0.010856
12.394258	-0.010877
12.594165	-0.005253
12.794073	-0.005257


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

0.524288	43.439155
1.048576	46.147260
1.572864	70.210071
2.359296	34.839169
2.883584	55.481205
3.407872	77.093864
3.932160	35.922976
4.718592	50.573387
5.242880	31.422482
5.767168	157.457729
6.553600	59.211462
7.077888	50.930886
7.602176	63.447736
8.388608	209.088593
8.912896	66.785740
9.437184	217.978499
9.961472	528.915764
10.747904	111.591261
11.272192	60.374103
11.796480	88.747444
12.582912	46.412977
13.107200	106.951948
13.631488	307.407522
14.155776	56.641027
14.942208	27.102727
15.466496	67.235288
15.990784	61.513171
16.777216	46.526209
17.301504	339.732567
17.825792	37.902521
18.612224	58.496248
19.136512	73.722853
19.660800	151.092509
20.185088	52.041491
20.971520	218.302817
21.495808	68.705046
22.020096	252.600680
22.806528	363.171067
23.330816	161.794970
23.855104	149.340163
24.379392	67.387018
25.165824	72.005496
25.690112	76.837352
26.214400	48.138684
27.000832	127.344901
27.525120	131.358656
28.049408	104.540999
28.573696	227.527848
29.360128	168.864125
29.884416	129.162157
30.408704	60.370628
31.195136	89.173875
31.719424	124.117518
32.243712	98.087307
33.030144	25.690504
33.554432	69.925162
34.078720	259.457000
34.603008	148.182656
35.389440	37.576373
35.913728	123.099594
36.438016	172.215744
37.224448	203.112166
37.748736	164.861149
38.273024	229.442776
38.797312	119.426985
39.583744	122.484174
40.108032	113.949621
40.632320	28.049074
41.418752	89.783696
41.943040	159.715857
42.467328	218.861990
43.253760	218.197960
43.778048	426.333791
44.302336	257.201924
44.826624	270.722337
45.613056	157.276011
46.137344	46.262720
46.661632	56.604331
47.448064	185.512181
47.972352	223.719560
48.496640	85.264334
49.020928	205.549654
49.807360	33.237222
50.331648	92.895947
50.855936	91.962014
51.642368	135.921186
52.166656	84.714895
52.690944	117.909318
53.215232	44.478820
54.001664	19.132237
54.525952	69.136953
55.050240	125.605667
55.836672	45.458029
56.360960	141.340067
56.885248	298.571612
57.671680	321.504322
58.195968	62.068517
58.720256	75.921217
59.244544	103.366854
60.030976	28.534079
60.555264	72.863294
61.079552	96.904484
61.865984	37.429545
62.390272	120.130643
62.914560	182.490642
63.438848	31.059246
64.225280	108.384847
64.749568	134.884165
65.273856	362.206909
66.060288	125.549306
66.584576	50.777561
67.108864	82.679421
67.895296	110.732601
68.419584	133.003931
68.943872	252.286343
69.468160	101.529673
70.254592	595.865872
70.778880	206.257508
71.303168	239.342564
72.089600	60.233335
72.613888	69.123194
73.138176	82.188953
73.662464	147.617339
74.448896	165.798113
74.973184	74.882374
75.497472	82.065957
76.283904	120.213673
76.808192	178.968384
77.332480	80.735308
77.856768	44.869219
78.643200	55.239095
79.167488	53.861172
79.691776	381.530371
80.478208	74.145713
81.002496	349.419171
