DWS Measurement v9.2.8 
08/23/18 12:36:20 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	25.00
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	811.27
Mean Count Rate (kHz):	124.7


Lag time (s)	g2-1

1.250000E-8	0.996465
2.500000E-8	1.006367
3.750000E-8	1.000378
5.000000E-8	1.005378
6.250000E-8	1.001141
7.500000E-8	1.000119
8.750000E-8	0.998497
1.000000E-7	1.003267
1.125000E-7	0.997197
1.250000E-7	1.005493
1.375000E-7	0.997448
1.500000E-7	0.976662
1.625000E-7	0.997526
1.750000E-7	1.006905
1.875000E-7	1.013110
2.000000E-7	0.998878
2.125000E-7	1.004558
2.375000E-7	1.012436
2.625000E-7	1.000270
2.875000E-7	0.999978
3.125000E-7	1.004382
3.375000E-7	0.997741
3.625000E-7	0.994341
3.875000E-7	0.997827
4.125000E-7	1.000271
4.625000E-7	1.000133
5.125000E-7	1.005059
5.625000E-7	0.996173
6.125000E-7	1.000258
6.625000E-7	0.993572
7.125000E-7	0.995118
7.625000E-7	0.990637
8.125000E-7	0.998091
9.125000E-7	1.001836
1.012500E-6	0.994060
1.112500E-6	0.996679
1.212500E-6	1.003271
1.312500E-6	0.999397
1.412500E-6	1.001959
1.512500E-6	0.992673
1.612500E-6	0.993071
1.812500E-6	0.994333
2.012500E-6	0.990840
2.212500E-6	0.992387
2.412500E-6	0.989476
2.612500E-6	0.989362
2.812500E-6	0.993325
3.012500E-6	0.991394
3.212500E-6	0.991197
3.612500E-6	0.987510
4.012500E-6	0.983378
4.412500E-6	0.983848
4.812500E-6	0.985803
5.212500E-6	0.983615
5.612500E-6	0.976825
6.012500E-6	0.977375
6.412500E-6	0.980004
7.212500E-6	0.975184
8.012500E-6	0.977490
8.812500E-6	0.970848
9.612500E-6	0.974778
1.041250E-5	0.969023
1.121250E-5	0.972401
1.201250E-5	0.968010
1.281250E-5	0.968320
1.441250E-5	0.967058
1.601250E-5	0.964588
1.761250E-5	0.962687
1.921250E-5	0.959628
2.081250E-5	0.959748
2.241250E-5	0.958125
2.401250E-5	0.956452
2.561250E-5	0.954516
2.881250E-5	0.950921
3.201250E-5	0.947439
3.521250E-5	0.945376
3.841250E-5	0.944052
4.161250E-5	0.942226
4.481250E-5	0.939049
4.801250E-5	0.936757
5.121250E-5	0.934675
5.761250E-5	0.932133
6.401250E-5	0.929402
7.041250E-5	0.925528
7.681250E-5	0.923837
8.321250E-5	0.922340
8.961250E-5	0.918243
9.601250E-5	0.917375
0.000102	0.916037
0.000115	0.912325
0.000128	0.909038
0.000141	0.906195
0.000154	0.903825
0.000166	0.901600
0.000179	0.899306
0.000192	0.898242
0.000205	0.896324
0.000230	0.892759
0.000256	0.890739
0.000282	0.888405
0.000307	0.886424
0.000333	0.884982
0.000358	0.883075
0.000384	0.881600
0.000410	0.880399
0.000461	0.878444
0.000512	0.876569
0.000563	0.874473
0.000614	0.873187
0.000666	0.871764
0.000717	0.870680
0.000768	0.869229
0.000819	0.868505
0.000922	0.866980
0.001024	0.865117
0.001126	0.863949
0.001229	0.862570
0.001331	0.861775
0.001434	0.860749
0.001536	0.859812
0.001638	0.859053
0.001843	0.857636
0.002048	0.855860
0.002253	0.854704
0.002458	0.853995
0.002662	0.852833
0.002867	0.851694
0.003072	0.850915
0.003277	0.850060
0.003686	0.848570
0.004096	0.847083
0.004506	0.846213
0.004915	0.845794
0.005325	0.845287
0.005734	0.844671
0.006144	0.844197
0.006554	0.844160
0.007373	0.843471
0.008192	0.843090
0.009011	0.842764
0.009830	0.842084
0.010650	0.841459
0.011469	0.840230
0.012288	0.839285
0.013107	0.838744
0.014746	0.837638
0.016384	0.837738
0.018022	0.837825
0.019661	0.836714
0.021299	0.834591
0.022938	0.832603
0.024576	0.831794
0.026214	0.831577
0.029491	0.831096
0.032768	0.829905
0.036045	0.828722
0.039322	0.826980
0.042598	0.825488
0.045875	0.823644
0.049152	0.823904
0.052429	0.824099
0.058982	0.820510
0.065536	0.817827
0.072090	0.816428
0.078643	0.813850
0.085197	0.812329
0.091750	0.810049
0.098304	0.807504
0.104858	0.808359
0.117965	0.803397
0.131072	0.798042
0.144179	0.793033
0.157286	0.788433
0.170394	0.783395
0.183501	0.778148
0.399814	0.723849
0.599721	0.677666
0.799629	0.634702
0.999536	0.594938
1.199443	0.559027
1.399350	0.527920
1.599257	0.495714
1.799164	0.467240
1.999072	0.441127
2.198979	0.417453
2.398886	0.392932
2.598793	0.371680
2.798700	0.351495
2.998607	0.337243
3.198514	0.314692
3.398422	0.299263
3.598329	0.283383
3.798236	0.270166
3.998143	0.255568
4.198050	0.243186
4.397957	0.229467
4.597865	0.218319
4.797772	0.208405
4.997679	0.199644
5.197586	0.189359
5.397493	0.180713
5.597400	0.173556
5.797307	0.166441
5.997215	0.159182
6.197122	0.151218
6.397029	0.144348
6.596936	0.138605
6.796843	0.132850
6.996750	0.129088
7.196658	0.126252
7.396565	0.120020
7.596472	0.113706
7.796379	0.109261
7.996286	0.108897
8.196193	0.103848
8.396100	0.100000
8.596008	0.095267
8.795915	0.093224
8.995822	0.087794
9.195729	0.085267
9.395636	0.083682
9.595543	0.080523
9.795451	0.079243
9.995358	0.076421
10.195265	0.072228
10.395172	0.071326
10.595079	0.071248
10.794986	0.069800
10.994893	0.067374
11.194801	0.064457
11.394708	0.064072
11.594615	0.061057
11.794522	0.059728
11.994429	0.057075
12.194336	0.056022
12.394244	0.054722
12.594151	0.049931
12.794058	0.048813


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

6.422000	38.001395
13.381000	34.419890
20.151000	122.732662
27.121000	58.980250
34.092000	159.612065
41.071000	37.068471
48.029000	98.416731
54.991000	283.453421
61.960000	99.961859
68.921000	61.190657
75.890000	45.437429
82.659000	66.062227
89.632000	73.714427
96.599000	138.363113
103.558000	90.483752
110.529000	87.935608
117.500000	45.820722
124.459000	164.773756
125.088146	124.096299
126.136722	125.316592
127.185298	123.789236
128.024158	126.091805
129.072734	124.485287
130.121310	123.502184
131.169886	125.836967
132.218462	124.378191
133.267038	125.073575
134.105899	124.825289
135.154475	123.529264
136.203051	123.304978
137.251627	124.628957
138.300203	124.389854
139.348779	123.576514
140.397355	124.280234
141.445931	125.277604
142.494507	124.585677
143.543083	123.653186
144.591659	125.831889
145.640235	126.154670
146.688811	124.958312
147.737387	124.745363
148.785963	126.793088
149.834539	125.187340
150.883115	123.667710
151.931691	124.938424
152.770552	125.207886
153.819128	126.770108
154.867704	126.619165
155.916280	125.365228
156.964856	124.834613
158.013432	125.136026
159.062008	123.918293
160.110584	126.263721
161.159160	126.748085
162.207736	127.682681
163.256312	126.286968
164.304888	126.919726
165.353464	127.088904
166.402040	125.082544
167.450616	124.437804
168.499192	124.604182
169.547768	123.973060
170.386629	124.478155
171.435205	125.672109
172.483781	126.854821
173.532357	126.024069
174.580933	125.419171
175.629509	124.750402
176.678085	126.348993
177.726661	124.488753
178.775237	125.095584
179.823813	124.177625
180.872389	126.254191
181.920965	124.960920
182.969541	125.097356
184.018117	125.296703

Measurement Notes:

