DWS Measurement v9.2.8 
08/23/18 11:24:07 AM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	35.01
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	813.56
Mean Count Rate (kHz):	123.5


Lag time (s)	g2-1

1.25E-08	 1.00009
 2.5E-08	 0.99999
3.75E-08	 0.99538
   5E-08	0.996072
6.25E-08	0.999188
 7.5E-08	0.994464
8.75E-08	   0.991
   1E-07	0.998831
1.125E-07	 1.01408
1.25E-07	0.994308
1.375E-07	 1.00328
 1.5E-07	0.996721
1.625E-07	0.987438
1.75E-07	 1.00491
1.875E-07	 1.01274
   2E-07	 1.00174
2.125E-07	0.998993
2.375E-07	0.998088
2.625E-07	 1.00342
2.875E-07	0.991869
3.125E-07	0.996388
3.375E-07	 1.00145
3.625E-07	0.997591
3.875E-07	0.998406
4.125E-07	0.997494
4.625E-07	0.995081
5.125E-07	0.998079
5.625E-07	0.988081
6.125E-07	 0.99619
6.625E-07	0.995802
7.125E-07	0.990598
7.625E-07	0.988796
8.125E-07	0.991121
9.125E-07	0.992295
1.0125E-06	0.992063
1.1125E-06	0.991065
1.2125E-06	 0.99139
1.3125E-06	0.990164
1.4125E-06	 0.99629
1.5125E-06	 0.99393
1.6125E-06	0.993769
1.8125E-06	0.989113
2.0125E-06	0.987375
2.2125E-06	0.984923
2.4125E-06	0.982627
2.6125E-06	0.982595
2.8125E-06	  0.9846
3.0125E-06	0.988632
3.2125E-06	0.988369
3.6125E-06	0.982824
4.0125E-06	0.978579
4.4125E-06	 0.97866
4.8125E-06	0.980532
5.2125E-06	0.979441
5.6125E-06	0.974824
6.0125E-06	0.973635
6.4125E-06	0.974558
7.2125E-06	0.971789
8.0125E-06	0.971262
8.8125E-06	0.967024
9.6125E-06	0.967994
1.04125E-05	 0.96504
1.12125E-05	 0.96484
1.20125E-05	0.962338
1.28125E-05	0.961507
1.44125E-05	0.960032
1.60125E-05	0.958313
1.76125E-05	0.958488
1.92125E-05	0.954888
2.08125E-05	0.952753
2.24125E-05	0.951771
2.40125E-05	0.949042
2.56125E-05	0.947083
2.88125E-05	0.943804
3.20125E-05	0.941382
3.52125E-05	0.939847
3.84125E-05	0.937612
4.16125E-05	0.936654
4.48125E-05	0.933904
4.80125E-05	0.931524
5.12125E-05	0.929534
5.76125E-05	0.927239
6.40125E-05	0.925304
7.04125E-05	 0.92147
7.68125E-05	0.919778
8.32125E-05	0.918316
8.96125E-05	0.916691
9.60125E-05	0.914961
0.000102	 0.91382
0.000115	0.910869
0.000128	0.908428
0.000141	0.906198
0.000154	0.904525
0.000166	0.902883
0.000179	0.901189
0.000192	0.899809
0.000205	0.898479
 0.00023	0.896222
0.000256	0.894346
0.000282	0.892538
0.000307	 0.89095
0.000333	0.889661
0.000358	0.888394
0.000384	0.887246
 0.00041	0.886065
0.000461	0.883985
0.000512	0.882328
0.000563	0.881015
0.000614	0.879693
0.000666	 0.87854
0.000717	0.877325
0.000768	0.876591
0.000819	0.875436
0.000922	0.873597
0.001024	0.871838
0.001126	 0.87034
0.001229	0.868797
0.001331	0.867703
0.001434	0.866311
0.001536	0.865326
0.001638	0.864159
0.001843	0.861898
0.002048	0.860134
0.002253	0.858546
0.002458	0.856686
0.002662	 0.85517
0.002867	0.853683
0.003072	0.852241
0.003277	0.851077
0.003686	0.848675
0.004096	0.846533
0.004506	0.844468
0.004915	0.842661
0.005325	0.841023
0.005734	0.839493
0.006144	0.837705
0.006554	0.835979
0.007373	0.832657
0.008192	0.829368
0.009011	0.826188
 0.00983	0.823009
 0.01065	0.819948
0.011469	0.816996
0.012288	0.814151
0.013107	0.811381
0.014746	0.805755
0.016384	0.801028
0.018022	0.796151
0.019661	0.790674
0.021299	0.785064
0.022938	0.780563
0.024576	 0.77603
0.026214	0.771413
0.029491	0.762248
0.032768	 0.75391
0.036045	0.745692
0.039322	 0.73689
0.042598	0.729157
0.045875	0.720757
0.049152	0.713025
0.052429	0.705576
0.058982	0.689924
0.065536	0.674845
 0.07209	0.659988
0.078643	0.645454
0.085197	0.632844
 0.09175	0.619988
0.098304	0.607047
0.104858	0.595061
0.117965	0.571405
0.131072	0.548762
0.144179	0.527288
0.157286	0.507416
0.170394	0.489474
0.183501	 0.47196
0.399815	0.221415
0.599722	0.114198
 0.79963	0.0619015
0.999537	0.033219
 1.19944	0.020862
 1.39935	0.0118935
 1.59926	0.0041995
 1.79917	0.003517
 1.99907	0.0018165
 2.19898	  -2E-06
 2.39889	-8.25E-05
  2.5988	-0.0051265
  2.7987	-0.0033685
 2.99861	-0.002217
 3.19852	-0.003843
 3.39843	-0.0027915
 3.59833	-0.003062
 3.79824	-0.004162
 3.99815	-0.0019335
 4.19806	-0.001723
 4.39796	-0.0008655
 4.59787	-0.000118
 4.79778	-0.0001905
 4.99768	-0.002582
 5.19759	-0.0004415
  5.3975	-0.0023745
 5.59741	-0.004817
 5.79731	-0.0053185
 5.99722	-0.0036275
 6.19713	-0.003756
 6.39704	-0.003311
 6.59694	-0.0033895
 6.79685	-0.008034
 6.99676	-0.0061125
 7.19667	-0.004553
 7.39657	-0.0060265
 7.59648	-0.0061525
 7.79639	-0.005712
 7.99629	-0.002614
  8.1962	-0.0034275
 8.39611	-0.003841
 8.59602	-0.003147
 8.79593	-0.0051095
 8.99583	-0.0041445
 9.19574	-0.0037755
 9.39565	-0.0077755
 9.59555	-0.0058825
 9.79546	-0.0060085
 9.99537	-0.006878
 10.1953	-0.0084115
 10.3952	-0.0078025
 10.5951	-0.007522
  10.795	-0.009119
 10.9949	-0.005492
 11.1948	-0.0068055
 11.3947	-0.0073015
 11.5946	-0.005378
 11.7945	-0.0049725
 11.9944	-0.0076075
 12.1944	-0.0075765
 12.3943	-0.005513
 12.5942	-0.002157
 12.7941	-0.0034835


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

  0.524288	 43.439155
  1.048576	 46.147260
  1.572864	 70.210071
  2.359296	 34.839169
  2.883584	 55.481205
  3.407872	 77.093864
  3.932160	 35.922976
  4.718592	 50.573387
  5.242880	 31.422482
  5.767168	157.457729
  6.553600	 59.211462
  7.077888	 50.930886
  7.602176	 63.447736
  8.388608	209.088593
  8.912896	 66.785740
  9.437184	217.978499
  9.961472	528.915764
 10.747904	111.591261
 11.272192	 60.374103
 11.796480	 88.747444
 12.582912	 46.412977
 13.107200	106.951948
 13.631488	307.407522
 14.155776	 56.641027
 14.942208	 27.102727
 15.466496	 67.235288
 15.990784	 61.513171
 16.777216	 46.526209
 17.301504	339.732567
 17.825792	 37.902521
 18.612224	 58.496248
 19.136512	 73.722853
 19.660800	151.092509
 20.185088	 52.041491
 20.971520	218.302817
 21.495808	 68.705046
 22.020096	252.600680
 22.806528	363.171067
 23.330816	161.794970
 23.855104	149.340163
 24.379392	 67.387018
 25.165824	 72.005496
 25.690112	 76.837352
 26.214400	 48.138684
 27.000832	127.344901
 27.525120	131.358656
 28.049408	104.540999
 28.573696	227.527848
 29.360128	168.864125
 29.884416	129.162157
 30.408704	 60.370628
 31.195136	 89.173875
 31.719424	124.117518
 32.243712	 98.087307
 33.030144	 25.690504
 33.554432	 69.925162
 34.078720	259.457000
 34.603008	148.182656
 35.389440	 37.576373
 35.913728	123.099594
 36.438016	172.215744
 37.224448	203.112166
 37.748736	164.861149
 38.273024	229.442776
 38.797312	119.426985
 39.583744	122.484174
 40.108032	113.949621
 40.632320	 28.049074
 41.418752	 89.783696
 41.943040	159.715857
 42.467328	218.861990
 43.253760	218.197960
 43.778048	426.333791
 44.302336	257.201924
 44.826624	270.722337
 45.613056	157.276011
 46.137344	 46.262720
 46.661632	 56.604331
 47.448064	185.512181
 47.972352	223.719560
 48.496640	 85.264334
 49.020928	205.549654
 49.807360	 33.237222
 50.331648	 92.895947
 50.855936	 91.962014
 51.642368	135.921186
 52.166656	 84.714895
 52.690944	117.909318
 53.215232	 44.478820
 54.001664	 19.132237
 54.525952	 69.136953
 55.050240	125.605667
 55.836672	 45.458029
 56.360960	141.340067
 56.885248	298.571612
 57.671680	321.504322
 58.195968	 62.068517
 58.720256	 75.921217
 59.244544	103.366854
 60.030976	 28.534079
 60.555264	 72.863294
 61.079552	 96.904484
 61.865984	 37.429545
 62.390272	120.130643
 62.914560	182.490642
 63.438848	 31.059246
 64.225280	108.384847
 64.749568	134.884165
 65.273856	362.206909
