DWS Measurement v9.2.8 
08/23/18 12:00:14 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	30.06
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	196.942
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	827.98
Mean Count Rate (kHz):	123.9


Lag time (s)	g2-1

1.25E-08	 1.00237
 2.5E-08	0.997091
3.75E-08	 1.00491
   5E-08	0.993928
6.25E-08	0.991258
 7.5E-08	 1.01262
8.75E-08	0.997189
   1E-07	 1.00419
1.125E-07	0.991728
1.25E-07	0.991204
1.375E-07	0.987909
 1.5E-07	0.998244
1.625E-07	0.999405
1.75E-07	0.997633
1.875E-07	 1.00185
   2E-07	  1.0089
2.125E-07	 1.00177
2.375E-07	0.996382
2.625E-07	0.995976
2.875E-07	0.995582
3.125E-07	0.997526
3.375E-07	0.990627
3.625E-07	0.992287
3.875E-07	0.993772
4.125E-07	 0.99287
4.625E-07	0.984851
5.125E-07	0.987852
5.625E-07	0.991019
6.125E-07	0.990719
6.625E-07	0.988017
7.125E-07	 0.99214
7.625E-07	0.992447
8.125E-07	0.987721
9.125E-07	0.987438
1.0125E-06	 0.98297
1.1125E-06	 0.98741
1.2125E-06	0.988552
1.3125E-06	0.988598
1.4125E-06	 0.98983
1.5125E-06	0.986102
1.6125E-06	0.989223
1.8125E-06	0.991825
2.0125E-06	0.986903
2.2125E-06	0.983958
2.4125E-06	0.981714
2.6125E-06	0.976854
2.8125E-06	0.980894
3.0125E-06	0.984919
3.2125E-06	0.985765
3.6125E-06	0.981745
4.0125E-06	0.976984
4.4125E-06	0.977183
4.8125E-06	0.978842
5.2125E-06	0.976781
5.6125E-06	0.970724
6.0125E-06	0.971569
6.4125E-06	 0.97277
7.2125E-06	 0.96887
8.0125E-06	0.968438
8.8125E-06	0.964482
9.6125E-06	0.965526
1.04125E-05	0.961969
1.12125E-05	0.962811
1.20125E-05	0.959801
1.28125E-05	0.958348
1.44125E-05	0.955302
1.60125E-05	0.955468
1.76125E-05	0.953459
1.92125E-05	0.951695
2.08125E-05	0.949423
2.24125E-05	0.946632
2.40125E-05	0.946206
2.56125E-05	0.944249
2.88125E-05	0.939314
3.20125E-05	0.936341
3.52125E-05	0.935333
3.84125E-05	0.933368
4.16125E-05	0.931331
4.48125E-05	0.928798
4.80125E-05	0.926136
5.12125E-05	0.924057
5.76125E-05	0.920983
6.40125E-05	0.918188
7.04125E-05	0.914762
7.68125E-05	0.913182
8.32125E-05	0.911372
8.96125E-05	0.908777
9.60125E-05	0.906694
0.000102	0.905241
0.000115	0.901987
0.000128	0.898964
0.000141	0.896513
0.000154	0.894375
0.000166	 0.89217
0.000179	0.890657
0.000192	0.888498
0.000205	0.887204
 0.00023	 0.88457
0.000256	0.882454
0.000282	 0.88037
0.000307	0.878698
0.000333	0.877139
0.000358	0.875649
0.000384	0.874476
 0.00041	0.873555
0.000461	0.871183
0.000512	0.869478
0.000563	0.868105
0.000614	 0.86673
0.000666	0.865433
0.000717	0.864104
0.000768	0.863397
0.000819	0.862262
0.000922	0.860227
0.001024	0.858766
0.001126	0.857314
0.001229	0.856109
0.001331	0.854918
0.001434	0.853838
0.001536	0.852969
0.001638	0.851894
0.001843	0.849998
0.002048	0.848319
0.002253	 0.84682
0.002458	0.845252
0.002662	0.843877
0.002867	0.842486
0.003072	0.841538
0.003277	0.840882
0.003686	0.839257
0.004096	0.837994
0.004506	0.837001
0.004915	   0.836
0.005325	0.835412
0.005734	0.834507
0.006144	0.833601
0.006554	0.833141
0.007373	0.831012
0.008192	0.828836
0.009011	0.827241
 0.00983	0.825659
 0.01065	 0.82431
0.011469	0.823028
0.012288	0.821442
0.013107	0.820182
0.014746	0.817235
0.016384	0.815914
0.018022	0.814218
0.019661	0.810693
0.021299	0.807052
0.022938	0.805031
0.024576	0.803198
0.026214	0.801715
0.029491	0.797778
0.032768	 0.79357
0.036045	0.790183
0.039322	0.785241
0.042598	0.782085
0.045875	0.777858
0.049152	0.774816
0.052429	0.773229
0.058982	   0.765
0.065536	0.757877
 0.07209	0.750858
0.078643	0.743533
0.085197	0.737497
 0.09175	0.730703
0.098304	0.724378
0.104858	0.722379
0.117965	0.709124
0.131072	0.695971
0.144179	 0.68389
0.157286	 0.67164
0.170394	0.659199
0.183501	0.647392
0.399815	0.501116
0.599723	0.403516
 0.79963	0.328275
0.999538	0.267172
 1.19945	0.218317
 1.39935	0.176114
 1.59926	0.144747
 1.79917	0.118554
 1.99907	0.0987725
 2.19898	0.0811415
 2.39889	0.068024
  2.5988	0.0558335
  2.7987	0.047712
 2.99861	0.041318
 3.19852	0.034925
 3.39843	0.029439
 3.59834	0.025534
 3.79824	0.0213195
 3.99815	0.0192385
 4.19806	0.016478
 4.39797	0.016259
 4.59787	0.0141585
 4.79778	0.014084
 4.99769	0.013551
 5.19759	0.0113565
  5.3975	0.010522
 5.59741	0.006329
 5.79732	0.005995
 5.99723	0.0062695
 6.19713	0.0058245
 6.39704	0.005327
 6.59695	0.0046205
 6.79686	0.0050915
 6.99676	0.006057
 7.19667	0.006027
 7.39658	0.004932
 7.59649	0.004194
 7.79639	0.003185
  7.9963	0.0052625
 8.19621	0.005081
 8.39612	0.005161
 8.59602	0.0043015
 8.79593	0.0042285
 8.99584	0.0043465
 9.19575	0.003722
 9.39565	0.0035115
 9.59556	0.0042035
 9.79547	 0.00441
 9.99538	0.0054855
 10.1953	0.0045495
 10.3952	0.0052385
 10.5951	 0.00669
  10.795	0.0097965
 10.9949	0.009386
 11.1948	0.012314
 11.3947	0.0111815
 11.5946	0.011468
 11.7945	0.0114095
 11.9945	0.012418
 12.1944	0.013368
 12.3943	0.013862
 12.5942	0.014602
 12.7941	0.015572


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

  6.419000	 83.629180
 13.382000	264.485642
 20.350000	 89.949139
 27.310000	166.013188
 34.280000	193.271024
 41.240000	 79.532363
 48.210000	118.650636
 55.180000	125.017161
 62.141000	 81.336202
 69.110000	116.152320
 76.070000	126.953104
 83.040000	 44.873949
 90.009000	 75.147628
 96.970000	296.114354
103.938000	145.007363
110.899000	112.761725
117.870000	195.300751
124.840000	131.220464
125.469146	123.894215
126.517722	123.958587
127.566298	121.203121
128.405158	124.661976
129.453734	124.327757
130.502310	125.868987
131.550886	124.817627
132.599462	125.953226
133.648038	124.856328
134.486899	124.789402
135.535475	123.181609
136.584051	123.670833
137.632627	123.637300
138.681203	123.987145
139.729779	124.665854
140.778355	125.769533
141.617216	124.371309
142.665792	124.312501
143.714368	127.543018
144.762944	128.606233
145.811520	125.164435
146.860096	124.147289
147.908672	125.171697
148.957248	124.489195
149.796109	126.568358
150.844685	122.965681
151.893261	124.332027
152.941837	124.358826
153.990413	124.405882
155.038989	124.865020
156.087565	123.631954
157.136141	124.310598
157.975002	122.714113
159.023578	125.282614
160.072154	125.192989
161.120730	126.411918
162.169306	124.954240
163.217882	123.463926
164.266458	126.659870
165.315034	123.992047
166.153894	123.106575
167.202470	123.273275
168.251046	122.688997
169.299622	122.461928
170.348198	127.480423
171.396774	124.244443
172.445350	124.404301
173.284211	123.993933
174.332787	122.351813
175.381363	121.947425
176.429939	123.930700
177.478515	124.911648
178.527091	124.236066
179.575667	124.233405
180.624243	124.993373
181.463104	126.365150

Measurement notes:

